energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,0.88481784,0.61631362,0.10337661,0.08291878,0.25443334,0.25896556,0.00224224
-5.99399700,0.83899984,0.58236346,0.09876260,0.07903249,0.24708815,0.23819231,0.00216772
-5.98799400,0.80069079,0.55356159,0.09524657,0.07574042,0.24223399,0.21906345,0.00212220
-5.98199100,0.77066573,0.53035421,0.09292807,0.07312826,0.24011117,0.20175437,0.00210909
-5.97598799,0.74963486,0.51314616,0.09189911,0.07127069,0.24093350,0.18642569,0.00213189
-5.96998499,0.73823135,0.50229377,0.09224242,0.07022971,0.24488210,0.17322331,0.00219405
-5.96398199,0.73700015,0.49809785,0.09402975,0.07005325,0.25209955,0.16227867,0.00229900
-5.95797899,0.74638778,0.50079689,0.09732028,0.07077420,0.26268459,0.15370889,0.00245007
-5.95197599,0.76673285,0.51056050,0.10215920,0.07240971,0.27668743,0.14761684,0.00265050
-5.94597299,0.79825748,0.52748314,0.10857631,0.07496080,0.29410582,0.14409082,0.00290330
-5.93996998,0.84105937,0.55157826,0.11658474,0.07841235,0.31488200,0.14320389,0.00321125
-5.93396698,0.89510470,0.58277295,0.12617976,0.08273331,0.33890060,0.14501269,0.00357682
-5.92796398,0.96022173,0.62090324,0.13733764,0.08787727,0.36598772,0.14955577,0.00400204
-5.92196098,1.03609532,0.66571035,0.15001460,0.09378325,0.39591118,0.15685132,0.00448841
-5.91595798,1.12226251,0.71683785,0.16414598,0.10037679,0.42838199,0.16689442,0.00503681
-5.90995498,1.21810926,0.77383020,0.17964541,0.10757121,0.46305722,0.17965386,0.00564738
-5.90395198,1.32286870,0.83613266,0.19640434,0.11526910,0.49954408,0.19506868,0.00631937
-5.89794897,1.43562122,0.90309294,0.21429174,0.12336404,0.53740532,0.21304450,0.00705103
-5.89194597,1.55529655,0.97396469,0.23315411,0.13174234,0.57616577,0.23345006,0.00783948
-5.88594297,1.68067849,1.04791303,0.25281593,0.14028502,0.61531992,0.25611406,0.00868066
-5.87993997,1.81041231,1.12402229,0.27308049,0.14886974,0.65434042,0.28082258,0.00956917
-5.87393697,1.94301544,1.20130597,0.29373125,0.15737287,0.69268728,0.30731753,0.01049826
-5.86793397,2.07689156,1.27871909,0.31453374,0.16567146,0.72981748,0.33529617,0.01145981
-5.86193097,2.21034850,1.35517272,0.33523806,0.17364521,0.76519485,0.36441221,0.01244434
-5.85592796,2.34161987,1.42955072,0.35558199,0.18117835,0.79830002,0.39427843,0.01344109
-5.84992496,2.46889055,1.50072847,0.37529473,0.18816143,0.82864000,0.42447122,0.01443814
-5.84392196,2.59032597,1.56759317,0.39410124,0.19449293,0.85575743,0.45453687,0.01542257
-5.83791896,2.70410454,1.62906547,0.41172711,0.20008081,0.87923908,0.48399979,0.01638075
-5.83191596,2.80845304,1.68412183,0.42790395,0.20484381,0.89872350,0.51237230,0.01729855
-5.82591296,2.90168397,1.73181713,0.44237502,0.20871265,0.91390775,0.53916597,0.01816173
-5.81990995,2.98223406,1.77130678,0.45490120,0.21163103,0.92455283,0.56390406,0.01895627
-5.81390695,3.04870271,1.80186764,0.46526689,0.21355645,0.93048803,0.58613461,0.01966878
-5.80790395,3.09988921,1.82291721,0.47328578,0.21446091,0.93161379,0.60544378,0.02028687
-5.80190095,3.13482726,1.83403001,0.47880621,0.21433134,0.92790331,0.62146886,0.02079960
-5.79589795,3.15281548,1.83495088,0.48171596,0.21316995,0.91940264,0.63391035,0.02119780
-5.78989495,3.15344249,1.82560430,0.48194615,0.21099430,0.90622948,0.64254267,0.02147444
-5.78389195,3.13660539,1.80609941,0.47947422,0.20783721,0.88857041,0.64722291,0.02162489
-5.77788894,3.10252054,1.77673034,0.47432563,0.20374643,0.86667696,0.64789722,0.02164716
-5.77188594,3.05172588,1.73797177,0.46657431,0.19878411,0.84086032,0.64460458,0.02154201
-5.76588294,2.98507431,1.69046960,0.45634172,0.19302597,0.81148489,0.63747762,0.02131299
-5.75987994,2.90371816,1.63502726,0.44379446,0.18656027,0.77896086,0.62674051,0.02096643
-5.75387694,2.80908494,1.57258778,0.42914061,0.17948648,0.74373599,0.61270397,0.02051125
-5.74787394,2.70284505,1.50421254,0.41262478,0.17191378,0.70628663,0.59575759,0.01995874
-5.74187094,2.58687275,1.43105726,0.39452204,0.16395923,0.66710853,0.57635971,0.01932229
-5.73586793,2.46320152,1.35434635,0.37513112,0.15574579,0.62670736,0.55502546,0.01861693
-5.72986493,2.33397553,1.27534635,0.35476683,0.14740020,0.58558943,0.53231321,0.01785898
-5.72386193,2.20139919,1.19533971,0.33375232,0.13905067,0.54425279,0.50881029,0.01706550
