energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.60262396,0.53241715,0.36334311,0.00886656,0.19550276,0.90438379,0.00000000,0.54699982,0.29093723
-5.99399700,1.61589680,0.52721141,0.35986092,0.00886347,0.21348845,0.89460555,0.00000000,0.54730648,0.30504380
-5.98799400,1.62812613,0.52031793,0.35594641,0.00882465,0.23266659,0.88252541,0.00000000,0.54777517,0.31971635
-5.98199100,1.63926864,0.51173339,0.35155775,0.00875243,0.25295334,0.86819355,0.00000000,0.54844681,0.33490521
-5.97598799,1.64930308,0.50149323,0.34666639,0.00864941,0.27423762,0.85171047,0.00000000,0.54935944,0.35054608
-5.96998499,1.65821664,0.48966869,0.34125583,0.00851831,0.29637963,0.83321966,0.00000000,0.55054102,0.36655751
-5.96398199,1.66599150,0.47636284,0.33532020,0.00836188,0.31921024,0.81289933,0.00000000,0.55200285,0.38283894
-5.95797899,1.67259283,0.46170612,0.32886281,0.00818283,0.34253133,0.79095390,0.00000000,0.55373401,0.39926951
-5.95197599,1.67795888,0.44585140,0.32189471,0.00798369,0.36611719,0.76760552,0.00000000,0.55569715,0.41570772
-5.94597299,1.68199418,0.42896897,0.31443349,0.00776683,0.38971714,0.74308623,0.00000000,0.55782612,0.43199228
-5.93996998,1.68456627,0.41124158,0.30650239,0.00753438,0.41305931,0.71763104,0.00000000,0.56002554,0.44794396
-5.93396698,1.68550634,0.39285976,0.29812973,0.00728826,0.43585553,0.69147224,0.00000000,0.56217241,0.46336867
-5.92796398,1.68461379,0.37401765,0.28934873,0.00703020,0.45780741,0.66483498,0.00000000,0.56411976,0.47806162
-5.92196098,1.68166455,0.35490931,0.28019759,0.00676173,0.47861324,0.63793435,0.00000000,0.56570210,0.49181242
-5.91595798,1.67642267,0.33572563,0.27071994,0.00648428,0.49797568,0.61097379,0.00000000,0.56674236,0.50441110
-5.90995498,1.66865451,0.31665194,0.26096539,0.00619924,0.51560984,0.58414471,0.00000000,0.56706006,0.51565457
-5.90395198,1.65814476,0.29786628,0.25099017,0.00590795,0.53125155,0.55762722,0.00000000,0.56648005,0.52535352
-5.89794897,1.64471336,0.27953813,0.24085788,0.00561187,0.54466545,0.53159173,0.00000000,0.56484157,0.53333925
-5.89194597,1.62823230,0.26182786,0.23064001,0.00531252,0.55565251,0.50620103,0.00000000,0.56200695,0.53947021
-5.88594297,1.60864140,0.24488649,0.22041638,0.00501160,0.56405681,0.48161280,0.00000000,0.55786958,0.54363795
-5.87993997,1.58596216,0.22885584,0.21027535,0.00471099,0.56977106,0.45798216,0.00000000,0.55236072,0.54577216
-5.87393697,1.56030889,0.21386901,0.20031370,0.00441280,0.57274071,0.43546415,0.00000000,0.54545483,0.54584449
-5.86793397,1.53189649,0.20005088,0.19063633,0.00411931,0.57296654,0.41421574,0.00000000,0.53717306,0.54387109
-5.86193097,1.50104444,0.18751884,0.18135556,0.00383306,0.57050534,0.39439756,0.00000000,0.52758498,0.53991358
-5.85592796,1.46817674,0.17638326,0.17259023,0.00355674,0.56546884,0.37617488,0.00000000,0.51680820,0.53407847
-5.84992496,1.43381777,0.16674809,0.16446456,0.00329324,0.55802091,0.35971800,0.00000000,0.50500623,0.52651495
-5.84392196,1.39858403,0.15871102,0.15710673,0.00304560,0.54837291,0.34520196,0.00000000,0.49238447,0.51741122
-5.83791896,1.36317231,0.15236361,0.15064739,0.00281696,0.53677763,0.33280543,0.00000000,0.47918469,0.50698938
-5.83191596,1.32834450,0.14779090,0.14521791,0.00261056,0.52352193,0.32270904,0.00000000,0.46567830,0.49549917
-5.82591296,1.29490974,0.14507089,0.14094858,0.00242971,0.50891842,0.31509296,0.00000000,0.45215854,0.48321076
-5.81990995,1.26370450,0.14427354,0.13796672,0.00227775,0.49329641,0.31013388,0.00000000,0.43893219,0.47040685
-5.81390695,1.23557131,0.14545951,0.13639467,0.00215802,0.47699272,0.30800158,0.00000000,0.42631091,0.45737449
-5.80790395,1.21133683,0.14867855,0.13634773,0.00207387,0.46034242,0.30885492,0.00000000,0.41460270,0.44439686
-5.80190095,1.19179002,0.15396770,0.13793206,0.00202860,0.44367004,0.31283756,0.00000000,0.40410371,0.43174525
-5.79589795,1.17766109,0.16134918,0.14124248,0.00202546,0.42728151,0.32007351,0.00000000,0.39509062,0.41967169
-5.78989495,1.16960178,0.17082828,0.14636032,0.00206760,0.41145707,0.33066246,0.00000000,0.38781393,0.40840242
-5.78389195,1.16816762,0.18239118,0.15335109,0.00215803,0.39644535,0.34467521,0.00000000,0.38249217,0.39813234
-5.77788894,1.17380251,0.19600281,0.16226234,0.00229960,0.38245885,0.36214921,0.00000000,0.37930719,0.38902068
-5.77188594,1.18682602,0.21160493,0.17312139,0.00249488,0.36967079,0.38308439,0.00000000,0.37840066,0.38118804
-5.76588294,1.20742373,0.22911454,0.18593324,0.00274618,0.35821338,0.40743935,0.00000000,0.37987155,0.37471468
-5.75987994,1.23564058,0.24842257,0.20067858,0.00305536,0.34817758,0.43512817,0.00000000,0.38377482,0.36964026
-5.75387694,1.27137747,0.26939319,0.21731200,0.00342381,0.33961399,0.46601779,0.00000000,0.39012103,0.36596478
-5.74787394,1.31439092,0.29186358,0.23576049,0.00385233,0.33253498,0.49992617,0.00000000,0.39887686,0.36365074
-5.74187094,1.36429580,0.31564439,0.25592224,0.00434102,0.32691773,0.53662137,0.00000000,0.40996643,0.36262628
-5.73586793,1.42057091,0.34052083,0.27766591,0.00488917,0.32270800,0.57582150,0.00000000,0.42327327,0.36278914
-5.72986493,1.48256722,0.36625448,0.30083044,0.00549518,0.31982449,0.61719574,0.00000000,0.43864290,0.36401128
-5.72386193,1.54951856,0.39258579,0.32522534,0.00615645,0.31816338,0.66036641,0.00000000,0.45588589,0.36614394
-5.71785893,1.62055450,0.41923722,0.35063174,0.00686937,0.31760318,0.70491217,0.00000000,0.47478134,0.36902287
-5.71185593,1.69471529,0.44591706,0.37680410,0.00762924,0.31800942,0.75037238,0.00000000,0.49508081,0.37247362
-5.70585293,1.77096855,0.47232381,0.40347267,0.00843029,0.31923918,0.79625256,0.00000000,0.51651259,0.37631672
-5.69984992,1.84822758,0.49815104,0.43034677,0.00926571,0.32114541,0.84203107,0.00000000,0.53878643,0.38037264
