energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up
-6.00000000,7.55384482,1.27198620,5.95591646,0.03358110,0.07809917,0.03323101,0.00000000,1.20204858,0.00000000
-5.99399700,7.46729217,1.27719861,5.83491768,0.03307464,0.07739172,0.03394474,0.00000000,1.22484484,0.00000000
-5.98799400,7.37716935,1.28388132,5.70891411,0.03250763,0.07695313,0.03469686,0.00000000,1.24838723,0.00000000
-5.98199100,7.28597029,1.29221227,5.58043083,0.03189572,0.07678477,0.03548385,0.00000000,1.27266404,0.00000000
-5.97598799,7.19635694,1.30242337,5.45209677,0.03125534,0.07689060,0.03630292,0.00000000,1.29770409,0.00000000
-5.96998499,7.11106211,1.31478662,5.32655365,0.03060327,0.07727581,0.03715193,0.00000000,1.32357285,0.00000000
-5.96398199,7.03279341,1.32959918,5.20636833,0.02995621,0.07794554,0.03802932,0.00000000,1.35036687,0.00000000
-5.95797899,6.96414170,1.34716779,5.09395155,0.02933035,0.07890368,0.03893400,0.00000000,1.37820695,0.00000000
-5.95197599,6.90749662,1.36779286,4.99148574,0.02874105,0.08015190,0.03986526,0.00000000,1.40722997,0.00000000
-5.94597299,6.86497168,1.39175278,4.90086394,0.02820249,0.08168883,0.04082260,0.00000000,1.43757966,0.00000000
-5.93996998,6.83834072,1.41928879,4.82364130,0.02772738,0.08350953,0.04180572,0.00000000,1.46939650,0.00000000
-5.93396698,6.82898697,1.45059062,4.76100013,0.02732672,0.08560514,0.04281430,0.00000000,1.50280709,0.00000000
-5.92796398,6.83786563,1.48578343,4.71372883,0.02700969,0.08796277,0.04384799,0.00000000,1.53791331,0.00000000
-5.92196098,6.86548045,1.52491621,4.68221458,0.02678343,0.09056554,0.04490624,0.00000000,1.57478176,0.00000000
-5.91595798,6.91187438,1.56795201,4.66644930,0.02665307,0.09339279,0.04598825,0.00000000,1.61343386,0.00000000
-5.90995498,6.97663419,1.61476037,4.66604804,0.02662166,0.09642040,0.04709284,0.00000000,1.65383714,0.00000000
