energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.90528375,1.07754692,0.35525287,0.00527457,0.53144485,0.03741593,1.24457350,0.74925691,0.74466343
-5.99399700,2.82696756,1.04137310,0.34133566,0.00517711,0.51872444,0.03667660,1.20999501,0.72662491,0.72692322
-5.98799400,2.74012544,1.00293209,0.32675985,0.00505921,0.50362471,0.03585196,1.17266835,0.70149420,0.70642855
-5.98199100,2.64591369,0.96263091,0.31169503,0.00492209,0.48644582,0.03495123,1.13297615,0.67419518,0.68353170
-5.97598799,2.54552816,0.92086920,0.29630027,0.00476717,0.46752009,0.03398278,1.09129184,0.64509232,0.65860896
-5.96998499,2.44017814,0.87803284,0.28072210,0.00459603,0.44720204,0.03295407,1.04797480,0.61457628,0.63204990
-5.96398199,2.33106442,0.83448957,0.26509328,0.00441045,0.42585849,0.03187176,1.00336786,0.58305617,0.60424751
-5.95797899,2.21936169,0.79058650,0.24953237,0.00421234,0.40385948,0.03074179,0.95779663,0.55095242,0.57558956
-5.95197599,2.10620531,0.74664913,0.23414400,0.00400373,0.38157005,0.02956959,0.91157049,0.51869010,0.54645139
-5.94597299,1.99268212,0.70298177,0.21901964,0.00378677,0.35934330,0.02836026,0.86498462,0.48669306,0.51719027
-5.93996998,1.87982495,0.65986878,0.20423872,0.00356371,0.33751473,0.02711883,0.81832278,0.45537871,0.48814126
-5.93396698,1.76861012,0.61757652,0.18986999,0.00333683,0.31639810,0.02585043,0.77186029,0.42515370,0.45961469
-5.92796398,1.65995716,0.57635548,0.17597301,0.00310843,0.29628260,0.02456049,0.72586682,0.39641025,0.43189490
-5.92196098,1.55473032,0.53644244,0.16259949,0.00288080,0.27743131,0.02325490,0.68060872,0.36952329,0.40524014
-5.91595798,1.45374085,0.49806245,0.14979462,0.00265620,0.26008082,0.02194011,0.63635060,0.34484831,0.37988340
-5.90995498,1.35774973,0.46143028,0.13759815,0.00243681,0.24444184,0.02062314,0.59335599,0.32271976,0.35603389
-5.90395198,1.26747022,0.42675148,0.12604530,0.00222470,0.23070045,0.01931162,0.55188709,0.30345016,0.33387884
