energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.29927197,0.10144449,0.00029056,0.03295512,0.83448099,0.83996703,0.27716774
-5.99399700,1.27636288,0.10098784,0.00029286,0.03309257,0.81986517,0.81034751,0.27817615
-5.98799400,1.25889753,0.10067067,0.00029911,0.03321211,0.80897890,0.78573828,0.28004796
-5.98199100,1.24744193,0.10049178,0.00030968,0.03330463,0.80221726,0.76678629,0.28283022
-5.97598799,1.24243479,0.10044193,0.00032491,0.03336032,0.79989221,0.75401244,0.28655510
-5.96998499,1.24418264,0.10050474,0.00034509,0.03336927,0.80222847,0.74780245,0.29123991
-5.96398199,1.25285825,0.10065798,0.00037047,0.03332192,0.80936163,0.74840130,0.29688746
-5.95797899,1.26850198,0.10087496,0.00040123,0.03320965,0.82133800,0.75591129,0.30348640
-5.95197599,1.29102531,0.10112620,0.00043749,0.03302523,0.83811595,0.77029308,0.31101157
-5.94597299,1.32021603,0.10138112,0.00047926,0.03276326,0.85956836,0.79136968,0.31942417
-5.93996998,1.35574475,0.10160964,0.00052649,0.03242051,0.88548600,0.81883286,0.32867180
-5.93396698,1.39717224,0.10178371,0.00057900,0.03199611,0.91558157,0.85225173,0.33868841
-5.92796398,1.44395757,0.10187871,0.00063650,0.03149167,0.94949451,0.89108316,0.34939402
-5.92196098,1.49546691,0.10187451,0.00069861,0.03091129,0.98679632,0.93468384,0.36069461
-5.91595798,1.55098321,0.10175632,0.00076482,0.03026138,1.02699675,0.98232364,0.37248210
-5.90995498,1.60971672,0.10151523,0.00083452,0.02955045,1.06955079,1.03320017,0.38463464
-5.90395198,1.67081678,0.10114846,0.00090699,0.02878880,1.11386672,1.08645427,0.39701741
-5.89794897,1.73338486,0.10065925,0.00098143,0.02798812,1.15931521,1.14118628,0.40948399
-5.89194597,1.79648906,0.10005654,0.00105694,0.02716112,1.20523961,1.19647277,0.42187843
-5.88594297,1.85917999,0.09935434,0.00113258,0.02632103,1.25096738,1.25138369,0.43403803
-5.87993997,1.92050791,0.09857092,0.00120735,0.02548125,1.29582244,1.30499932,0.44579688
-5.87393697,1.97954078,0.09772786,0.00128025,0.02465493,1.33913836,1.35642709,0.45698994
-5.86793397,2.03538284,0.09684884,0.00135026,0.02385460,1.38027181,1.40481758,0.46745762
-5.86193097,2.08719297,0.09595857,0.00141642,0.02309189,1.41861600,1.44937956,0.47705057
-5.85592796,2.13420235,0.09508148,0.00147780,0.02237730,1.45361361,1.48939357,0.48563444
-5.84992496,2.17573056,0.09424059,0.00153355,0.02171997,1.48476855,1.52422387,0.49309438
-5.84392196,2.21119945,0.09345640,0.00158293,0.02112759,1.51165623,1.55332817,0.49933893
-5.83791896,2.24014430,0.09274587,0.00162531,0.02060627,1.53393177,1.57626532,0.50430306
-5.83191596,2.26222159,0.09212163,0.00166019,0.02016051,1.55133586,1.59270037,0.50795024
-5.82591296,2.27721329,0.09159129,0.00168720,0.01979317,1.56369809,1.60240726,0.51027326
-5.81990995,2.28502744,0.09115707,0.00170614,0.01950546,1.57093766,1.60526899,0.51129388
-5.81390695,2.28569525,0.09081555,0.00171694,0.01929697,1.57306149,1.60127552,0.51106118
-5.80790395,2.27936497,0.09055783,0.00171967,0.01916565,1.57016013,1.59051945,0.50964888
-5.80190095,2.26629314,0.09036979,0.00171456,0.01910791,1.56240165,1.57318993,0.50715171
-5.79589795,2.24683387,0.09023267,0.00170196,0.01911860,1.55002418,1.54956497,0.50368112
-5.78989495,2.22142679,0.09012388,0.00168236,0.01919113,1.53332735,1.52000265,0.49936064
-5.78389195,2.19058458,0.09001802,0.00165632,0.01931753,1.51266349,1.48493151,0.49432116
-5.77788894,2.15488075,0.08988800,0.00162453,0.01948858,1.48842886,1.44484045,0.48869651
-5.77188594,2.11493815,0.08970636,0.00158774,0.01969395,1.46105541,1.40026856,0.48261956
-5.76588294,2.07141893,0.08944661,0.00154678,0.01992241,1.43100345,1.35179506,0.47621915
-5.75987994,2.02501595,0.08908458,0.00150252,0.02016208,1.39875545,1.30002956,0.46961789
-5.75387694,1.97644590,0.08859973,0.00145586,0.02040066,1.36481088,1.24560292,0.46293100
-5.74787394,1.92644385,0.08797634,0.00140775,0.02062578,1.32968225,1.18915857,0.45626619
-5.74187094,1.87575900,0.08720450,0.00135913,0.02082533,1.29389187,1.13134455,0.44972432
-5.73586793,1.82515104,0.08628097,0.00131097,0.02098783,1.25796924,1.07280613,0.44340091
-5.72986493,1.77538664,0.08520961,0.00126419,0.02110276,1.22244859,1.01417898,0.43738796
-5.72386193,1.72723532,0.08400167,0.00121972,0.02116094,1.18786606,0.95608282,0.43177610
-5.71785893,1.68146425,0.08267566,0.00117845,0.02115481,1.15475629,0.89911550,0.42665653
-5.71185593,1.63883127,0.08125690,0.00114122,0.02107872,1.12364795,0.84384739,0.42212257
-5.70585293,1.60007592,0.07977678,0.00110883,0.02092914,1.09505786,0.79081604,0.41827053
-5.69984992,1.56590820,0.07827168,0.00108197,0.02070476,1.06948380,0.74052109,0.41519972
-5.69384692,1.53699510,0.07678163,0.00106128,0.02040656,1.04739574,0.69341937,0.41301148
-5.68784392,1.51394515,0.07534881,0.00104729,0.02003775,1.02922583,0.64992029,0.41180708
-5.68184092,1.49729156,0.07401584,0.00104041,0.01960367,1.01535733,0.61038150,0.41168468
