energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,1.85838259,0.23059997,0.00000000,1.21773009,0.24690025,0.25652962,0.61275860
-5.99399700,1.89752475,0.23190082,0.00000000,1.20193449,0.25546473,0.26968900,0.62722533
-5.98799400,1.93110558,0.23248239,0.00000000,1.18195014,0.26336751,0.28204014,0.64038194
-5.98199100,1.95833530,0.23228055,0.00000000,1.15777601,0.27045604,0.29340035,0.65189872
-5.97598799,1.97852248,0.23124814,0.00000000,1.12952188,0.27658694,0.30359262,0.66147103
-5.96998499,1.99108744,0.22935546,0.00000000,1.09739963,0.28162938,0.31244999,0.66882547
-5.96398199,1.99557307,0.22659037,0.00000000,1.06171108,0.28546822,0.31982008,0.67372531
-5.95797899,1.99165332,0.22295792,0.00000000,1.02283335,0.28800689,0.32556941,0.67597536
-5.95197599,1.97913914,0.21847961,0.00000000,0.98120265,0.28917003,0.32958749,0.67542595
-5.94597299,1.95798206,0.21319234,0.00000000,0.93729750,0.28890553,0.33179034,0.67197621
-5.93996998,1.92827510,0.20714714,0.00000000,0.89162228,0.28718615,0.33212352,0.66557639
-5.93396698,1.89025128,0.20040771,0.00000000,0.84469182,0.28401059,0.33056430,0.65622925
-5.92796398,1.84427946,0.19304890,0.00000000,0.79701766,0.27940382,0.32712296,0.64399049
-5.92196098,1.79085773,0.18515505,0.00000000,0.74909647,0.27341682,0.32184315,0.62896802
-5.91595798,1.73060421,0.17681832,0.00000000,0.70140078,0.26612561,0.31480123,0.61132019
-5.90995498,1.66424553,0.16813704,0.00000000,0.65437215,0.25762963,0.30610465,0.59125293
-5.90395198,1.59260304,0.15921403,0.00000000,0.60841682,0.24804942,0.29588934,0.56901579
-5.89794897,1.51657710,0.15015497,0.00000000,0.56390336,0.23752392,0.28431634,0.54489703
-5.89194597,1.43712977,0.14106679,0.00000000,0.52116234,0.22620708,0.27156759,0.51921777
-5.88594297,1.35526635,0.13205614,0.00000000,0.48048743,0.21426433,0.25784134,0.49232550
-5.87993997,1.27201612,0.12322786,0.00000000,0.44213757,0.20186869,0.24334706,0.46458698
-5.87393697,1.18841302,0.11468354,0.00000000,0.40633986,0.18919684,0.22830028,0.43638086
-5.86793397,1.10547653,0.10652017,0.00000000,0.37329276,0.17642525,0.21291740,0.40809014
-5.86193097,1.02419349,0.09882875,0.00000000,0.34316918,0.16372642,0.19741081,0.38009479
-5.85592796,0.94550123,0.09169315,0.00000000,0.31611923,0.15126547,0.18198431,0.35276466
-5.84992496,0.87027233,0.08518885,0.00000000,0.29227244,0.13919704,0.16682913,0.32645284
-5.84392196,0.79930154,0.07938193,0.00000000,0.27173918,0.12766268,0.15212060,0.30148979
-5.83791896,0.73329478,0.07432805,0.00000000,0.25461127,0.11678872,0.13801546,0.27817811
-5.83191596,0.67286062,0.07007161,0.00000000,0.24096170,0.10668464,0.12464999,0.25678821
-5.82591296,0.61850399,0.06664492,0.00000000,0.23084357,0.09744197,0.11213884,0.23755482
-5.81990995,0.57062226,0.06406764,0.00000000,0.22428822,0.08913368,0.10057454,0.22067431
-5.81390695,0.52950333,0.06234624,0.00000000,0.22130281,0.08181398,0.09002767,0.20630290
-5.80790395,0.49532566,0.06147367,0.00000000,0.22186743,0.07551858,0.08054753,0.19455548
-5.80190095,0.46815994,0.06142928,0.00000000,0.22593202,0.07026519,0.07216325,0.18550518
-5.79589795,0.44797216,0.06217888,0.00000000,0.23341330,0.06605441,0.06488525,0.17918342
-5.78989495,0.43462790,0.06367511,0.00000000,0.24419189,0.06287066,0.05870679,0.17558053
-5.78389195,0.42789761,0.06585804,0.00000000,0.25811009,0.06068346,0.05360582,0.17464666
-5.77788894,0.42746271,0.06865616,0.00000000,0.27497024,0.05944863,0.04954663,0.17629323
-5.77188594,0.43292252,0.07198760,0.00000000,0.29453421,0.05910967,0.04648160,0.18039452
-5.76588294,0.44380191,0.07576172,0.00000000,0.31652403,0.05959920,0.04435281,0.18678982
