energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
3.56878439,0.71238081,0.41940988,0.00000531,0.85966281,0.29416147,0.03770611,0.20304488
3.57478739,0.72326086,0.39664634,0.00000602,0.88676493,0.30776885,0.03656952,0.20731742
3.58079040,0.74346060,0.37545173,0.00000686,0.92519965,0.32661572,0.03592414,0.21336008
3.58679340,0.77324482,0.35611250,0.00000783,0.97528522,0.35073743,0.03578020,0.22128764
3.59279640,0.81278331,0.33887279,0.00000894,1.03720414,0.38012550,0.03614396,0.23117414
3.59879940,0.86213277,0.32392769,0.00001019,1.11097985,0.41471901,0.03701688,0.24304698
3.60480240,0.92122098,0.31141834,0.00001159,1.19645711,0.45439656,0.03839471,0.25688224
3.61080540,0.98983427,0.30142928,0.00001314,1.29328728,0.49896953,0.04026667,0.27260162
3.61680840,1.06760929,0.29398788,0.00001484,1.40092013,0.54817709,0.04261470,0.29007120
3.62281141,1.15403009,0.28906600,0.00001670,1.51860286,0.60168377,0.04541291,0.30910209
3.62881441,1.24843090,0.28658367,0.00001872,1.64538712,0.65907965,0.04862722,0.32945325
3.63481741,1.35000501,0.28641461,0.00002089,1.78014430,0.71988386,0.05221533,0.35083630
3.64082041,1.45781968,0.28839316,0.00002323,1.92158873,0.78355104,0.05612690,0.37292234
3.64682341,1.57083668,0.29232245,0.00002572,2.06830829,0.84948111,0.06030414,0.39535056
3.65282641,1.68793775,0.29798328,0.00002837,2.21880106,0.91703167,0.06468270,0.41773840
3.65882941,1.80795382,0.30514320,0.00003118,2.37151669,0.98553276,0.06919289,0.43969281
3.66483242,1.92969678,0.31356559,0.00003415,2.52490029,1.05430336,0.07376117,0.46082222
3.67083542,2.05199212,0.32301803,0.00003728,2.67743683,1.12266861,0.07831193,0.48074876
3.67683842,2.17371080,0.33327983,0.00004057,2.82769378,1.18997716,0.08276939,0.49912013
3.68284142,2.29379869,0.34414822,0.00004403,2.97435949,1.25561742,0.08705969,0.51562064
3.68884442,2.41130192,0.35544301,0.00004765,3.11627548,1.31903218,0.09111291,0.52998091
3.69484742,2.52538674,0.36700964,0.00005144,3.25246052,1.37973035,0.09486509,0.54198578
3.70085043,2.63535280,0.37872036,0.00005540,3.38212546,1.43729562,0.09826007,0.55148003
3.70685343,2.74063918,0.39047382,0.00005953,3.50467784,1.49139121,0.10125105,0.55837175
3.71285643,2.84082291,0.40219289,0.00006382,3.61971617,1.54176069,0.10380183,0.56263310
3.71885943,2.93561014,0.41382131,0.00006827,3.72701448,1.58822485,0.10588775,0.56429856
3.72486243,3.02482091,0.42531912,0.00007288,3.82649819,1.63067493,0.10749607,0.56346071
3.73086543,3.10836838,0.43665744,0.00007763,3.91821325,1.66906273,0.10862600,0.56026392
3.73686843,3.18623444,0.44781291,0.00008250,4.00229049,1.70338840,0.10928824,0.55489614
3.74287144,3.25844311,0.45876221,0.00008747,4.07890802,1.73368685,0.10950412,0.54757946
3.74887444,3.32503393,0.46947710,0.00009252,4.14825404,1.76001367,0.10930437,0.53855978
3.75487744,3.38603719,0.47992017,0.00009762,4.21049284,1.78243177,0.10872755,0.52809620
3.76088044,3.44145260,0.49004176,0.00010272,4.26573621,1.80099953,0.10781833,0.51645070
3.76688344,3.49123308,0.49977811,0.00010779,4.31402219,1.81576133,0.10662553,0.50387853
3.77288644,3.53527455,0.50905092,0.00011278,4.35530245,1.82674124,0.10520017,0.49061978
3.77888944,3.57341234,0.51776821,0.00011764,4.38943888,1.83393998,0.10359360,0.47689248
3.78489245,3.60542439,0.52582652,0.00012233,4.41620950,1.83733547,0.10185564,0.46288742
3.79089545,3.63104056,0.53311409,0.00012679,4.43532272,1.83688673,0.10003303,0.44876477
3.79689845,3.64995738,0.53951488,0.00013098,4.44643876,1.83254073,0.09816803,0.43465266
3.80290145,3.66185680,0.54491307,0.00013484,4.44919621,1.82424148,0.09629735,0.42064735
3.80890445,3.66642732,0.54919771,0.00013834,4.44324175,1.81194065,0.09445140,0.40681503
3.81490745,3.66338610,0.55226717,0.00014143,4.42826039,1.79560871,0.09265377,0.39319483
3.82091046,3.65249990,0.55403314,0.00014408,4.40400418,1.77524577,0.09092114,0.37980282
3.82691346,3.63360380,0.55442388,0.00014626,4.37031718,1.75089112,0.08926330,0.36663655
3.83291646,3.60661603,0.55338659,0.00014794,4.32715491,1.72263080,0.08768355,0.35367991
3.83891946,3.57154818,0.55088873,0.00014911,4.27459726,1.69060265,0.08617922,0.34090793
3.84492246,3.52851024,0.54691844,0.00014976,4.21285391,1.65499826,0.08474238,0.32829129
3.85092546,3.47771029,0.54148386,0.00014988,4.14226251,1.61606199,0.08336064,0.31580023
3.85692846,3.41944930,0.53461180,0.00014948,4.06327984,1.57408686,0.08201805,0.30340791
3.86293147,3.35411159,0.52634563,0.00014855,3.97646713,1.52940779,0.08069604,0.29109293
3.86893447,3.28215200,0.51674290,0.00014711,3.88247074,1.48239272,0.07937432,0.27884108
3.87493747,3.20408083,0.50587265,0.00014517,3.78199998,1.43343201,0.07803180,0.26664643
3.88094047,3.12044792,0.49381288,0.00014276,3.67580369,1.38292707,0.07664745,0.25451162
3.88694347,3.03182685,0.48064809,0.00013988,3.56464720,1.33127891,0.07520110,0.24244771
3.89294647,2.93880050,0.46646734,0.00013657,3.44929144,1.27887714,0.07367414,0.23047359
3.89894947,2.84194880,0.45136267,0.00013285,3.33047503,1.22609027,0.07205017,0.21861504
3.90495248,2.74183913,0.43542798,0.00012875,3.20890068,1.17325770,0.07031552,0.20690370
3.91095548,2.63901996,0.41875851,0.00012431,3.08522605,1.12068371,0.06845965,0.19537596
3.91695848,2.53401750,0.40145058,0.00011955,2.96005942,1.06863381,0.06647553,0.18407190
3.92296148,2.42733526,0.38360170,0.00011452,2.83395975,1.01733334,0.06435980,0.17303439
3.92896448,2.31945613,0.36531080,0.00010926,2.70744064,0.96696822,0.06211287,0.16230834
3.93496748,2.21084619,0.34667857,0.00010380,2.58097740,0.91768772,0.05973890,0.15194012
3.94097049,2.10195982,0.32780761,0.00009819,2.45501619,0.86960875,0.05724571,0.14197721
3.94697349,1.99324505,0.30880244,0.00009249,2.32998422,0.82282141,0.05464447,0.13246795
3.95297649,1.88514875,0.28976917,0.00008673,2.20630007,0.77739517,0.05194944,0.12346150
3.95897949,1.77812085,0.27081486,0.00008097,2.08438301,0.73338539,0.04917752,0.11500779
3.96498249,1.67261715,0.25204652,0.00007525,1.96466069,0.69083957,0.04634777,0.10715753
3.97098549,1.56910041,0.23356986,0.00006964,1.84757455,0.64980310,0.04348086,0.09996217
3.97698849,1.46803944,0.21548765,0.00006417,1.73358240,0.61032408,0.04059853,0.09347377
3.98299150,1.36990623,0.19789806,0.00005889,1.62315818,0.57245696,0.03772296,0.08774471
3.98899450,1.27517112,0.18089285,0.00005385,1.51678862,0.53626489,0.03487621,0.08282719
3.99499750,1.18429637,0.16455556,0.00004909,1.41496725,0.50182069,0.03207965,0.07877253
4.00100050,1.09772830,0.14896001,0.00004464,1.31818578,0.46920632,0.02935347,0.07563019
4.00700350,1.01588844,0.13416883,0.00004052,1.22692355,0.43851118,0.02671621,0.07344651
4.01300650,0.93916412,0.12023248,0.00003678,1.14163531,0.40982915,0.02418438,0.07226324
4.01900950,0.86789887,0.10718857,0.00003341,1.06273810,0.38325462,0.02177220,0.07211581
4.02501251,0.80238309,0.09506152,0.00003045,0.99059770,0.35887789,0.01949134,0.07303135
4.03101551,0.74284541,0.08386280,0.00002788,0.92551535,0.33678005,0.01735084,0.07502667
4.03701851,0.68944506,0.07359133,0.00002572,0.86771524,0.31702768,0.01535707,0.07810612
4.04302151,0.64226557,0.06423445,0.00002395,0.81733336,0.29966771,0.01351379,0.08225949
4.04902451,0.60131022,0.05576898,0.00002256,0.77440836,0.28472271,0.01182225,0.08746009
4.05502751,0.56649928,0.04816268,0.00002154,0.73887465,0.27218680,0.01028142,0.09366309
4.06103052,0.53766936,0.04137576,0.00002087,0.71055838,0.26202257,0.00888818,0.10080420
4.06703352,0.51457501,0.03536251,0.00002051,0.68917644,0.25415914,0.00763763,0.10879898
4.07303652,0.49689257,0.03007299,0.00002045,0.67433890,0.24849145,0.00652335,0.11754266
4.07903952,0.48422638,0.02545464,0.00002063,0.66555483,0.24488102,0.00553772,0.12691080
4.08504252,0.47611720,0.02145382,0.00002104,0.66224160,0.24315821,0.00467225,0.13676064
4.09104552,0.47205277,0.01801725,0.00002163,0.66373761,0.24312580,0.00391783,0.14693340
4.09704852,0.47148031,0.01509332,0.00002237,0.66931803,0.24456402,0.00326502,0.15725734
4.10305153,0.47382057,0.01263318,0.00002321,0.67821325,0.24723677,0.00270430,0.16755164
4.10905453,0.47848320,0.01059173,0.00002413,0.68962948,0.25089882,0.00222629,0.17763094
4.11505753,0.48488279,0.00892842,0.00002508,0.70277084,0.25530368,0.00182192,0.18731047
4.12106053,0.49245532,0.00760791,0.00002603,0.71686211,0.26021197,0.00148261,0.19641153
4.12706353,0.50067410,0.00660055,0.00002696,0.73117133,0.26539973,0.00120038,0.20476710
4.13306653,0.50906497,0.00588281,0.00002783,0.74503130,0.27066650,0.00096795,0.21222739
4.13906953,0.51721988,0.00543750,0.00002862,0.75785916,0.27584258,0.00077880,0.21866501
4.14507254,0.52480838,0.00525397,0.00002932,0.76917303,0.28079534,0.00062725,0.22397956
4.15107554,0.53158656,0.00532816,0.00002992,0.77860509,0.28543411,0.00050853,0.22810141
4.15707854,0.53740287,0.00566260,0.00003040,0.78591041,0.28971332,0.00041875,0.23099439
4.16308154,0.54220067,0.00626628,0.00003076,0.79097103,0.29363398,0.00035499,0.23265732
4.16908454,0.54601720,0.00715454,0.00003101,0.79379508,0.29724296,0.00031537,0.23312430
4.17508754,0.54897905,0.00834870,0.00003116,0.79451101,0.30063048,0.00029903,0.23246358
4.18109055,0.55129420,0.00987580,0.00003120,0.79335693,0.30392553,0.00030629,0.23077526
4.18709355,0.55324104,0.01176807,0.00003117,0.79066590,0.30728961,0.00033869,0.22818770
4.19309655,0.55515472,0.01406245,0.00003108,0.78684743,0.31090899,0.00039915,0.22485300
4.19909955,0.55741153,0.01679989,0.00003095,0.78236649,0.31498577,0.00049207,0.22094161
4.20510255,0.56041190,0.02002468,0.00003080,0.77772074,0.31972825,0.00062354,0.21663649
4.21110555,0.56456299,0.02378359,0.00003065,0.77341726,0.32534101,0.00080152,0.21212691
4.21710855,0.57026141,0.02812502,0.00003052,0.76994995,0.33201515,0.00103605,0.20760242
4.22311156,0.57787711,0.03309807,0.00003044,0.76777857,0.33991925,0.00133948,0.20324705
4.22911456,0.58773907,0.03875160,0.00003043,0.76731057,0.34919139,0.00172665,0.19923418
4.23511756,0.60012345,0.04513329,0.00003050,0.76888662,0.35993275,0.00221517,0.19572221
4.24112056,0.61524478,0.05228873,0.00003068,0.77277031,0.37220297,0.00282555,0.19285123
4.24712356,0.63325044,0.06026058,0.00003097,0.77914271,0.38601767,0.00358130,0.19074080
4.25312656,0.65421878,0.06908780,0.00003139,0.78810178,0.40134808,0.00450907,0.18948885
4.25912956,0.67816072,0.07880497,0.00003195,0.79966664,0.41812299,0.00563852,0.18917173
4.26513257,0.70502470,0.08944177,0.00003267,0.81378631,0.43623272,0.00700222,0.18984526
4.27113557,0.73470462,0.10102249,0.00003354,0.83035225,0.45553507,0.00863528,0.19154672
4.27713857,0.76705014,0.11356570,0.00003460,0.84921409,0.47586278,0.01057493,0.19429738
4.28314157,0.80187872,0.12708395,0.00003583,0.87019729,0.49703225,0.01285982,0.19810563
4.28914457,0.83898861,0.14158354,0.00003726,0.89312192,0.51885290,0.01552917,0.20297020
4.29514757,0.87817195,0.15706425,0.00003891,0.91782125,0.54113669,0.01862168,0.20888338
4.30115058,0.91922716,0.17351916,0.00004077,0.94415915,0.56370745,0.02217425,0.21583388
4.30715358,0.96196983,0.19093425,0.00004288,0.97204516,0.58640916,0.02622059,0.22380927
4.31315658,1.00624152,0.20928805,0.00004525,1.00144645,0.60911305,0.03078956,0.23279766
4.31915958,1.05191572,0.22855120,0.00004790,1.03239592,0.63172297,0.03590346,0.24278868
4.32516258,1.09890094,0.24868592,0.00005084,1.06499593,0.65417874,0.04157633,0.25377358
4.33116558,1.14714043,0.26964545,0.00005409,1.09941752,0.67645732,0.04781215,0.26574455
4.33716858,1.19660896,0.29137363,0.00005767,1.13589511,0.69857182,0.05460326,0.27869327
4.34317159,1.24730659,0.31380455,0.00006159,1.17471709,0.72056833,0.06192892,0.29260891
4.34917459,1.29925028,0.33686244,0.00006586,1.21621268,0.74252089,0.06975414,0.30747569
