energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.34717633,0.00983922,0.05273899,0.01682805,0.45945727,1.05978031,0.23817432
-5.99399700,1.39703143,0.00983524,0.05563375,0.01750802,0.47527140,1.09293464,0.24771854
-5.98799400,1.44301342,0.00986212,0.05841171,0.01837865,0.48920415,1.12143432,0.25703479
-5.98199100,1.48456657,0.00992085,0.06104488,0.01941165,0.50110485,1.14496387,0.26599428
-5.97598799,1.52126012,0.01001526,0.06350805,0.02057792,0.51086962,1.16332994,0.27448747
-5.96998499,1.55279580,0.01015210,0.06577951,0.02184784,0.51844302,1.17646595,0.28242566
-5.96398199,1.57901154,0.01034098,0.06784182,0.02319151,0.52381817,1.18443264,0.28974206
-5.95797899,1.59988135,0.01059429,0.06968238,0.02457904,0.52703553,1.18741439,0.29639236
-5.95197599,1.61551148,0.01092686,0.07129395,0.02598094,0.52818023,1.18571162,0.30235473
-5.94597299,1.62613322,0.01135560,0.07267504,0.02736855,0.52737834,1.17972956,0.30762933
-5.93996998,1.63209254,0.01189901,0.07383007,0.02871450,0.52479211,1.16996388,0.31223731
-5.93396698,1.63383703,0.01257651,0.07476941,0.02999323,0.52061446,1.15698369,0.31621934
-5.92796398,1.63190055,0.01340777,0.07550917,0.03118154,0.51506288,1.14141270,0.31963365
-5.92196098,1.62688608,0.01441192,0.07607083,0.03225908,0.50837313,1.12390898,0.32255365
-5.91595798,1.61944713,0.01560663,0.07648058,0.03320884,0.50079270,1.10514429,0.32506517
-5.90995498,1.61026834,0.01700728,0.07676847,0.03401761,0.49257448,1.08578337,0.32726333
-5.90395198,1.60004564,0.01862600,0.07696746,0.03467628,0.48397068,1.06646416,0.32924912
-5.89794897,1.58946643,0.02047078,0.07711217,0.03518010,0.47522705,1.04777918,0.33112579
-5.89194597,1.57919030,0.02254464,0.07723760,0.03552880,0.46657779,1.03025895,0.33299507
-5.88594297,1.56983080,0.02484490,0.07737774,0.03572650,0.45824086,1.01435769,0.33495342
-5.87993997,1.56193863,0.02736251,0.07756418,0.03578160,0.45041413,1.00044172,0.33708832
-5.87393697,1.55598670,0.03008167,0.07782478,0.03570644,0.44327204,0.98878095,0.33947486
-5.86793397,1.55235766,0.03297954,0.07818238,0.03551687,0.43696307,0.97954353,0.34217260
-5.86193097,1.55133402,0.03602627,0.07865377,0.03523171,0.43160789,0.97279391,0.34522306
