energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,34.01306122,0.01919489,0.48184740,0.24597728,0.07496775,1.14418717,0.66072443,32.86610455
-5.99399700,33.93466718,0.01960094,0.45830487,0.24329665,0.07388467,1.14042619,0.65121173,32.79640428
-5.98799400,33.90232189,0.02003938,0.43630794,0.24082760,0.07301209,1.13727382,0.64234832,32.77092399
-5.98199100,33.91894730,0.02050729,0.41576427,0.23854762,0.07237014,1.13470692,0.63424074,32.79267567
-5.97598799,33.98668222,0.02100073,0.39656909,0.23642610,0.07197663,1.13269287,0.62697309,32.86391467
-5.96998499,34.10678515,0.02151499,0.37861070,0.23442604,0.07184692,1.13119190,0.62060673,32.98603420
-5.96398199,34.27953700,0.02204470,0.36177545,0.23250599,0.07199365,1.13015890,0.61518051,33.15945971
-5.95797899,34.50414789,0.02258414,0.34595230,0.23062203,0.07242661,1.12954455,0.61071153,33.38354823
-5.95197599,34.77867329,0.02312743,0.33103664,0.22872957,0.07315243,1.12929563,0.60719606,33.65649806
-5.94597299,35.09994548,0.02366875,0.31693331,0.22678524,0.07417431,1.12935456,0.60461089,33.97527540
-5.93996998,35.46352655,0.02420258,0.30355883,0.22474841,0.07549164,1.12965833,0.60291466,34.33556406
-5.93396698,35.86368951,0.02472385,0.29084271,0.22258257,0.07709970,1.13013678,0.60204940,34.73174515
-5.92796398,36.29343350,0.02522809,0.27872793,0.22025645,0.07898922,1.13071058,0.60194207,35.15691259
-5.92196098,36.74453872,0.02571160,0.26717069,0.21774474,0.08114609,1.13128909,0.60250614,35.60292979
-5.91595798,37.20766513,0.02617147,0.25613940,0.21502865,0.08355103,1.13176838,0.60364316,36.06053141
-5.90995498,37.67249768,0.02660560,0.24561320,0.21209603,0.08617942,1.13202974,0.60524442,36.51947240
-5.90395198,38.12793860,0.02701277,0.23557999,0.20894132,0.08900124,1.13193882,0.60719264,36.96872457
-5.89794897,38.56234511,0.02739251,0.22603421,0.20556520,0.09198116,1.13134585,0.60936377,37.39671846
-5.89194597,38.96380851,0.02774505,0.21697455,0.20197403,0.09507893,1.13008684,0.61162892,37.79162603
-5.88594297,39.32046791,0.02807124,0.20840165,0.19817911,0.09824988,1.12798610,0.61385638,38.14167710
-5.87993997,39.62084983,0.02837237,0.20031597,0.19419592,0.10144574,1.12485993,0.61591384,38.43550028
-5.87393697,39.85422261,0.02865008,0.19271587,0.19004312,0.10461570,1.12052151,0.61767064,38.66247733
-5.86793397,40.01095324,0.02890618,0.18559619,0.18574168,0.10770767,1.11478673,0.61900018,38.81309814
-5.86193097,40.08285294,0.02914254,0.17894704,0.18131398,0.11066978,1.10748079,0.61978231,38.87930293
-5.85592796,40.06349776,0.02936092,0.17275319,0.17678289,0.11345204,1.09844527,0.61990566,38.85479793
