energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.74310858,0.50150713,1.71206670,0.00878836,0.18596404,0.27895721,0.45283961,0.02090522,0.33326924
-5.99399700,2.68482044,0.48740393,1.67783264,0.00853097,0.17967949,0.27409330,0.44621595,0.02019106,0.32225794
-5.98799400,2.62034214,0.47240643,1.64020575,0.00827644,0.17286199,0.26828272,0.43789128,0.01940110,0.31083229
-5.98199100,2.55163049,0.45701489,1.60046885,0.00802490,0.16566281,0.26169620,0.42806468,0.01854936,0.29925166
-5.97598799,2.48076404,0.44174362,1.55998647,0.00777622,0.15823695,0.25451946,0.41696487,0.01765070,0.28777742
-5.96998499,2.40989285,0.42710851,1.52017129,0.00753016,0.15073902,0.24694832,0.40484513,0.01672050,0.27666745
-5.96398199,2.34118580,0.41361476,1.48244858,0.00728647,0.14331908,0.23918365,0.39197759,0.01577429,0.26617078
-5.95797899,2.27677680,0.40174512,1.44821976,0.00704506,0.13611883,0.23142628,0.37864695,0.01482737,0.25652257
-5.95197599,2.21871173,0.39194886,1.41882596,0.00680602,0.12926818,0.22387188,0.36514394,0.01389451,0.24793934
-5.94597299,2.16889716,0.38463176,1.39551277,0.00656977,0.12288223,0.21670619,0.35175862,0.01298964,0.24061480
-5.93996998,2.12905247,0.38014734,1.37939696,0.00633703,0.11705892,0.21010047,0.33877373,0.01212558,0.23471607
-5.93396698,2.10066638,0.37878933,1.37143618,0.00610885,0.11187716,0.20420751,0.32645819,0.01131381,0.23038051
-5.92796398,2.08495897,0.38078560,1.37240232,0.00588658,0.10739570,0.19915804,0.31506103,0.01056431,0.22771318
-5.92196098,2.08285013,0.38629359,1.38285921,0.00567181,0.10365253,0.19505784,0.30480584,0.00988542,0.22678485
-5.91595798,2.09493511,0.39539717,1.40314528,0.00546626,0.10066496,0.19198547,0.29588582,0.00928375,0.22763073
-5.90995498,2.12146786,0.40810504,1.43336155,0.00527174,0.09843026,0.18999073,0.28845976,0.00876414,0.23024984
