energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,7.66077813,2.26711044,3.70905286,0.01644772,0.35838754,0.24734923,0.07534822,0.04334485,3.81455812
-5.99399700,7.92095768,2.32343020,3.85773698,0.01719005,0.36369119,0.24739280,0.07907078,0.04371703,3.94898629
-5.98799400,8.17873436,2.37771439,4.00514200,0.01804723,0.36885450,0.24657957,0.08286003,0.04396734,4.08245442
-5.98199100,8.42976793,2.42904852,4.14885365,0.01904159,0.37364333,0.24493565,0.08664440,0.04409376,4.21284684
-5.97598799,8.66996295,2.47665118,4.28650909,0.02019738,0.37786006,0.24251331,0.09035488,0.04409886,4.33814434
-5.96998499,8.89555884,2.51988470,4.41585478,0.02153997,0.38134826,0.23938856,0.09392657,0.04398953,4.45646680
-5.96398199,9.10321570,2.55826370,4.53480465,0.02309497,0.38399589,0.23565805,0.09730041,0.04377669,4.56611519
-5.95797899,9.29009341,2.59146125,4.64149661,0.02488730,0.38573702,0.23143518,0.10042470,0.04347473,4.66561169
-5.95197599,9.45392068,2.61931265,4.73434497,0.02694011,0.38655210,0.22684593,0.10325659,0.04310098,4.75373616
-5.94597299,9.59305104,2.64181650,4.81208628,0.02927377,0.38646676,0.22202424,0.10576337,0.04267507,4.82955734
-5.93996998,9.70650243,2.65913274,4.87381638,0.03190481,0.38554931,0.21710751,0.10792347,0.04221817,4.89245688
-5.93396698,9.79397763,2.67157709,4.91901635,0.03484494,0.38390706,0.21223200,0.10972712,0.04175230,4.94214458
-5.92796398,9.85586320,2.67961180,4.94756586,0.03810015,0.38168156,0.20752866,0.11117668,0.04129959,4.97866314
-5.92196098,9.89320549,2.68383192,4.95974259,0.04166997,0.37904307,0.20311919,0.11228647,0.04088156,5.00238160
-5.91595798,9.90766312,2.68494723,4.95620718,0.04554690,0.37618432,0.19911275,0.11308217,0.04051846,5.01397664
-5.90995498,9.90143661,2.68375948,4.93797404,0.04971597,0.37331394,0.19560305,0.11359984,0.04022862,5.01440174
-5.90395198,9.87717689,2.68113535,4.90636879,0.05415460,0.37064968,0.19266619,0.11388434,0.04002793,5.00484498
-5.89794897,9.83787569,2.67797537,4.86297399,0.05883263,0.36841162,0.19035904,0.11398754,0.03992938,4.98667657
-5.89194597,9.78674166,2.67517979,4.80956544,0.06371263,0.36681566,0.18871824,0.11396606,0.03994265,4.96138823
-5.88594297,9.72706738,2.67361215,4.74804187,0.06875039,0.36606735,0.18775978,0.11387887,0.04007387,4.93052673
-5.87993997,9.66209256,2.67406211,4.68035107,0.07389566,0.36635630,0.18747916,0.11378461,0.04032540,4.89562463
-5.87393697,9.59486950,2.67720890,4.60841584,0.07909304,0.36785117,0.18785204,0.11373903,0.04069575,4.85813138
-5.86793397,9.52813677,2.68358699,4.53406309,0.08428304,0.37069548,0.18883530,0.11379237,0.04117961,4.81934796
-5.86193097,9.46420683,2.69355588,4.45895928,0.08940332,0.37500409,0.19036859,0.11398705,0.04176798,4.78036846
-5.85592796,9.40487270,2.70727534,4.38455486,0.09438990,0.38086057,0.19237617,0.11435553,0.04244832,4.74203133
-5.84992496,9.35133809,2.72468782,4.31204026,0.09917847,0.38831537,0.19476907,0.11491870,0.04320489,4.70488291
-5.84392196,9.30417404,2.74550919,4.24231478,0.10370577,0.39738476,0.19744757,0.11568465,0.04401911,4.66915510
-5.83791896,9.26330420,2.76922871,4.17596976,0.10791080,0.40805058,0.20030387,0.11664806,0.04487003,4.63475827
-5.83191596,9.22801931,2.79511868,4.11328602,0.11173605,0.42026074,0.20322495,0.11779009,0.04573485,4.60129003
-5.82591296,9.19702016,2.82225390,4.05424527,0.11512866,0.43393049,0.20609568,0.11907894,0.04658953,4.56805932
-5.81990995,9.16848706,2.84954047,3.99855454,0.11804141,0.44894432,0.20880193,0.12047089,0.04740940,4.53412470
-5.81390695,9.14017245,2.87575304,3.94568180,0.12043362,0.46515860,0.21123383,0.12191196,0.04816987,4.49834517
-5.80790395,9.10951263,2.89957912,3.89490083,0.12227189,0.48240482,0.21328904,0.12333998,0.04884714,4.45944081
-5.80190095,9.07375332,2.91966882,3.84534280,0.12353076,0.50049343,0.21487591,0.12468704,0.04941894,4.41606060
-5.79589795,9.03008368,2.93468786,3.79605214,0.12419318,0.51921823,0.21591662,0.12588224,0.04986518,4.36685405
-5.78989495,8.97577277,2.94337181,3.74604374,0.12425085,0.53836118,0.21634997,0.12685456,0.05016873,4.31054334
-5.78389195,8.90830263,2.94457894,3.69435920,0.12370447,0.55769768,0.21613404,0.12753582,0.05031597,4.24599261
-5.77788894,8.82549239,2.93733969,3.64011946,0.12256380,0.57700204,0.21524828,0.12786349,0.05029744,4.17227134
-5.77188594,8.72560831,2.92090030,3.58257188,0.12084767,0.59605316,0.21369524,0.12778334,0.05010826,4.08870894
-5.76588294,8.60745532,2.89475879,3.52112998,0.11858373,0.61464013,0.21150166,0.12725174,0.04974850,3.99493835
-5.75987994,8.47044651,2.85869166,3.45540444,0.11580824,0.63256777,0.20871893,0.12623757,0.04922343,3.89092671
-5.75387694,8.31464821,2.81277009,3.38522464,0.11256557,0.64966170,0.20542277,0.12472362,0.04854358,3.77699213
-5.74787394,8.14079912,2.75736499,3.31065022,0.10890763,0.66577298,0.20171225,0.12270750,0.04772465,3.65380606
-5.74187094,7.95030318,2.69314051,3.23197276,0.10489319,0.68078193,0.19770795,0.12020189,0.04678727,3.52238131
-5.73586793,7.74519697,2.62103652,3.14970793,0.10058702,0.69460118,0.19354934,0.11723432,0.04575654,3.38404663
-5.72986493,7.52809329,2.54224057,3.06457895,0.09605889,0.70717757,0.18939145,0.11384628,0.04466147,3.24040922
-5.72386193,7.30210370,2.45815078,2.97749237,0.09138251,0.71849295,0.18540088,0.11009196,0.04353420,3.09330685
-5.71785893,7.07074314,2.37033102,2.88950755,0.08663426,0.72856377,0.18175115,0.10603640,0.04240914,2.94475179
-5.71185593,6.83782079,2.28046033,2.80180109,0.08189195,0.73743935,0.17861774,0.10175339,0.04132196,2.79686905
-5.70585293,6.60732115,2.19027868,2.71562790,0.07723343,0.74519890,0.17617261,0.09732300,0.04030848,2.65183133
-5.69984992,6.38328016,2.10153114,2.63228029,0.07273515,0.75194738,0.17457878,0.09282902,0.03940362,2.51179326
-5.69384692,6.16966051,2.01591264,2.55304661,0.06847081,0.75781022,0.17398477,0.08835628,0.03864020,2.37882733
-5.68784392,5.97023060,1.93501538,2.47917083,0.06450993,0.76292728,0.17451933,0.08398799,0.03804789,2.25486374
-5.68184092,5.78845122,1.86028075,2.41181431,0.06091652,0.76744599,0.17628659,0.07980328,0.03765213,2.14163616
-5.67583792,5.62737331,1.79295745,2.35202076,0.05774782,0.77151417,0.17936166,0.07587488,0.03747331,2.04063492
-5.66983492,5.48955006,1.73406700,2.30068557,0.05505324,0.77527272,0.18378715,0.07226709,0.03752589,1.95306897
-5.66383192,5.37696559,1.68437778,2.25852988,0.05287330,0.77884849,0.18957039,0.06903413,0.03781792,1.87983741
-5.65782891,5.29098220,1.64438803,2.22608041,0.05123891,0.78234769,0.19668187,0.06621886,0.03835056,1.82151113
-5.65182591,5.23230712,1.61431830,2.20365496,0.05017075,0.78585011,0.20505462,0.06385188,0.03911798,1.77832456
-5.64582291,5.20097949,1.59411298,2.19135421,0.04967886,0.78940443,0.21458484,0.06195109,0.04010738,1.75017751
-5.63981991,5.19637719,1.58345074,2.18905953,0.04976252,0.79302494,0.22513376,0.06052162,0.04129929,1.73664632
-5.63381691,5.21724286,1.58176293,2.19643690,0.05041033,0.79668969,0.23653061,0.05955618,0.04266808,1.73700368
-5.62781391,5.26172790,1.58825914,2.21294660,0.05160052,0.80034043,0.24857672,0.05903576,0.04418265,1.75024619
-5.62181091,5.32745242,1.60195863,2.23785819,0.05330147,0.80388408,0.26105060,0.05893063,0.04580740,1.77512828
-5.61580790,5.41157910,1.62172643,2.27027039,0.05547252,0.80719600,0.27371390,0.05920166,0.04750317,1.81020144
-5.60980490,5.51089826,1.64631255,2.30913510,0.05806495,0.81012474,0.28631797,0.05980180,0.04922847,1.85385720
-5.60380190,5.62192123,1.67439298,2.35328484,0.06102303,0.81249809,0.29861090,0.06067777,0.05094072,1.90437259
-5.59779890,5.74097904,1.70461101,2.40146282,0.06428544,0.81413023,0.31034468,0.06177179,0.05259746,1.95995659
-5.59179590,5.86432319,1.73561748,2.45235470,0.06778656,0.81482966,0.32128230,0.06302346,0.05415764,2.01879627
-5.58579290,5.98822539,1.76610872,2.50462120,0.07145798,0.81440750,0.33120454,0.06437150,0.05558277,2.07910122
-5.57978989,6.10907321,1.79486103,2.55693047,0.07522999,0.81268573,0.33991607,0.06575554,0.05683804,2.13914520
-5.57378689,6.22345875,1.82076088,2.60798950,0.07903302,0.80950517,0.34725078,0.06711772,0.05789323,2.19730376
-5.56778389,6.32825791,1.84282988,2.65657357,0.08279905,0.80473268,0.35307600,0.06840421,0.05872349,2.25208714
-5.56178089,6.42069809,1.86024422,2.70155300,0.08646286,0.79826734,0.35729559,0.06956644,0.05930992,2.30216753
-5.55577789,6.49841256,1.87234816,2.74191647,0.08996317,0.79004528,0.35985166,0.07056220,0.05963994,2.34640029
-5.54977489,6.55948042,1.87866147,2.77679041,0.09324362,0.78004308,0.36072494,0.07135650,0.05970742,2.38383873
-5.54377189,6.60245160,1.87888109,2.80545391,0.09625346,0.76827951,0.35993383,0.07192207,0.05951262,2.41374254
-5.53776888,6.62635669,1.87287718,2.82734902,0.09894812,0.75481566,0.35753217,0.07223974,0.05906189,2.43557976
-5.53176588,6.63070216,1.86068414,2.84208610,0.10128955,0.73975339,0.35360586,0.07229847,0.05836723,2.44902288
