energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.90671708,0.41083955,0.00000000,0.02129960,0.47553658,1.91281284,1.70635318,0.01936798,1.55115486
-5.99399700,3.89577415,0.40477434,0.00000000,0.02068058,0.48181965,1.89890362,1.70787628,0.01935413,1.53308898
-5.98799400,3.87238206,0.39718780,0.00000000,0.01994393,0.48493520,1.87642460,1.70540720,0.01921969,1.51260875
-5.98199100,3.83689118,0.38819109,0.00000000,0.01910376,0.48484670,1.84573652,1.69896321,0.01896742,1.48999660
-5.97598799,3.78977400,0.37791329,0.00000000,0.01817572,0.48158839,1.80733729,1.68857546,0.01860239,1.46549656
-5.96998499,3.73161731,0.36649847,0.00000000,0.01717647,0.47526471,1.76185146,1.67429086,0.01813184,1.43931020
-5.96398199,3.66311275,0.35410262,0.00000000,0.01612323,0.46604732,1.71001614,1.65617459,0.01756490,1.41159550
-5.95797899,3.58504601,0.34089024,0.00000000,0.01503322,0.45416975,1.65266379,1.63431291,0.01691238,1.38246830
-5.95197599,3.49828510,0.32703090,0.00000000,0.01392326,0.43992003,1.59070252,1.60881643,0.01618644,1.35200638
-5.94597299,3.40376788,0.31269582,0.00000000,0.01280930,0.42363166,1.52509464,1.57982339,0.01540019,1.32025578
-5.93996998,3.30248948,0.29805449,0.00000000,0.01170613,0.40567315,1.45683413,1.54750304,0.01456740,1.28723903
-5.93396698,3.19548964,0.28327158,0.00000000,0.01062704,0.38643680,1.38692407,1.51205868,0.01370207,1.25296464
-5.92796398,3.08384044,0.26850409,0.00000000,0.00958364,0.36632702,1.31635455,1.47373034,0.01281810,1.21743740
-5.92196098,2.96863435,0.25389885,0.00000000,0.00858571,0.34574885,1.24608205,1.43279670,0.01192890,1.18066874
-5.91595798,2.85097292,0.23959047,0.00000000,0.00764116,0.32509698,1.17701074,1.38957615,0.01104715,1.14268663
-5.90995498,2.73195593,0.22569969,0.00000000,0.00675600,0.30474582,1.10997647,1.34442664,0.01018447,1.10354432
-5.90395198,2.61267109,0.21233222,0.00000000,0.00593444,0.28504088,1.04573353,1.29774429,0.00935124,1.06332752
-5.89794897,2.49418418,0.19957803,0.00000000,0.00517899,0.26629173,0.98494485,1.24996050,0.00855643,1.02215947
-5.89194597,2.37752949,0.18751114,0.00000000,0.00449062,0.24876677,0.92817530,1.20153760,0.00780749,0.98020375
-5.88594297,2.26370057,0.17618970,0.00000000,0.00386896,0.23268980,0.87588845,1.15296295,0.00711031,0.93766461
-5.87993997,2.15364117,0.16565665,0.00000000,0.00331247,0.21823847,0.82844635,1.10474167,0.00646922,0.89478481
-5.87393697,2.04823641,0.15594055,0.00000000,0.00281872,0.20554441,0.78611217,1.05738806,0.00588704,0.85184125
-5.86793397,1.94830413,0.14705678,0.00000000,0.00238453,0.19469494,0.74905524,1.01141601,0.00536519,0.80913843
-5.86193097,1.85458660,0.13900899,0.00000000,0.00200625,0.18573608,0.71735812,0.96732871,0.00490381,0.76700042
-5.85592796,1.76774265,0.13179067,0.00000000,0.00167994,0.17867661,0.69102511,0.92560790,0.00450193,0.72576159
-5.84992496,1.68834035,0.12538685,0.00000000,0.00140154,0.17349281,0.66999172,0.88670310,0.00415761,0.68575665
-5.84392196,1.61685055,0.11977587,0.00000000,0.00116706,0.17013365,0.65413454,0.85102123,0.00386820,0.64731062
-5.83791896,1.55364130,0.11493108,0.00000000,0.00097271,0.16852607,0.64328109,0.81891687,0.00363041,0.61072915
-5.83191596,1.49897344,0.11082254,0.00000000,0.00081507,0.16858007,0.63721908,0.79068361,0.00344061,0.57628965
-5.82591296,1.45299744,0.10741851,0.00000000,0.00069114,0.17019335,0.63570481,0.76654675,0.00329488,0.54423373
-5.81990995,1.41575171,0.10468682,0.00000000,0.00059852,0.17325540,0.63847032,0.74665754,0.00318926,0.51476102
-5.81390695,1.38716238,0.10259598,0.00000000,0.00053539,0.17765072,0.64522923,0.73108922,0.00311979,0.48802487
-5.80790395,1.36704459,0.10111603,0.00000000,0.00050067,0.18326126,0.65568091,0.71983493,0.00308265,0.46412977
-5.80190095,1.35510545,0.10021914,0.00000000,0.00049403,0.18996795,0.66951324,0.71280755,0.00307420,0.44313064
-5.79589795,1.35094850,0.09987983,0.00000000,0.00051592,0.19765143,0.68640395,0.70984143,0.00309109,0.42503385
-5.78989495,1.35407968,0.10007498,0.00000000,0.00056764,0.20619202,0.70602062,0.71069598,0.00313020,0.40979979
-5.78389195,1.36391480,0.10078349,0.00000000,0.00065133,0.21546902,0.72801987,0.71506104,0.00318870,0.39734682
-5.77788894,1.37978838,0.10198573,0.00000000,0.00076994,0.22535968,0.75204576,0.72256372,0.00326402,0.38755620
-5.77188594,1.40096385,0.10366271,0.00000000,0.00092731,0.23573784,0.77772813,0.73277671,0.00335379,0.38027792
-5.76588294,1.42664482,0.10579516,0.00000000,0.00112801,0.24647258,0.80468092,0.74522771,0.00345585,0.37533685
-5.75987994,1.45598758,0.10836246,0.00000000,0.00137737,0.25742701,0.83250112,0.75940985,0.00356817,0.37253912
-5.75387694,1.48811444,0.11134150,0.00000000,0.00168134,0.26845749,0.86076866,0.77479270,0.00368879,0.37167840
-5.74787394,1.52212784,0.11470566,0.00000000,0.00204637,0.27941327,0.88904739,0.79083385,0.00381581,0.37254178
-5.74187094,1.55712506,0.11842381,0.00000000,0.00247926,0.29013692,0.91688767,0.80699050,0.00394735,0.37491504
-5.73586793,1.59221321,0.12245955,0.00000000,0.00298694,0.30046542,0.94383032,0.82273109,0.00408147,0.37858724
-5.72986493,1.62652427,0.12677058,0.00000000,0.00357624,0.31023204,0.96941236,0.83754644,0.00421623,0.38335441
-5.72386193,1.65922986,0.13130847,0.00000000,0.00425361,0.31926902,0.99317415,0.85096039,0.00434961,0.38902229
-5.71785893,1.68955539,0.13601862,0.00000000,0.00502481,0.32741091,1.01466784,0.86253941,0.00447958,0.39540818
-5.71185593,1.71679324,0.14084063,0.00000000,0.00589457,0.33449847,1.03346694,0.87190124,0.00460409,0.40234180
-5.70585293,1.74031467,0.14570900,0.00000000,0.00686624,0.34038300,1.04917638,0.87872215,0.00472114,0.40966535
-5.69984992,1.75958000,0.15055408,0.00000000,0.00794141,0.34493085,1.06144298,0.88274268,0.00482878,0.41723278
-5.69384692,1.77414694,0.15530345,0.00000000,0.00911960,0.34802797,1.06996543,0.88377179,0.00492523,0.42490850
-5.68784392,1.78367671,0.15988340,0.00000000,0.01039791,0.34958417,1.07450373,0.88168931,0.00500890,0.43256569
-5.68184092,1.78793783,0.16422077,0.00000000,0.01177078,0.34953694,1.07488729,0.87644658,0.00507848,0.44008432
-5.67583792,1.78680750,0.16824480,0.00000000,0.01322974,0.34785467,1.07102143,0.86806546,0.00513300,0.44734917
-5.66983492,1.78027065,0.17188914,0.00000000,0.01476334,0.34453896,1.06289193,0.85663555,0.00517193,0.45424804
-5.66383192,1.76841662,0.17509383,0.00000000,0.01635708,0.33962601,1.05056735,0.84231004,0.00519518,0.46067027
-5.65782891,1.75143389,0.17780719,0.00000000,0.01799355,0.33318692,1.03419897,0.82530013,0.00520323,0.46650582
-5.65182591,1.72960294,0.17998761,0.00000000,0.01965262,0.32532693,1.01401826,0.80586837,0.00519710,0.47164497
-5.64582291,1.70328767,0.18160504,0.00000000,0.02131177,0.31618358,0.99033211,0.78432121,0.00517841,0.47597878
-5.63981991,1.67292576,0.18264233,0.00000000,0.02294658,0.30592386,0.96351574,0.76100090,0.00514938,0.47940034
-5.63381691,1.63901833,0.18309614,0.00000000,0.02453130,0.29474041,0.93400387,0.73627717,0.00511282,0.48180678
-5.62781391,1.60211931,0.18297757,0.00000000,0.02603952,0.28284710,0.90228018,0.71053889,0.00507210,0.48310196
-5.62181091,1.56282490,0.18231234,0.00000000,0.02744491,0.27047397,0.86886571,0.68418608,0.00503109,0.48319984
-5.61580790,1.52176336,0.18114068,0.00000000,0.02872206,0.25786189,0.83430656,0.65762234,0.00499409,0.48202821
-5.60980490,1.47958559,0.17951678,0.00000000,0.02984723,0.24525707,0.79916130,0.63124809,0.00496578,0.47953266
-5.60380190,1.43695650,0.17750789,0.00000000,0.03079917,0.23290575,0.76398868,0.60545470,0.00495110,0.47568065
-5.59779890,1.39454744,0.17519311,0.00000000,0.03155987,0.22104915,0.72933594,0.58061964,0.00495513,0.47046524
-5.59179590,1.35302984,0.17266199,0.00000000,0.03211519,0.20991896,0.69572824,0.55710272,0.00498300,0.46390856
-5.58579290,1.31306995,0.17001281,0.00000000,0.03245542,0.19973355,0.66365943,0.53524347,0.00503977,0.45606443
-5.57978989,1.27532480,0.16735082,0.00000000,0.03257560,0.19069493,0.63358458,0.51535967,0.00513034,0.44702038
-5.57378689,1.24043929,0.16478643,0.00000000,0.03247583,0.18298655,0.60591429,0.49774687,0.00525930,0.43689854
-5.56778389,1.20904419,0.16243336,0.00000000,0.03216126,0.17677213,0.58101107,0.48267893,0.00543088,0.42585559
-5.56178089,1.18175518,0.16040694,0.00000000,0.03164201,0.17219521,0.55918769,0.47040930,0.00564886,0.41408161
-5.55577789,1.15917241,0.15882252,0.00000000,0.03093287,0.16937963,0.54070740,0.46117300,0.00591653,0.40179788
-5.54977489,1.14188061,0.15779412,0.00000000,0.03005283,0.16843062,0.52578606,0.45518896,0.00623665,0.38925361
-5.54377189,1.13044932,0.15743325,0.00000000,0.02902457,0.16943647,0.51459564,0.45266253,0.00661144,0.37672191
-5.53776888,1.12543295,0.15784800,0.00000000,0.02787373,0.17247050,0.50726901,0.45378792,0.00704258,0.36449480
-5.53176588,1.12737032,0.15914230,0.00000000,0.02662819,0.17759313,0.50390554,0.45875020,0.00753128,0.35287774
-5.52576288,1.13678313,0.16141539,0.00000000,0.02531724,0.18485388,0.50457701,0.46772664,0.00807830,0.34218356
-5.51975988,1.15417313,0.16476131,0.00000000,0.02397081,0.19429295,0.50933343,0.48088702,0.00868402,0.33272607
-5.51375688,1.18001726,0.16926850,0.00000000,0.02261868,0.20594226,0.51820829,0.49839272,0.00934852,0.32481345
-5.50775388,1.21476061,0.17501917,0.00000000,0.02128970,0.21982570,0.53122262,0.52039423,0.01007163,0.31874151
-5.50175088,1.25880664,0.18208859,0.00000000,0.02001116,0.23595850,0.54838773,0.54702710,0.01085298,0.31478693
-5.49574787,1.31250457,0.19054403,0.00000000,0.01880816,0.25434554,0.56970588,0.57840603,0.01169205,0.31320060
-5.48974487,1.37613382,0.20044331,0.00000000,0.01770315,0.27497867,0.59516903,0.61461722,0.01258816,0.31420101
-5.48374187,1.44988566,0.21183289,0.00000000,0.01671548,0.29783303,0.62475527,0.65570913,0.01354048,0.31796799
-5.47773887,1.53384238,0.22474549,0.00000000,0.01586114,0.32286256,0.65842304,0.70168183,0.01454794,0.32463660
-5.47173587,1.62795480,0.23919726,0.00000000,0.01515255,0.34999487,0.69610339,0.75247546,0.01560915,0.33429155
-5.46573287,1.73201886,0.25518452,0.00000000,0.01459841,0.37912577,0.73769058,0.80795821,0.01672227,0.34696209
-5.45972986,1.84565257,0.27268027,0.00000000,0.01420374,0.41011390,0.78303157,0.86791452,0.01788486,0.36261767
-5.45372686,1.96827464,0.29163052,0.00000000,0.01396984,0.44277568,0.83191494,0.93203429,0.01909371,0.38116440
-5.44772386,2.09908636,0.31195079,0.00000000,0.01389444,0.47688123,0.88406025,0.99990380,0.02034462,0.40244267
-5.44172086,2.23705824,0.33352292,0.00000000,0.01397186,0.51215144,0.93910837,1.07099916,0.02163224,0.42622613
-5.43571786,2.38092302,0.35619252,0.00000000,0.01419322,0.54825681,0.99661390,1.14468313,0.02294988,0.45222214
-5.42971486,2.52917637,0.37976733,0.00000000,0.01454668,0.58481821,1.05604030,1.22020583,0.02428940,0.48007403
-5.42371186,2.68008646,0.40401668,0.00000000,0.01501777,0.62140989,1.11675850,1.29670992,0.02564110,0.50936523
-5.41770885,2.83171302,0.42867242,0.00000000,0.01558969,0.65756483,1.17804964,1.37324057,0.02699369,0.53962547
-5.41170585,2.98193637,0.45343130,0.00000000,0.01624371,0.69278251,1.23911219,1.44876021,0.02833435,0.57033891
-5.40570285,3.12849598,0.47795907,0.00000000,0.01695957,0.72653878,1.29907359,1.52216793,0.02964884,0.60095427
-5.39969985,3.26903788,0.50189615,0.00000000,0.01771593,0.75829785,1.35700639,1.59232307,0.03092166,0.63089674
