energy_ev,total_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.23138518,0.17743667,0.42972678,0.33462822,0.29822514,0.00491185,0.06370017,0.00227124,0.44060528
-5.99399700,1.19933517,0.16593798,0.40657997,0.32168342,0.30943948,0.00458368,0.05982748,0.00213382,0.44001131
-5.98799400,1.17177877,0.15444917,0.38443536,0.30931076,0.32283392,0.00427621,0.05598638,0.00201099,0.44161899
-5.98199100,1.14944613,0.14314767,0.36358884,0.29783720,0.33843783,0.00399179,0.05223947,0.00190394,0.44563528
-5.97598799,1.13293756,0.13219885,0.34430474,0.28756327,0.35622237,0.00373280,0.04864453,0.00181392,0.45221034
-5.96998499,1.12270261,0.12175250,0.32680855,0.27875669,0.37609639,0.00350149,0.04525348,0.00174215,0.46143012
-5.96398199,1.11902624,0.11194022,0.31128159,0.27164763,0.39790487,0.00329987,0.04211152,0.00168979,0.47331178
-5.95797899,1.12202255,0.10287371,0.29785786,0.26642606,0.42143001,0.00312961,0.03925677,0.00165788,0.48780223
-5.95197599,1.13163665,0.09464396,0.28662322,0.26324091,0.44639519,0.00299193,0.03672008,0.00164728,0.50478001
-5.94597299,1.14765441,0.08732124,0.27761668,0.26220132,0.47247174,0.00288751,0.03452532,0.00165866,0.52406058
-5.93996998,1.16971968,0.08095598,0.27083380,0.26337967,0.49928844,0.00281648,0.03268983,0.00169246,0.54540474
-5.93396698,1.19735841,0.07558026,0.26623186,0.26681626,0.52644351,0.00277832,0.03122521,0.00174891,0.56853005
-5.92796398,1.23000831,0.07120985,0.26373654,0.27252543,0.55351861,0.00277192,0.03013826,0.00182798,0.59312473
-5.92196098,1.26705296,0.06784679,0.26324968,0.28050260,0.58009446,0.00279552,0.02943203,0.00192942,0.61886352
-5.91595798,1.30785868,0.06548206,0.26465775,0.29073215,0.60576740,0.00284679,0.02910702,0.00205279,0.64542476
-5.90995498,1.35181245,0.06409854,0.26784062,0.30319534,0.63016616,0.00292290,0.02916233,0.00219747,0.67250798
-5.90395198,1.39835914,0.06367385,0.27268010,0.31787817,0.65296826,0.00302050,0.02959678,0.00236274,0.69985116
-5.89794897,1.44703603,0.06418308,0.27906790,0.33477846,0.67391504,0.00313594,0.03040991,0.00254778,0.72724675
-5.89194597,1.49750313,0.06560119,0.28691255,0.35391186,0.69282477,0.00326523,0.03160283,0.00275176,0.75455570
