energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.13991303,0.01547288,0.66635128,0.52717094,0.29180234,1.74851464,2.02770336,1.97600361,0.00000000
-5.99399700,5.15929578,0.01557035,0.66632557,0.53815556,0.29383854,1.75445986,2.03399562,1.98469446,0.00000000
-5.98799400,5.18166812,0.01569845,0.66689247,0.54979806,0.29631866,1.76189627,2.04077924,1.99511531,0.00000000
-5.98199100,5.20698862,0.01585701,0.66811478,0.56199324,0.29924423,1.77075035,2.04802682,2.00722894,0.00000000
-5.97598799,5.23510505,0.01604492,0.67004229,0.57461974,0.30260394,1.78090811,2.05567919,2.02094129,0.00000000
-5.96998499,5.26575619,0.01626014,0.67270935,0.58754138,0.30637357,1.79221936,2.06364716,2.03610264,0.00000000
-5.96398199,5.29857726,0.01649973,0.67613299,0.60060886,0.31051639,1.80450336,2.07181420,2.05251061,0.00000000
-5.95797899,5.33310901,0.01675993,0.68031148,0.61366214,0.31498398,1.81755537,2.08003999,2.06991512,0.00000000
-5.95197599,5.36881028,0.01703626,0.68522366,0.62653322,0.31971764,1.83115404,2.08816492,2.08802513,0.00000000
-5.94597299,5.40507378,0.01732362,0.69082897,0.63904954,0.32465011,1.84506922,2.09601521,2.10651716,0.00000000
-5.93996998,5.44124472,0.01761646,0.69706814,0.65103776,0.32970778,1.85906999,2.10340879,2.12504518,0.00000000
-5.93396698,5.47664158,0.01790886,0.70386473,0.66232795,0.33481301,1.87293239,2.11016161,2.14325172,0.00000000
-5.92796398,5.51057848,0.01819477,0.71112719,0.67275804,0.33988680,1.88644685,2.11609423,2.16077960,0.00000000
-5.92196098,5.54238813,0.01846817,0.71875165,0.68217830,0.34485132,1.89942475,2.12103861,2.17728410,0.00000000
-5.91595798,5.57144472,0.01872320,0.72662501,0.69045587,0.34963253,1.91170400,2.12484470,2.19244479,0.00000000
-5.90995498,5.59718564,0.01895444,0.73462848,0.69747898,0.35416250,1.92315349,2.12738681,2.20597678,0.00000000
-5.90395198,5.61913134,0.01915700,0.74264119,0.70316086,0.35838151,1.93367623,2.12856932,2.21764085,0.00000000
