energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,0.96531446,0.00064435,0.15229464,0.51056496,0.51752671,0.00199463,0.17217175
-5.99399700,0.85328872,0.00062002,0.13294959,0.44648004,0.45835136,0.00179597,0.15420495
-5.98799400,0.75353725,0.00061265,0.11537206,0.38845103,0.40546171,0.00164245,0.13893131
-5.98199100,0.66603812,0.00062247,0.09954558,0.33641629,0.35889626,0.00153325,0.12633367
-5.97598799,0.59063868,0.00064983,0.08542680,0.29023778,0.31861557,0.00146776,0.11638367
-5.96998499,0.52707731,0.00069516,0.07295004,0.24971515,0.28451353,0.00144567,0.10904434
-5.96398199,0.47500516,0.00075895,0.06203192,0.21460004,0.25642903,0.00146696,0.10427252
-5.95797899,0.43400716,0.00084178,0.05257591,0.18461022,0.23415720,0.00153195,0.10202087
-5.95197599,0.40362140,0.00094422,0.04447655,0.15944292,0.21746000,0.00164132,0.10223941
-5.94597299,0.38335631,0.00106691,0.03762348,0.13878701,0.20607570,0.00179609,0.10487671
-5.93996998,0.37270523,0.00121044,0.03190482,0.12233367,0.19972704,0.00199762,0.10988043
-5.93396698,0.37115804,0.00137539,0.02721019,0.10978542,0.19812789,0.00224759,0.11719756
-5.92796398,0.37820986,0.00156225,0.02343309,0.10086311,0.20098833,0.00254797,0.12677403
-5.92196098,0.39336664,0.00177143,0.02047279,0.09531115,0.20801829,0.00290094,0.13855401
-5.91595798,0.41614802,0.00200322,0.01823566,0.09290059,0.21892963,0.00330889,0.15247876
-5.90995498,0.44608757,0.00225772,0.01663602,0.09343050,0.23343709,0.00377427,0.16848519
-5.90395198,0.48273077,0.00253488,0.01559660,0.09672744,0.25125804,0.00429956,0.18650411
-5.89794897,0.52563106,0.00283440,0.01504854,0.10264339,0.27211142,0.00488713,0.20645830
-5.89194597,0.57434448,0.00315576,0.01493111,0.11105224,0.29571605,0.00553915,0.22826038
-5.88594297,0.62842307,0.00349815,0.01519121,0.12184513,0.32178852,0.00625744,0.25181063
-5.87993997,0.68740771,0.00386046,0.01578263,0.13492477,0.35004088,0.00704331,0.27699470
-5.87393697,0.75082059,0.00424123,0.01666519,0.15019917,0.38017836,0.00789748,0.30368144
-5.86793397,0.81815784,0.00463868,0.01780380,0.16757492,0.41189734,0.00881983,0.33172071
-5.86193097,0.88888263,0.00505063,0.01916749,0.18695043,0.44488362,0.00980932,0.36094149
-5.85592796,0.96241922,0.00547453,0.02072845,0.20820931,0.47881126,0.01086376,0.39115024
-5.84992496,1.03814830,0.00590741,0.02246111,0.23121434,0.51334210,0.01197976,0.42212956
-5.84392196,1.11540394,0.00634591,0.02434135,0.25580223,0.54812603,0.01315249,0.45363753
-5.83791896,1.19347263,0.00678625,0.02634576,0.28177947,0.58280209,0.01437570,0.48540762
-5.83191596,1.27159463,0.00722430,0.02845108,0.30891961,0.61700056,0.01564156,0.51714937
-5.82591296,1.34896788,0.00765556,0.03063384,0.33696209,0.65034595,0.01694070,0.54855001
-5.81990995,1.42475479,0.00807523,0.03287010,0.36561290,0.68246098,0.01826220,0.57927717
-5.81390695,1.49809180,0.00847825,0.03513547,0.39454704,0.71297147,0.01959368,0.60898257
-5.80790395,1.56810186,0.00885944,0.03740530,0.42341301,0.74151211,0.02092147,0.63730695
-5.80190095,1.63390953,0.00921349,0.03965507,0.45183909,0.76773286,0.02223078,0.66388607
-5.79589795,1.69465844,0.00953516,0.04186099,0.47944135,0.79130592,0.02350595,0.68835772
-5.78989495,1.74953059,0.00981938,0.04400073,0.50583318,0.81193304,0.02473081,0.71036964
-5.78389195,1.79776688,0.01006133,0.04605440,0.53063598,0.82935276,0.02588899,0.72958808
-5.77788894,1.83868812,0.01025664,0.04800552,0.55349055,0.84334750,0.02696431,0.74570676
-5.77188594,1.87171561,0.01040149,0.04984214,0.57406887,0.85375000,0.02794124,0.75845576
-5.76588294,1.89639051,0.01049273,0.05155797,0.59208558,0.86044886,0.02880524,0.76761023
-5.75987994,1.91239090,0.01052802,0.05315342,0.60730877,0.86339300,0.02954326,0.77299828
-5.75387694,1.91954584,0.01050592,0.05463657,0.61956946,0.86259455,0.03014400,0.77450772
-5.74787394,1.91784553,0.01042594,0.05602393,0.62876937,0.85813021,0.03059837,0.77209151
-5.74187094,1.90744701,0.01028863,0.05734103,0.63488645,0.85014081,0.03089966,0.76577127
-5.73586793,1.88867495,0.01009555,0.05862262,0.63797801,0.83882904,0.03104381,0.75563893
-5.72986493,1.86201738,0.00984928,0.05991259,0.63818093,0.82445547,0.03102950,0.74185625
-5.72386193,1.82811626,0.00955339,0.06126348,0.63570911,0.80733290,0.03085822,0.72465219
-5.71785893,1.78775330,0.00921231,0.06273559,0.63084810,0.78781926,0.03053422,0.70431816
-5.71185593,1.74183151,0.00883125,0.06439563,0.62394685,0.76630945,0.03006442,0.68120148
-5.70585293,1.69135308,0.00841606,0.06631503,0.61540723,0.74322623,0.02945818,0.65569712
-5.69984992,1.63739455,0.00797310,0.06856780,0.60567132,0.71901078,0.02872706,0.62823813
-5.69384692,1.58108029,0.00750903,0.07122814,0.59520725,0.69411307,0.02788455,0.59928526
-5.68784392,1.52355511,0.00703068,0.07436773,0.58449391,0.66898252,0.02694571,0.56931605
-5.68184092,1.46595728,0.00654485,0.07805296,0.57400529,0.64405924,0.02592683,0.53881379
-5.67583792,1.40939274,0.00605819,0.08234204,0.56419511,0.61976611,0.02484509,0.50825700
-5.66983492,1.35491146,0.00557699,0.08728218,0.55548212,0.59650193,0.02371819,0.47810953
-5.66383192,1.30348663,0.00510711,0.09290707,0.54823696,0.57463570,0.02256407,0.44881169
-5.65782891,1.25599734,0.00465383,0.09923464,0.54277096,0.55450219,0.02140058,0.42077274
-5.65182591,1.21321497,0.00422179,0.10626523,0.53932723,0.53639874,0.02024528,0.39436475
-5.64582291,1.17579363,0.00381492,0.11398047,0.53807468,0.52058319,0.01911520,0.36991796
-5.63981991,1.14426452,0.00343642,0.12234271,0.53910484,0.50727292,0.01802672,0.34771770
-5.63381691,1.11903417,0.00308872,0.13129523,0.54243187,0.49664470,0.01699543,0.32800265
-5.62781391,1.10038611,0.00277352,0.14076322,0.54799558,0.48883532,0.01603601,0.31096449
-5.62181091,1.08848570,0.00249184,0.15065552,0.55566726,0.48394268,0.01516225,0.29674860
-5.61580790,1.08338736,0.00224400,0.16086708,0.56525812,0.48202728,0.01438696,0.28545562
-5.60980490,1.08504385,0.00202976,0.17128202,0.57652985,0.48311384,0.01372196,0.27714382
-5.60380190,1.09331679,0.00184832,0.18177725,0.58920678,0.48719298,0.01317804,0.27183175
-5.59779890,1.10798788,0.00169844,0.19222641,0.60298910,0.49422278,0.01276497,0.26950128
-5.59179590,1.12877022,0.00157849,0.20250401,0.61756634,0.50413025,0.01249140,0.27010063
-5.58579290,1.15531915,0.00148650,0.21248947,0.63263064,0.51681252,0.01236484,0.27354730
-5.57978989,1.18724220,0.00142030,0.22207105,0.64788907,0.53213788,0.01239157,0.27973082
-5.57378689,1.22410771,0.00137749,0.23114924,0.66307430,0.54994655,0.01257651,0.28851521
-5.56778389,1.26545198,0.00135558,0.23963963,0.67795338,0.57005141,0.01292310,0.29974118
-5.56178089,1.31078469,0.00135201,0.24747496,0.69233393,0.59223859,0.01343319,0.31322789
-5.55577789,1.35959275,0.00136416,0.25460639,0.70606775,0.61626812,0.01410682,0.32877465
-5.54977489,1.41134266,0.00138946,0.26100382,0.71905163,0.64187476,0.01494217,0.34616227
-5.54377189,1.46548157,0.00142539,0.26665538,0.73122545,0.66876911,0.01593530,0.36515440
-5.53776888,1.52143770,0.00146947,0.27156603,0.74256788,0.69663911,0.01708014,0.38549890
-5.53176588,1.57862029,0.00151938,0.27575546,0.75309004,0.72515221,0.01836836,0.40692936
-5.52576288,1.63641980,0.00157287,0.27925545,0.76282755,0.75395814,0.01978934,0.42916686
-5.51975988,1.69420893,0.00162788,0.28210684,0.77183176,0.78269252,0.02133022,0.45192215
-5.51375688,1.75134485,0.00168248,0.28435634,0.78016067,0.81098139,0.02297599,0.47489829
-5.50775388,1.80717325,0.00173493,0.28605340,0.78787022,0.83844656,0.02470967,0.49779383
-5.50175088,1.86103443,0.00178369,0.28724737,0.79500659,0.86471193,0.02651257,0.52030650
-5.49574787,1.91227167,0.00182739,0.28798507,0.80160006,0.88941058,0.02836458,0.54213756
-5.48974487,1.96024183,0.00186490,0.28830892,0.80766072,0.91219244,0.03024464,0.56299647
-5.48374187,2.00432798,0.00189528,0.28825580,0.81317644,0.93273247,0.03213114,0.58260609
-5.47773887,2.04395360,0.00191782,0.28785656,0.81811295,0.95073888,0.03400243,0.60070796
-5.47173587,2.07859774,0.00193203,0.28713621,0.82241613,0.96596116,0.03583739,0.61706769
-5.46573287,2.10781039,0.00193765,0.28611470,0.82601619,0.97819742,0.03761590,0.63148007
-5.45972986,2.13122698,0.00193461,0.28480815,0.82883315,0.98730080,0.03931934,0.64377382
-5.45372686,2.14858128,0.00192307,0.28323042,0.83078343,0.99318434,0.04093108,0.65381552
-5.44772386,2.15971561,0.00190337,0.28139473,0.83178666,0.99582417,0.04243683,0.66151271
-5.44172086,2.16458744,0.00187604,0.27931522,0.83177227,0.99526048,0.04382490,0.66681579
-5.43571786,2.16327195,0.00184173,0.27700834,0.83068528,0.99159629,0.04508641,0.66971869
-5.42971486,2.15595980,0.00180128,0.27449365,0.82849077,0.98499381,0.04621530,0.67025806
-5.42371186,2.14295014,0.00175558,0.27179434,0.82517671,0.97566849,0.04720826,0.66851118
-5.41770885,2.12463899,0.00170566,0.26893698,0.82075485,0.96388086,0.04806454,0.66459244
-5.41170585,2.10150334,0.00165255,0.26595084,0.81525974,0.94992670,0.04878564,0.65864864
-5.40570285,2.07408187,0.00159736,0.26286662,0.80874585,0.93412572,0.04937491,0.65085335
-5.39969985,2.04295336,0.00154115,0.25971482,0.80128317,0.91680957,0.04983713,0.64140052
-5.39369685,2.00871382,0.00148500,0.25652380,0.79295167,0.89830962,0.05017797,0.63049780
-5.38769385,1.97195405,0.00142995,0.25331780,0.78383509,0.87894536,0.05040354,0.61835978
-5.38169085,1.93323863,0.00137698,0.25011510,0.77401460,0.85901390,0.05051996,0.60520169
-5.37568784,1.89308793,0.00132702,0.24692638,0.76356296,0.83878128,0.05053294,0.59123380
-5.36968484,1.85196424,0.00128094,0.24375369,0.75253967,0.81847615,0.05044754,0.57665679
-5.36368184,1.81026268,0.00123958,0.24058994,0.74098749,0.79828601,0.05026800,0.56165847
-5.35767884,1.76830780,0.00120372,0.23741913,0.72893080,0.77835640,0.04999764,0.54641188
-5.35167584,1.72635570,0.00117415,0.23421738,0.71637576,0.75879296,0.04963904,0.53107489
-5.34567284,1.68460169,0.00115165,0.23095454,0.70331254,0.73966626,0.04919420,0.51579120
-5.33966983,1.64319284,0.00113706,0.22759665,0.68971924,0.72101897,0.04866485,0.50069264
-5.33366683,1.60224436,0.00113126,0.22410876,0.67556739,0.70287506,0.04805289,0.48590254
-5.32766383,1.56185875,0.00113522,0.22045815,0.66082844,0.68525010,0.04736080,0.47153979
-5.32166083,1.52214622,0.00115007,0.21661774,0.64548098,0.66816229,0.04659213,0.45772324
-5.31565783,1.48324475,0.00117702,0.21256928,0.62951778,0.65164318,0.04575191,0.44457607
-5.30965483,1.44533845,0.00121747,0.20830637,0.61295242,0.63574748,0.04484703,0.43222967
-5.30365183,1.40867252,0.00127295,0.20383689,0.59582472,0.62056124,0.04388651,0.42082663
-5.29764882,1.37356385,0.00134516,0.19918474,0.57820467,0.60620773,0.04288161,0.41052253
-5.29164582,1.34040602,0.00143589,0.19439077,0.56019442,0.59285061,0.04184586,0.40148629
-5.28564282,1.30966829,0.00154702,0.18951276,0.54192807,0.58069413,0.04079484,0.39389879
-5.27963982,1.28188815,0.00168049,0.18462445,0.52356934,0.56998011,0.03974591,0.38794984
-5.27363682,1.25765776,0.00183817,0.17981373,0.50530700,0.56098189,0.03871764,0.38383336
-5.26763382,1.23760463,0.00202185,0.17517981,0.48734845,0.55399536,0.03772927,0.38174117
-5.26163082,1.22236752,0.00223312,0.17082989,0.46991170,0.54932762,0.03679994,0.38185532
-5.25562781,1.21256880,0.00247328,0.16687512,0.45321623,0.54728372,0.03594796,0.38433962
-5.24962481,1.20878444,0.00274325,0.16342632,0.43747327,0.54815214,0.03518993,0.38933057
-5.24362181,1.21151345,0.00304346,0.16058950,0.42287606,0.55218979,0.03454007,0.39692824
-5.23761881,1.22114816,0.00337378,0.15846150,0.40959063,0.55960718,0.03400939,0.40718763
-5.23161581,1.23794703,0.00373341,0.15712592,0.39774759,0.57055463,0.03360515,0.42011080
-5.22561281,1.26201127,0.00412082,0.15664953,0.38743550,0.58511008,0.03333040,0.43564056
-5.21960980,1.29326678,0.00453372,0.15707931,0.37869608,0.60326927,0.03318364,0.45365575
-5.21360680,1.33145209,0.00496900,0.15844025,0.37152149,0.62493859,0.03315872,0.47396872
-5.20760380,1.37611329,0.00542274,0.16073397,0.36585393,0.64993119,0.03324497,0.49632506
-5.20160080,1.42660610,0.00589027,0.16393824,0.36158744,0.67796639,0.03342743,0.52040583
-5.19559780,1.48210521,0.00636617,0.16800736,0.35857182,0.70867258,0.03368736,0.54583222
-5.18959480,1.54162057,0.00684441,0.17287332,0.35661846,0.74159345,0.03400285,0.57217262
-5.18359180,1.60402000,0.00731840,0.17844773,0.35550772,0.77619738,0.03434958,0.59895180
-5.17758879,1.66805727,0.00778122,0.18462439,0.35499752,0.81188965,0.03470169,0.62566197
-5.17158579,1.73240450,0.00822569,0.19128228,0.35483262,0.84802691,0.03503270,0.65177538
-5.16558279,1.79568767,0.00864459,0.19828900,0.35475421,0.88393347,0.03531646,0.67675787
