energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.31613500,0.00083987,0.29891707,0.14426403,0.06115343,0.34993488,0.00000000,0.28465818,0.58475363
-5.99399700,1.28499795,0.00076306,0.29516300,0.13962277,0.05711800,0.33785948,0.00000000,0.28036118,0.57684924
-5.98799400,1.25923190,0.00071679,0.29190845,0.13634505,0.05362035,0.32866875,0.00000000,0.27739304,0.56921830
-5.98199100,1.23905005,0.00070167,0.28920587,0.13446527,0.05063725,0.32241445,0.00000000,0.27578827,0.56204141
-5.97598799,1.22478481,0.00071885,0.28712694,0.13403822,0.04815360,0.31919295,0.00000000,0.27560112,0.55554602
-5.96998499,1.21687080,0.00077010,0.28575597,0.13513937,0.04616303,0.31914498,0.00000000,0.27690102,0.54999328
-5.96398199,1.21582272,0.00085788,0.28518256,0.13786434,0.04466783,0.32245312,0.00000000,0.27976721,0.54566350
-5.95797899,1.22220960,0.00098539,0.28549422,0.14232745,0.04367863,0.32933741,0.00000000,0.28428289,0.54284112
-5.95197599,1.23662719,0.00115657,0.28676913,0.14865953,0.04321368,0.34004936,0.00000000,0.29052929,0.54179992
-5.94597299,1.25967002,0.00137615,0.28906978,0.15700508,0.04329792,0.35486473,0.00000000,0.29858012,0.54278927
-5.93996998,1.29190470,0.00164958,0.29243757,0.16751891,0.04396181,0.37407535,0.00000000,0.30849660,0.54602209
-5.93396698,1.33384528,0.00198297,0.29688882,0.18036225,0.04524006,0.39798028,0.00000000,0.32032342,0.55166491
-5.92796398,1.38593201,0.00238302,0.30241231,0.19569846,0.04717036,0.42687651,0.00000000,0.33408577,0.55983066
-5.92196098,1.44851356,0.00285689,0.30896853,0.21368834,0.04979200,0.46104930,0.00000000,0.34978755,0.57057411
-5.91595798,1.52183337,0.00341203,0.31649053,0.23448509,0.05314459,0.50076240,0.00000000,0.36741070,0.58389028
-5.90995498,1.60601981,0.00405599,0.32488645,0.25822883,0.05726685,0.54624815,0.00000000,0.38691565,0.59971556
-5.90395198,1.70108010,0.00479615,0.33404334,0.28504086,0.06219545,0.59769751,0.00000000,0.40824274,0.61793134
-5.89794897,1.80689743,0.00563953,0.34383232,0.31501758,0.06796398,0.65525027,0.00000000,0.43131433,0.63836993
-5.89194597,1.92323088,0.00659242,0.35411453,0.34822420,0.07460207,0.71898526,0.00000000,0.45603750,0.66082226
-5.88594297,2.04971761,0.00766009,0.36474779,0.38468827,0.08213463,0.78891102,0.00000000,0.48230703,0.68504702
-5.87993997,2.18587687,0.00884651,0.37559350,0.42439328,0.09058122,0.86495683,0.00000000,0.51000854,0.71078076
-5.87393697,2.33111537,0.01015395,0.38652358,0.46727237,0.09995564,0.94696462,0.00000000,0.53902145,0.73774850
-5.86793397,2.48473395,0.01158273,0.39742717,0.51320259,0.11026560,1.03468179,0.00000000,0.56922184,0.76567463
-5.86193097,2.64593540,0.01313092,0.40821689,0.56199978,0.12151257,1.12775551,0.00000000,0.60048494,0.79429360
-5.85592796,2.81383354,0.01479409,0.41883438,0.61341455,0.13369184,1.22572877,0.00000000,0.63268736,0.82336032
-5.84992496,2.98746367,0.01656514,0.42925509,0.66712948,0.14679254,1.32803860,0.00000000,0.66570901,0.85266000
-5.84392196,3.16579482,0.01843416,0.43949228,0.72275813,0.16079795,1.43401678,0.00000000,0.69943479,0.88201723
-5.83791896,3.34774391,0.02038842,0.44959996,0.77984587,0.17568574,1.54289344,0.00000000,0.73375624,0.91130438
-5.83191596,3.53219212,0.02241242,0.45967499,0.83787299,0.19142831,1.65380369,0.00000000,0.76857309,0.94044901
-5.82591296,3.71800344,0.02448801,0.46985812,0.89626004,0.20799306,1.76579755,0.00000000,0.80379497,0.96944022
-5.81990995,3.90404535,0.02659468,0.48033406,0.95437575,0.22534266,1.87785294,0.00000000,0.83934317,0.99833388
-5.81390695,4.08921112,0.02870986,0.49133045,1.01154723,0.24343513,1.98889189,0.00000000,0.87515261,1.02725638
-5.80790395,4.27244320,0.03080937,0.50311565,1.06707252,0.26222386,2.09779940,0.00000000,0.91117382,1.05640667
-5.80190095,4.45275669,0.03286796,0.51599527,1.12023506,0.28165737,2.20344458,0.00000000,0.94737490,1.08605634
-5.79589795,4.62926183,0.03485983,0.53030741,1.17031982,0.30167891,2.30470361,0.00000000,0.98374318,1.11654717
-5.78989495,4.80118405,0.03675926,0.54641617,1.21663052,0.32222593,2.40048361,0.00000000,1.02028637,1.14828601
-5.78389195,4.96788046,0.03854131,0.56470376,1.25850745,0.34322928,2.48974674,0.00000000,1.05703297,1.18173641
-5.77788894,5.12885116,0.04018241,0.58556064,1.29534515,0.36461247,2.57153379,0.00000000,1.09403144,1.21740686
-5.77188594,5.28374449,0.04166105,0.60937401,1.32660938,0.38629075,2.64498624,0.00000000,1.13134820,1.25583538
-5.76588294,5.43235510,0.04295834,0.63651460,1.35185274,0.40817045,2.70936628,0.00000000,1.16906386,1.29757048
-5.75987994,5.57461452,0.04405859,0.66732180,1.37072816,0.43014838,2.76407394,0.00000000,1.20726789,1.34314881
-5.75387694,5.71057412,0.04494974,0.70208773,1.38299995,0.45211167,2.80866079,0.00000000,1.24605159,1.39306977
-5.74787394,5.84038105,0.04562377,0.74104031,1.38855180,0.47393803,2.84283991,0.00000000,1.28549940,1.44776795
-5.74187094,5.96424821,0.04607694,0.78432634,1.38739138,0.49549658,2.86649184,0.00000000,1.32567915,1.50758440
-5.73586793,6.08241977,0.04630997,0.83199497,1.37965158,0.51664941,2.87966645,0.00000000,1.36663133,1.57273788
-5.72986493,6.19513435,0.04632808,0.88398260,1.36558804,0.53725373,2.88258080,0.00000000,1.40835827,1.64329750
-5.72386193,6.30258818,0.04614089,0.94010004,1.34557334,0.55716488,2.87561335,0.00000000,1.45081371,1.71915844
-5.71785893,6.40490073,0.04576227,1.00002278,1.32008798,0.57623998,2.85929475,0.00000000,1.49389357,1.80002220
-5.71185593,6.50208522,0.04520997,1.06328540,1.28970851,0.59434205,2.83429570,0.00000000,1.53742873,1.88538290
-5.70585293,6.59402651,0.04450529,1.12928073,1.25509336,0.61134472,2.80141251,0.00000000,1.58118041,1.97452112
-5.69984992,6.68046804,0.04367255,1.19726441,1.21696677,0.62713697,2.76155062,0.00000000,1.62483893,2.06650620
-5.69384692,6.76100944,0.04273852,1.26636519,1.17610153,0.64162796,2.71570678,0.00000000,1.66802605,2.16020786
-5.68784392,6.83511520,0.04173182,1.33560119,1.13330106,0.65475135,2.66495027,0.00000000,1.71030147,2.25431725
-5.68184092,6.90213467,0.04068226,1.40390166,1.08938136,0.66646912,2.61040349,0.00000000,1.75117310,2.34737732
-5.67583792,6.96133225,0.03962010,1.47013391,1.04515347,0.67677442,2.55322236,0.00000000,1.79011123,2.43782161
-5.66983492,7.01192635,0.03857546,1.53313447,1.00140679,0.68569313,2.49457656,0.00000000,1.82656584,2.52402025
-5.66383192,7.05313474,0.03757754,1.59174331,0.95889371,0.69328417,2.43563011,0.00000000,1.85998635,2.60433138
-5.65782891,7.08422354,0.03665406,1.64483980,0.91831593,0.69963815,2.37752207,0.00000000,1.88984291,2.67715571
-5.65182591,7.10455669,0.03583062,1.69137879,0.88031253,0.70487446,2.32134780,0.00000000,1.91564813,2.74099192
