energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.34699485,0.00194034,0.02001216,0.24225013,0.06026626,0.23353758,0.00000000
-5.99399700,0.38394367,0.00225004,0.02210630,0.26866973,0.06716489,0.25837165,0.00000000
-5.98799400,0.42348863,0.00259237,0.02438315,0.29711979,0.07465366,0.28486998,0.00000000
-5.98199100,0.46546921,0.00296683,0.02683832,0.32753268,0.08271959,0.31291706,0.00000000
-5.97598799,0.50970188,0.00337217,0.02946756,0.35982733,0.09134544,0.34238005,0.00000000
-5.96998499,0.55597893,0.00380632,0.03226661,0.39390762,0.10050888,0.37310823,0.00000000
-5.96398199,0.60406791,0.00426630,0.03523095,0.42966093,0.11018198,0.40493296,0.00000000
-5.95797899,0.65371207,0.00474822,0.03835572,0.46695716,0.12033075,0.43766831,0.00000000
-5.95197599,0.70463175,0.00524726,0.04163548,0.50564830,0.13091500,0.47111231,0.00000000
-5.94597299,0.75652704,0.00575770,0.04506418,0.54556858,0.14188852,0.50504909,0.00000000
-5.93996998,0.80908164,0.00627302,0.04863503,0.58653562,0.15319953,0.53925179,0.00000000
-5.93396698,0.86196815,0.00678598,0.05234060,0.62835243,0.16479160,0.57348645,0.00000000
-5.92796398,0.91485479,0.00728881,0.05617280,0.67081052,0.17660491,0.60751675,0.00000000
-5.92196098,0.96741348,0.00777334,0.06012317,0.71369422,0.18857796,0.64110967,0.00000000
-5.91595798,1.01932911,0.00823127,0.06418305,0.75678598,0.20064963,0.67404186,0.00000000
-5.90995498,1.07030995,0.00865437,0.06834406,0.79987287,0.21276163,0.70610671,0.00000000
-5.90395198,1.12009854,0.00903474,0.07259848,0.84275372,0.22486118,0.73712162,0.00000000
-5.89794897,1.16848296,0.00936504,0.07693988,0.88524701,0.23690377,0.76693551,0.00000000
-5.89194597,1.21530760,0.00963878,0.08136363,0.92719874,0.24885606,0.79543585,0.00000000
-5.88594297,1.26048309,0.00985047,0.08586762,0.96849019,0.26069850,0.82255511,0.00000000
-5.87993997,1.30399446,0.00999589,0.09045279,1.00904472,0.27242761,0.84827596,0.00000000
-5.87393697,1.34590711,0.01007218,0.09512372,1.04883339,0.28405789,0.87263496,0.00000000
-5.86793397,1.38636980,0.01007801,0.09988905,1.08787867,0.29562283,0.89572427,0.00000000
-5.86193097,1.42561421,0.01001359,0.10476180,1.12625588,0.30717526,0.91769111,0.00000000
-5.85592796,1.46395074,0.00988073,0.10975947,1.16409203,0.31878666,0.93873471,0.00000000
-5.84992496,1.50176035,0.00968274,0.11490398,1.20156182,0.33054546,0.95910070,0.00000000
-5.84392196,1.53948245,0.00942439,0.12022134,1.23888079,0.34255436,0.97907303,0.00000000
-5.83791896,1.57759929,0.00911172,0.12574114,1.27629577,0.35492662,0.99896352,0.00000000
-5.83191596,1.61661719,0.00875191,0.13149582,1.31407306,0.36778152,1.01909955,0.00000000
-5.82591296,1.65704561,0.00835304,0.13751978,1.35248478,0.38123913,1.03981037,0.00000000
-5.81990995,1.69937476,0.00792386,0.14384830,1.39179418,0.39541460,1.06141255,0.00000000
