energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,13.63257134,0.73820524,4.61103183,0.03859791,1.23424645,3.83688949,4.58647416,0.03723881,2.66148458
-5.99399700,13.66303082,0.74882175,4.62710564,0.03870467,1.24796969,3.84944473,4.59248557,0.03690055,2.66101700
-5.98799400,13.68757534,0.76128036,4.63944999,0.03888179,1.25996310,3.85649283,4.59819185,0.03652236,2.65967900
-5.98199100,13.70526687,0.77554156,4.64757170,0.03912125,1.27023371,3.85844903,4.60330677,0.03610824,2.65719629
-5.97598799,13.71550265,0.79158581,4.65111841,0.03941523,1.27882988,3.85588505,4.60761691,0.03566337,2.65337198
-5.96998499,13.71805480,0.80940985,4.64989943,0.03975633,1.28583781,3.84950297,4.61100111,0.03519400,2.64809592
-5.96398199,13.71308986,0.82902152,4.64389807,0.04013752,1.29137688,3.84010486,4.61344430,0.03470731,2.64134980
-5.95797899,13.70116702,0.85043344,4.63327462,0.04055226,1.29559403,3.82855904,4.61504453,0.03421124,2.63320771
-5.95197599,13.68321454,0.87365572,4.61835965,0.04099436,1.29865736,3.81576472,4.61601288,0.03371434,2.62383207
-5.94597299,13.66048522,0.89868815,4.59963802,0.04145800,1.30074922,3.80261606,4.61666600,0.03322561,2.61346507
-5.93996998,13.63449302,0.92551215,4.57772413,0.04193760,1.30205894,3.78996719,4.61741162,0.03275440,2.60241613
-5.93396698,13.60693375,0.95408289,4.55332984,0.04242766,1.30277556,3.77859941,4.61872787,0.03231025,2.59104579
-5.92796398,13.57959389,0.98432215,4.52722663,0.04292266,1.30308057,3.76919167,4.62113745,0.03190277,2.57974704
-5.92196098,13.55425226,1.01611222,4.50020404,0.04341691,1.30314118,3.76229546,4.62517812,0.03154158,2.56892482
-5.91595798,13.53257964,1.04929131,4.47302654,0.04390441,1.30310402,3.75831488,4.63137113,0.03123615,2.55897490
-5.90995498,13.51604185,1.08365088,4.44639132,0.04437874,1.30308964,3.75749259,4.64018947,0.03099576,2.55026306
-5.90395198,13.50581146,1.11893521,4.42088922,0.04483297,1.30318799,3.75990213,4.65202763,0.03082937,2.54310584
-5.89794897,13.50269326,1.15484339,4.39697106,0.04525961,1.30345491,3.76544689,4.66717476,0.03074553,2.53775371
-5.89194597,13.50706754,1.19103386,4.37492130,0.04565064,1.30390986,3.77386570,4.68579255,0.03075223,2.53437761
-5.88594297,13.51885478,1.22713161,4.35484049,0.04599757,1.30453497,3.78474490,4.70789935,0.03085681,2.53305965
-5.87993997,13.53750379,1.26273768,4.33663777,0.04629154,1.30527544,3.79753650,4.73336133,0.03106574,2.53378834
-5.87393697,13.56200440,1.29744084,4.32003366,0.04652356,1.30604131,3.81158163,4.76189115,0.03138447,2.53645875
-5.86793397,13.59092420,1.33083087,4.30457338,0.04668469,1.30671066,3.82613854,4.79305439,0.03181719,2.54087739
-5.86193097,13.62246760,1.36251303,4.28964973,0.04676633,1.30713410,3.84041389,4.82628318,0.03236659,2.54677174
-5.85592796,13.65455409,1.39212274,4.27453460,0.04676060,1.30714035,3.85359614,4.86089645,0.03303362,2.55380369
-5.84992496,13.68491165,1.41934005,4.25841719,0.04666056,1.30654298,3.86488961,4.89612555,0.03381718,2.56158613
-5.84392196,13.71118000,1.44390286,4.24044688,0.04646062,1.30514775,3.87354756,4.93114379,0.03471389,2.56970187
-5.83791896,13.73101824,1.46561814,4.21977849,0.04615682,1.30276062,3.87890302,4.96509834,0.03571784,2.57772353
-5.83191596,13.74221077,1.48437052,4.19561716,0.04574703,1.29919576,3.88039564,4.99714267,0.03682036,2.58523347
-5.82591296,13.74276579,1.50012759,4.16726067,0.04523119,1.29428358,3.87759342,5.02646780,0.03800988,2.59184243
-5.81990995,13.73100097,1.51294144,4.13413659,0.04461139,1.28787817,3.87020822,5.05233070,0.03927185,2.59720603
-5.81390695,13.70561177,1.52294629,4.09583244,0.04389192,1.27986389,3.85810419,5.07407852,0.04058878,2.60103799
-5.80790395,13.66571889,1.53035207,4.05211727,0.04307912,1.27016087,3.84129882,5.09116735,0.04194030,2.60311962
-5.80190095,13.61089285,1.53543437,4.00295347,0.04218127,1.25872907,3.81995649,5.10317489,0.04330345,2.60330498
-5.79589795,13.54115474,1.53852095,3.94849856,0.04120831,1.24557067,3.79437495,5.10980661,0.04465303,2.60152174
-5.78989495,13.45695402,1.53997585,3.88909695,0.04017150,1.23073082,3.76496563,5.11089535,0.04596209,2.59776772
-5.78389195,13.35912541,1.54018151,3.82526237,0.03908299,1.21429641,3.73222877,5.10639499,0.04720252,2.59210373
-5.77788894,13.24882806,1.53952027,3.75765244,0.03795549,1.19639327,3.69672506,5.09636863,0.04834577,2.58464317
-5.77188594,13.12747148,1.53835608,3.68703667,0.03680171,1.17718155,3.65904524,5.08097271,0.04936366,2.57553942
-5.76588294,12.99663282,1.53701737,3.61426031,0.03563407,1.15684982,3.61977962,5.06043804,0.05022917,2.56497185
-5.75987994,12.85797109,1.53578233,3.54020584,0.03446420,1.13560791,3.57948920,5.03504915,0.05091735,2.55313152
-5.75387694,12.71314316,1.53486707,3.46575458,0.03330273,1.11367908,3.53867996,5.00512348,0.05140613,2.54020749
-5.74787394,12.56372668,1.53441753,3.39175035,0.03215896,1.09129164,3.49778186,4.97099148,0.05167714,2.52637459
-5.74187094,12.41115372,1.53450541,3.31896715,0.03104077,1.06867062,3.45713338,4.93297899,0.05171637,2.51178345
-5.73586793,12.25665864,1.53512831,3.24808234,0.02995452,1.04602986,3.41697247,4.89139253,0.05151476,2.49655309
-5.72986493,12.10124202,1.53621389,3.17965656,0.02890506,1.02356476,3.37743393,4.84650847,0.05106859,2.48076652
