energy_ev,total_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.50992635,0.38585903,0.14790242,0.00060765,0.27373711,0.08145349,0.00015485
-5.99399700,0.50968118,0.37336776,0.14564048,0.00066858,0.27049924,0.08560760,0.00015799
-5.98799400,0.51651747,0.36811231,0.14611674,0.00074164,0.27125699,0.09014829,0.00016326
-5.98199100,0.52987548,0.36967163,0.14918696,0.00082698,0.27568859,0.09498241,0.00017052
-5.97598799,0.54915196,0.37758359,0.15469036,0.00092460,0.28345069,0.10001280,0.00017962
-5.96998499,0.57370922,0.39135099,0.16245082,0.00103436,0.29418383,0.10514046,0.00019039
-5.96398199,0.60288234,0.41044555,0.17227741,0.00115589,0.30751666,0.11026671,0.00020265
-5.95797899,0.63598458,0.43430989,0.18396431,0.00128861,0.32306920,0.11529517,0.00021620
-5.95197599,0.67231150,0.46235835,0.19729045,0.00143169,0.34045523,0.12013361,0.00023082
-5.94597299,0.71114402,0.49397688,0.21201895,0.00158403,0.35928404,0.12469559,0.00024631
-5.93996998,0.75175108,0.52852294,0.22789675,0.00174426,0.37916184,0.12890186,0.00026242
-5.93396698,0.79339225,0.56532589,0.24465465,0.00191071,0.39969304,0.13268144,0.00027891
-5.92796398,0.83532094,0.60368845,0.26200795,0.00208146,0.42048181,0.13597253,0.00029553
-5.92196098,0.87678857,0.64288996,0.27965795,0.00225432,0.44113404,0.13872303,0.00031201
-5.91595798,0.91705013,0.68219157,0.29729443,0.00242686,0.46126001,0.14089092,0.00032809
-5.90995498,0.95537139,0.72084381,0.31459920,0.00259649,0.48047782,0.14244434,0.00034348
-5.90395198,0.99103782,0.75809648,0.33125075,0.00276046,0.49841779,0.14336151,0.00035794
-5.89794897,1.02336518,0.79321081,0.34692980,0.00291597,0.51472767,0.14363045,0.00037118
-5.89194597,1.05171168,0.82547347,0.36132583,0.00306021,0.52907863,0.14324868,0.00038295
-5.88594297,1.07549118,0.85421213,0.37414413,0.00319048,0.54117192,0.14222271,0.00039303
-5.87993997,1.09418700,0.87881166,0.38511319,0.00330420,0.55074578,0.14056759,0.00040120
-5.87393697,1.10736573,0.89873054,0.39399210,0.00339905,0.55758241,0.13830634,0.00040728
-5.86793397,1.11469028,0.91351637,0.40057756,0.00347305,0.56151463,0.13546943,0.00041111
-5.86193097,1.11593147,0.92281986,0.40471018,0.00352457,0.56243173,0.13209427,0.00041260
-5.85592796,1.11097743,0.92640645,0.40627969,0.00355243,0.56028433,0.12822456,0.00041168
-5.84992496,1.09984017,0.92416476,0.40522875,0.00355596,0.55508773,0.12390982,0.00040833
-5.84392196,1.08265875,0.91611152,0.40155516,0.00353496,0.54692360,0.11920469,0.00040259
-5.83791896,1.05969865,0.90239239,0.39531229,0.00348977,0.53593963,0.11416833,0.00039454
-5.83191596,1.03134726,0.88327858,0.38660765,0.00342124,0.52234724,0.10886368,0.00038430
-5.82591296,0.99810523,0.85915930,0.37559965,0.00333069,0.50641714,0.10335665,0.00037204
-5.81990995,0.96057418,0.83053027,0.36249264,0.00321989,0.48847288,0.09771526,0.00035799
-5.81390695,0.91944087,0.79797866,0.34753045,0.00309097,0.46888257,0.09200866,0.00034238
-5.80790395,0.87545862,0.76216521,0.33098872,0.00294638,0.44804910,0.08630613,0.00032549
-5.80190095,0.82942659,0.72380413,0.31316635,0.00278879,0.42639908,0.08067600,0.00030759
