energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.02671264,0.49723764,0.00818804,0.00133494,2.58441561,2.45788731,1.12551038
-5.99399700,3.88302573,0.48088673,0.00792046,0.00128723,2.48914128,2.35756388,1.07009641
-5.98799400,3.74173859,0.46540458,0.00765652,0.00123898,2.39511176,2.25870661,1.01565735
-5.98199100,3.60480417,0.45105041,0.00740017,0.00119148,2.30357932,2.16274040,0.96289316
-5.97598799,3.47396592,0.43803490,0.00715485,0.00114599,2.21568081,2.07097261,0.91244931
-5.96998499,3.35072972,0.42651519,0.00692340,0.00110372,2.13242208,1.98457115,0.86490943
-5.96398199,3.23634854,0.41659224,0.00670800,0.00106578,2.05466982,1.90455026,0.82079095
-5.95797899,3.13181947,0.40831046,0.00651021,0.00103321,1.98315045,1.83176394,0.78054365
-5.95197599,3.03789226,0.40165972,0.00633092,0.00100692,1.91845560,1.76690652,0.74455080
-5.94597299,2.95508807,0.39657917,0.00617045,0.00098767,1.86105325,1.71051988,0.71313260
-5.93996998,2.88372627,0.39296282,0.00602858,0.00097610,1.81130332,1.66300581,0.68655129
-5.93396698,2.82395727,0.39066641,0.00590466,0.00097268,1.76947626,1.62464264,0.66501747
-5.92796398,2.77579855,0.38951519,0.00579768,0.00097773,1.73577311,1.59560439,0.64869696
-5.92196098,2.73917162,0.38931213,0.00570640,0.00099138,1.71034556,1.57598106,0.63771760
-5.91595798,2.71393719,0.38984627,0.00562943,0.00101362,1.69331436,1.56579875,0.63217550
-5.90995498,2.69992661,0.39090072,0.00556535,0.00104425,1.68478488,1.56503802,0.63214008
-5.90395198,2.69696743,0.39226012,0.00551280,0.00108290,1.68485878,1.57364971,0.63765774
-5.89794897,2.70490199,0.39371716,0.00547056,0.00112907,1.69364081,1.59156702,0.64875369
-5.89194597,2.72359806,0.39507807,0.00543762,0.00118207,1.71124067,1.61871359,0.66543189
-5.88594297,2.75295137,0.39616694,0.00541322,0.00124107,1.73776954,1.65500710,0.68767316
-5.87993997,2.79288030,0.39682888,0.00539691,0.00130511,1.77333178,1.70035856,0.71543156
-5.87393697,2.84331353,0.39693191,0.00538855,0.00137310,1.81801249,1.75466750,0.74862938
-5.86793397,2.90417204,0.39636793,0.00538833,0.00144386,1.87186165,1.81781383,0.78715105
-5.86193097,2.97534694,0.39505265,0.00539673,0.00151611,1.93487616,1.88964686,0.83083664
-5.85592796,3.05667504,0.39292486,0.00541452,0.00158854,2.00698099,1.96997270,0.87947531
-5.84992496,3.14791409,0.38994507,0.00544273,0.00165978,2.08801073,2.05854080,0.93279932
-5.84392196,3.24871943,0.38609387,0.00548257,0.00172847,2.17769285,2.15503072,0.99047928
-5.83791896,3.35862398,0.38137010,0.00553541,0.00179330,2.27563384,2.25904016,1.05212090
-5.83191596,3.47702290,0.37578897,0.00560271,0.00185303,2.38130924,2.37007497,1.11726393
-5.82591296,3.60316403,0.36938033,0.00568593,0.00190650,2.49405830,2.48754199,1.18538335
