energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,4.52876220,0.00759102,0.43448557,1.99577971,2.78373613,1.36639960,0.75547300,0.47312479,0.00000000
-5.99399700,4.50134262,0.00794550,0.43678447,1.99006551,2.74030150,1.37020964,0.75941196,0.47962722,0.00000000
-5.98799400,4.47043185,0.00827076,0.43860815,1.97987678,2.69538184,1.37177874,0.76305483,0.48567139,0.00000000
-5.98199100,4.43623766,0.00856169,0.43996083,1.96510463,2.64930821,1.37122877,0.76633377,0.49124082,0.00000000
-5.97598799,4.39912502,0.00881376,0.44086837,1.94573616,2.60249197,1.36876039,0.76920601,0.49633059,0.00000000
-5.96998499,4.35962153,0.00902316,0.44137802,1.92186025,2.55542791,1.36464817,0.77165582,0.50094714,0.00000000
-5.96398199,4.31841521,0.00918691,0.44155722,1.89367031,2.50869318,1.35923282,0.77369513,0.50510767,0.00000000
-5.95797899,4.27634395,0.00930293,0.44149139,1.86146364,2.46294124,1.35291051,0.77536264,0.50883907,0.00000000
-5.95197599,4.23437633,0.00937010,0.44128082,1.82563729,2.41889074,1.34611969,0.77672149,0.51217640,0.00000000
-5.94597299,4.19358419,0.00938826,0.44103667,1.78668035,2.37730931,1.33932583,0.77785539,0.51516104,0.00000000
-5.93996998,4.15510765,0.00935822,0.44087631,1.74516294,2.33899246,1.33300454,0.77886363,0.51783844,0.00000000
-5.93396698,4.12011384,0.00928169,0.44091803,1.70172223,2.30473853,1.32762371,0.77985490,0.52025573,0.00000000
-5.92796398,4.08975107,0.00916121,0.44127558,1.65704591,2.27532032,1.32362540,0.78094050,0.52245909,0.00000000
-5.92196098,4.06510042,0.00900006,0.44205251,1.61185377,2.25145490,1.32140818,0.78222705,0.52449128,0.00000000
-5.91595798,4.04712700,0.00880215,0.44333681,1.56687800,2.23377277,1.32131062,0.78380932,0.52638918,0.00000000
-5.90995498,4.03663334,0.00857188,0.44519597,1.52284302,2.22278792,1.32359671,0.78576335,0.52818165,0.00000000
-5.90395198,4.03421700,0.00831399,0.44767276,1.48044540,2.21887031,1.32844385,0.78814040,0.52988773,0.00000000
-5.89794897,4.04023487,0.00803344,0.45078196,1.44033476,2.22222216,1.33593388,0.79096202,0.53151537,0.00000000
-5.89194597,4.05477580,0.00773526,0.45450823,1.40309613,2.23285936,1.34604773,0.79421647,0.53306062,0.00000000
-5.88594297,4.07764327,0.00742443,0.45880522,1.36923443,2.25059908,1.35866381,0.79785674,0.53450747,0.00000000
-5.87993997,4.10834898,0.00710575,0.46359600,1.33916154,2.27505443,1.37356048,0.80180037,0.53582825,0.00000000
-5.87393697,4.14611807,0.00678371,0.46877487,1.31318626,2.30563667,1.39042231,0.80593094,0.53698470,0.00000000
-5.86793397,4.18990576,0.00646247,0.47421039,1.29150752,2.34156501,1.40885021,0.81010130,0.53792952,0.00000000
-5.86193097,4.23842515,0.00614573,0.47974965,1.27421088,2.38188399,1.42837481,0.81413833,0.53860838,0.00000000
-5.85592796,4.29018485,0.00583671,0.48522347,1.26126837,2.42548776,1.44847278,0.81784906,0.53896248,0.00000000
-5.84992496,4.34353517,0.00553811,0.49045250,1.25254172,2.47115043,1.46858544,0.82102787,0.53893118,0.00000000
-5.84392196,4.39672091,0.00525210,0.49525377,1.24778853,2.51756139,1.48813888,0.82346435,0.53845501,0.00000000
-5.83791896,4.44793878,0.00498032,0.49944757,1.24667150,2.56336419,1.50656498,0.82495174,0.53747861,0.00000000
-5.83191596,4.49539694,0.00472394,0.50286435,1.24876998,2.60719755,1.52332242,0.82529521,0.53595369,0.00000000
-5.82591296,4.53737462,0.00448363,0.50535142,1.25359381,2.64773673,1.53791715,0.82432014,0.53384173,0.00000000
-5.81990995,4.57227934,0.00425965,0.50677912,1.26059877,2.68373387,1.54992132,0.82187959,0.53111650,0.00000000
-5.81390695,4.59869964,0.00405191,0.50704632,1.26920319,2.71405556,1.55899031,0.81786113,0.52776613,0.00000000
-5.80790395,4.61545150,0.00385998,0.50608511,1.27880534,2.73771628,1.56487725,0.81219257,0.52379478,0.00000000
-5.80190095,4.62161677,0.00368324,0.50386438,1.28880091,2.75390659,1.56744452,0.80484640,0.51922376,0.00000000
-5.79589795,4.61657238,0.00352085,0.50039241,1.29860009,2.76201482,1.56667202,0.79584308,0.51409212,0.00000000
-5.78989495,4.60000955,0.00337190,0.49571830,1.30764386,2.76164185,1.56266212,0.78525279,0.50845667,0.00000000
-5.78389195,4.57194245,0.00323543,0.48993219,1.31541879,2.75260840,1.55564102,0.77319587,0.50239133,0.00000000
-5.77788894,4.53270637,0.00311051,0.48316445,1.32147014,2.73495473,1.54595673,0.75984179,0.49598597,0.00000000
-5.77188594,4.48294566,0.00299627,0.47558369,1.32541270,2.70893308,1.53407384,0.74540692,0.48934461,0.00000000
-5.76588294,4.42359216,0.00289200,0.46739385,1.32693915,2.67499332,1.52056508,0.73015087,0.48258310,0.00000000
-5.75987994,4.35583511,0.00279712,0.45883036,1.32582574,2.63376248,1.50610027,0.71437179,0.47582632,0.00000000
-5.75387694,4.28108372,0.00271126,0.45015548,1.32193508,2.58601931,1.49143260,0.69840055,0.46920495,0.00000000
-5.74787394,4.20092393,0.00263428,0.44165289,1.31521609,2.53266488,1.47738293,0.68259397,0.46285189,0.00000000
-5.74187094,4.11707079,0.00256621,0.43362182,1.30570118,2.47469059,1.46482205,0.66732723,0.45689843,0.00000000
-5.73586793,4.03131813,0.00250732,0.42637052,1.29350077,2.41314475,1.45465161,0.65298561,0.45147034,0.00000000
-5.72986493,3.94548710,0.00245808,0.42020945,1.27879557,2.34909922,1.44778367,0.63995561,0.44668386,0.00000000
-5.72386193,3.86137519,0.00241909,0.41544413,1.26182673,2.28361713,1.44511947,0.62861571,0.44264184,0.00000000
-5.71785893,3.78070715,0.00239108,0.41236782,1.24288460,2.21772302,1.44752744,0.61932681,0.43943016,0.00000000
-5.71185593,3.70508911,0.00237487,0.41125410,1.22229617,2.15237612,1.45582100,0.61242274,0.43711451,0.00000000
-5.70585293,3.63596723,0.00237125,0.41234958,1.20041211,2.08844776,1.47073629,0.60820067,0.43573761,0.00000000
-5.69984992,3.57459161,0.00238100,0.41586665,1.17759353,2.02670334,1.49291027,0.60691209,0.43531721,0.00000000
-5.69384692,3.52198654,0.00240477,0.42197666,1.15419920,1.96778922,1.52285958,0.60875419,0.43584465,0.00000000
