energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.11889005,0.47269350,1.85844072,0.00769158,0.04397992,0.01001301,0.17445869
-5.99399700,2.12590033,0.48606542,1.86183077,0.00714145,0.04478579,0.01048055,0.17272727
-5.98799400,2.13928718,0.50099445,1.87097410,0.00664688,0.04558606,0.01098846,0.17152489
-5.98199100,2.15950551,0.51747493,1.88630867,0.00620959,0.04639490,0.01153753,0.17086817
-5.97598799,2.18706842,0.53549979,1.90832537,0.00582984,0.04723057,0.01212854,0.17077510
-5.96998499,2.22253164,0.55505871,1.93755316,0.00550649,0.04811470,0.01276220,0.17126494
-5.96398199,2.26647162,0.57613590,1.97453865,0.00523722,0.04907137,0.01343924,0.17235770
-5.95797899,2.31945851,0.59870741,2.01982065,0.00501865,0.05012600,0.01416034,0.17407336
-5.95197599,2.38202477,0.62273846,2.07390117,0.00484658,0.05130411,0.01492618,0.17643074
-5.94597299,2.45463125,0.64818062,2.13721392,0.00471619,0.05263006,0.01573744,0.17944621
-5.93996998,2.53763225,0.67496917,2.21009216,0.00462223,0.05412575,0.01659473,0.18313223
-5.93396698,2.63124162,0.70302090,2.29273747,0.00455928,0.05580931,0.01749859,0.18749582
-5.92796398,2.73550160,0.73223239,2.38519134,0.00452193,0.05769401,0.01844948,0.19253703
-5.92196098,2.85025645,0.76247897,2.48731114,0.00450496,0.05978723,0.01944770,0.19824761
-5.91595798,2.97513236,0.79361459,2.59875203,0.00450352,0.06208972,0.02049336,0.20460975
-5.90995498,3.10952510,0.82547249,2.71895606,0.00451323,0.06459506,0.02158634,0.21159521
-5.90395198,3.25259625,0.85786684,2.84714926,0.00453034,0.06728948,0.02272620,0.21916473
-5.89794897,3.40327869,0.89059527,2.98234727,0.00455176,0.07015193,0.02391217,0.22726777
-5.89194597,3.56029128,0.92344214,3.12336955,0.00457509,0.07315449,0.02514304,0.23584268
-5.88594297,3.72216241,0.95618242,3.26886162,0.00459865,0.07626306,0.02641710,0.24481724
-5.87993997,3.88726129,0.98858602,3.41732469,0.00462146,0.07943833,0.02773207,0.25410949
-5.87393697,4.05383600,1.02042226,3.56715125,0.00464316,0.08263692,0.02908504,0.26362895
-5.86793397,4.22005625,1.05146426,3.71666518,0.00466394,0.08581274,0.03047237,0.27327802
-5.86193097,4.38405924,1.08149298,3.86416469,0.00468442,0.08891839,0.03188961,0.28295354
-5.85592796,4.54399654,1.11030077,4.00796598,0.00470557,0.09190662,0.03333144,0.29254856
-5.84992496,4.69807979,1.13769403,4.14644598,0.00472858,0.09473173,0.03479162,0.30195404
-5.84392196,4.84462356,1.16349509,4.27808222,0.00475467,0.09735089,0.03626289,0.31106060
-5.83791896,4.98208352,1.18754314,4.40148829,0.00478504,0.09972527,0.03773698,0.31976020
-5.83191596,5.10908852,1.20969417,4.51544358,0.00482072,0.10182097,0.03920461,0.32794766
-5.82591296,5.22446570,1.22982018,4.61891626,0.00486244,0.10360976,0.04065547,0.33552216
-5.81990995,5.32725795,1.24780763,4.71107905,0.00491060,0.10506951,0.04207835,0.34238848
-5.81390695,5.41673352,1.26355554,4.79131738,0.00496514,0.10618442,0.04346118,0.34845829
-5.80790395,5.49238815,1.27697338,4.85923040,0.00502556,0.10694498,0.04479125,0.35365114
-5.80190095,5.55394015,1.28797913,4.91462509,0.00509085,0.10734777,0.04605536,0.35789552
-5.79589795,5.60131951,1.29649763,4.95750452,0.00515958,0.10739500,0.04724011,0.36112976
-5.78989495,5.63465198,1.30245968,4.98805119,0.00522985,0.10709402,0.04833213,0.36330297
-5.78389195,5.65423950,1.30580187,5.00660675,0.00529944,0.10645663,0.04931844,0.36437583
-5.77788894,5.66053823,1.30646738,5.01364922,0.00536585,0.10549845,0.05018673,0.36432146
-5.77188594,5.65413526,1.30440769,5.00976907,0.00542640,0.10423814,0.05092575,0.36312616
-5.76588294,5.63572550,1.29958521,4.99564529,0.00547837,0.10269683,0.05152555,0.36079007
-5.75987994,5.60608928,1.29197658,4.97202250,0.00551911,0.10089739,0.05197784,0.35732776
-5.75387694,5.56607177,1.28157654,4.93968983,0.00554616,0.09886390,0.05227617,0.35276859
-5.74787394,5.51656464,1.26840191,4.89946242,0.00555733,0.09662118,0.05241618,0.34715690
-5.74187094,5.45849026,1.25249559,4.85216578,0.00555087,0.09419434,0.05239565,0.34055184
-5.73586793,5.39278869,1.23393001,4.79862339,0.00552549,0.09160847,0.05221459,0.33302697
-5.72986493,5.32040731,1.21280994,4.73964743,0.00548043,0.08888835,0.05187517,0.32466944
-5.72386193,5.24229299,1.18927425,4.67603261,0.00541553,0.08605822,0.05138165,0.31557879
-5.71785893,5.15938647,1.16349651,4.60855277,0.00533121,0.08314164,0.05074013,0.30586540
-5.71185593,5.07261852,1.13568431,4.53795987,0.00522846,0.08016134,0.04995838,0.29564856
-5.70585293,4.98290757,1.10607726,4.46498477,0.00510883,0.07713912,0.04904552,0.28505421
-5.69984992,4.89115825,1.07494362,4.39033951,0.00497430,0.07409577,0.04801171,0.27421245
-5.69384692,4.79826044,1.04257597,4.31472019,0.00482729,0.07105098,0.04686787,0.26325487
-5.68784392,4.70508842,1.00928578,4.23881013,0.00467050,0.06802332,0.04562535,0.25231178
-5.68184092,4.61249969,0.97539739,4.16328267,0.00450681,0.06503020,0.04429565,0.24150950
-5.67583792,4.52133303,0.94124154,4.08880297,0.00433923,0.06208782,0.04289020,0.23096771
-5.66983492,4.43240569,0.90714873,4.01602858,0.00417072,0.05921119,0.04142019,0.22079707
-5.66383192,4.34650923,0.87344273,3.94560826,0.00400414,0.05641415,0.03989639,0.21109709
-5.65782891,4.26440404,0.84043447,3.87817881,0.00384217,0.05370937,0.03832911,0.20195441
-5.65182591,4.18681235,0.80841641,3.81435981,0.00368718,0.05110837,0.03672817,0.19344149
-5.64582291,4.11440986,0.77765769,3.75474627,0.00354125,0.04862161,0.03510293,0.18561570
-5.63981991,4.04781605,0.74839996,3.69989932,0.00340607,0.04625849,0.03346232,0.17851893
-5.63381691,3.98758349,0.72085415,3.65033521,0.00328294,0.04402738,0.03181493,0.17217762
-5.62781391,3.93418643,0.69519804,3.60651306,0.00317278,0.04193566,0.03016911,0.16660320
-5.62181091,3.88800929,0.67157455,3.56882199,0.00307613,0.03998972,0.02853305,0.16179284
-5.61580790,3.84933536,0.65009093,3.53756805,0.00299317,0.03819491,0.02691484,0.15773064
-5.60980490,3.81833653,0.63081849,3.51296189,0.00292376,0.03655557,0.02532251,0.15438886
-5.60380190,3.79506450,0.61379299,3.49510775,0.00286750,0.03507489,0.02376410,0.15172953
-5.59779890,3.77944415,0.59901556,3.48399447,0.00282375,0.03375489,0.02224762,0.14970596
-5.59179590,3.77126958,0.58645404,3.47948922,0.00279168,0.03259629,0.02078101,0.14826442
-5.58579290,3.77020331,0.57604475,3.48133435,0.00277034,0.03159846,0.01937211,0.14734568
-5.57978989,3.77577887,0.56769457,3.48914795,0.00275867,0.03075930,0.01802855,0.14688659
-5.57378689,3.78740719,0.56128342,3.50242816,0.00275557,0.03007519,0.01675771,0.14682140
-5.56778389,3.80438651,0.55666695,3.52056135,0.00275989,0.02954093,0.01556655,0.14708310
-5.56178089,3.82591596,0.55367955,3.54283417,0.00277051,0.02914974,0.01446160,0.14760448
-5.55577789,3.85111238,0.55213763,3.56844894,0.00278630,0.02889331,0.01344886,0.14831910
-5.54977489,3.87902997,0.55184309,3.59654208,0.00280621,0.02876184,0.01253369,0.14916212
-5.54377189,3.90868212,0.55258708,3.62620506,0.00282923,0.02874420,0.01172088,0.15007099
-5.53776888,3.93906493,0.55415385,3.65650690,0.00285441,0.02882811,0.01101455,0.15098607
-5.53176588,3.96918154,0.55632484,3.68651781,0.00288093,0.02900032,0.01041820,0.15185113
-5.52576288,3.99806648,0.55888275,3.71533288,0.00290807,0.02924692,0.00993476,0.15261386
-5.51975988,4.02480943,0.56161571,3.74209522,0.00293527,0.02955361,0.00956664,0.15322632
-5.51375688,4.04857750,0.56432138,3.76601765,0.00296215,0.02990599,0.00931578,0.15364543
-5.50775388,4.06863530,0.56681090,3.78640233,0.00298856,0.03028990,0.00918376,0.15383342
-5.50175088,4.08436237,0.56891264,3.80265771,0.00301461,0.03069172,0.00917182,0.15375838
-5.49574787,4.09526730,0.57047561,3.81431217,0.00304075,0.03109866,0.00928097,0.15339476
-5.48974487,4.10099815,0.57137258,3.82102416,0.00306780,0.03149904,0.00951198,0.15272393
-5.48374187,4.10134897,0.57150255,3.82258837,0.00309698,0.03188248,0.00986542,0.15173471
-5.47773887,4.09626222,0.57079289,3.81893799,0.00312999,0.03224012,0.01034162,0.15042387
-5.47173587,4.08582703,0.56920062,3.81014287,0.00316903,0.03256471,0.01094066,0.14879660
-5.46573287,4.07027351,0.56671323,3.79640397,0.00321685,0.03285067,0.01166221,0.14686683
-5.45972986,4.04996334,0.56334865,3.77804409,0.00327670,0.03309410,0.01250547,0.14465752
-5.45372686,4.02537686,0.55915452,3.75549553,0.00335239,0.03329272,0.01346901,0.14220065
-5.44772386,3.99709733,0.55420672,3.72928492,0.00344819,0.03344577,0.01455057,0.13953720
-5.44172086,3.96579276,0.54860721,3.70001591,0.00356884,0.03355386,0.01574693,0.13671675
-5.43571786,3.93219590,0.54248107,3.66835032,0.00371942,0.03361873,0.01705370,0.13379694
-5.42971486,3.89708315,0.53597303,3.63498831,0.00390523,0.03364313,0.01846515,0.13084274
-5.42371186,3.86125292,0.52924337,3.60064827,0.00413170,0.03363053,0.01997411,0.12792534
-5.41770885,3.82550414,0.52246334,3.56604701,0.00440419,0.03358493,0.02157182,0.12512096
-5.41170585,3.79061554,0.51581027,3.53188086,0.00472780,0.03351067,0.02324790,0.12250939
-5.40570285,3.75732614,0.50946248,3.49880819,0.00510723,0.03341225,0.02499037,0.12017230
-5.39969985,3.72631768,0.50359405,3.46743377,0.00554652,0.03329421,0.02678567,0.11819151
