energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,3.17256575,0.07828866,0.00855553,0.67077693,1.56178193,0.02082715,1.53331652
-5.99399700,3.14544699,0.07397675,0.00857530,0.68063684,1.54927757,0.01982005,1.52741469
-5.98799400,3.11652425,0.06965236,0.00857784,0.69036272,1.53621417,0.01877001,1.52169477
-5.98199100,3.08596982,0.06535533,0.00856124,0.69974140,1.52271702,0.01768984,1.51623691
-5.97598799,3.05390884,0.06112504,0.00852363,0.70855913,1.50887716,0.01659225,1.51108028
-5.96998499,3.02041137,0.05699916,0.00846335,0.71660424,1.49474708,0.01548946,1.50621586
-5.96398199,2.98548896,0.05301234,0.00837894,0.72367013,1.48033909,0.01439297,1.50158212
-5.95797899,2.94909578,0.04919525,0.00826929,0.72955863,1.46562631,0.01331325,1.49706383
-5.95197599,2.91113413,0.04557383,0.00813368,0.73408347,1.45054611,0.01225964,1.49249409
-5.94597299,2.87146372,0.04216877,0.00797183,0.73707396,1.43500579,0.01124017,1.48765938
-5.93996998,2.82991408,0.03899526,0.00778397,0.73837855,1.41888992,0.01026157,1.48230739
-5.93396698,2.78629913,0.03606301,0.00757084,0.73786831,1.40206889,0.00932920,1.47615711
-5.92796398,2.74043303,0.03337643,0.00733371,0.73544010,1.38440829,0.00844715,1.46891064
-5.92196098,2.69214624,0.03093501,0.00707434,0.73101929,1.36577820,0.00761830,1.46026615
-5.91595798,2.64130089,0.02873387,0.00679499,0.72456205,1.34606227,0.00684446,1.44993123
-5.90995498,2.58780470,0.02676438,0.00649831,0.71605692,1.32516584,0.00612645,1.43763603
-5.90395198,2.53162260,0.02501484,0.00618731,0.70552586,1.30302277,0.00546434,1.42314552
-5.89794897,2.47278569,0.02347116,0.00586530,0.69302446,1.27960083,0.00485751,1.40627031
-5.89194597,2.41139709,0.02211758,0.00553573,0.67864150,1.25490523,0.00430492,1.38687568
-5.88594297,2.34763468,0.02093731,0.00520222,0.66249779,1.22898045,0.00380515,1.36488818
-5.87993997,2.28175050,0.01991313,0.00486836,0.64474429,1.20191025,0.00335663,1.34029991
-5.87393697,2.21406734,0.01902790,0.00453769,0.62555963,1.17381593,0.00295777,1.31317006
-5.86793397,2.14497254,0.01826500,0.00421364,0.60514705,1.14485321,0.00260704,1.28362400
-5.86193097,2.07490958,0.01760874,0.00389941,0.58373080,1.11520787,0.00230316,1.25184973
-5.85592796,2.00436785,0.01704460,0.00359796,0.56155220,1.08509029,0.00204517,1.21809232
-5.84992496,1.93387123,0.01655954,0.00331196,0.53886531,1.05472949,0.00183252,1.18264627
-5.84392196,1.86396580,0.01614211,0.00304376,0.51593250,1.02436674,0.00166520,1.14584645
-5.83791896,1.79520731,0.01578262,0.00279537,0.49301982,0.99424898,0.00154378,1.10805793
-5.83191596,1.72814883,0.01547323,0.00256844,0.47039242,0.96462251,0.00146951,1.06966513
-5.82591296,1.66332883,0.01520802,0.00236428,0.44831003,0.93572691,0.00144436,1.03106083
-5.81990995,1.60126001,0.01498300,0.00218387,0.42702269,0.90778949,0.00147105,0.99263523
-5.81390695,1.54241918,0.01479617,0.00202784,0.40676660,0.88102027,0.00155307,0.95476572
-5.80790395,1.48723813,0.01464743,0.00189652,0.38776045,0.85560762,0.00169467,0.91780739
-5.80190095,1.43609572,0.01453856,0.00178993,0.37020195,0.83171454,0.00190082,0.88208470
-5.79589795,1.38931104,0.01447314,0.00170782,0.35426488,0.80947558,0.00217713,0.84788439
-5.78989495,1.34713777,0.01445634,0.00164968,0.34009645,0.78899433,0.00252972,0.81544984
-5.78389195,1.30975951,0.01449480,0.00161472,0.32781514,0.77034155,0.00296510,0.78497679
-5.77788894,1.27728623,0.01459629,0.00160195,0.31750895,0.75355378,0.00348989,0.75661061
-5.77188594,1.24975168,0.01476942,0.00161015,0.30923405,0.73863259,0.00411065,0.73044487
-5.76588294,1.22711182,0.01502323,0.00163788,0.30301385,0.72554423,0.00483352,0.70652136
-5.75987994,1.20924425,0.01536678,0.00168351,0.29883853,0.71421991,0.00566390,0.68483132
-5.75387694,1.19594878,0.01580860,0.00174526,0.29666494,0.70455672,0.00660610,0.66531775
-5.74787394,1.18694917,0.01635617,0.00182114,0.29641695,0.69641902,0.00766295,0.64787888
-5.74187094,1.18189618,0.01701538,0.00190907,0.29798631,0.68964069,0.00883539,0.63237241
-5.73586793,1.18037201,0.01778999,0.00200680,0.30123391,0.68402797,0.01012210,0.61862065
-5.72986493,1.18189624,0.01868106,0.00211202,0.30599160,0.67936310,0.01151917,0.60641625
-5.72386193,1.18593338,0.01968659,0.00222234,0.31206454,0.67540868,0.01301980,0.59552849
-5.71785893,1.19190189,0.02080105,0.00233533,0.31923410,0.67191274,0.01461408,0.58570995
-5.71185593,1.19918490,0.02201521,0.00244857,0.32726138,0.66861449,0.01628887,0.57670350
-5.70585293,1.20714223,0.02331597,0.00255967,0.33589117,0.66525052,0.01802778,0.56824929
-5.69984992,1.21512373,0.02468644,0.00266630,0.34485667,0.66156149,0.01981131,0.56009186
-5.69384692,1.22248366,0.02610612,0.00276627,0.35388453,0.65729898,0.02161707,0.55198702
-5.68784392,1.22859569,0.02755129,0.00285752,0.36270046,0.65223242,0.02342020,0.54370840
-5.68184092,1.23286830,0.02899558,0.00293820,0.37103511,0.64615581,0.02519388,0.53505363
-5.67583792,1.23476010,0.03041066,0.00300667,0.37863025,0.63889410,0.02690995,0.52584989
-5.66983492,1.23379460,0.03176708,0.00306154,0.38524501,0.63030900,0.02853970,0.51595887
-5.66383192,1.22957407,0.03303523,0.00310172,0.39066201,0.62030399,0.03005468,0.50528085
-5.65782891,1.22179199,0.03418636,0.00312641,0.39469335,0.60882848,0.03142755,0.49375810
-5.65182591,1.21024373,0.03519360,0.00313512,0.39718603,0.59588090,0.03263298,0.48137727
-5.64582291,1.19483505,0.03603302,0.00312772,0.39802686,0.58151068,0.03364848,0.46817090
-5.63981991,1.17558815,0.03668457,0.00310436,0.39714648,0.56581905,0.03445517,0.45421804
-5.63381691,1.15264498,0.03713295,0.00306556,0.39452252,0.54895866,0.03503846,0.43964389
-5.62781391,1.12626771,0.03736835,0.00301211,0.39018161,0.53113194,0.03538857,0.42461859
-5.62181091,1.09683616,0.03738693,0.00294511,0.38420012,0.51258839,0.03550087,0.40935503
-5.61580790,1.06484226,0.03719124,0.00286592,0.37670376,0.49362068,0.03537607,0.39410594
-5.60980490,1.03088159,0.03679025,0.00277610,0.36786573,0.47455975,0.03502015,0.37915999
-5.60380190,0.99564203,0.03619933,0.00267745,0.35790366,0.45576898,0.03444417,0.36483719
-5.59779890,0.95988992,0.03543986,0.00257189,0.34707522,0.43763741,0.03366382,0.35148352
-5.59179590,0.92445377,0.03453873,0.00246145,0.33567259,0.42057221,0.03269885,0.33946473
-5.58579290,0.89020599,0.03352760,0.00234823,0.32401589,0.40499053,0.03157234,0.32915947
-5.57978989,0.85804300,0.03244203,0.00223431,0.31244567,0.39131064,0.03030987,0.32095170
-5.57378689,0.82886395,0.03132048,0.00212179,0.30131468,0.37994271,0.02893862,0.31522249
-5.56778389,0.80354871,0.03020320,0.00201265,0.29097911,0.37127916,0.02748647,0.31234112
-5.56178089,0.78293546,0.02913110,0.00190876,0.28178952,0.36568483,0.02598108,0.31265578
-5.55577789,0.76779829,0.02814456,0.00181184,0.27408165,0.36348705,0.02444904,0.31648383
-5.54977489,0.75882551,0.02728234,0.00172340,0.26816729,0.36496595,0.02291517,0.32410179
-5.54377189,0.75659893,0.02658041,0.00164475,0.26432556,0.37034491,0.02140182,0.33573533
-5.53776888,0.76157485,0.02607103,0.00157693,0.26279464,0.37978179,0.01992844,0.35154948
-5.53176588,0.77406710,0.02578180,0.00152075,0.26376434,0.39336087,0.01851122,0.37163930
-5.52576288,0.79423284,0.02573488,0.00147672,0.26736957,0.41108601,0.01716290,0.39602141
-5.51975988,0.82206145,0.02594642,0.00144509,0.27368498,0.43287519,0.01589278,0.42462679
-5.51375688,0.85736716,0.02642604,0.00142582,0.28272098,0.45855685,0.01470679,0.45729506
-5.50775388,0.89978576,0.02717656,0.00141863,0.29442121,0.48786832,0.01360777,0.49377091
-5.50175088,0.94877590,0.02819391,0.00142296,0.30866173,0.52045649,0.01259578,0.53370278
-5.49574787,1.00362510,0.02946719,0.00143803,0.32525192,0.55588111,0.01166853,0.57664432
-5.48974487,1.06346088,0.03097896,0.00146286,0.34393730,0.59362076,0.01082185,0.62205874
-5.48374187,1.12726689,0.03270570,0.00149629,0.36440418,0.63308158,0.01005017,0.66932636
