energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.31840988,0.10833981,0.00000000,0.00498600,0.02129691,0.10751692,0.18968158
-5.99399700,0.35416762,0.12098698,0.00000000,0.00559631,0.02351359,0.11838372,0.21195576
-5.98799400,0.39256158,0.13456884,0.00000000,0.00624747,0.02589206,0.13007550,0.23589369
-5.98199100,0.43331167,0.14899419,0.00000000,0.00693500,0.02841223,0.14249032,0.26133837
-5.97598799,0.47605992,0.16414478,0.00000000,0.00765322,0.03104908,0.15550095,0.28808489
-5.96998499,0.52037286,0.17987579,0.00000000,0.00839522,0.03377291,0.16895634,0.31588120
-5.96398199,0.56574660,0.19601726,0.00000000,0.00915300,0.03654979,0.18268391,0.34443046
-5.95797899,0.61161452,0.21237648,0.00000000,0.00991752,0.03934214,0.19649267,0.37339489
-5.95197599,0.65735753,0.22874118,0.00000000,0.01067894,0.04210953,0.21017716,0.40240138
-5.94597299,0.70231686,0.24488376,0.00000000,0.01142676,0.04480955,0.22352210,0.43104860
-5.93996998,0.74580897,0.26056625,0.00000000,0.01215012,0.04739888,0.23630759,0.45891559
-5.93396698,0.78714232,0.27554594,0.00000000,0.01283807,0.04983433,0.24831485,0.48557151
-5.92796398,0.82563541,0.28958161,0.00000000,0.01347985,0.05207412,0.25933208,0.51058647
-5.92196098,0.86063554,0.30244004,0.00000000,0.01406523,0.05407895,0.26916055,0.53354286
-5.91595798,0.89153773,0.31390270,0.00000000,0.01458487,0.05581329,0.27762036,0.55404701
-5.90995498,0.91780309,0.32377230,0.00000000,0.01503060,0.05724639,0.28455600,0.57174067
-5.90395198,0.93897588,0.33187901,0.00000000,0.01539573,0.05835332,0.28984119,0.58631194
-5.89794897,0.95469879,0.33808613,0.00000000,0.01567539,0.05911581,0.29338307,0.59750514
-5.89194597,0.96472577,0.34229496,0.00000000,0.01586669,0.05952296,0.29512540,0.60512940
-5.88594297,0.96893184,0.34444867,0.00000000,0.01596900,0.05957168,0.29505076,0.60906546
-5.87993997,0.96731971,0.34453509,0.00000000,0.01598403,0.05926696,0.29318161,0.60927050
-5.87393697,0.96002267,0.34258823,0.00000000,0.01591598,0.05862194,0.28958019,0.60578083
-5.86793397,0.94730384,0.33868845,0.00000000,0.01577150,0.05765771,0.28434727,0.59871217
-5.86193097,0.92955179,0.33296140,0.00000000,0.01555969,0.05640285,0.27761982,0.58825768
-5.85592796,0.90727243,0.32557556,0.00000000,0.01529200,0.05489290,0.26956767,0.57468370
-5.84992496,0.88107779,0.31673859,0.00000000,0.01498201,0.05316949,0.26038926,0.55832330
-5.84392196,0.85167175,0.30669259,0.00000000,0.01464526,0.05127944,0.25030675,0.53956802
-5.83791896,0.81983335,0.29570837,0.00000000,0.01429889,0.04927365,0.23956047,0.51885792
-5.83191596,0.78639810,0.28407893,0.00000000,0.01396136,0.04720590,0.22840306,0.49667033
-5.82591296,0.75223787,0.27211232,0.00000000,0.01365200,0.04513165,0.21709340,0.47350776
-5.81990995,0.71823987,0.26012416,0.00000000,0.01339063,0.04310676,0.20589042,0.44988519
