energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,0.82275927,0.65703825,0.49505110,0.00944504,0.06795125,0.29994922,0.00000000
-5.99399700,0.82906812,0.67123110,0.49664662,0.00996701,0.07079202,0.30170115,0.00000000
-5.98799400,0.83340672,0.68351640,0.49713573,0.01045159,0.07335853,0.30276353,0.00000000
-5.98199100,0.83560553,0.69363568,0.49647088,0.01088858,0.07559560,0.30308402,0.00000000
-5.97598799,0.83551240,0.70135032,0.49461032,0.01126856,0.07745348,0.30261435,0.00000000
-5.96998499,0.83299924,0.70645094,0.49152121,0.01158321,0.07888944,0.30131239,0.00000000
-5.96398199,0.82797003,0.70876734,0.48718380,0.01182548,0.07986925,0.29914483,0.00000000
-5.95797899,0.82036977,0.70817869,0.48159654,0.01198992,0.08036841,0.29609017,0.00000000
-5.95197599,0.81019372,0.70462309,0.47478161,0.01207275,0.08037323,0.29214205,0.00000000
-5.94597299,0.79749644,0.69810626,0.46679069,0.01207205,0.07988147,0.28731250,0.00000000
-5.93996998,0.78240001,0.68870867,0.45771049,0.01198780,0.07890272,0.28163501,0.00000000
-5.93396698,0.76510076,0.67659066,0.44766762,0.01182189,0.07745843,0.27516712,0.00000000
-5.92796398,0.74587404,0.66199531,0.43683250,0.01157805,0.07558151,0.26799236,0.00000000
-5.92196098,0.72507667,0.64524862,0.42542191,0.01126174,0.07331566,0.26022140,0.00000000
-5.91595798,0.70314661,0.62675707,0.41369994,0.01088000,0.07071433,0.25199223,0.00000000
-5.90995498,0.68059991,0.60700245,0.40197727,0.01044121,0.06783953,0.24346932,0.00000000
-5.90395198,0.65802475,0.58653423,0.39060851,0.00995484,0.06476030,0.23484184,0.00000000
-5.89794897,0.63607287,0.56595956,0.37998783,0.00943125,0.06155125,0.22632079,0.00000000
-5.89194597,0.61544855,0.54593145,0.37054275,0.00888132,0.05829091,0.21813535,0.00000000
-5.88594297,0.59689554,0.52713548,0.36272649,0.00831628,0.05506018,0.21052843,0.00000000
-5.87993997,0.58118249,0.51027544,0.35700897,0.00774740,0.05194090,0.20375161,0.00000000
-5.87393697,0.56908721,0.49605861,0.35386680,0.00718576,0.04901453,0.19805978,0.00000000
-5.86793397,0.56138049,0.48518084,0.35377261,0.00664212,0.04636108,0.19370543,0.00000000
-5.86193097,0.55880979,0.47831220,0.35718400,0.00612672,0.04405825,0.19093308,0.00000000
-5.85592796,0.56208345,0.47608336,0.36453258,0.00564919,0.04218076,0.18997370,0.00000000
-5.84992496,0.57185574,0.47907305,0.37621320,0.00521847,0.04080004,0.19103963,0.00000000
-5.84392196,0.58871315,0.48779698,0.39257399,0.00484283,0.03998398,0.19431980,0.00000000
-5.83791896,0.61316221,0.50269818,0.41390714,0.00452982,0.03979690,0.19997560,0.00000000
-5.83191596,0.64561901,0.52413897,0.44044098,0.00428636,0.04029973,0.20813739,0.00000000
-5.82591296,0.68640052,0.55239458,0.47233327,0.00411875,0.04155004,0.21890159,0.00000000
-5.81990995,0.73571786,0.58764828,0.50966596,0.00403277,0.04360226,0.23232859,0.00000000
-5.81390695,0.79367136,0.62998804,0.55244161,0.00403371,0.04650768,0.24844125,0.00000000
-5.80790395,0.86024744,0.67940458,0.60058120,0.00412645,0.05031437,0.26722412,0.00000000
-5.80190095,0.93531714,0.73579056,0.65392369,0.00431546,0.05506688,0.28862325,0.00000000
-5.79589795,1.01863619,0.79894095,0.71222700,0.00460483,0.06080569,0.31254659,0.00000000
-5.78989495,1.10984651,0.86855436,0.77517048,0.00499822,0.06756647,0.33886488,0.00000000
-5.78389195,1.20847887,0.94423517,0.84235865,0.00549880,0.07537894,0.36741302,0.00000000
-5.77788894,1.31395686,1.02549660,0.91332624,0.00610916,0.08426568,0.39799188,0.00000000
-5.77188594,1.42560185,1.11176444,0.98754423,0.00683116,0.09424053,0.43037045,0.00000000
-5.76588294,1.54263904,1.20238173,1.06442688,0.00766577,0.10530708,0.46428840,0.00000000
-5.75987994,1.66420476,1.29661429,1.14333964,0.00861289,0.11745695,0.49945901,0.00000000
-5.75387694,1.78935482,1.39365729,1.22360774,0.00967119,0.13066832,0.53557242,0.00000000
-5.74787394,1.91707444,1.49264310,1.30452554,0.01083789,0.14490451,0.57229935,0.00000000
-5.74187094,2.04628963,1.59265040,1.38536645,0.01210859,0.16011306,0.60929519,0.00000000
-5.73586793,2.17588029,1.69271498,1.46539348,0.01347719,0.17622516,0.64620461,0.00000000
-5.72986493,2.30469533,1.79184205,1.54387039,0.01493574,0.19315583,0.68266654,0.00000000
-5.72386193,2.43156963,1.88902046,1.62007326,0.01647445,0.21080460,0.71831975,0.00000000
-5.71785893,2.55534310,1.98323853,1.69330255,0.01808174,0.22905715,0.75280882,0.00000000
-5.71185593,2.67488147,2.07350151,1.76289553,0.01974431,0.24778765,0.78579046,0.00000000
-5.70585293,2.78909862,2.15885034,1.82823868,0.02144741,0.26686184,0.81694021,0.00000000
-5.69984992,2.89697992,2.23838125,1.88878016,0.02317506,0.28614085,0.84595917,0.00000000
-5.69384692,2.99760584,2.31126563,1.94404159,0.02491044,0.30548561,0.87258065,0.00000000
-5.68784392,3.09017507,2.37676954,1.99362915,0.02663626,0.32476153,0.89657658,0.00000000
-5.68184092,3.17402594,2.43427190,2.03724316,0.02833526,0.34384345,0.91776318,0.00000000
-5.67583792,3.24865533,2.48328055,2.07468589,0.02999068,0.36262040,0.93600584,0.00000000
-5.66983492,3.31373362,2.52344532,2.10586698,0.03158673,0.38099997,0.95122268,0.00000000
-5.66383192,3.36911489,2.55456724,2.13080601,0.03310910,0.39891207,0.96338674,0.00000000
-5.65782891,3.41484132,2.57660315,2.14963185,0.03454532,0.41631161,0.97252638,0.00000000
-5.65182591,3.45114102,2.58966526,2.16257847,0.03588519,0.43318017,0.97872386,0.00000000
-5.64582291,3.47841914,2.59401538,2.16997723,0.03712098,0.44952612,0.98211200,0.00000000
-5.63981991,3.49724200,2.59005368,2.17224560,0.03824764,0.46538346,0.98286893,0.00000000
-5.63381691,3.50831471,2.57830252,2.16987265,0.03926282,0.48080903,0.98121107,0.00000000
-5.62781391,3.51245309,2.55938574,2.16340186,0.04016681,0.49587840,0.97738467,0.00000000
-5.62181091,3.51055102,2.53400452,2.15341192,0.04096233,0.51068042,0.97165614,0.00000000
