energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,8.15866887,1.53159765,0.00000000,3.77123459,5.29373112,0.04211173,1.57210431
-5.99399700,8.28272657,1.53895737,0.00000000,3.82045596,5.36407186,0.04527738,1.60544663
-5.98799400,8.40197627,1.54046409,0.00000000,3.86607940,5.42784483,0.04866850,1.64054596
-5.98199100,8.51863968,1.53657776,0.00000000,3.90946114,5.48651969,0.05229117,1.67768253
-5.97598799,8.63485562,1.52783845,0.00000000,3.95195768,5.54158608,0.05614724,1.71705768
-5.96998499,8.75258428,1.51484460,0.00000000,3.99487006,5.59448977,0.06023364,1.75878148
-5.96398199,8.87351538,1.49823025,0.00000000,4.03938863,5.64656939,0.06454172,1.80286290
-5.95797899,8.99898363,1.47864208,0.00000000,4.08654034,5.69899621,0.06905676,1.84920277
-5.95197599,9.12989425,1.45671738,0.00000000,4.13714008,5.75271896,0.07375759,1.89758970
-5.94597299,9.26666166,1.43306362,0.00000000,4.19174817,5.80841574,0.07861634,1.94769918
-5.93996998,9.40916324,1.40824054,0.00000000,4.25063530,5.86645485,0.08359847,1.99909585
-5.93396698,9.55671035,1.38274517,0.00000000,4.31375660,5.92686592,0.08866292,2.05123895
-5.92796398,9.70803804,1.35700033,0.00000000,4.38073594,5.98932270,0.09376249,2.10349070
-5.92196098,9.86131427,1.33134694,0.00000000,4.45086151,6.05313841,0.09884447,2.15512765
-5.91595798,10.01416927,1.30604011,0.00000000,4.52309339,6.11727407,0.10385139,2.20535461
-5.90995498,10.16374508,1.28124919,0.00000000,4.59608349,6.18036039,0.10872212,2.25332096
-5.90395198,10.30676439,1.25706145,0.00000000,4.66820768,6.24073259,0.11339301,2.29813914
-5.89794897,10.43961778,1.23348931,0.00000000,4.73760993,6.29647801,0.11779928,2.33890482
-5.89194597,10.55846726,1.21048046,0.00000000,4.80225715,6.34549507,0.12187654,2.37471863
-5.88594297,10.65936376,1.18793075,0.00000000,4.86000357,6.38556236,0.12556242,2.40470875
-5.87993997,10.73837519,1.16569890,0.00000000,4.90866264,6.41441566,0.12879823,2.42805418
-5.87393697,10.79172142,1.14362265,0.00000000,4.94608400,6.42983053,0.13153066,2.44400794
-5.86793397,10.81591148,1.12153556,0.00000000,4.97023286,6.42970771,0.13371344,2.45191971
-5.86193097,10.80787818,1.09928372,0.00000000,4.97926866,6.41215788,0.13530888,2.45125722
-5.85592796,10.76510499,1.07674165,0.00000000,4.97161974,6.37558275,0.13628930,2.44162565
-5.84992496,10.68573954,1.05382665,0.00000000,4.94605084,6.31874869,0.13663818,2.42278431
-5.84392196,10.56868882,1.03051090,0.00000000,4.90172025,6.24084975,0.13635106,2.39465988
-5.83791896,10.41369117,1.00683066,0.00000000,4.83822382,6.14155683,0.13543613,2.35735540
-5.83191596,10.22136088,0.98289214,0.00000000,4.75562356,6.02105041,0.13391446,2.31115453
-5.82591296,9.99320247,0.95887348,0.00000000,4.65445915,5.88003481,0.13181975,2.25652048
-5.81990995,9.73159267,0.93502278,0.00000000,4.53574141,5.71973268,0.12919778,2.19408936
-5.81390695,9.43972962,0.91165197,0.00000000,4.40092773,5.54185942,0.12610540,2.12465776
-5.80790395,9.12155029,0.88912681,0.00000000,4.25188014,5.34857797,0.12260906,2.04916492
-5.80190095,8.78161881,0.86785312,0.00000000,4.09080784,5.14243568,0.11878316,1.96866961
-5.79589795,8.42498963,0.84826007,0.00000000,3.92019640,4.92628547,0.11470790,1.88432269
-5.78989495,8.05705087,0.83078093,0.00000000,3.74272689,4.70319474,0.11046708,1.79733609
-5.78389195,7.68335445,0.81583237,0.00000000,3.56118834,4.47634569,0.10614566,1.70894938
-5.77788894,7.30943989,0.80379314,0.00000000,3.37838758,4.24893156,0.10182731,1.62039527
-5.77188594,6.94065963,0.79498324,0.00000000,3.19706028,4.02405322,0.09759206,1.53286540
-5.76588294,6.58201324,0.78964457,0.00000000,3.01978717,3.80462060,0.09351402,1.44747777
-5.75987994,6.23799766,0.78792417,0.00000000,2.84891880,3.59326340,0.08965942,1.36524722
-5.75387694,5.91247981,0.78986093,0.00000000,2.68651216,3.39225457,0.08608498,1.28706018
-5.74787394,5.60859689,0.79537655,0.00000000,2.53428122,3.20344999,0.08283662,1.21365463
-5.74187094,5.32868795,0.80427138,0.00000000,2.39356334,3.02824629,0.07994871,1.14560616
-5.73586793,5.07425921,0.81622548,0.00000000,2.26530207,2.86755842,0.07744370,1.08332046
-5.72986493,4.84598358,0.83080505,0.00000000,2.15004665,2.72181715,0.07533228,1.02703246
-5.72386193,4.64373328,0.84747410,0.00000000,2.04796712,2.59098600,0.07361402,0.97681198
-5.71785893,4.46664310,0.86561081,0.00000000,1.95888379,2.47459607,0.07227836,0.93257528
-5.71185593,4.31320005,0.88452815,0.00000000,1.88230872,2.37179650,0.07130597,0.89410188
-5.70585293,4.18135450,0.90349766,0.00000000,1.81749681,2.28141758,0.07067044,0.86105557
-5.69984992,4.06864666,0.92177540,0.00000000,1.76350354,2.20204314,0.07034010,0.83300850
-5.69384692,3.97234213,0.93862902,0.00000000,1.71924628,2.13208859,0.07027991,0.80946709
-5.68784392,3.88956992,0.95336448,0.00000000,1.68356633,2.06988084,0.07045340,0.78989842
-5.68184092,3.81745657,0.96535138,0.00000000,1.65528867,2.01373640,0.07082449,0.77375604
-5.67583792,3.75325066,0.97404573,0.00000000,1.63327709,1.96203458,0.07135913,0.76050378
-5.66983492,3.69443278,0.97900903,0.00000000,1.61648251,1.91328262,0.07202664,0.74963695
-5.66383192,3.63880688,0.97992303,0.00000000,1.60398297,1.86617074,0.07280085,0.74069987
-5.65782891,3.58457039,0.97659937,0.00000000,1.59501413,1.81961518,0.07366086,0.73329944
-5.65182591,3.53036156,0.96898405,0.00000000,1.58899000,1.77278859,0.07459141,0.72711433
-5.64582291,3.47528366,0.95715647,0.00000000,1.58551371,1.72513708,0.07558303,0.72189988
-5.63981991,3.41890700,0.94132334,0.00000000,1.58437901,1.67638464,0.07663183,0.71748891
-5.63381691,3.36125063,0.92180806,0.00000000,1.58556331,1.62652566,0.07773899,0.71378876
