energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.04228202,0.02117294,1.39295675,0.05882541,0.00006447,1.29957365,0.46780989
-5.99399700,2.01380778,0.02065586,1.37456026,0.05765105,0.00006390,1.28459322,0.46219419
-5.98799400,1.97870179,0.02009479,1.35140248,0.05634259,0.00006326,1.26367927,0.45546174
-5.98199100,1.93791815,0.01949390,1.32414126,0.05492270,0.00006257,1.23755583,0.44780073
-5.97598799,1.89266926,0.01885981,1.29360775,0.05342261,0.00006189,1.20712091,0.43945157
-5.96998499,1.84438563,0.01820130,1.26077843,0.05188108,0.00006128,1.17341802,0.43069766
-5.96398199,1.79466717,0.01752880,1.22674132,0.05034297,0.00006080,1.13760268,0.42185418
-5.95797899,1.74522774,0.01685386,1.19265792,0.04885763,0.00006053,1.10090505,0.41325546
-5.95197599,1.69783566,0.01618866,1.15972250,0.04747715,0.00006054,1.06459035,0.40524149
-5.94597299,1.65425215,0.01554536,1.12912023,0.04625440,0.00006090,1.02991834,0.39814430
-5.93996998,1.61617051,0.01493562,1.10198602,0.04524116,0.00006169,0.99810336,0.39227460
-5.93396698,1.58515786,0.01437007,1.07936539,0.04448617,0.00006297,0.97027628,0.38790957
-5.92796398,1.56260180,0.01385790,1.06217888,0.04403335,0.00006480,0.94744948,0.38528190
-5.92196098,1.54966354,0.01340647,1.05119117,0.04392014,0.00006724,0.93048598,0.38457090
-5.91595798,1.54723907,0.01302108,1.04698583,0.04417598,0.00007034,0.92007349,0.38589575
-5.90995498,1.55592928,0.01270483,1.04994648,0.04482117,0.00007410,0.91670405,0.38931123
-5.90395198,1.57602003,0.01245847,1.06024468,0.04586580,0.00007856,0.92065971,0.39480598
-5.89794897,1.60747237,0.01228054,1.07783502,0.04730916,0.00008371,0.93200448,0.40230334
-5.89194597,1.64992303,0.01216743,1.10245711,0.04913933,0.00008954,0.95058271,0.41166466
-5.88594297,1.70269504,0.01211360,1.13364442,0.05133319,0.00009600,0.97602379,0.42269485
-5.87993997,1.76481798,0.01211186,1.17073957,0.05385674,0.00010304,1.00775284,0.43514998
-5.87393697,1.83505694,0.01215369,1.21291533,0.05666568,0.00011060,1.04500730,0.44874641
-5.86793397,1.91194956,0.01222959,1.25920073,0.05970641,0.00011859,1.08685870,0.46317131
-5.86193097,1.99384962,0.01232946,1.30851135,0.06291730,0.00012691,1.13223906,0.47809393
-5.85592796,2.07897610,0.01244296,1.35968284,0.06623020,0.00013547,1.17997131,0.49317722
-5.84992496,2.16546607,0.01255992,1.41150658,0.06957219,0.00014413,1.22880282,0.50808945
-5.84392196,2.25142983,0.01267063,1.46276639,0.07286756,0.00015279,1.27744100,0.52251527
-5.83791896,2.33500654,0.01276617,1.51227501,0.07603991,0.00016131,1.32459020,0.53616586
-5.83191596,2.41441857,0.01283865,1.55890939,0.07901423,0.00016958,1.36898854,0.54878783
-5.82591296,2.48802277,0.01288143,1.60164338,0.08171912,0.00017748,1.40944371,0.56017050
-5.81990995,2.55435696,0.01288922,1.63957687,0.08408877,0.00018489,1.44486648,0.57015140
-5.81390695,2.61217991,0.01285820,1.67196043,0.08606497,0.00019173,1.47430087,0.57861974
-5.80790395,2.66050357,0.01278602,1.69821441,0.08759867,0.00019790,1.49694986,0.58551783
-5.80190095,2.69861621,0.01267180,1.71794205,0.08865148,0.00020334,1.51219585,0.59084039
-5.79589795,2.72609564,0.01251598,1.73093602,0.08919664,0.00020801,1.51961494,0.59463190
-5.78989495,2.74281222,0.01232025,1.73717817,0.08921970,0.00021186,1.51898476,0.59698211
-5.78389195,2.74892137,0.01208739,1.73683273,0.08871876,0.00021490,1.51028538,0.59801992
-5.77788894,2.74484613,0.01182102,1.73023306,0.08770427,0.00021713,1.49369349,0.59790595
-5.77188594,2.73125050,0.01152547,1.71786281,0.08619846,0.00021858,1.46957004,0.59682421
-5.76588294,2.70900492,0.01120552,1.70033211,0.08423431,0.00021928,1.43844206,0.59497315
-5.75987994,2.67914529,0.01086621,1.67835007,0.08185425,0.00021930,1.40097935,0.59255649
-5.75387694,2.64282758,0.01051264,1.65269462,0.07910858,0.00021869,1.35796731,0.58977440
-5.74787394,2.60127993,0.01014979,1.62418119,0.07605361,0.00021754,1.31027699,0.58681517
-5.74187094,2.55575451,0.00978238,1.59363146,0.07274976,0.00021591,1.25883371,0.58384784
-5.73586793,2.50748123,0.00941472,1.56184364,0.06925956,0.00021390,1.20458565,0.58101614
-5.72986493,2.45762523,0.00905064,1.52956535,0.06564570,0.00021156,1.14847371,0.57843385
-5.72386193,2.40725003,0.00869343,1.49747042,0.06196925,0.00020898,1.09140383,0.57618182
-5.71785893,2.35728764,0.00834578,1.46614026,0.05828795,0.00020621,1.03422277,0.57430666
-5.71185593,2.30851686,0.00800979,1.43605057,0.05465484,0.00020331,0.97769827,0.57282122
-5.70585293,2.26155022,0.00768702,1.40756375,0.05111715,0.00020034,0.92250396,0.57170672
-5.69984992,2.21682981,0.00737847,1.38092700,0.04771543,0.00019732,0.86920955,0.57091627
-5.69384692,2.17463175,0.00708471,1.35627599,0.04448312,0.00019428,0.81827615,0.57037984
-5.68784392,2.13507856,0.00680588,1.33364361,0.04144629,0.00019124,0.77005646,0.57001014
-5.68184092,2.09815823,0.00654182,1.31297307,0.03862379,0.00018821,0.72479953,0.56970929
-5.67583792,2.06374891,0.00629211,1.29413456,0.03602762,0.00018520,0.68265925,0.56937585
-5.66983492,2.03164727,0.00605615,1.27694433,0.03366348,0.00018221,0.64370588,0.56891191
-5.66383192,2.00159902,0.00583324,1.26118518,0.03153155,0.00017925,0.60793968,0.56822986
-5.65782891,1.97332977,0.00562262,1.24662718,0.02962735,0.00017631,0.57530581,0.56725855
-5.65182591,1.94657444,0.00542357,1.23304749,0.02794274,0.00017340,0.54570941,0.56594848
-5.64582291,1.92110379,0.00523538,1.22024834,0.02646685,0.00017053,0.51903037,0.56427584
-5.63981991,1.89674652,0.00505743,1.20807223,0.02518706,0.00016772,0.49513668,0.56224508
-5.63381691,1.87340606,0.00488919,1.19641363,0.02408986,0.00016498,0.47389616,0.55989000
-5.62781391,1.85107127,0.00473025,1.18522675,0.02316170,0.00016235,0.45518591,0.55727315
-5.62181091,1.82982061,0.00458029,1.17452908,0.02238964,0.00015985,0.43889941,0.55448372
-5.61580790,1.80981990,0.00443909,1.16440061,0.02176194,0.00015754,0.42495109,0.55163382
-5.60980490,1.79131401,0.00430651,1.15497914,0.02126843,0.00015544,0.41327862,0.54885346
-5.60380190,1.77461324,0.00418250,1.14645187,0.02090085,0.00015361,0.40384298,0.54628449
-5.59779890,1.76007533,0.00406702,1.13904417,0.02065299,0.00015209,0.39662688,0.54407367
-5.59179590,1.74808450,0.00396005,1.13300613,0.02052074,0.00015093,0.39163172,0.54236538
-5.58579290,1.73902878,0.00386158,1.12859785,0.02050202,0.00015017,0.38887382,0.54129436
-5.57978989,1.73327717,0.00377152,1.12607453,0.02059668,0.00014984,0.38838014,0.54097878
-5.57378689,1.73115813,0.00368975,1.12567213,0.02080626,0.00014997,0.39018410,0.54151418
-5.56778389,1.73294052,0.00361603,1.12759463,0.02113380,0.00015058,0.39432184,0.54296855
-5.56178089,1.73881840,0.00355004,1.13200355,0.02158352,0.00015168,0.40082912,0.54537891
-5.55577789,1.74890029,0.00349133,1.13901034,0.02216057,0.00015325,0.40973914,0.54874956
-5.54977489,1.76320352,0.00343932,1.14867195,0.02287071,0.00015529,0.42108121,0.55305222
-5.54377189,1.78165381,0.00339332,1.16098977,0.02371998,0.00015776,0.43488031,0.55822784
-5.53776888,1.80408981,0.00335249,1.17591179,0.02471445,0.00016062,0.45115717,0.56419033
-5.53176588,1.83027205,0.00331593,1.19333752,0.02585983,0.00016383,0.46992881,0.57083160
-5.52576288,1.85989544,0.00328263,1.21312522,0.02716119,0.00016732,0.49120899,0.57802784
-5.51975988,1.89260408,0.00325154,1.23510065,0.02862257,0.00017104,0.51500826,0.58564651
-5.51375688,1.92800725,0.00322158,1.25906651,0.03024664,0.00017490,0.54133318,0.59355364
-5.50775388,1.96569505,0.00319167,1.28481160,0.03203426,0.00017883,0.57018451,0.60162086
-5.50175088,2.00525255,0.00316078,1.31211898,0.03398411,0.00018276,0.60155382,0.60973172
-5.49574787,2.04627119,0.00312794,1.34077236,0.03609223,0.00018662,0.63541875,0.61778683
-5.48974487,2.08835666,0.00309229,1.37055994,0.03835160,0.00019032,0.67173657,0.62570746
-5.48374187,2.13113255,0.00305307,1.40127565,0.04075169,0.00019380,0.71043647,0.63343737
-5.47773887,2.17423961,0.00300968,1.43271737,0.04327813,0.00019699,0.75141076,0.64094256
-5.47173587,2.21733090,0.00296166,1.46468248,0.04591237,0.00019983,0.79450547,0.64820916
-5.46573287,2.26006329,0.00290869,1.49696100,0.04863148,0.00020227,0.83951108,0.65523942
-5.45972986,2.30208620,0.00285062,1.52932709,0.05140804,0.00020426,0.88615393,0.66204614
-5.45372686,2.34302896,0.00278743,1.56152965,0.05421027,0.00020575,0.93408922,0.66864594
-5.44772386,2.38248793,0.00271923,1.59328298,0.05700222,0.00020671,0.98289627,0.67505177
-5.44172086,2.42001492,0.00264626,1.62425857,0.05974426,0.00020710,1.03207678,0.68126534
-5.43571786,2.45510841,0.00256881,1.65407895,0.06239375,0.00020691,1.08105670,0.68726990
-5.42971486,2.48720867,0.00248729,1.68231448,0.06490586,0.00020610,1.12919207,0.69302402
-5.42371186,2.51569783,0.00240213,1.70848388,0.06723465,0.00020467,1.17577913,0.69845684
-5.41770885,2.53990557,0.00231379,1.73205880,0.06933426,0.00020261,1.22006851,0.70346522
-5.41170585,2.55912076,0.00222277,1.75247285,0.07116021,0.00019991,1.26128340,0.70791306
-5.40570285,2.57260869,0.00212954,1.76913475,0.07267081,0.00019658,1.29864096,0.71163307
-5.39969985,2.57963350,0.00203458,1.78144540,0.07382848,0.00019263,1.33137634,0.71443080
-5.39369685,2.57948468,0.00193836,1.78881806,0.07460113,0.00018807,1.35876815,0.71609107
-5.38769385,2.57150642,0.00184132,1.79070068,0.07496334,0.00018292,1.38016445,0.71638622
-5.38169085,2.55512819,0.00174389,1.78659946,0.07489733,0.00017722,1.39500783,0.71508607
-5.37568784,2.52989489,0.00164649,1.77610213,0.07439377,0.00017101,1.40285854,0.71196889
-5.36968484,2.49549490,0.00154951,1.75889994,0.07345226,0.00016432,1.40341437,0.70683282
-5.36368184,2.45178427,0.00145334,1.73480704,0.07208151,0.00015721,1.39652636,0.69950721
-5.35767884,2.39880577,0.00135836,1.70377615,0.07029917,0.00014974,1.38220940,0.68986332
-5.35167584,2.33680159,0.00126494,1.66590968,0.06813140,0.00014197,1.36064724,0.67782356
-5.34567284,2.26621881,0.00117347,1.62146560,0.06561207,0.00013397,1.33219148,0.66336911
-5.33966983,2.18770738,0.00108430,1.57085775,0.06278174,0.00012582,1.29735469,0.64654528
-5.33366683,2.10211058,0.00099780,1.51465045,0.05968642,0.00011758,1.25679774,0.62746448
-5.32766383,2.01044826,0.00091433,1.45354768,0.05637615,0.00010933,1.21131206,0.60630658
-5.32166083,1.91389376,0.00083424,1.38837730,0.05290346,0.00010115,1.16179757,0.58331672
-5.31565783,1.81374557,0.00075786,1.32007101,0.04932191,0.00009310,1.10923711,0.55880061
-5.30965483,1.71139490,0.00068550,1.24964107,0.04568453,0.00008525,1.05466878,0.53311766
-5.30365183,1.60829077,0.00061747,1.17815461,0.04204243,0.00007767,0.99915699,0.50667220
-5.29764882,1.50590393,0.00055404,1.10670678,0.03844359,0.00007041,0.94376365,0.47990317
-5.29164582,1.40569116,0.00049548,1.03639370,0.03493175,0.00006351,0.88952050,0.45327289
-5.28564282,1.30906122,0.00044203,0.96828631,0.03154561,0.00005704,0.83740354,0.42725504
-5.27963982,1.21734363,0.00039393,0.90340589,0.02831825,0.00005100,0.78831041,0.40232267
-5.27363682,1.13176111,0.00035140,0.84270206,0.02527672,0.00004545,0.74304145,0.37893634
-5.26763382,1.05340639,0.00031469,0.78703379,0.02244199,0.00004038,0.70228475,0.35753294
-5.26163082,0.98322380,0.00028405,0.73715373,0.01982902,0.00003583,0.66660549,0.33851537
-5.25562781,0.92199570,0.00025977,0.69369611,0.01744703,0.00003178,0.63643962,0.32224330
-5.24962481,0.87033371,0.00024217,0.65716819,0.01530000,0.00002825,0.61209170,0.30902533
-5.24362181,0.82867441,0.00023164,0.62794506,0.01338722,0.00002522,0.59373660,0.29911232
-5.23761881,0.79727914,0.00022865,0.60626762,0.01170395,0.00002270,0.58142466,0.29269229
-5.23161581,0.77623735,0.00023373,0.59224338,0.01024211,0.00002066,0.57508970,0.28988663
-5.22561281,0.76547295,0.00024750,0.58584971,0.00899102,0.00001910,0.57455944,0.29074770
-5.21960980,0.76475306,0.00027070,0.58693923,0.00793812,0.00001800,0.57956763,0.29525780
-5.21360680,0.77369876,0.00030413,0.59524688,0.00706959,0.00001735,0.58976728,0.30332945
-5.20760380,0.79179728,0.00034871,0.61039848,0.00637098,0.00001712,0.60474450,0.31480686
-5.20160080,0.81841534,0.00040544,0.63192051,0.00582773,0.00001729,0.62403248,0.32946879
-5.19559780,0.85281334,0.00047537,0.65925082,0.00542562,0.00001786,0.64712507,0.34703253
-5.18959480,0.89416035,0.00055960,0.69175036,0.00515112,0.00001880,0.67348972,0.36715914
-5.18359180,0.94154956,0.00065925,0.72871561,0.00499167,0.00002010,0.70257952,0.38945991
-5.17758879,0.99401443,0.00077545,0.76939176,0.00493588,0.00002174,0.73384421,0.41350394
-5.17158579,1.05054540,0.00090924,0.81298671,0.00497367,0.00002369,0.76674001,0.43882690
-5.16558279,1.11010708,0.00106162,0.85868565,0.00509634,0.00002595,0.80073849,0.46494074
-5.15957979,1.17165617,0.00123343,0.90566634,0.00529660,0.00002849,0.83533435,0.49134428
-5.15357679,1.23415981,0.00142540,0.95311486,0.00556860,0.00003128,0.87005247,0.51753459
-5.14757379,1.29661448,0.00163802,1.00024180,0.00590791,0.00003431,0.90445425,0.54301872
-5.14157079,1.35806513,0.00187161,1.04629869,0.00631153,0.00003754,0.93814359,0.56732571
-5.13556778,1.41762453,0.00212624,1.09059433,0.00677786,0.00004095,0.97077270,0.59001843
-5.12956478,1.47449232,0.00240175,1.13251082,0.00730676,0.00004452,1.00204778,0.61070505
-5.12356178,1.52797367,0.00269776,1.17151900,0.00789962,0.00004820,1.03173489,0.62904964
-5.11755878,1.57749689,0.00301365,1.20719274,0.00855938,0.00005196,1.05966598,0.64478166
-5.11155578,1.62262975,0.00334864,1.23922191,0.00929068,0.00005576,1.08574503,0.65770408
-5.10555278,1.66309380,0.00370180,1.26742340,0.01010001,0.00005958,1.10995421,0.66769961
-5.09954977,1.69877632,0.00407213,1.29174986,0.01099580,0.00006338,1.13235977,0.67473510
-5.09354677,1.72973924,0.00445856,1.31229581,0.01198861,0.00006712,1.15311741,0.67886365
-5.08754377,1.75622444,0.00486007,1.32930055,0.01309125,0.00007077,1.17247651,0.68022454
-5.08154077,1.77865496,0.00527570,1.34314755,0.01431882,0.00007432,1.19078279,0.67904071
-5.07553777,1.79763156,0.00570465,1.35436011,0.01568879,0.00007772,1.20847877,0.67561396
-5.06953477,1.81392410,0.00614626,1.36359281,0.01722092,0.00008098,1.22610139,0.67031787
-5.06353177,1.82845750,0.00660008,1.37161870,0.01893705,0.00008408,1.24427617,0.66358855
-5.05752876,1.84229193,0.00706582,1.37931210,0.02086082,0.00008702,1.26370738,0.65591349
-5.05152576,1.85659720,0.00754337,1.38762704,0.02301720,0.00008980,1.28516388,0.64781862
-5.04552276,1.87262148,0.00803274,1.39757152,0.02543184,0.00009245,1.30946030,0.63985400
-5.03951976,1.89165469,0.00853397,1.41017791,0.02813029,0.00009497,1.33743358,0.63257839
