energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,6.56774627,4.88267752,5.14799130,0.00505408,0.22880477,1.44725790,0.00302905
-5.99399700,6.64522975,4.91437896,5.22251550,0.00509033,0.22837752,1.44591175,0.00310433
-5.98799400,6.71497562,4.94011799,5.29064347,0.00512303,0.22749385,1.44324481,0.00317792
-5.98199100,6.77622860,4.95977530,5.35165184,0.00515170,0.22613739,1.43931098,0.00324906
-5.97598799,6.82831157,4.97328114,5.40487543,0.00517577,0.22430191,1.43418116,0.00331700
-5.96998499,6.87061917,4.98059394,5.44970846,0.00519464,0.22199042,1.42793295,0.00338097
-5.96398199,6.90261221,4.98168076,5.48560622,0.00520763,0.21921398,1.42064087,0.00344020
-5.95797899,6.92381442,4.97650162,5.51208819,0.00521401,0.21599049,1.41236781,0.00349392
-5.95197599,6.93381266,4.96499885,5.52874298,0.00521300,0.21234340,1.40315838,0.00354139
-5.94597299,6.93226113,4.94709237,5.53523552,0.00520382,0.20830054,1.39303457,0.00358191
-5.93996998,6.91889001,4.92268137,5.53131643,0.00518571,0.20389317,1.38199409,0.00361482
-5.93396698,6.89351789,4.89165201,5.51683310,0.00515796,0.19915506,1.37001135,0.00363956
-5.92796398,6.85606741,4.85389060,5.49174210,0.00511997,0.19412192,1.35704096,0.00365562
-5.92196098,6.80658275,4.80930095,5.45612166,0.00507127,0.18883092,1.34302351,0.00366266
-5.91595798,6.74524742,4.75782448,5.41018344,0.00501158,0.18332043,1.32789288,0.00366042
-5.90995498,6.67240053,4.69946141,5.35428215,0.00494083,0.17762986,1.31158475,0.00364883
-5.90395198,6.58854983,4.63429108,5.28892189,0.00485922,0.17179950,1.29404543,0.00362795
-5.89794897,6.49437962,4.56248994,5.21475808,0.00476717,0.16587054,1.27524031,0.00359801
-5.89194597,6.39075226,4.48434548,5.13259412,0.00466542,0.15988487,1.25516139,0.00355941
-5.88594297,6.27870200,4.40026503,5.04337197,0.00455492,0.15388495,1.23383317,0.00351271
-5.87993997,6.15942071,4.31077855,4.94815659,0.00443691,0.14791351,1.21131654,0.00345861
-5.87393697,6.03423527,4.21653517,4.84811422,0.00431283,0.14201316,1.18771033,0.00339793
-5.86793397,5.90457738,4.11829338,4.74448510,0.00418427,0.13622589,1.16315037,0.00333161
-5.86193097,5.77194668,4.01690568,4.63855159,0.00405299,0.13059249,1.13780619,0.00326063
-5.85592796,5.63786892,3.91329832,4.53160297,0.00392079,0.12515188,1.11187549,0.00318605
-5.84992496,5.50385113,3.80844767,4.42489857,0.00378950,0.11994045,1.08557684,0.00310888
-5.84392196,5.37133613,3.70335430,4.31963092,0.00366090,0.11499136,1.05914098,0.00303013
-5.83791896,5.24165863,3.59901656,4.21689089,0.00353668,0.11033396,1.03280141,0.00295073
-5.83191596,5.11600545,3.49640495,4.11763644,0.00341836,0.10599329,1.00678479,0.00287152
-5.82591296,4.99538186,3.39643872,4.02266677,0.00330730,0.10198966,0.98130175,0.00279318
-5.81990995,4.88058578,3.29996564,3.93260306,0.00320461,0.09833846,0.95653865,0.00271629
-5.81390695,4.77219131,3.20774598,3.84787684,0.00311118,0.09505008,0.93265079,0.00264124
-5.80790395,4.67054207,3.12044084,3.76872635,0.00302761,0.09213003,0.90975739,0.00256826
-5.80190095,4.57575457,3.03860515,3.69520101,0.00295426,0.08957916,0.88793858,0.00249746
-5.79589795,4.48773112,2.96268499,3.62717351,0.00289126,0.08739409,0.86723437,0.00242874
-5.78989495,4.40618102,2.89301864,3.56435848,0.00283846,0.08556765,0.84764577,0.00236194
-5.78389195,4.33064861,2.82984059,3.50633654,0.00279556,0.08408942,0.82913760,0.00229675
-5.77788894,4.26054612,2.77328756,3.45258214,0.00276203,0.08294629,0.81164294,0.00223280
-5.77188594,4.19518921,2.72340555,3.40249332,0.00273724,0.08212302,0.79506869,0.00216969
-5.76588294,4.13383295,2.68015695,3.35542172,0.00272040,0.08160270,0.77930192,0.00210698
-5.75987994,4.07570615,2.64342679,3.31070113,0.00271068,0.08136712,0.76421652,0.00204427
-5.75387694,4.02004214,2.61302775,3.26767297,0.00270718,0.08139714,0.74967982,0.00198118
-5.74787394,3.96610469,2.58870329,3.22570771,0.00270896,0.08167281,0.73555873,0.00191742
-5.74187094,3.91320788,2.57012910,3.18422139,0.00271508,0.08217350,0.72172516,0.00185277
-5.73586793,3.86072970,2.55691292,3.14268678,0.00272461,0.08287787,0.70806049,0.00178711
-5.72986493,3.80811938,2.54859340,3.10063957,0.00273664,0.08376382,0.69445901,0.00172041
-5.72386193,3.75489902,2.54463861,3.05767973,0.00275027,0.08480833,0.68083025,0.00165275
-5.71785893,3.70066064,2.54444526,3.01346923,0.00276465,0.08598738,0.66710033,0.00158431
-5.71185593,3.64506000,2.54733934,2.96772701,0.00277898,0.08727588,0.65321240,0.00151534
-5.70585293,3.58780865,2.55257932,2.92022250,0.00279250,0.08864758,0.63912637,0.00144618
-5.69984992,3.52866571,2.55936253,2.87076901,0.00280451,0.09007523,0.62481820,0.00137721
-5.69384692,3.46743100,2.56683537,2.81921801,0.00281439,0.09153071,0.61027882,0.00130885
-5.68784392,3.40394047,2.57410747,2.76545547,0.00282161,0.09298538,0.59551306,0.00124155
-5.68184092,3.33806488,2.58026986,2.70940068,0.00282577,0.09441051,0.58053860,0.00117576
-5.67583792,3.26971212,2.58441668,2.65100809,0.00282657,0.09577782,0.56538514,0.00111192
-5.66983492,3.19883303,2.58566949,2.59027198,0.00282391,0.09706012,0.55009372,0.00105046
-5.66383192,3.12543032,2.58320338,2.52723353,0.00281785,0.09823198,0.53471643,0.00099176
-5.65782891,3.04956961,2.57627327,2.46198975,0.00280867,0.09927044,0.51931610,0.00093618
-5.65182591,2.97139144,2.56423916,2.39470299,0.00279691,0.10015557,0.50396623,0.00088403
-5.64582291,2.89112283,2.54658879,2.32561010,0.00278330,0.10087110,0.48875067,0.00083558
-5.63981991,2.80908698,2.52295617,2.25503003,0.00276888,0.10140476,0.47376323,0.00079108
-5.63381691,2.72570963,2.49313505,2.18336860,0.00275491,0.10174857,0.45910680,0.00075069
-5.62781391,2.64152102,2.45708607,2.11111957,0.00274288,0.10189882,0.44489206,0.00071459
-5.62181091,2.55715237,2.41493721,2.03886124,0.00273449,0.10185594,0.43123556,0.00068289
-5.61580790,2.47332657,2.36697730,1.96724812,0.00273162,0.10162411,0.41825723,0.00065567
-5.60980490,2.39084276,2.31364279,1.89699762,0.00273625,0.10121071,0.40607725,0.00063298
-5.60380190,2.31055533,2.25549847,1.82887195,0.00275041,0.10062562,0.39481241,0.00061486
-5.59779890,2.23334799,2.19321310,1.76365603,0.00277609,0.09988036,0.38457213,0.00060128
-5.59179590,2.16010410,2.12753123,1.70213211,0.00281519,0.09898727,0.37545422,0.00059220
-5.58579290,2.09167464,2.05924291,1.64505244,0.00286942,0.09795864,0.36754063,0.00058756
-5.57978989,2.02884546,1.98915255,1.59311126,0.00294022,0.09680588,0.36089347,0.00058722
-5.57378689,1.97230548,1.91804892,1.54691747,0.00302867,0.09553892,0.35555145,0.00059104
-5.56778389,1.92261758,1.84667763,1.50696952,0.00313543,0.09416566,0.35152701,0.00059881
-5.56178089,1.88019370,1.77571739,1.47363365,0.00326066,0.09269169,0.34880436,0.00061030
-5.55577789,1.84527549,1.70576125,1.44712682,0.00340401,0.09112027,0.34733850,0.00062522
-5.54977489,1.81792158,1.63730343,1.42750511,0.00356455,0.08945248,0.34705543,0.00064323
-5.54377189,1.79800228,1.57073230,1.41465830,0.00374077,0.08768764,0.34785352,0.00066397
-5.53776888,1.78520192,1.50632932,1.40831098,0.00393060,0.08582394,0.34960610,0.00068704
-5.53176588,1.77902898,1.44427387,1.40803035,0.00413143,0.08385920,0.35216516,0.00071199
-5.52576288,1.77883363,1.38465321,1.41324025,0.00434015,0.08179177,0.35536605,0.00073838
-5.51975988,1.78383189,1.32747675,1.42324116,0.00455325,0.07962145,0.35903307,0.00076574
-5.51375688,1.79313554,1.27269362,1.43723522,0.00476687,0.07735048,0.36298564,0.00079360
-5.50775388,1.80578665,1.22021238,1.45435543,0.00497693,0.07498442,0.36704499,0.00082152
-5.50175088,1.82079511,1.16992168,1.47369788,0.00517922,0.07253289,0.37104094,0.00084907
-5.49574787,1.83717800,1.12171068,1.49435568,0.00536957,0.07001017,0.37481864,0.00087586
-5.48974487,1.85399896,1.07548817,1.51545346,0.00554390,0.06743567,0.37824496,0.00090158
-5.48374187,1.87040628,1.03119958,1.53618093,0.00569840,0.06483405,0.38121430,0.00092596
-5.47773887,1.88566804,0.98884086,1.55582440,0.00582966,0.06223519,0.38365363,0.00094881
-5.47173587,1.89920302,0.94846900,1.57379484,0.00593473,0.05967394,0.38552644,0.00097005
-5.46573287,1.91060615,0.91020848,1.58965158,0.00601125,0.05718952,0.38683565,0.00098968
