energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.13541107,0.42568398,0.01660221,0.25746473,0.64817869,0.28939300,0.41829145,0.00000000
-5.99399700,1.14175026,0.41950111,0.01593010,0.25340775,0.63588624,0.30024991,0.42356841,0.00000000
-5.98799400,1.14823711,0.41216812,0.01518315,0.24865441,0.62351301,0.31194163,0.42927400,0.00000000
-5.98199100,1.15537158,0.40395411,0.01437388,0.24331659,0.61148164,0.32452217,0.43561572,0.00000000
-5.97598799,1.16371126,0.39514459,0.01351572,0.23751851,0.60024759,0.33806206,0.44282255,0.00000000
-5.96998499,1.17386232,0.38603328,0.01262258,0.23139465,0.59029013,0.35264910,0.45114064,0.00000000
-5.96398199,1.18646849,0.37691382,0.01170843,0.22508738,0.58210222,0.36838822,0.46082836,0.00000000
-5.95797899,1.20219792,0.36807179,0.01078690,0.21874421,0.57617912,0.38540028,0.47215060,0.00000000
-5.95197599,1.22172805,0.35977715,0.00987093,0.21251480,0.57300603,0.40381972,0.48537243,0.00000000
-5.94597299,1.24572831,0.35227734,0.00897247,0.20654765,0.57304505,0.42379078,0.50075203,0.00000000
-5.93996998,1.27484085,0.34579117,0.00810220,0.20098672,0.57672154,0.44546233,0.51853296,0.00000000
-5.93396698,1.30965948,0.34050358,0.00726941,0.19596791,0.58441043,0.46898124,0.53893582,0.00000000
-5.92796398,1.35070719,0.33656127,0.00648181,0.19161557,0.59642255,0.49448440,0.56214935,0.00000000
-5.92196098,1.39841269,0.33406938,0.00574553,0.18803919,0.61299172,0.52208958,0.58832119,0.00000000
-5.91595798,1.45308668,0.33308909,0.00506509,0.18533016,0.63426271,0.55188545,0.61754859,0.00000000
-5.90995498,1.51489875,0.33363620,0.00444350,0.18355910,0.66028071,0.58392107,0.64986919,0.00000000
-5.90395198,1.58385583,0.33568076,0.00388235,0.18277339,0.69098282,0.61819545,0.68525251,0.00000000
-5.89794897,1.65978322,0.33914764,0.00338193,0.18299546,0.72619180,0.65464767,0.72359241,0.00000000
-5.89194597,1.74230947,0.34391812,0.00294142,0.18422154,0.76561278,0.69314810,0.76470094,0.00000000
-5.88594297,1.83085624,0.34983257,0.00255907,0.18642123,0.80883310,0.73349145,0.80830433,0.00000000
-5.87993997,1.92463410,0.35669407,0.00223236,0.18953780,0.85532560,0.77539219,0.85404124,0.00000000
-5.87393697,2.02264526,0.36427310,0.00195822,0.19348921,0.90445562,0.81848271,0.90146396,0.00000000
-5.86793397,2.12369386,0.37231318,0.00173319,0.19817003,0.95549165,0.86231490,0.95004263,0.00000000
-5.86193097,2.22640425,0.38053744,0.00155358,0.20345402,1.00761961,0.90636518,0.99917287,0.00000000
-5.85592796,2.32924721,0.38865597,0.00141562,0.20919742,1.05996040,0.95004321,1.04818676,0.00000000
