energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.70644959,0.79004236,0.00000000,1.08946213,3.58279220,0.02054343,0.79785242
-5.99399700,4.66852362,0.77614107,0.00000000,1.08339431,3.55117271,0.02137281,0.79092748
-5.98799400,4.61814805,0.75963565,0.00000000,1.07616359,3.50851875,0.02221326,0.78292443
-5.98199100,4.55552140,0.74067126,0.00000000,1.06765824,3.45509120,0.02306154,0.77385384
-5.97598799,4.48106780,0.71944508,0.00000000,1.05782146,3.39133750,0.02391489,0.76373841
-5.96998499,4.39543005,0.69620068,0.00000000,1.04665086,3.31788428,0.02477091,0.75261357
-5.96398199,4.29945626,0.67122073,0.00000000,1.03419540,3.23552534,0.02562748,0.74052773
-5.95797899,4.19418003,0.64481855,0.00000000,1.02054973,3.14520489,0.02648254,0.72754206
-5.95197599,4.08079467,0.61732871,0.00000000,1.00584643,3.04799639,0.02733395,0.71372966
-5.94597299,3.96062191,0.58909701,0.00000000,0.99024646,2.94507751,0.02817920,0.69917432
-5.93996998,3.83507649,0.56047041,0.00000000,0.97392837,2.83770193,0.02901525,0.68396857
-5.93396698,3.70562767,0.53178716,0.00000000,0.95707699,2.72716889,0.02983825,0.66821147
-5.92796398,3.57375944,0.50336761,0.00000000,0.93987223,2.61479163,0.03064341,0.65200598
-5.92196098,3.44093094,0.47550616,0.00000000,0.92247870,2.50186583,0.03142481,0.63545623
-5.91595798,3.30853893,0.44846441,0.00000000,0.90503672,2.38963926,0.03217534,0.61866488
-5.90995498,3.17788382,0.42246603,0.00000000,0.88765539,2.27928386,0.03288673,0.60173065
-5.90395198,3.05014079,0.39769331,0.00000000,0.87040808,2.17187121,0.03354956,0.58474631
-5.89794897,2.92633714,0.37428555,0.00000000,0.85333056,2.06835241,0.03415351,0.56779727
-5.89194597,2.80733665,0.35233917,0.00000000,0.83642193,1.96954286,0.03468756,0.55096077
-5.88594297,2.69383155,0.33190947,0.00000000,0.81964832,1.87611258,0.03514036,0.53430595
-5.87993997,2.58634196,0.31301389,0.00000000,0.80294893,1.78858208,0.03550066,0.51789453
-5.87393697,2.48522270,0.29563640,0.00000000,0.78624426,1.70732368,0.03575774,0.50178229
-5.86793397,2.39067651,0.27973280,0.00000000,0.76944576,1.63256809,0.03590196,0.48602118
-5.86193097,2.30277285,0.26523658,0.00000000,0.75246651,1.56441535,0.03592523,0.47066178
-5.85592796,2.22147098,0.25206498,0.00000000,0.73523209,1.50284974,0.03582153,0.45575615
-5.84992496,2.14664584,0.24012505,0.00000000,0.71769115,1.44775737,0.03558735,0.44136071
-5.84392196,2.07811535,0.22931921,0.00000000,0.69982492,1.39894585,0.03522210,0.42753901
-5.83791896,2.01566760,0.21955038,0.00000000,0.68165521,1.35616472,0.03472841,0.41436415
-5.83191596,1.95908668,0.21072613,0.00000000,0.66325038,1.31912592,0.03411229,0.40192072
-5.82591296,1.90817582,0.20276215,0.00000000,0.64472902,1.28752337,0.03338328,0.39030614
-5.81990995,1.86277709,0.19558457,0.00000000,0.62626113,1.26105077,0.03255436,0.37963115
-5.81390695,1.82278681,0.18913145,0.00000000,0.60806663,1.23941735,0.03164183,0.37001960
