energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,5.78997585,-4.41358152,1.31075890,-1.01991046,2.58242320,-1.87433740,0.01039284,-0.00780439,0.29256487,-0.29325792,1.16053391,-1.03642966,0.97068602,-0.61180224,1.64395687,-1.32497400,0.00000000,-0.00000000
-5.99399700,5.84397492,-4.45424373,1.33523424,-1.06049081,2.59151413,-1.85011892,0.01040248,-0.00815543,0.30111763,-0.30210087,1.18741667,-1.07757228,0.98710499,-0.62094553,1.65915016,-1.35283083,0.00000000,-0.00000000
-5.98799400,5.92058176,-4.51457256,1.35935836,-1.10276474,2.62064719,-1.84350350,0.01036764,-0.00850707,0.31159165,-0.31077911,1.21674785,-1.11970282,1.00509280,-0.63030715,1.67392723,-1.38313512,0.00000000,-0.00000000
-5.98199100,6.02046104,-4.59411384,1.38340026,-1.14673059,2.66970927,-1.85398697,0.01028997,-0.00885595,0.32412284,-0.31927586,1.24888543,-1.16274279,1.02492009,-0.63998881,1.68854696,-1.41594876,0.00000000,-0.00000000
-5.97598799,6.14402089,-4.69240406,1.40762363,-1.19238178,2.73835511,-1.88101782,0.01017197,-0.00919949,0.33881831,-0.32759331,1.28413495,-1.20662329,1.04684973,-0.65011132,1.70328193,-1.45131859,0.00000000,-0.00000000
-5.96998499,6.29134239,-4.80897891,1.43226126,-1.23970246,2.82599368,-1.92401325,0.01001688,-0.00953595,0.35575003,-0.33575230,1.32272355,-1.25128325,1.07112014,-0.66081177,1.71839122,-1.48927200,0.00000000,-0.00000000
-5.96398199,6.46211440,-4.94337719,1.45748975,-1.28866199,2.93178058,-1.98237354,0.00982855,-0.00986437,0.37494900,-0.34379121,1.36477521,-1.29666634,1.09792778,-0.67223976,1.73409264,-1.52981184,0.00000000,-0.00000000
-5.95797899,6.65557833,-5.09513898,1.48340588,-1.33920843,3.05461711,-2.05549400,0.00961125,-0.01018458,0.39640018,-0.35176417,1.41028898,-1.34271666,1.12740997,-0.68455284,1.75053610,-1.57291040,0.00000000,-0.00000000
-5.95197599,6.87048676,-5.26379771,1.51000636,-1.39126084,3.19315694,-2.14277380,0.00936953,-0.01049703,0.42003854,-0.35973858,1.45912130,-1.38937315,1.15962885,-0.69791105,1.76777988,-1.61850248,0.00000000,-0.00000000
-5.94597299,7.10507966,-5.44886605,1.53717222,-1.44470083,3.34582091,-2.24362164,0.00910802,-0.01080274,0.44574639,-0.36779198,1.51097394,-1.43656286,1.19455769,-0.71247073,1.78577125,-1.66647755,0.00000000,-0.00000000
-5.93996998,7.35708113,-5.64981600,1.56465913,-1.49936357,3.51081990,-2.35745793,0.00883130,-0.01110310,0.47335253,-0.37600845,1.56538857,-1.48419343,1.23207031,-0.72837751,1.80433297,-1.71667128,0.00000000,-0.00000000
-5.93396698,7.62371855,-5.86605441,1.59209440,-1.55502880,3.68618576,-2.48371355,0.00854372,-0.01139972,0.50263309,-0.38447455,1.62174860,-1.53214510,1.27193440,-0.74575894,1.82315672,-1.76885686,0.00000000,-0.00000000
-5.92796398,7.90176477,-6.09689512,1.61898122,-1.61141253,3.86980943,-2.62182562,0.00824930,-0.01169421,0.53331442,-0.39327513,1.67928881,-1.58026277,1.31380954,-0.76471680,1.84180397,-1.82273659,0.00000000,-0.00000000
-5.92196098,8.18760259,-6.34152963,1.64471018,-1.66816002,4.05948497,-2.77123042,0.00795163,-0.01198801,0.56507792,-0.40248908,1.73711260,-1.62834874,1.35725007,-0.78531957,1.85971479,-1.87793456,0.00000000,-0.00000000
-5.91595798,8.47730960,-6.59899819,1.66857770,-1.72484083,4.25295817,-2.93135389,0.00765378,-0.01228217,0.59756686,-0.41218515,1.79421640,-1.67615670,1.40171298,-0.80759530,1.87622406,-1.93399098,0.00000000,-0.00000000
-5.90995498,8.76675968,-6.86816333,1.68981059,-1.78094665,4.44797730,-3.10160022,0.00735830,-0.01257717,0.63039477,-0.42241826,1.84952034,-1.72338750,1.44657071,-0.83152530,1.89058460,-1.99035914,0.00000000,-0.00000000
-5.90395198,9.05173673,-7.14768757,1.70759560,-1.83589247,4.64234395,-3.28133884,0.00706714,-0.01287277,0.66315537,-0.43322615,1.90190379,-1.76968742,1.49112827,-0.85703906,1.90199591,-2.04640557,0.00000000,-0.00000000
-5.89794897,9.32805489,-7.43601710,1.72111239,-1.88902168,4.83396141,-3.46989019,0.00678175,-0.01316786,0.69543342,-0.44462681,1.95024418,-1.81464916,1.53464402,-0.88401069,1.90963715,-2.10141402,0.00000000,-0.00000000
-5.89194597,9.59167925,-7.73137252,1.72956833,-1.93961523,5.02087795,-3.66651069,0.00650304,-0.01346042,0.72681618,-0.45661665,1.99345729,-1.85781592,1.57635311,-0.91225722,1.91270259,-2.15459374,0.00000000,-0.00000000
-5.88594297,9.83884062,-8.03174760,1.73223330,-1.98690498,5.20132287,-3.87037711,0.00623150,-0.01374746,0.75690481,-0.46916950,2.03053683,-1.89868876,1.61549253,-0.94153898,1.91043753,-2.20509213,0.00000000,-0.00000000
