energy_ev,total_up,Pd_p_up,Pd_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,0.65462594,0.61786215,0.23781528,0.19341080,0.00246572,0.00688554,0.15360138
-5.99399700,0.68074555,0.64687803,0.24951700,0.20318648,0.00255350,0.00719547,0.15749478
-5.98799400,0.71168110,0.67881187,0.26340594,0.21461350,0.00265539,0.00756161,0.16226217
-5.98199100,0.74703364,0.71322886,0.27938996,0.22760853,0.00276971,0.00797780,0.16773278
-5.97598799,0.78636364,0.74965512,0.29736009,0.24207383,0.00289461,0.00843717,0.17373020
-5.96998499,0.82919489,0.78758568,0.31719005,0.25789722,0.00302810,0.00893221,0.18007510
-5.96398199,0.87501811,0.82649248,0.33873525,0.27495163,0.00316806,0.00945496,0.18658833
-5.95797899,0.92329425,0.86583250,0.36183161,0.29309460,0.00331232,0.00999707,0.19309403
-5.95197599,0.97345739,0.90505563,0.38629413,0.31216752,0.00345865,0.01054999,0.19942296
-5.94597299,1.02491749,0.94361228,0.41191548,0.33199502,0.00360479,0.01110511,0.20541562
-5.93996998,1.07706307,0.98096056,0.43846483,0.35238446,0.00374855,0.01165386,0.21092533
-5.93396698,1.12926413,1.01657315,0.46568702,0.37312573,0.00388773,0.01218789,0.21582083
-5.92796398,1.18087539,1.04994358,0.49330238,0.39399168,0.00402025,0.01269918,0.21998864
-5.92196098,1.23124035,1.08059224,0.52100739,0.41473904,0.00414410,0.01318015,0.22333472
-5.91595798,1.27969623,1.10807189,0.54847638,0.43511024,0.00425742,0.01362376,0.22578575
-5.90995498,1.32558009,1.13197293,0.57536435,0.45483607,0.00435845,0.01402366,0.22728973
-5.90395198,1.36823623,1.15192836,0.60131109,0.47363921,0.00444563,0.01437420,0.22781591
-5.89794897,1.40702502,1.16761845,0.62594653,0.49123877,0.00451755,0.01467055,0.22735427
-5.89194597,1.44133293,1.17877521,0.64889736,0.50735555,0.00457302,0.01490871,0.22591438
-5.88594297,1.47058385,1.18518655,0.66979471,0.52171813,0.00461103,0.01508558,0.22352382
-5.87993997,1.49425119,1.18670019,0.68828265,0.53406940,0.00463080,0.01519901,0.22022624
-5.87393697,1.51187062,1.18322707,0.70402738,0.54417346,0.00463181,0.01524775,0.21607914
-5.86793397,1.52305273,1.17474431,0.71672660,0.55182252,0.00461375,0.01523151,0.21115149
-5.86193097,1.52749532,1.16129742,0.72611877,0.55684350,0.00457657,0.01515096,0.20552134
-5.85592796,1.52499455,1.14300169,0.73199186,0.55910419,0.00452050,0.01500769,0.19927340
-5.84992496,1.51545452,1.12004264,0.73419115,0.55851839,0.00444600,0.01480420,0.19249679
-5.84392196,1.49889462,1.09267524,0.73262577,0.55505012,0.00435381,0.01454389,0.18528301
-5.83791896,1.47545428,1.06122190,0.72727358,0.54871633,0.00424493,0.01423099,0.17772412
-5.83191596,1.44539469,1.02606916,0.71818419,0.53958827,0.00412058,0.01387055,0.16991118
-5.82591296,1.40909726,0.98766299,0.70547996,0.52779119,0.00398223,0.01346836,0.16193305
-5.81990995,1.36705872,0.94650278,0.68935480,0.51350245,0.00383156,0.01303087,0.15387535
-5.81390695,1.31988297,0.90313417,0.67007094,0.49694818,0.00367041,0.01256516,0.14581976
-5.80790395,1.26826986,0.85814082,0.64795367,0.47839842,0.00350080,0.01207877,0.13784344
-5.80190095,1.21300131,0.81213542,0.62338428,0.45816119,0.00332485,0.01157968,0.13001868
-5.79589795,1.15492522,0.76575019,0.59679161,0.43657549,0.00314479,0.01107613,0.12241259
-5.78989495,1.09493791,0.71962722,0.56864237,0.41400374,0.00296286,0.01057654,0.11508693
-5.78389195,1.03396556,0.67440892,0.53943082,0.39082383,0.00278135,0.01008936,0.10809789
-5.77788894,0.97294556,0.63072894,0.50966807,0.36742118,0.00260248,0.00962293,0.10149593
-5.77188594,0.91280830,0.58920392,0.47987156,0.34418103,0.00242843,0.00918539,0.09532559
-5.76588294,0.85446022,0.55042622,0.45055501,0.32148135,0.00226126,0.00878448,0.08962525
-5.75987994,0.79876848,0.51495787,0.42221917,0.29968648,0.00210293,0.00842750,0.08442689
-5.75387694,0.74654792,0.48332588,0.39534380,0.27914174,0.00195522,0.00812111,0.07975591
-5.74787394,0.69855049,0.45601903,0.37038086,0.26016916,0.00181978,0.00787132,0.07563089
-5.74187094,0.65545741,0.43348585,0.34774928,0.24306422,0.00169805,0.00768335,0.07206349
-5.73586793,0.61787407,0.41613406,0.32783111,0.22809384,0.00159131,0.00756160,0.06905843
