energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,8.96310103,0.01801312,1.63750174,0.02692633,0.00000000,6.52782427,4.90472969,1.92242310,0.00000000
-5.99399700,9.17093127,0.01874491,1.67024407,0.02632594,0.00000000,6.72848517,5.04491186,1.93231303,0.00000000
-5.98799400,9.38276896,0.01944587,1.70286643,0.02572652,0.00000000,6.93019851,5.18698298,1.94439535,0.00000000
-5.98199100,9.59595461,0.02010850,1.73464541,0.02514042,0.00000000,7.13029820,5.32912769,1.95881117,0.00000000
-5.97598799,9.80755876,0.02072636,1.76481180,0.02457911,0.00000000,7.32593912,5.46938266,1.97563342,0.00000000
-5.96998499,10.01447722,0.02129425,1.79257703,0.02405289,0.00000000,7.51418196,5.60569610,1.99486906,0.00000000
-5.96398199,10.21353014,0.02180845,1.81716072,0.02357080,0.00000000,7.69208059,5.73599011,2.01646146,0.00000000
-5.95797899,10.40155929,0.02226679,1.83781795,0.02314032,0.00000000,7.85676771,5.85822243,2.04029251,0.00000000
-5.95197599,10.57551816,0.02266881,1.85386486,0.02276731,0.00000000,8.00553493,5.97044429,2.06618376,0.00000000
-5.94597299,10.73255061,0.02301571,1.86470146,0.02245585,0.00000000,8.13590397,6.07085150,2.09389661,0.00000000
-5.93996998,10.87005446,0.02331036,1.86983057,0.02220815,0.00000000,8.24568605,6.15782643,2.12313140,0.00000000
-5.93396698,10.98572808,0.02355716,1.86887217,0.02202448,0.00000000,8.33302769,6.22996940,2.15352568,0.00000000
-5.92796398,11.07759925,0.02376185,1.86157264,0.02190312,0.00000000,8.39644169,6.28611875,2.18465229,0.00000000
-5.92196098,11.14403688,0.02393134,1.84780867,0.02184043,0.00000000,8.43482338,6.32535961,2.21601771,0.00000000
-5.91595798,11.18374772,0.02407342,1.82758616,0.02183088,0.00000000,8.44745263,6.34702242,2.24706175,0.00000000
-5.90995498,11.19576075,0.02419645,1.80103417,0.02186715,0.00000000,8.43398337,6.35067268,2.27715922,0.00000000
-5.90395198,11.17940319,0.02430907,1.76839489,0.02194036,0.00000000,8.39442276,6.33609403,2.30562442,0.00000000
-5.89794897,11.13427206,0.02441987,1.73001030,0.02204027,0.00000000,8.32910256,6.30326711,2.33171924,0.00000000
-5.89194597,11.06020538,0.02453711,1.68630636,0.02215558,0.00000000,8.23864569,6.25234662,2.35466518,0.00000000
-5.88594297,10.95725677,0.02466837,1.63777595,0.02227429,0.00000000,8.12393074,6.18363900,2.37365946,0.00000000
-5.87993997,10.82567636,0.02482036,1.58496136,0.02238408,0.00000000,7.98605720,6.09758284,2.38789516,0.00000000
-5.87393697,10.66590019,0.02499862,1.52843729,0.02247274,0.00000000,7.82631351,5.99473334,2.39658483,0.00000000
-5.86793397,10.47854901,0.02520736,1.46879513,0.02252862,0.00000000,7.64614972,5.87575208,2.39898673,0.00000000
-5.86193097,10.26443619,0.02544931,1.40662911,0.02254106,0.00000000,7.44715577,5.74140208,2.39443258,0.00000000
-5.85592796,10.02458357,0.02572558,1.34252471,0.02250084,0.00000000,7.23104563,5.59254786,2.38235552,0.00000000
-5.84992496,9.76024277,0.02603561,1.27704961,0.02240053,0.00000000,6.99964705,5.43015960,2.36231680,0.00000000
-5.84392196,9.47291893,0.02637717,1.21074708,0.02223485,0.00000000,6.75489576,5.25531969,2.33402966,0.00000000
-5.83791896,9.16439333,0.02674631,1.14413175,0.02200094,0.00000000,6.49883291,5.06923006,2.29737895,0.00000000
-5.83191596,8.83674127,0.02713748,1.07768743,0.02169848,0.00000000,6.23360365,4.87321810,2.25243532,0.00000000
-5.82591296,8.49234159,0.02754359,1.01186659,0.02132979,0.00000000,5.96145513,4.66873951,2.19946284,0.00000000
-5.81990995,8.13387495,0.02795617,0.94709102,0.02089980,0.00000000,5.68473185,4.45737603,2.13891951,0.00000000
-5.81390695,7.76430863,0.02836553,0.88375323,0.02041589,0.00000000,5.40586670,4.24082702,2.07145032,0.00000000
-5.80790395,7.38686666,0.02876099,0.82221817,0.01988764,0.00000000,5.12736635,4.02089386,1.99787304,0.00000000
-5.80190095,7.00498501,0.02913114,0.76282486,0.01932651,0.00000000,4.85178997,3.79945712,1.91915712,0.00000000
-5.79589795,6.62225290,0.02946409,0.70588753,0.01874540,0.00000000,4.58172109,3.57844660,1.83639686,0.00000000
-5.78989495,6.24234205,0.02974785,0.65169627,0.01815820,0.00000000,4.31973258,3.35980556,1.75077971,0.00000000
-5.78389195,5.86892692,0.02997058,0.60051686,0.01757921,0.00000000,4.06834580,3.14545023,1.66355142,0.00000000
-5.77788894,5.50559921,0.03012102,0.55258990,0.01702268,0.00000000,3.82998482,2.93722678,1.57597935,0.00000000
-5.77188594,5.15578082,0.03018878,0.50812925,0.01650219,0.00000000,3.60692755,2.73686768,1.48931565,0.00000000
-5.76588294,4.82263918,0.03016469,0.46731994,0.01603021,0.00000000,3.40125570,2.54594985,1.40476187,0.00000000
-5.75987994,4.50900910,0.03004113,0.43031573,0.01561762,0.00000000,3.21480548,2.36585659,1.32343631,0.00000000
-5.75387694,4.21732455,0.02981226,0.39723657,0.01527331,0.00000000,3.04912128,2.19774555,1.24634537,0.00000000
-5.74787394,3.94956372,0.02947431,0.36816610,0.01500388,0.00000000,2.90541428,2.04252407,1.17435984,0.00000000
-5.74187094,3.70720926,0.02902569,0.34314959,0.01481347,0.00000000,2.78452787,1.90083342,1.10819681,0.00000000
-5.73586793,3.49122555,0.02846708,0.32219225,0.01470361,0.00000000,2.68691129,1.77304244,1.04840759,0.00000000
-5.72986493,3.30205325,0.02780150,0.30525834,0.01467326,0.00000000,2.61260291,1.65925085,0.99537159,0.00000000
-5.72386193,3.13962103,0.02703422,0.29227104,0.01471890,0.00000000,2.56122375,1.55930193,0.94929621,0.00000000
-5.71785893,3.00337325,0.02617260,0.28311314,0.01483475,0.00000000,2.53198194,1.47280360,0.91022208,0.00000000
-5.71185593,2.89231184,0.02522598,0.27762871,0.01501304,0.00000000,2.52368799,1.39915688,0.87803329,0.00000000
-5.70585293,2.80505001,0.02420533,0.27562557,0.01524438,0.00000000,2.53478058,1.33758985,0.85247160,0.00000000
-5.69984992,2.73987496,0.02312298,0.27687859,0.01551821,0.00000000,2.56336232,1.28719564,0.83315408,0.00000000
-5.69384692,2.69481672,0.02199228,0.28113371,0.01582318,0.00000000,2.60724436,1.24697228,0.81959309,0.00000000
-5.68784392,2.66771993,0.02082723,0.28811253,0.01614769,0.00000000,2.66399864,1.21586256,0.81121780,0.00000000
-5.68184092,2.65631552,0.01964211,0.29751734,0.01648026,0.00000000,2.73101623,1.19279218,0.80739642,0.00000000
-5.67583792,2.65828976,0.01845111,0.30903642,0.01681006,0.00000000,2.80557010,1.17670445,0.80745831,0.00000000
-5.66983492,2.67134795,0.01726797,0.32234943,0.01712719,0.00000000,2.88488048,1.16659025,0.81071520,0.00000000
-5.66383192,2.69327091,0.01610572,0.33713275,0.01742308,0.00000000,2.96618073,1.16151231,0.81648111,0.00000000
-5.65782891,2.72196265,0.01497635,0.35306449,0.01769071,0.00000000,3.04678202,1.16062302,0.82409023,0.00000000
-5.65182591,2.75548824,0.01389064,0.36982928,0.01792477,0.00000000,3.12413453,1.16317569,0.83291249,0.00000000
-5.64582291,2.79210144,0.01285793,0.38712232,0.01812178,0.00000000,3.19588371,1.16852929,0.84236661,0.00000000
-5.63981991,2.83026208,0.01188605,0.40465306,0.01828006,0.00000000,3.25991966,1.17614717,0.85193034,0.00000000
-5.63381691,2.86864376,0.01098121,0.42214802,0.01839967,0.00000000,3.31441838,1.18559059,0.86114796,0.00000000
-5.62781391,2.90613291,0.01014799,0.43935304,0.01848226,0.00000000,3.35787376,1.19650805,0.86963513,0.00000000
-5.62181091,2.94182053,0.00938937,0.45603483,0.01853089,0.00000000,3.38911956,1.20862168,0.87708111,0.00000000
-5.61580790,2.97498822,0.00870680,0.47198197,0.01854979,0.00000000,3.40734111,1.22171206,0.88324885,0.00000000
-5.60980490,3.00509041,0.00810028,0.48700539,0.01854405,0.00000000,3.41207667,1.23560261,0.88797302,0.00000000
-5.60380190,3.03173451,0.00756846,0.50093856,0.01851940,0.00000000,3.40320916,1.25014515,0.89115653,0.00000000
-5.59779890,3.05466090,0.00710888,0.51363744,0.01848196,0.00000000,3.38094895,1.26520740,0.89276580,0.00000000
-5.59179590,3.07372436,0.00671804,0.52498046,0.01843793,0.00000000,3.34580892,1.28066362,0.89282532,0.00000000
-5.58579290,3.08887831,0.00639166,0.53486860,0.01839347,0.00000000,3.29857342,1.29638883,0.89141171,0.00000000
-5.57978989,3.10016279,0.00612480,0.54322573,0.01835450,0.00000000,3.24026242,1.31225708,0.88864768,0.00000000
-5.57378689,3.10769680,0.00591212,0.54999933,0.01832662,0.00000000,3.17209278,1.32814366,0.88469615,0.00000000
-5.56778389,3.11167508,0.00574805,0.55516150,0.01831502,0.00000000,3.09543809,1.34393108,0.87975464,0.00000000
-5.56178089,3.11236886,0.00562693,0.55871044,0.01832452,0.00000000,3.01178857,1.35951800,0.87405007,0.00000000
-5.55577789,3.11012982,0.00554327,0.56067210,0.01835953,0.00000000,2.92271229,1.37483036,0.86783393,0.00000000
-5.54977489,3.10539604,0.00549183,0.56110200,0.01842415,0.00000000,2.82981873,1.38983364,0.86137769,0.00000000
-5.54377189,3.09869835,0.00546779,0.56008691,0.01852220,0.00000000,2.73472514,1.40454489,0.85496836,0.00000000
-5.53776888,3.09066562,0.00546685,0.55774623,0.01865730,0.00000000,2.63902629,1.41904354,0.84890405,0.00000000
-5.53176588,3.08202710,0.00548536,0.55423271,0.01883287,0.00000000,2.54426748,1.43347959,0.84348913,0.00000000
-5.52576288,3.07361055,0.00552031,0.54973237,0.01905215,0.00000000,2.45192066,1.44807833,0.83902909,0.00000000
