energy_ev,total_up,P_s_up,P_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.16498945,0.00201900,0.03155946,0.05915496,0.02327842,0.07573413,0.00000000
-5.99399700,0.16068470,0.00228378,0.02720212,0.05449020,0.02147936,0.07842620,0.00000000
-5.98799400,0.15864551,0.00257348,0.02335028,0.05069664,0.02002740,0.08206215,0.00000000
-5.98199100,0.15877423,0.00288719,0.01999373,0.04774632,0.01891265,0.08658579,0.00000000
-5.97598799,0.16093675,0.00322357,0.01711749,0.04559968,0.01812102,0.09192123,0.00000000
-5.96998499,0.16496799,0.00358083,0.01470368,0.04420822,0.01763532,0.09797436,0.00000000
-5.96398199,0.17067814,0.00395680,0.01273324,0.04351709,0.01743634,0.10463501,0.00000000
-5.95797899,0.17785934,0.00434898,0.01118757,0.04346779,0.01750400,0.11177957,0.00000000
-5.95197599,0.18629301,0.00475466,0.01004998,0.04400063,0.01781838,0.11927426,0.00000000
-5.94597299,0.19575754,0.00517104,0.00930697,0.04505723,0.01836087,0.12697893,0.00000000
-5.93996998,0.20603626,0.00559536,0.00894930,0.04658280,0.01911513,0.13475136,0.00000000
-5.93396698,0.21692567,0.00602503,0.00897291,0.04852826,0.02006809,0.14245195,0.00000000
-5.92796398,0.22824377,0.00645786,0.00937959,0.05085222,0.02121089,0.14994872,0.00000000
-5.92196098,0.23983817,0.00689220,0.01017749,0.05352266,0.02253968,0.15712250,0.00000000
-5.91595798,0.25159392,0.00732707,0.01138147,0.05651852,0.02405640,0.16387205,0.00000000
-5.90995498,0.26344085,0.00776240,0.01301325,0.05983087,0.02576943,0.17011910,0.00000000
-5.90395198,0.27535995,0.00819909,0.01510150,0.06346392,0.02769409,0.17581289,0.00000000
-5.89794897,0.28738876,0.00863915,0.01768163,0.06743561,0.02985306,0.18093426,0.00000000
-5.89194597,0.29962544,0.00908577,0.02079558,0.07177789,0.03227652,0.18549883,0.00000000
-5.88594297,0.31223108,0.00954335,0.02449139,0.07653663,0.03500219,0.18955938,0.00000000
-5.87993997,0.32543033,0.01001747,0.02882258,0.08177107,0.03807509,0.19320700,0.00000000
-5.87393697,0.33950982,0.01051482,0.03384737,0.08755282,0.04154704,0.19657110,0.00000000
-5.86793397,0.35481441,0.01104305,0.03962773,0.09396439,0.04547589,0.19981799,0.00000000
-5.86193097,0.37174107,0.01161064,0.04622809,0.10109728,0.04992445,0.20314816,0.00000000
-5.85592796,0.39073033,0.01222662,0.05371393,0.10904950,0.05495907,0.20679212,0.00000000
-5.84992496,0.41225528,0.01290029,0.06214994,0.11792264,0.06064787,0.21100489,0.00000000
-5.84392196,0.43680828,0.01364091,0.07159800,0.12781846,0.06705872,0.21605918,0.00000000
-5.83791896,0.46488542,0.01445733,0.08211473,0.13883508,0.07425677,0.22223741,0.00000000
-5.83191596,0.49696910,0.01535759,0.09374888,0.15106270,0.08230179,0.22982272,0.00000000
-5.82591296,0.53350902,0.01634852,0.10653831,0.16457912,0.09124524,0.23908921,0.00000000
-5.81990995,0.57490198,0.01743534,0.12050686,0.17944499,0.10112710,0.25029163,0.00000000
-5.81390695,0.62147122,0.01862122,0.13566105,0.19569902,0.11197274,0.26365479,0.00000000
-5.80790395,0.67344572,0.01990697,0.15198675,0.21335323,0.12378969,0.27936313,0.00000000
-5.80190095,0.73094052,0.02129063,0.16944599,0.23238855,0.13656465,0.29755065,0.00000000
-5.79589795,0.79393857,0.02276723,0.18797404,0.25275078,0.15026078,0.31829178,0.00000000
-5.78989495,0.86227533,0.02432857,0.20747700,0.27434730,0.16481546,0.34159344,0.00000000
-5.78389195,0.93562684,0.02596313,0.22783003,0.29704468,0.18013872,0.36738874,0.00000000
-5.77788894,1.01350226,0.02765598,0.24887646,0.32066746,0.19611243,0.39553283,0.00000000
-5.77188594,1.09524179,0.02938893,0.27042797,0.34499822,0.21259049,0.42580105,0.00000000
-5.76588294,1.18002053,0.03114074,0.29226602,0.36977925,0.22940006,0.45788995,0.00000000
-5.75987994,1.26685908,0.03288743,0.31414456,0.39471586,0.24634401,0.49142118,0.00000000
-5.75387694,1.35464100,0.03460278,0.33579430,0.41948141,0.26320452,0.52594854,0.00000000
-5.74787394,1.44213726,0.03625891,0.35692826,0.44372420,0.27974795,0.56096824,0.00000000
-5.74187094,1.52803742,0.03782696,0.37724875,0.46707582,0.29573077,0.59593204,0.00000000
-5.73586793,1.61098679,0.03927791,0.39645555,0.48916118,0.31090654,0.63026326,0.00000000
-5.72986493,1.68962867,0.04058341,0.41425503,0.50960965,0.32503356,0.66337517,0.00000000
-5.72386193,1.76265028,0.04171667,0.43036993,0.52806702,0.33788314,0.69469104,0.00000000
-5.71785893,1.82883075,0.04265337,0.44454944,0.54420799,0.34924801,0.72366544,0.00000000
-5.71185593,1.88708920,0.04337252,0.45657908,0.55774845,0.35895049,0.74980576,0.00000000
-5.70585293,1.93653100,0.04385722,0.46628999,0.56845727,0.36685029,0.77269315,0.00000000
-5.69984992,1.97648991,0.04409539,0.47356718,0.57616683,0.37285116,0.79200202,0.00000000
-5.69384692,2.00656418,0.04408025,0.47835623,0.58078199,0.37690650,0.80751704,0.00000000
-5.68784392,2.02664454,0.04381076,0.48066806,0.58228680,0.37902318,0.81914695,0.00000000
-5.68184092,2.03693257,0.04329178,0.48058158,0.58074874,0.37926362,0.82693427,0.00000000
-5.67583792,2.03794803,0.04253402,0.47824375,0.57632009,0.37774583,0.83106033,0.00000000
-5.66983492,2.03052433,0.04155385,0.47386714,0.56923627,0.37464131,0.83184521,0.00000000
-5.66383192,2.01579178,0.04037289,0.46772493,0.55981111,0.37017082,0.82974227,0.00000000
-5.65782891,1.99514885,0.03901735,0.46014331,0.54842911,0.36459821,0.82532725,0.00000000
-5.65182591,1.97022199,0.03751730,0.45149183,0.53553498,0.35822233,0.81928221,0.00000000
-5.64582291,1.94281546,0.03590572,0.44217177,0.52162069,0.35136757,0.81237463,0.00000000
-5.63981991,1.91485265,0.03421755,0.43260301,0.50721063,0.34437306,0.80543241,0.00000000
-5.63381691,1.88831108,0.03248862,0.42321012,0.49284527,0.33758128,0.79931553,0.00000000
-5.62781391,1.86515348,0.03075454,0.41440792,0.47906403,0.33132628,0.79488542,0.00000000
-5.62181091,1.84725750,0.02904973,0.40658734,0.46638793,0.32592210,0.79297307,0.00000000
-5.61580790,1.83634679,0.02740639,0.40010200,0.45530279,0.32165187,0.79434718,0.00000000
-5.60980490,1.83392613,0.02585365,0.39525616,0.44624339,0.31875796,0.79968340,0.00000000
-5.60380190,1.84122319,0.02441683,0.39229443,0.43957939,0.31743365,0.80953614,0.00000000
-5.59779890,1.85913930,0.02311687,0.39139376,0.43560345,0.31781659,0.82431378,0.00000000
-5.59179590,1.88821123,0.02196989,0.39265797,0.43452198,0.31998441,0.84425858,0.00000000
-5.58579290,1.92858573,0.02098693,0.39611499,0.43644887,0.32395251,0.86943211,0.00000000
-5.57978989,1.98000799,0.02017396,0.40171710,0.44140244,0.32967432,0.89970682,0.00000000
-5.57378689,2.04182462,0.01953192,0.40934396,0.44930578,0.33704382,0.93476448,0.00000000
-5.56778389,2.11300150,0.01905702,0.41880837,0.45999041,0.34590040,0.97410152,0.00000000
-5.56178089,2.19215589,0.01874118,0.42986466,0.47320315,0.35603570,1.01704139,0.00000000
-5.55577789,2.27760179,0.01857254,0.44221914,0.48861599,0.36720232,1.06275361,0.00000000
-5.54977489,2.36740723,0.01853611,0.45554235,0.50583860,0.37912392,1.11027899,0.00000000
-5.54377189,2.45946102,0.01861449,0.46948260,0.52443293,0.39150635,1.15856009,0.00000000
-5.53776888,2.55154689,0.01878859,0.48368012,0.54392954,0.40404937,1.20647594,0.00000000
-5.53176588,2.64142179,0.01903845,0.49778145,0.56384474,0.41645844,1.25287963,0.00000000
-5.52576288,2.72689543,0.01934392,0.51145319,0.58369820,0.42845609,1.29663742,0.00000000
-5.51975988,2.80590782,0.01968542,0.52439481,0.60302998,0.43979240,1.33666761,0.00000000
-5.51375688,2.87660145,0.02004453,0.53634981,0.62141660,0.45025411,1.37197783,0.00000000
-5.50775388,2.93738530,0.02040458,0.54711475,0.63848522,0.45967203,1.40169898,0.00000000
-5.50175088,2.98698778,0.02075103,0.55654591,0.65392552,0.46792636,1.42511446,0.00000000
-5.49574787,3.02449646,0.02107184,0.56456310,0.66749864,0.47494973,1.44168344,0.00000000
-5.48974487,3.04938294,0.02135761,0.57115063,0.67904298,0.48072785,1.45105728,0.00000000
-5.48374187,3.06151185,0.02160168,0.57635537,0.68847643,0.48529771,1.45308822,0.00000000
-5.47773887,3.06113381,0.02180004,0.58028192,0.69579517,0.48874348,1.44783035,0.00000000
-5.47173587,3.04886288,0.02195116,0.58308532,0.70106908,0.49119040,1.43553263,0.00000000
-5.46573287,3.02563983,0.02205570,0.58496150,0.70443397,0.49279672,1.41662471,0.00000000
-5.45972986,2.99268312,0.02211620,0.58613599,0.70608124,0.49374450,1.39169611,0.00000000
-5.45372686,2.95143031,0.02213663,0.58685155,0.70624540,0.49422936,1.36147010,0.00000000
-5.44772386,2.90347265,0.02212199,0.58735510,0.70519021,0.49444994,1.32677346,0.00000000
-5.44172086,2.85048634,0.02207787,0.58788485,0.70319409,0.49459751,1.28850373,0.00000000
-5.43571786,2.79416365,0.02201006,0.58865804,0.70053570,0.49484626,1.24759560,0.00000000
-5.42971486,2.73614715,0.02192418,0.58985990,0.69748023,0.49534473,1.20498785,0.00000000
