energy_ev,total_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.44978893,0.64066133,0.47552185,0.73922920,0.00000000,0.02757499,0.19495545,0.07402081,1.58060762
-5.99399700,3.26333328,0.59629743,0.45752904,0.69455325,0.00000000,0.02523354,0.18816979,0.07046247,1.48772030
-5.98799400,3.09477908,0.55671172,0.44143144,0.65204296,0.00000000,0.02302799,0.18206675,0.06745577,1.40360720
-5.98199100,2.94423006,0.52196488,0.42716839,0.61185930,0.00000000,0.02096461,0.17661221,0.06504387,1.32843341
-5.97598799,2.81154563,0.49205284,0.41465665,0.57410869,0.00000000,0.01904680,0.17176493,0.06326036,1.26223727
-5.96998499,2.69637925,0.46691382,0.40379722,0.53884949,0.00000000,0.01727544,0.16747966,0.06212889,1.20494509
-5.96398199,2.59821705,0.44643536,0.39448189,0.50609939,0.00000000,0.01564913,0.16371021,0.06166293,1.15638636
-5.95797899,2.51641464,0.43046112,0.38659916,0.47584364,0.00000000,0.01416458,0.16041220,0.06186563,1.11630878
-5.95197599,2.45023080,0.41879713,0.38003936,0.44804324,0.00000000,0.01281701,0.15754554,0.06272981,1.08439225
-5.94597299,2.39885667,0.41121759,0.37469860,0.42264300,0.00000000,0.01160047,0.15507629,0.06423806,1.06026166
-5.93996998,2.36143967,0.40746983,0.37048169,0.39957868,0.00000000,0.01050825,0.15297806,0.06636295,1.04349782
-5.93396698,2.33710161,0.40727876,0.36730375,0.37878317,0.00000000,0.00953321,0.15123273,0.06906731,1.03364647
-5.92796398,2.32495099,0.41035049,0.36509062,0.36019125,0.00000000,0.00866807,0.14983057,0.07230474,1.03022544
-5.92196098,2.32408974,0.41637557,0.36377819,0.34374279,0.00000000,0.00790572,0.14876974,0.07602015,1.03272977
-5.91595798,2.33361518,0.42503165,0.36331079,0.32938443,0.00000000,0.00723935,0.14805517,0.08015051,1.04063539
-5.90995498,2.35261801,0.43598595,0.36363882,0.31706959,0.00000000,0.00666271,0.14769710,0.08462580,1.05340142
-5.90395198,2.38017761,0.44889757,0.36471590,0.30675714,0.00000000,0.00617012,0.14770907,0.08937007,1.07047167
-5.89794897,2.41535570,0.46341977,0.36649579,0.29840876,0.00000000,0.00575663,0.14810579,0.09430270,1.09127569
-5.89194597,2.45718978,0.47920246,0.36892934,0.29198536,0.00000000,0.00541793,0.14890083,0.09933983,1.11522990
-5.88594297,2.50468743,0.49589485,0.37196167,0.28744290,0.00000000,0.00515040,0.15010428,0.10439593,1.14173899
-5.87993997,2.55682243,0.51314849,0.37552982,0.28472794,0.00000000,0.00495097,0.15172068,0.10938546,1.17019824
-5.87393697,2.61253369,0.53062054,0.37956112,0.28377315,0.00000000,0.00481710,0.15374703,0.11422460,1.19999657
-5.86793397,2.67072727,0.54797749,0.38397218,0.28449341,0.00000000,0.00474656,0.15617136,0.11883301,1.23052090
-5.86193097,2.73028210,0.56489907,0.38866881,0.28678249,0.00000000,0.00473736,0.15897161,0.12313551,1.26116137
-5.85592796,2.79005922,0.58108242,0.39354674,0.29051080,0.00000000,0.00478758,0.16211511,0.12706369,1.29131783
-5.84992496,2.84891453,0.59624647,0.39849308,0.29552437,0.00000000,0.00489516,0.16555860,0.13055734,1.32040702
-5.84392196,2.90571454,0.61013628,0.40338857,0.30164510,0.00000000,0.00505784,0.16924883,0.13356561,1.34787053
-5.83791896,2.95935480,0.62252745,0.40811042,0.30867254,0.00000000,0.00527292,0.17312376,0.13604794,1.37318312
-5.83191596,3.00878018,0.63323032,0.41253556,0.31638707,0.00000000,0.00553718,0.17711429,0.13797467,1.39586122
-5.82591296,3.05300651,0.64209406,0.41654437,0.32455438,0.00000000,0.00584677,0.18114654,0.13932733,1.41547127
-5.81990995,3.09114290,0.64901050,0.42002445,0.33293127,0.00000000,0.00619710,0.18514453,0.14009854,1.43163770
-5.81390695,3.12241390,0.65391758,0.42287452,0.34127237,0.00000000,0.00658284,0.18903326,0.14029168,1.44405037
-5.80790395,3.14618115,0.65680258,0.42500823,0.34933767,0.00000000,0.00699784,0.19274204,0.13992016,1.45247116
-5.80190095,3.16196365,0.65770486,0.42635773,0.35690047,0.00000000,0.00743524,0.19620802,0.13900656,1.45673968
-5.79589795,3.16945630,0.65671819,0.42687699,0.36375547,0.00000000,0.00788748,0.19937974,0.13758147,1.45677798
-5.78989495,3.16854612,0.65399268,0.42654464,0.36972654,0.00000000,0.00834645,0.20222066,0.13568228,1.45259403
-5.78389195,3.15932556,0.64973602,0.42536637,0.37467402,0.00000000,0.00880364,0.20471241,0.13335191,1.44428407
