energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.13906953,6.39090161,0.02481388,0.17051112,5.35489196,1.89281456,1.27258085,1.17297226,0.02275820,4.38149900
-4.13306653,6.29192809,0.02509986,0.16398488,5.34623335,1.88943245,1.22256943,1.12408711,0.02228960,4.33774997
-4.12706353,6.18764947,0.02540349,0.15802040,5.32568779,1.88322378,1.17354723,1.07759531,0.02180847,4.28761781
-4.12106053,6.07877702,0.02573443,0.15258676,5.29386000,1.87439161,1.12567557,1.03350304,0.02131485,4.23166843
-4.11505753,5.96620232,0.02610294,0.14765414,5.25160363,1.86323055,1.07914813,0.99181093,0.02080888,4.17061258
-4.10905453,5.85097507,0.02651951,0.14319426,5.19999219,1.85011414,1.03418603,0.95251939,0.02029089,4.10528562
-4.10305153,5.73427381,0.02699450,0.13918082,5.14028170,1.83547914,0.99103176,0.91563265,0.01976146,4.03662225
-4.09704852,5.61737044,0.02753779,0.13558992,5.07386649,1.81980716,0.94994214,0.88116126,0.01922148,3.96562731
-4.09104552,5.50159009,0.02815832,0.13240047,5.00222984,1.80360437,0.91118065,0.84912321,0.01867213,3.89334348
-4.08504252,5.38826774,0.02886381,0.12959444,4.92689152,1.78738019,0.87500933,0.81954352,0.01811496,3.82081732
-4.07903952,5.27870346,0.02966033,0.12715721,4.84935434,1.77162567,0.84168062,0.79245259,0.01755184,3.74906481
-4.07303652,5.17411812,0.03055199,0.12507759,4.77105206,1.75679256,0.81142939,0.76788338,0.01698497,3.67903792
-4.06703352,5.07561133,0.03154065,0.12334791,4.69330065,1.74327391,0.78446534,0.74586776,0.01641685,3.61159339
-4.06103052,4.98412355,0.03262567,0.12196382,4.61725524,1.73138694,0.76096618,0.72643233,0.01585023,3.54746522
-4.05502751,4.90040389,0.03380364,0.12092410,4.54387422,1.72135904,0.74107174,0.70959396,0.01528807,3.48724191
-4.04902451,4.82498510,0.03506831,0.12023022,4.47389238,1.71331743,0.72487916,0.69535541,0.01473351,3.43134945
-4.04302151,4.75816692,0.03641039,0.11988586,4.40780383,1.70728295,0.71243951,0.68370143,0.01418979,3.38004080
-4.03701851,4.70000856,0.03781763,0.11989640,4.34585567,1.70316834,0.70375576,0.67459545,0.01366017,3.33339240
-4.03101551,4.65033071,0.03927479,0.12026826,4.28805238,1.70078109,0.69878243,0.66797726,0.01314792,3.29130788
-4.02501251,4.60872725,0.04076385,0.12100836,4.23417080,1.69983078,0.69742681,0.66376181,0.01265622,3.25352879
-4.01900950,4.57458620,0.04226419,0.12212354,4.18378489,1.69994074,0.69955194,0.66183928,0.01218814,3.21965208
-4.01300650,4.54711908,0.04375300,0.12362015,4.13629909,1.70066340,0.70498113,0.66207637,0.01174656,3.18915344
-4.00700350,4.52539762,0.04520564,0.12550371,4.09098860,1.70149893,0.71350419,0.66431900,0.01133415,3.16141560
-4.00100050,4.50839620,0.04659625,0.12777878,4.04704483,1.70191620,0.72488501,0.66839614,0.01095332,3.13576038
-3.99499750,4.49503835,0.04789834,0.13044901,4.00362375,1.70137536,0.73887048,0.67412475,0.01060622,3.11148289
-3.98899450,4.48424519,0.04908550,0.13351739,3.95989489,1.69935086,0.75520040,0.68131555,0.01029472,3.08788658
-3.98299150,4.47498370,0.05013217,0.13698673,3.91508867,1.69535410,0.77361822,0.68977942,0.01002040,3.06431731
-3.97698849,4.46631277,0.05101446,0.14086030,3.86853983,1.68895460,0.79388213,0.69933415,0.00978455,3.04019496
-3.97098549,4.45742492,0.05171089,0.14514272,3.81972493,1.67979879,0.81577625,0.70981126,0.00958821,3.01504108
-3.96498249,4.44768187,0.05220322,0.14984086,3.76829207,1.66762560,0.83912160,0.72106262,0.00943217,2.98850122
-3.95897949,4.43664242,0.05247714,0.15496501,3.71408168,1.65227810,0.86378631,0.73296657,0.00931701,2.96036107
-3.95297649,4.42408147,0.05252290,0.16052993,3.65713723,1.63371083,0.88969484,0.74543339,0.00924312,2.93055540
-3.94697349,4.40999955,0.05233577,0.16655603,3.59770566,1.61199237,0.91683589,0.75840993,0.00921071,2.89916975
-3.94097049,4.39462267,0.05191643,0.17307037,3.53622758,1.58730328,0.94526871,0.77188327,0.00921989,2.86643461
-3.93496748,4.37839268,0.05127114,0.18010771,3.47331790,1.55992940,0.97512751,0.78588330,0.00927066,2.83271273
-3.92896448,4.36194909,0.05041172,0.18771122,3.40973805,1.53025112,1.00662401,0.80048437,0.00936292,2.79848015
-3.92296148,4.34610356,0.04935537,0.19593315,3.34636130,1.49872898,1.04004790,0.81580593,0.00949652,2.76430218
-3.91695848,4.33180850,0.04812435,0.20483517,3.28413312,1.46588657,1.07576534,0.83201224,0.00967126,2.73080559
-3.91095548,4.32012172,0.04674542,0.21448851,3.22402855,1.43229153,1.11421544,0.84931136,0.00988687,2.69864853
-3.90495248,4.31216905,0.04524920,0.22497376,3.16700883,1.39853543,1.15590492,0.86795347,0.01014306,2.66848986
-3.89894947,4.30910673,0.04366940,0.23638043,3.11397941,1.36521378,1.20140119,0.88822865,0.01043948,2.64095929
-3.89294647,4.31208544,0.04204199,0.24880616,3.06575125,1.33290679,1.25132376,0.91046423,0.01077572,2.61662996
-3.88694347,4.32221741,0.04040427,0.26235565,3.02300723,1.30216176,1.30633454,0.93502171,0.01115133,2.59599460
-3.88094047,4.34054785,0.03879399,0.27713927,2.98627487,1.27347788,1.36712688,0.96229333,0.01156576,2.57944624
-3.87493747,4.36803141,0.03724843,0.29327133,2.95590655,1.24729377,1.43441373,0.99269824,0.01201841,2.56726422
