energy_ev,total_up,Rh_p_up,Rh_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,8.07613643,5.55480512,5.74680650,2.27249512,0.00000000,0.74474627,0.00000000
-5.99399700,7.95996391,5.41131359,5.68021884,2.25135973,0.00000000,0.73695178,0.00000000
-5.98799400,7.84025252,5.26023485,5.61191590,2.22858498,0.00000000,0.72870383,0.00000000
-5.98199100,7.72033426,5.10403357,5.54430170,2.20531548,0.00000000,0.72022414,0.00000000
-5.97598799,7.60348818,4.94512377,5.47972976,2.18270242,0.00000000,0.71174949,0.00000000
-5.96998499,7.49287112,4.78581051,5.42045544,2.16187879,0.00000000,0.70352562,0.00000000
-5.96398199,7.39145845,4.62824189,5.36859508,2.14393687,0.00000000,0.69580173,0.00000000
-5.95797899,7.30199589,4.47437253,5.32609255,2.12990837,0.00000000,0.68882570,0.00000000
-5.95197599,7.22696251,4.32593937,5.29469303,2.12074745,0.00000000,0.68284021,0.00000000
-5.94597299,7.16854439,4.18444958,5.27592353,2.11731662,0.00000000,0.67807971,0.00000000
-5.93996998,7.12861767,4.05117991,5.27107937,2.12037539,0.00000000,0.67476832,0.00000000
-5.93396698,7.10873954,3.92718607,5.28121532,2.13057144,0.00000000,0.67311837,0.00000000
-5.92796398,7.11014507,3.81332019,5.30714039,2.14843378,0.00000000,0.67332947,0.00000000
-5.92196098,7.13374805,3.71025435,5.34941472,2.17436763,0.00000000,0.67558799,0.00000000
-5.91595798,7.18014388,3.61850765,5.40834775,2.20865042,0.00000000,0.68006651,0.00000000
-5.90995498,7.24961295,3.53847454,5.48399664,2.25142881,0.00000000,0.68692330,0.00000000
-5.90395198,7.34212327,3.47045217,5.57616443,2.30271615,0.00000000,0.69630138,0.00000000
-5.89794897,7.45733177,3.41466485,5.68439773,2.36239056,0.00000000,0.70832720,0.00000000
-5.89194597,7.59458404,3.37128405,5.80798426,2.43019346,0.00000000,0.72310883,0.00000000
-5.88594297,7.75291304,3.34044290,5.94595073,2.50572874,0.00000000,0.74073356,0.00000000
-5.87993997,7.93103772,3.32224463,6.09706201,2.58846301,0.00000000,0.76126508,0.00000000
-5.87393697,8.12736289,3.31676489,6.25982274,2.67772712,0.00000000,0.78474028,0.00000000
-5.86793397,8.33998212,3.32404839,6.43248263,2.77271957,0.00000000,0.81116598,0.00000000
-5.86193097,8.56668523,3.34410065,6.61304679,2.87251229,0.00000000,0.84051558,0.00000000
-5.85592796,8.80497242,3.37687607,6.79929222,2.97605910,0.00000000,0.87272620,0.00000000
-5.84992496,9.05207632,3.42226367,6.98879141,3.08220741,0.00000000,0.90769636,0.00000000
-5.84392196,9.30499325,3.48007199,7.17894375,3.18971321,0.00000000,0.94528454,0.00000000
-5.83791896,9.56052431,3.55001447,7.36701484,3.29725953,0.00000000,0.98530888,0.00000000
-5.83191596,9.81532644,3.63169689,7.55018350,3.40347815,0.00000000,1.02754816,0.00000000
-5.82591296,10.06597272,3.72460775,7.72559577,3.50697433,0.00000000,1.07174422,0.00000000
-5.81990995,10.30902071,3.82811252,7.89042448,3.60635383,0.00000000,1.11760587,0.00000000
-5.81390695,10.54108702,3.94145231,8.04193299,3.70025169,0.00000000,1.16481412,0.00000000
-5.80790395,10.75892539,4.06374696,8.17754076,3.78736173,0.00000000,1.21302880,0.00000000
-5.80190095,10.95950562,4.19400244,8.29488858,3.86646586,0.00000000,1.26189605,0.00000000
-5.79589795,11.14008996,4.33112207,8.39190088,3.93646204,0.00000000,1.31105665,0.00000000
-5.78989495,11.29830367,4.47392065,8.46684269,3.99638991,0.00000000,1.36015452,0.00000000
-5.78389195,11.43219661,4.62114077,8.51836865,4.04545294,0.00000000,1.40884518,0.00000000
-5.77788894,11.54029259,4.77146999,8.54556187,4.08303630,0.00000000,1.45680353,0.00000000
-5.77188594,11.62162421,4.92355824,8.54796095,4.10871966,0.00000000,1.50373072,0.00000000
-5.76588294,11.67575108,5.07603415,8.52557339,4.12228426,0.00000000,1.54935945,0.00000000
-5.75987994,11.70276025,5.22752002,8.47887477,4.12371406,0.00000000,1.59345766,0.00000000
-5.75387694,11.70324850,5.37664459,8.40879326,4.11319089,0.00000000,1.63583016,0.00000000
-5.74787394,11.67828705,5.52205382,8.31667979,4.09108372,0.00000000,1.67631828,0.00000000
-5.74187094,11.62937003,5.66241966,8.20426480,4.05793268,0.00000000,1.71479751,0.00000000
-5.73586793,11.55834900,5.79644736,8.07360322,4.01442835,0.00000000,1.75117325,0.00000000
-5.72986493,11.46735650,5.92288201,7.92700955,3.96138743,0.00000000,1.78537512,0.00000000
-5.72386193,11.35872208,6.04051532,7.76698578,3.89972575,0.00000000,1.81735018,0.00000000
-5.71785893,11.23488476,6.14819332,7.59614483,3.83042983,0.00000000,1.84705552,0.00000000
-5.71185593,11.09830602,6.24482617,7.41713259,3.75452821,0.00000000,1.87445086,0.00000000
-5.70585293,10.95138722,6.32940057,7.23255169,3.67306370,0.00000000,1.89949169,0.00000000
-5.69984992,10.79639523,6.40099531,7.04488996,3.58706776,0.00000000,1.92212340,0.00000000
-5.69384692,10.63539936,6.45879992,6.85645628,3.49753772,0.00000000,1.94227706,0.00000000
-5.68784392,10.47022222,6.50213615,6.66932625,3.40541787,0.00000000,1.95986687,0.00000000
-5.68184092,10.30240602,6.53048134,6.48529953,3.31158467,0.00000000,1.97478990,0.00000000
-5.67583792,10.13319532,6.54349253,6.30587014,3.21683643,0.00000000,1.98692780,0.00000000
-5.66983492,9.96353586,6.54102965,6.13221041,3.12188747,0.00000000,1.99615068,0.00000000
-5.66383192,9.79408867,6.52317598,5.96516856,3.02736642,0.00000000,2.00232277,0.00000000
-5.65782891,9.62525757,6.49025393,5.80527939,2.93381817,0.00000000,2.00530962,0.00000000
-5.65182591,9.45722766,6.44283428,5.65278683,2.84170883,0.00000000,2.00498633,0.00000000
-5.64582291,9.29001189,6.38173717,5.50767663,2.75143296,0.00000000,2.00124635,0.00000000
-5.63981991,9.12350254,6.30802362,5.36971727,2.66332203,0.00000000,1.99401030,0.00000000
-5.63381691,8.95752447,6.22297691,5.23850657,2.57765356,0.00000000,1.98323435,0.00000000
-5.62781391,8.79188689,6.12807343,5.11352158,2.49465977,0.00000000,1.96891761,0.00000000
-5.62181091,8.62643102,6.02494389,4.99416928,2.41453546,0.00000000,1.95110826,0.00000000
-5.61580790,8.46107112,5.91532587,4.87983564,2.33744422,0.00000000,1.92990802,0.00000000
-5.60980490,8.29582731,5.80100957,4.76993089,2.26352290,0.00000000,1.90547483,0.00000000
-5.60380190,8.13084879,5.68377933,4.66392918,2.19288406,0.00000000,1.87802362,0.00000000
-5.59779890,7.96642696,5.56535341,4.56140107,2.12561647,0.00000000,1.84782516,0.00000000
-5.59179590,7.80299858,5.44732523,4.46203793,2.06178390,0.00000000,1.81520312,0.00000000
-5.58579290,7.64113929,5.33110900,4.36566750,2.00142257,0.00000000,1.78052942,0.00000000
-5.57978989,7.48154870,5.21789253,4.27226059,1.94453776,0.00000000,1.74421812,0.00000000
-5.57378689,7.32502837,5.10859983,4.18192913,1.89110013,0.00000000,1.70671808,0.00000000
-5.56778389,7.17245405,5.00386544,4.09491609,1.84104238,0.00000000,1.66850448,0.00000000
-5.56178089,7.02474430,4.90402193,4.01157849,1.79425678,0.00000000,1.63006963,0.00000000
-5.55577789,6.88282678,4.80910119,3.93236443,1.75059408,0.00000000,1.59191313,0.00000000
-5.54977489,6.74760422,4.71884955,3.85778572,1.70986417,0.00000000,1.55453165,0.00000000
-5.54377189,6.61992144,4.63275598,3.78838759,1.67183886,0.00000000,1.51840857,0.00000000
-5.53776888,6.50053493,4.55009183,3.72471694,1.63625677,0.00000000,1.48400357,0.00000000
-5.53176588,6.39008607,4.46996029,3.66729087,1.60283034,0.00000000,1.45174249,0.00000000
-5.52576288,6.28907892,4.39135296,3.61656677,1.57125480,0.00000000,1.42200770,0.00000000
-5.51975988,6.19786345,4.31321087,3.57291540,1.54121869,0.00000000,1.39512908,0.00000000
-5.51375688,6.11662457,4.23448701,3.53659811,1.51241560,0.00000000,1.37137605,0.00000000
-5.50775388,6.04537725,4.15420745,3.50774924,1.48455634,0.00000000,1.35095080,0.00000000
-5.50175088,5.98396799,4.07152821,3.48636423,1.45738121,0.00000000,1.33398311,0.00000000
-5.49574787,5.93208226,3.98578543,3.47229416,1.43067157,0.00000000,1.32052690,0.00000000
-5.48974487,5.88925795,3.89653673,3.46524671,1.40426006,0.00000000,1.31055897,0.00000000
-5.48374187,5.85490403,3.80359198,3.46479363,1.37803909,0.00000000,1.30397989,0.00000000
-5.47773887,5.82832409,3.70703248,3.47038432,1.35196686,0.00000000,1.30061735,0.00000000
-5.47173587,5.80874374,3.60721783,3.48136485,1.32607082,0.00000000,1.30023202,0.00000000
-5.46573287,5.79534107,3.50478056,3.49700172,1.30044798,0.00000000,1.30252568,0.00000000
-5.45972986,5.78727900,3.40060904,3.51650929,1.27526237,0.00000000,1.30715164,0.00000000
-5.45372686,5.78373827,3.29581946,3.53907953,1.25073925,0.00000000,1.31372713,0.00000000
-5.44772386,5.78394995,3.19171864,3.56391295,1.22715668,0.00000000,1.32184713,0.00000000
-5.44172086,5.78722586,3.08975905,3.59024916,1.20483437,0.00000000,1.33109926,0.00000000
-5.43571786,5.79298591,2.99148831,3.61739569,1.18412057,0.00000000,1.34107918,0.00000000
-5.42971486,5.80078081,2.89849522,3.64475375,1.16537727,0.00000000,1.35140572,0.00000000
-5.42371186,5.81030923,2.81235457,3.67183968,1.14896449,0.00000000,1.36173527,0.00000000
