energy_ev,total_up,Bi_p_up,Bi_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.16795794,0.23904725,0.00584033,0.78233256,1.11401785,0.01519354,0.92552401
-5.99399700,2.23730907,0.24409921,0.00588721,0.81302786,1.15400632,0.01529592,0.96101373
-5.98799400,2.30964529,0.25105861,0.00593972,0.84632532,1.19441855,0.01537150,0.99692948
-5.98199100,2.38399131,0.25977184,0.00599487,0.88146026,1.23489988,0.01541527,1.03283860
-5.97598799,2.45936968,0.27006226,0.00604969,0.91766179,1.27511276,0.01542256,1.06832089
-5.96998499,2.53481399,0.28173088,0.00610140,0.95416396,1.31474045,0.01538920,1.10297493
-5.96398199,2.60938022,0.29455767,0.00614739,0.99021716,1.35348905,0.01531166,1.13642343
-5.95797899,2.68215638,0.30830325,0.00618535,1.02509950,1.39108771,0.01518719,1.16831741
-5.95197599,2.75227043,0.32271130,0.00621324,1.05812815,1.42728758,0.01501392,1.19833936
-5.94597299,2.81889684,0.33751147,0.00622940,1.08867008,1.46185956,0.01479091,1.22620543
-5.93996998,2.88126207,0.35242300,0.00623250,1.11615225,1.49459133,0.01451823,1.25166679
-5.93396698,2.93864928,0.36715880,0.00622158,1.14007065,1.52528428,0.01419694,1.27451034
-5.92796398,2.99040291,0.38143016,0.00619604,1.15999822,1.55375050,0.01382906,1.29455894
-5.92196098,3.03593326,0.39495180,0.00615562,1.17559129,1.57981060,0.01341758,1.31167148
-5.91595798,3.07472164,0.40744738,0.00610038,1.18659429,1.60329251,0.01296635,1.32574279
-5.90995498,3.10632616,0.41865503,0.00603068,1.19284291,1.62403170,0.01247999,1.33670374
-5.90395198,3.13038844,0.42833303,0.00594714,1.19426534,1.64187286,0.01196386,1.34452153
-5.89794897,3.14664109,0.43626526,0.00585064,1.19088185,1.65667328,0.01142391,1.34920038
-5.89194597,3.15491591,0.44226638,0.00574224,1.18280274,1.66830769,0.01086659,1.35078240
-5.88594297,3.15515248,0.44618641,0.00562324,1.17022470,1.67667443,0.01029879,1.34934900
-5.87993997,3.14740677,0.44791463,0.00549506,1.15342595,1.68170269,0.00972773,1.34502228
-5.87393697,3.13185923,0.44738258,0.00535930,1.13276020,1.68336021,0.00916088,1.33796675
-5.86793397,3.10882180,0.44456614,0.00521770,1.10864979,1.68166127,0.00860593,1.32839083
-5.86193097,3.07874329,0.43948632,0.00507213,1.08157809,1.67667418,0.00807072,1.31654813
-5.85592796,3.04221251,0.43220906,0.00492458,1.05208156,1.66852787,0.00756322,1.30273830
-5.84992496,2.99995868,0.42284367,0.00477718,1.02074145,1.65741717,0.00709151,1.28730714
-5.84392196,2.95284849,0.41154023,0.00463219,0.98817537,1.64360613,0.00666372,1.27064579
-5.83791896,2.90187969,0.39848579,0.00449198,0.95502884,1.62742927,0.00628810,1.25318886
-5.83191596,2.84817077,0.38389967,0.00435906,0.92196685,1.60929027,0.00597296,1.23541124
-5.82591296,2.79294670,0.36802790,0.00423606,0.88966540,1.58965811,0.00572665,1.21782351
-5.81990995,2.73752086,0.35113707,0.00412573,0.85880303,1.56906052,0.00555760,1.20096589
-5.81390695,2.68327312,0.33350773,0.00403090,0.83005229,1.54807487,0.00547424,1.18540051
-5.80790395,2.63162469,0.31542762,0.00395449,0.80407106,1.52731660,0.00548496,1.17170237
-5.80190095,2.58400991,0.29718490,0.00389947,0.78149362,1.50742556,0.00559805,1.16044861
-5.79589795,2.54184582,0.27906170,0.00386882,0.76292148,1.48905070,0.00582161,1.15220672
-5.78989495,2.50650005,0.26132801,0.00386546,0.74891391,1.47283333,0.00616340,1.14752152
-5.78389195,2.47925785,0.24423622,0.00389222,0.73997814,1.45938977,0.00663070,1.14690146
-5.77788894,2.46128924,0.22801644,0.00395177,0.73655934,1.44929378,0.00723011,1.15080451
-5.77188594,2.45361710,0.21287258,0.00404651,0.73903059,1.44305938,0.00796733,1.15962400
-5.76588294,2.45708728,0.19897940,0.00417853,0.74768289,1.44112478,0.00884692,1.17367512
-5.75987994,2.47234173,0.18648040,0.00434950,0.76271563,1.44383787,0.00987203,1.19318227
-5.75387694,2.49979554,0.17548672,0.00456057,0.78422771,1.45144400,0.01104410,1.21826815
-5.74787394,2.53961908,0.16607682,0.00481231,0.81220993,1.46407640,0.01236263,1.24894486
-5.74187094,2.59172585,0.15829706,0.00510461,0.84653885,1.48174985,0.01382486,1.28510775
-5.73586793,2.65576704,0.15216291,0.00543664,0.88697273,1.50435786,0.01542557,1.32653227
-5.72986493,2.73113323,0.14766092,0.00580675,0.93314994,1.53167356,0.01715685,1.37287445
-5.72386193,2.81696371,0.14475110,0.00621247,0.98459032,1.56335462,0.01900800,1.42367506
-5.71785893,2.91216363,0.14336986,0.00665049,1.04069973,1.59895191,0.02096542,1.47836772
-5.71185593,3.01542862,0.14343318,0.00711670,1.10077815,1.63792194,0.02301267,1.53629092
-5.70585293,3.12527671,0.14484012,0.00760617,1.16403136,1.67964264,0.02513053,1.59670371
-5.69984992,3.24008664,0.14747639,0.00811329,1.22958622,1.72343198,0.02729728,1.65880466
-5.69384692,3.35814139,0.15121799,0.00863184,1.29650928,1.76856893,0.02948897,1.72175357
-5.68784392,3.47767569,0.15593484,0.00915513,1.36382839,1.81431578,0.03167984,1.78469519
-5.68184092,3.59692574,0.16149424,0.00967614,1.43055655,1.85994120,0.03384287,1.84678398
-5.67583792,3.71417923,0.16776414,0.01018773,1.49571749,1.90474293,0.03595034,1.90720899
-5.66983492,3.82782373,0.17461606,0.01068275,1.55837178,1.94806920,0.03797446,1.96521774
-5.66383192,3.93639128,0.18192772,0.01115432,1.61764262,1.98933799,0.03988812,2.02013802
-5.65782891,4.03859732,0.18958508,0.01159597,1.67274014,2.02805319,0.04166551,2.07139664
-5.65182591,4.13337201,0.19748400,0.01200180,1.72298312,2.06381688,0.04328284,2.11853407
-5.64582291,4.21988255,0.20553126,0.01236671,1.76781707,2.09633725,0.04471894,2.16121433
-5.63981991,4.29754529,0.21364500,0.01268645,1.80682778,2.12543163,0.04595582,2.19922948
-5.63381691,4.36602704,0.22175457,0.01295779,1.83974955,2.15102453,0.04697913,2.23249844
-5.62781391,4.42523537,0.22979982,0.01317857,1.86646763,2.17314079,0.04777847,2.26106022
-5.62181091,4.47529857,0.23772984,0.01334771,1.88701464,2.19189413,0.04834759,2.28506170
-5.61580790,4.51653603,0.24550127,0.01346522,1.90156109,2.20747178,0.04868446,2.30474069
-5.60980490,4.54942087,0.25307630,0.01353216,1.91040035,2.22011587,0.04879116,2.32040506
-5.60380190,4.57453670,0.26042041,0.01355053,1.91392877,2.23010271,0.04867367,2.33240906
-5.59779890,4.59253080,0.26750013,0.01352319,1.91262204,2.23772103,0.04834156,2.34112810
-5.59179590,4.60406660,0.27428081,0.01345368,1.90700887,2.24325037,0.04780749,2.34693334
-5.58579290,4.60977775,0.28072472,0.01334612,1.89764334,2.24694081,0.04708677,2.35016755
-5.57978989,4.61022667,0.28678950,0.01320500,1.88507753,2.24899528,0.04619674,2.35112345
-5.57378689,4.60586963,0.29242716,0.01303502,1.86983563,2.24955521,0.04515622,2.35002594
-5.56778389,4.59703053,0.29758362,0.01284098,1.85239098,2.24869065,0.04398495,2.34701897
-5.56178089,4.58388465,0.30219906,0.01262758,1.83314728,2.24639512,0.04270298,2.34215801
-5.55577789,4.56645321,0.30620875,0.01239931,1.81242470,2.24258570,0.04133027,2.33540829
-5.54977489,4.54460910,0.30954470,0.01216038,1.79045171,2.23710815,0.03988617,2.32664916
-5.54377189,4.51809305,0.31213780,0.01191461,1.76736276,2.22974702,0.03838915,2.31568406
