energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.62216325,0.26188075,0.26596912,0.05615955,0.05225798,0.02651129,0.78981084,0.70149444,0.18090576
-5.99399700,1.63109320,0.26775223,0.26303611,0.05541480,0.05307339,0.02643303,0.80132891,0.70562387,0.18237078
-5.98799400,1.63826974,0.27395481,0.25926604,0.05438037,0.05405082,0.02629094,0.81243527,0.70795339,0.18464405
-5.98199100,1.64330490,0.28038690,0.25467887,0.05306719,0.05516667,0.02607653,0.82286268,0.70847164,0.18755239
-5.97598799,1.64584453,0.28693477,0.24931034,0.05149160,0.05639264,0.02578378,0.83234688,0.70718520,0.19092072
-5.96998499,1.64557540,0.29347604,0.24321103,0.04967501,0.05769654,0.02540915,0.84063210,0.70411794,0.19457583
-5.96398199,1.64223221,0.29988364,0.23644513,0.04764329,0.05904334,0.02495157,0.84747718,0.69931055,0.19835034
-5.95797899,1.63560475,0.30603021,0.22908875,0.04542600,0.06039628,0.02441235,0.85266236,0.69282040,0.20208655
-5.95197599,1.62554499,0.31179275,0.22122809,0.04305565,0.06171818,0.02379498,0.85599650,0.68472165,0.20564039
-5.94597299,1.61197436,0.31705728,0.21295740,0.04056671,0.06297277,0.02310494,0.85732465,0.67510573,0.20888533
-5.93996998,1.59489068,0.32172338,0.20437699,0.03799470,0.06412594,0.02234947,0.85653565,0.66408206,0.21171609
-5.93396698,1.57437474,0.32570840,0.19559117,0.03537530,0.06514708,0.02153727,0.85356940,0.65177906,0.21405206
-5.92796398,1.55059580,0.32895094,0.18670640,0.03274342,0.06601015,0.02067828,0.84842344,0.63834507,0.21584035
-5.92196098,1.52381581,0.33141362,0.17782954,0.03013245,0.06669467,0.01978334,0.84115832,0.62394922,0.21705832
-5.91595798,1.49439157,0.33308485,0.16906634,0.02757354,0.06718643,0.01886398,0.83190151,0.60878182,0.21771530
-5.90995498,1.46277459,0.33397938,0.16052011,0.02509510,0.06747792,0.01793218,0.82084929,0.59305432,0.21785360
-5.90395198,1.42950797,0.33413774,0.15229054,0.02272233,0.06756851,0.01700006,0.80826634,0.57699843,0.21754849
-5.89794897,1.39522020,0.33362445,0.14447285,0.02047699,0.06746429,0.01607977,0.79448297,0.56086434,0.21690722
-5.89194597,1.36061553,0.33252500,0.13715692,0.01837728,0.06717758,0.01518322,0.77988962,0.54491799,0.21606689
-5.88594297,1.32646097,0.33094193,0.13042669,0.01643784,0.06672622,0.01432190,0.76492886,0.52943729,0.21519128
-5.87993997,1.29357013,0.32898992,0.12435951,0.01466988,0.06613255,0.01350680,0.75008496,0.51470732,0.21446663
-5.87393697,1.26278417,0.32679046,0.11902571,0.01308139,0.06542227,0.01274816,0.73587129,0.50101466,0.21409642
-5.86793397,1.23495042,0.32446604,0.11448798,0.01167745,0.06462311,0.01205540,0.72281596,0.48864101,0.21429530
-5.86193097,1.21089929,0.32213451,0.11080096,0.01046056,0.06376350,0.01143698,0.71144627,0.47785622,0.21528240
-5.85592796,1.19142034,0.31990360,0.10801062,0.00943104,0.06287123,0.01090027,0.70227231,0.46891115,0.21727402
-5.84992496,1.17723818,0.31786609,0.10615376,0.00858733,0.06197216,0.01045144,0.69577059,0.46203047,0.22047619
-5.84392196,1.16898918,0.31609583,0.10525740,0.00792639,0.06108916,0.01009537,0.69236802,0.45740580,0.22507706
