energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.68180022,0.31068822,1.08477334,0.00385796,0.07059762,0.24107536,0.00000000,0.45544027,0.03948999
-5.99399700,1.63673947,0.30566039,1.05723583,0.00369130,0.06900700,0.23483132,0.00000000,0.43812072,0.03843174
-5.98799400,1.59493639,0.30135724,1.03203320,0.00354483,0.06743901,0.22907665,0.00000000,0.42138352,0.03741274
-5.98199100,1.55668407,0.29771065,1.00944896,0.00341464,0.06590268,0.22380822,0.00000000,0.40525180,0.03642900
-5.97598799,1.52227596,0.29466922,0.98976580,0.00329699,0.06440676,0.21902640,0.00000000,0.38974567,0.03547677
-5.96998499,1.49200815,0.29220024,0.97326362,0.00318839,0.06295936,0.21473720,0.00000000,0.37488604,0.03455299
-5.96398199,1.46618107,0.29029084,0.96021757,0.00308571,0.06156787,0.21095403,0.00000000,0.36069790,0.03365565
-5.95797899,1.44510050,0.28894826,0.95089622,0.00298624,0.06023884,0.20769884,0.00000000,0.34721311,0.03278405
-5.95197599,1.42907751,0.28819929,0.94555960,0.00288775,0.05897808,0.20500267,0.00000000,0.33447236,0.03193904
-5.94597299,1.41842717,0.28808879,0.94445726,0.00278851,0.05779078,0.20290553,0.00000000,0.32252631,0.03112301
-5.93996998,1.41346592,0.28867754,0.94782585,0.00268732,0.05668171,0.20145569,0.00000000,0.31143576,0.03033988
-5.93396698,1.41450740,0.29003935,0.95588651,0.00258347,0.05565540,0.20070834,0.00000000,0.30127103,0.02959495
-5.92796398,1.42185671,0.29225760,0.96884166,0.00247679,0.05471636,0.20072372,0.00000000,0.29211036,0.02889466
-5.92196098,1.43580328,0.29542138,0.98687126,0.00236757,0.05386923,0.20156491,0.00000000,0.28403761,0.02824632
-5.91595798,1.45661243,0.29962131,1.01012847,0.00225652,0.05311884,0.20329525,0.00000000,0.27713941,0.02765772
-5.90995498,1.48451582,0.30494529,1.03873488,0.00214472,0.05247025,0.20597565,0.00000000,0.27150172,0.02713682
-5.90395198,1.51970123,0.31147417,1.07277513,0.00203361,0.05192863,0.20966179,0.00000000,0.26720622,0.02669130
-5.89794897,1.56230191,0.31927770,1.11229134,0.00192485,0.05149906,0.21440149,0.00000000,0.26432655,0.02632832
-5.89194597,1.61238595,0.32841068,1.15727732,0.00182033,0.05118632,0.22023216,0.00000000,0.26292460,0.02605408
-5.88594297,1.66994608,0.33890956,1.20767292,0.00172205,0.05099446,0.22717857,0.00000000,0.26304705,0.02587366
-5.87993997,1.73489022,0.35078954,1.26335860,0.00163210,0.05092648,0.23525094,0.00000000,0.26472230,0.02579072
-5.87393697,1.80703323,0.36404222,1.32415057,0.00155260,0.05098388,0.24444341,0.00000000,0.26795778,0.02580738
-5.86793397,1.88609011,0.37863378,1.38979661,0.00148564,0.05116628,0.25473289,0.00000000,0.27273791,0.02592412
-5.86193097,1.97167085,0.39450391,1.45997294,0.00143323,0.05147100,0.26607827,0.00000000,0.27902259,0.02613973
-5.85592796,2.06327732,0.41156522,1.53428207,0.00139729,0.05189281,0.27842007,0.00000000,0.28674638,0.02645130
-5.84992496,2.16030207,0.42970332,1.61225207,0.00137956,0.05242367,0.29168040,0.00000000,0.29581827,0.02685427
-5.84392196,2.26202934,0.44877744,1.69333707,0.00138164,0.05305261,0.30576323,0.00000000,0.30612212,0.02734249
-5.83791896,2.36763827,0.46862163,1.77691941,0.00140491,0.05376573,0.32055500,0.00000000,0.31751768,0.02790833
-5.83191596,2.47620826,0.48904640,1.86231317,0.00145053,0.05454631,0.33592544,0.00000000,0.32984216,0.02854273
-5.82591296,2.58672651,0.50984092,1.94876940,0.00151941,0.05537502,0.35172865,0.00000000,0.34291233,0.02923536
-5.81990995,2.69809782,0.53077561,2.03548288,0.00161218,0.05623030,0.36780446,0.00000000,0.35652713,0.02997475
-5.81390695,2.80915634,0.55160515,2.12160048,0.00172918,0.05708875,0.38397999,0.00000000,0.37047063,0.03074834
-5.80790395,2.91867962,0.57207197,2.20623113,0.00187046,0.05792565,0.40007146,0.00000000,0.38451542,0.03154269
-5.80190095,3.02540451,0.59191010,2.28845731,0.00203572,0.05871556,0.41588631,0.00000000,0.39842632,0.03234356
-5.79589795,3.12804520,0.61084933,2.36734805,0.00222429,0.05943291,0.43122555,0.00000000,0.41196435,0.03313609
-5.78989495,3.22531304,0.62861983,2.44197338,0.00243517,0.06005260,0.44588656,0.00000000,0.42489096,0.03390499
