energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,6.19540812,1.88056554,3.02013954,0.06927501,0.13340189,0.45332624,2.18482083,0.00000000
-5.99399700,6.25718673,1.89265863,3.07376514,0.06790842,0.13819934,0.44582904,2.19111295,0.00000000
-5.98799400,6.31979374,1.90415209,3.12828420,0.06641895,0.14285383,0.43647102,2.19767483,0.00000000
-5.98199100,6.38273617,1.91482614,3.18337654,0.06482862,0.14730488,0.42540800,2.20439381,0.00000000
-5.97598799,6.44536606,1.92439348,3.23870128,0.06316055,0.15149159,0.41281675,2.21106322,0.00000000
-5.96998499,6.50690720,1.93251201,3.29390976,0.06143868,0.15535439,0.39889045,2.21739141,0.00000000
-5.96398199,6.56648913,1.93880097,3.34865981,0.05968745,0.15883684,0.38383397,2.22301493,0.00000000
-5.95797899,6.62318658,1.94285957,3.40263032,0.05793150,0.16188734,0.36785905,2.22751528,0.00000000
-5.95197599,6.67606203,1.94428715,3.45553537,0.05619529,0.16446075,0.35117951,2.23043803,0.00000000
-5.94597299,6.72420877,1.94270374,3.50713674,0.05450267,0.16651971,0.33400673,2.23131360,0.00000000
-5.93996998,6.76679214,1.93776992,3.55725403,0.05287648,0.16803582,0.31654556,2.22967839,0.00000000
-5.93396698,6.80308656,1.92920496,3.60577160,0.05133809,0.16899029,0.29899070,2.22509537,0.00000000
-5.92796398,6.83250641,1.91680225,3.65264166,0.04990692,0.16937439,0.28152375,2.21717310,0.00000000
-5.92196098,6.85462910,1.90044127,3.69788332,0.04860001,0.16918948,0.26431084,2.20558234,0.00000000
-5.91595798,6.86920943,1.88009555,3.74157734,0.04743157,0.16844663,0.24750106,2.19006968,0.00000000
-5.90995498,6.87618453,1.85583635,3.78385678,0.04641261,0.16716595,0.23122547,2.17046759,0.00000000
-5.90395198,6.87566963,1.82783187,3.82489413,0.04555060,0.16537571,0.21559681,2.14670076,0.00000000
-5.89794897,6.86794525,1.79634225,3.86488534,0.04484917,0.16311112,0.20070969,2.11878866,0.00000000
-5.89194597,6.85343677,1.76171070,3.90403184,0.04430802,0.16041311,0.18664127,2.08684437,0.00000000
-5.88594297,6.83268810,1.72435133,3.94252149,0.04392277,0.15732692,0.17345234,2.05107012,0.00000000
-5.87993997,6.80633097,1.68473446,3.98050957,0.04368501,0.15390083,0.16118849,2.01174989,0.00000000
-5.87393697,6.77505196,1.64337000,4.01810095,0.04358249,0.15018482,0.14988160,1.96923960,0.00000000
-5.86793397,6.73955915,1.60079002,4.05533456,0.04359931,0.14622952,0.13955117,1.92395556,0.00000000
-5.86193097,6.70055023,1.55753120,4.09217118,0.04371635,0.14208518,0.13020567,1.87636160,0.00000000
-5.85592796,6.65868387,1.51411782,4.12848524,0.04391169,0.13780093,0.12184378,1.82695568,0.00000000
-5.84992496,6.61455566,1.47104634,4.16406149,0.04416120,0.13342420,0.11445538,1.77625640,0.00000000
-5.84392196,6.56867983,1.42877173,4.19859671,0.04443915,0.12900036,0.10802240,1.72478984,0.00000000
-5.83791896,6.52147736,1.38769634,4.23170666,0.04471887,0.12457244,0.10251940,1.67307734,0.00000000
-5.83191596,6.47327088,1.34816140,4.26293822,0.04497353,0.12018117,0.09791399,1.62162426,0.00000000
-5.82591296,6.42428631,1.31044139,4.29178611,0.04517676,0.11586493,0.09416711,1.57091019,0.00000000
-5.81990995,6.37466080,1.27474125,4.31771372,0.04530348,0.11165989,0.09123316,1.52138071,0.00000000
-5.81390695,6.32445623,1.24119641,4.34017704,0.04533046,0.10760016,0.08906008,1.47344068,0.00000000
-5.80790395,6.27367728,1.20987526,4.35865074,0.04523702,0.10371787,0.08758946,1.42744923,0.00000000
-5.80190095,6.22229282,1.18078389,4.37265508,0.04500551,0.10004327,0.08675669,1.38371624,0.00000000
-5.79589795,6.17025928,1.15387270,4.38178257,0.04462181,0.09660476,0.08649123,1.34250041,0.00000000
-5.78989495,6.11754453,1.12904436,4.38572291,0.04407559,0.09342876,0.08671706,1.30400854,0.00000000
-5.78389195,6.06415070,1.10616277,4.38428511,0.04336057,0.09053959,0.08735331,1.26839608,0.00000000
-5.77788894,6.01013476,1.08506255,4.37741553,0.04247462,0.08795918,0.08831510,1.23576854,0.00000000
-5.77188594,5.95562530,1.06555855,4.36521105,0.04141969,0.08570670,0.08951470,1.20618367,0.00000000
-5.76588294,5.90083465,1.04745504,4.34792635,0.04020170,0.08379815,0.09086275,1.17965415,0.00000000
-5.75987994,5.84606537,1.03055417,4.32597500,0.03883021,0.08224578,0.09226984,1.15615049,0.00000000
-5.75387694,5.79171062,1.01466339,4.29992401,0.03731812,0.08105760,0.09364810,1.13560405,0.00000000
-5.74787394,5.73824811,0.99960151,4.27048192,0.03568120,0.08023682,0.09491303,1.11790996,0.00000000
-5.74187094,5.68622792,0.98520344,4.23848081,0.03393753,0.07978123,0.09598522,1.10292972,0.00000000
-5.73586793,5.63625453,0.97132323,4.20485291,0.03210701,0.07968275,0.09679217,1.09049356,0.00000000
-5.72986493,5.58896391,0.95783566,4.17060258,0.03021069,0.07992701,0.09726988,1.08040247,0.00000000
-5.72386193,5.54499685,0.94463623,4.13677497,0.02827027,0.08049300,0.09736440,1.07242986,0.00000000
-5.71785893,5.50496978,0.93164002,4.10442236,0.02630742,0.08135299,0.09703302,1.06632317,0.00000000
-5.71185593,5.46944458,0.91877921,4.07456978,0.02434333,0.08247250,0.09624517,1.06180540,0.00000000
-5.70585293,5.43889909,0.90600004,4.04818108,0.02239815,0.08381063,0.09498310,1.05857689,0.00000000
-5.69984992,5.41369972,0.89325906,4.02612679,0.02049061,0.08532050,0.09324202,1.05631746,0.00000000
-5.69384692,5.39407764,0.88051933,4.00915499,0.01863765,0.08695004,0.09102992,1.05468933,0.00000000
-5.68784392,5.38010996,0.86774680,3.99786620,0.01685412,0.08864296,0.08836711,1.05334082,0.00000000
-5.68184092,5.37170671,0.85490706,3.99269299,0.01515264,0.09034007,0.08528520,1.05191104,0.00000000
-5.67583792,5.36860437,0.84196291,3.99388510,0.01354349,0.09198068,0.08182598,1.05003574,0.00000000
-5.66983492,5.37036640,0.82887279,4.00150021,0.01203452,0.09350434,0.07803985,1.04735422,0.00000000
-5.66383192,5.37639065,0.81559024,4.01540066,0.01063131,0.09485259,0.07398421,1.04351713,0.00000000
-5.65782891,5.38592333,0.80206451,4.03525599,0.00933717,0.09597083,0.06972163,1.03819513,0.00000000
-5.65182591,5.39807913,0.78824206,4.06055113,0.00815341,0.09681024,0.06531799,1.03108799,0.00000000
-5.64582291,5.41186642,0.77406906,4.09059994,0.00707947,0.09732950,0.06084066,1.02193369,0.00000000
-5.63981991,5.42621672,0.75949464,4.12456357,0.00611323,0.09749648,0.05635675,1.01051730,0.00000000
-5.63381691,5.44001736,0.74447452,4.16147343,0.00525121,0.09728957,0.05193153,0.99667896,0.00000000
-5.62781391,5.45214620,0.72897493,4.20025804,0.00448893,0.09669877,0.04762702,0.98032066,0.00000000
-5.62181091,5.46150738,0.71297648,4.23977338,0.00382109,0.09572639,0.04350084,0.96141133,0.00000000
-5.61580790,5.46706708,0.69647766,4.27883622,0.00324192,0.09438731,0.03960527,0.93999001,0.00000000
-5.60980490,5.46788849,0.67949782,4.31625983,0.00274536,0.09270881,0.03598659,0.91616664,0.00000000
-5.60380190,5.46316508,0.66207934,4.35089141,0.00232533,0.09072991,0.03268468,0.89012066,0.00000000
-5.59779890,5.45225151,0.64428888,4.38165066,0.00197593,0.08850032,0.02973275,0.86209702,0.00000000
-5.59179590,5.43469159,0.62621768,4.40756845,0.00169158,0.08607891,0.02715741,0.83240014,0.00000000
-5.58579290,5.41024256,0.60798072,4.42782493,0.00146718,0.08353191,0.02497871,0.80138562,0.00000000
-5.57978989,5.37889534,0.58971493,4.44178578,0.00129825,0.08093073,0.02321045,0.76945037,0.00000000
-5.57378689,5.34089003,0.57157649,4.44903553,0.00118096,0.07834964,0.02186050,0.73702143,0.00000000
-5.56778389,5.29672622,0.55373725,4.44940679,0.00111219,0.07586331,0.02093111,0.70454384,0.00000000
-5.56178089,5.24716757,0.53638050,4.44300400,0.00108958,0.07354432,0.02041928,0.67246832,0.00000000
-5.55577789,5.19324025,0.51969639,4.43022055,0.00111149,0.07146082,0.02031712,0.64123889,0.00000000
-5.54977489,5.13622480,0.50387688,4.41174827,0.00117699,0.06967428,0.02061213,0.61128125,0.00000000
-5.54377189,5.07764117,0.48911076,4.38857817,0.00128578,0.06823755,0.02128744,0.58299201,0.00000000
-5.53776888,5.01922681,0.47557866,4.36199200,0.00143811,0.06719322,0.02232206,0.55672934,0.00000000
