energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.66468368,-0.66468424,0.18174880,-0.18174874,0.08172079,-0.08172094,0.00084953,-0.00084952,0.06168652,-0.06168671,0.28064807,-0.28064855,0.11567774,-0.11567775,0.34378470,-0.34378481,0.00000000,-0.00000000
-5.99399700,0.68033676,-0.68033762,0.18176006,-0.18176008,0.08649521,-0.08649539,0.00072445,-0.00072445,0.06600589,-0.06600610,0.29438531,-0.29438593,0.11538374,-0.11538381,0.34839190,-0.34839216,0.00000000,-0.00000000
-5.98799400,0.70591180,-0.70591296,0.18481423,-0.18481434,0.09250709,-0.09250731,0.00061842,-0.00061842,0.07117505,-0.07117529,0.31240313,-0.31240388,0.11689682,-0.11689695,0.35827419,-0.35827460,0.00000000,-0.00000000
-5.98199100,0.74111192,-0.74111336,0.19086275,-0.19086293,0.09972542,-0.09972568,0.00053002,-0.00053002,0.07716242,-0.07716270,0.33460116,-0.33460204,0.12017696,-0.12017713,0.37329069,-0.37329125,0.00000000,-0.00000000
-5.97598799,0.78546815,-0.78546985,0.19981161,-0.19981188,0.10809738,-0.10809768,0.00045777,-0.00045776,0.08391874,-0.08391905,0.36080120,-0.36080220,0.12515501,-0.12515524,0.39321340,-0.39321409,0.00000000,-0.00000000
-5.96998499,0.83834581,-0.83834776,0.21152284,-0.21152317,0.11754843,-0.11754875,0.00040019,-0.00040019,0.09137703,-0.09137736,0.39074708,-0.39074820,0.13173430,-0.13173457,0.41773082,-0.41773163,0.00000000,-0.00000000
-5.96398199,0.89895289,-0.89895505,0.22581605,-0.22581644,0.12798266,-0.12798301,0.00035587,-0.00035587,0.09945295,-0.09945331,0.42410563,-0.42410686,0.13979223,-0.13979255,0.44645248,-0.44645340,0.00000000,-0.00000000
-5.95797899,0.96635075,-0.96635309,0.24247031,-0.24247076,0.13928373,-0.13928410,0.00032344,-0.00032344,0.10804561,-0.10804599,0.46046893,-0.46047025,0.14918225,-0.14918261,0.47891438,-0.47891538,0.00000000,-0.00000000
-5.95197599,1.03946757,-1.03947005,0.26122631,-0.26122681,0.15131621,-0.15131659,0.00030164,-0.00030164,0.11703873,-0.11703913,0.49935817,-0.49935957,0.15973605,-0.15973643,0.51458551,-0.51458658,0.00000000,-0.00000000
-5.94597299,1.11711468,-1.11711727,0.28178907,-0.28178959,0.16392750,-0.16392790,0.00028935,-0.00028934,0.12630239,-0.12630281,0.54022924,-0.54023070,0.17126607,-0.17126648,0.55287570,-0.55287682,0.00000000,-0.00000000
-5.93996998,1.19800612,-1.19800877,0.30383124,-0.30383179,0.17695042,-0.17695082,0.00028553,-0.00028553,0.13569522,-0.13569565,0.58248032,-0.58248182,0.18356847,-0.18356890,0.59314482,-0.59314596,0.00000000,-0.00000000
-5.93396698,1.28078134,-1.28078400,0.32699728,-0.32699784,0.19020629,-0.19020669,0.00028934,-0.00028934,0.14506708,-0.14506751,0.62546136,-0.62546287,0.19642646,-0.19642690,0.63471345,-0.63471461,0.00000000,-0.00000000
-5.92796398,1.36403114,-1.36403377,0.35090846,-0.35090902,0.20350873,-0.20350912,0.00030003,-0.00030003,0.15426222,-0.15426265,0.66848573,-0.66848724,0.20961415,-0.20961460,0.67687516,-0.67687629,0.00000000,-0.00000000
-5.92196098,1.44632637,-1.44632893,0.37516885,-0.37516940,0.21666782,-0.21666819,0.00031704,-0.00031704,0.16312282,-0.16312325,0.71084365,-0.71084513,0.22290087,-0.22290130,0.71890998,-0.71891108,0.00000000,-0.00000000
-5.91595798,1.52624902,-1.52625146,0.39937221,-0.39937273,0.22949483,-0.22949518,0.00033990,-0.00033990,0.17149285,-0.17149327,0.75181728,-0.75181871,0.23605583,-0.23605626,0.76009929,-0.76010032,0.00000000,-0.00000000
-5.90995498,1.60242481,-1.60242709,0.42310975,-0.42311023,0.24180712,-0.24180744,0.00036833,-0.00036833,0.17922211,-0.17922251,0.79069717,-0.79069852,0.24885330,-0.24885371,0.79974142,-0.79974236,0.00000000,-0.00000000
-5.90395198,1.67355653,-1.67355859,0.44597862,-0.44597905,0.25343318,-0.25343348,0.00040216,-0.00040216,0.18617035,-0.18617073,0.82679941,-0.82680066,0.26107786,-0.26107825,0.83716779,-0.83716863,0.00000000,-0.00000000
-5.89794897,1.73845685,-1.73845868,0.46759085,-0.46759122,0.26421762,-0.26421787,0.00044134,-0.00044134,0.19221133,-0.19221169,0.85948314,-0.85948427,0.27252990,-0.27253026,0.87175899,-0.87175970,0.00000000,-0.00000000
-5.89194597,1.79607958,-1.79608114,0.48758246,-0.48758275,0.27402575,-0.27402596,0.00048595,-0.00048595,0.19723665,-0.19723698,0.88816760,-0.88816859,0.28303098,-0.28303130,0.90296021,-0.90296079,0.00000000,-0.00000000
-5.88594297,1.84554794,-1.84554920,0.50562245,-0.50562267,0.28274780,-0.28274796,0.00053618,-0.00053618,0.20115920,-0.20115949,0.91234814,-0.91234897,0.29242892,-0.29242921,0.93029544,-0.93029587,0.00000000,-0.00000000
-5.87993997,1.88617870,-1.88617965,0.52142129,-0.52142142,0.29030221,-0.29030233,0.00059230,-0.00059230,0.20391610,-0.20391636,0.93161053,-0.93161120,0.30060249,-0.30060274,0.95337976,-0.95338003,0.00000000,-0.00000000
-5.87393697,1.91750112,-1.91750174,0.53473840,-0.53473844,0.29663818,-0.29663825,0.00065466,-0.00065466,0.20547104,-0.20547127,0.94564285,-0.94564333,0.30746539,-0.30746560,0.97192918,-0.97192928,0.00000000,-0.00000000
-5.86793397,1.93926956,-1.93926986,0.54538851,-0.54538846,0.30173700,-0.30173702,0.00072367,-0.00072368,0.20581585,-0.20581604,0.95424445,-0.95424475,0.31296936,-0.31296953,0.98576752,-0.98576745,0.00000000,-0.00000000
-5.86193097,1.95146921,-1.95146919,0.55324630,-0.55324615,0.30561224,-0.30561222,0.00079977,-0.00079977,0.20497124,-0.20497140,0.95733160,-0.95733171,0.31710629,-0.31710643,0.99482988,-0.99482965,0.00000000,-0.00000000
-5.85592796,1.95431433,-1.95431401,0.55824921,-0.55824897,0.30830868,-0.30830861,0.00088339,-0.00088339,0.20298679,-0.20298691,0.95493938,-0.95493932,0.31990922,-0.31990932,0.99916247,-0.99916208,0.00000000,-0.00000000
-5.84992496,1.94823915,-1.94823855,0.56039823,-0.56039790,0.30990000,-0.30989989,0.00097494,-0.00097494,0.19993998,-0.19994007,0.94721984,-0.94721960,0.32145203,-0.32145211,0.99891873,-0.99891819,0.00000000,-0.00000000
-5.84392196,1.93388141,-1.93388056,0.55975654,-0.55975613,0.31048526,-0.31048511,0.00107476,-0.00107477,0.19593452,-0.19593459,0.93443628,-0.93443587,0.32184797,-0.32184803,0.99435177,-0.99435110,0.00000000,-0.00000000
-5.83791896,1.91205940,-1.91205833,0.55644595,-0.55644546,0.31018438,-0.31018420,0.00118311,-0.00118311,0.19109787,-0.19109791,0.91695408,-0.91695352,0.32124689,-0.32124695,0.98580345,-0.98580266,0.00000000,-0.00000000
-5.83191596,1.88374330,-1.88374205,0.55064149,-0.55064093,0.30913278,-0.30913257,0.00130008,-0.00130008,0.18557817,-0.18557820,0.89522833,-0.89522763,0.31983142,-0.31983148,0.97369054,-0.97368964,0.00000000,-0.00000000
-5.82591296,1.85002218,-1.85002081,0.54256413,-0.54256352,0.30747540,-0.30747517,0.00142564,-0.00142565,0.17954071,-0.17954073,0.86978886,-0.86978804,0.31781211,-0.31781218,0.95848853,-0.95848754,0.00000000,-0.00000000
-5.81990995,1.81206810,-1.81206665,0.53247214,-0.53247147,0.30536046,-0.30536022,0.00155955,-0.00155955,0.17316395,-0.17316397,0.84122334,-0.84122242,0.31542183,-0.31542192,0.94071392,-0.94071287,0.00000000,-0.00000000
-5.81390695,1.77109888,-1.77109739,0.52065138,-0.52065068,0.30293321,-0.30293296,0.00170134,-0.00170135,0.16663551,-0.16663554,0.81015922,-0.81015822,0.31290960,-0.31290973,0.92090573,-0.92090463,0.00000000,-0.00000000
