energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.93847276,0.55495500,0.66802329,0.01094870,0.03608469,0.02612799,1.21816328,0.35095139,0.12279532
-5.99399700,1.88997256,0.54043216,0.65760792,0.01115092,0.03313308,0.02541954,1.18915074,0.34509374,0.11727651
-5.98799400,1.84251979,0.52684910,0.64688698,0.01133490,0.03034871,0.02471925,1.16086603,0.33906429,0.11207656
-5.98199100,1.79594282,0.51410044,0.63576235,0.01149734,0.02774444,0.02402923,1.13318378,0.33284603,0.10719360
-5.97598799,1.75004307,0.50207284,0.62413475,0.01163486,0.02532912,0.02335062,1.10596356,0.32642475,0.10262189
-5.96998499,1.70460370,0.49064814,0.61190762,0.01174409,0.02310784,0.02268361,1.07905507,0.31978827,0.09835223
-5.96398199,1.65939927,0.47970664,0.59899112,0.01182176,0.02108231,0.02202755,1.05230382,0.31292586,0.09437240
-5.95797899,1.61420604,0.46913065,0.58530609,0.01186480,0.01925133,0.02138103,1.02555734,0.30582774,0.09066776
-5.95197599,1.56881272,0.45880819,0.57078801,0.01187039,0.01761132,0.02074203,0.99867154,0.29848483,0.08722180
-5.94597299,1.52303116,0.44863672,0.55539048,0.01183611,0.01615682,0.02010806,0.97151722,0.29088880,0.08401691
-5.93996998,1.47670660,0.43852685,0.53908841,0.01176002,0.01488108,0.01947633,0.94398639,0.28303245,0.08103503
-5.93396698,1.42972715,0.42840588,0.52188038,0.01164072,0.01377654,0.01884396,0.91599822,0.27491037,0.07825845
-5.92796398,1.38203207,0.41822102,0.50379045,0.01147745,0.01283536,0.01820813,0.88750436,0.26651989,0.07567054
-5.92196098,1.33361844,0.40794212,0.48486897,0.01127015,0.01204979,0.01756628,0.85849341,0.25786225,0.07325649
-5.91595798,1.28454598,0.39756390,0.46519263,0.01101952,0.01141258,0.01691624,0.82899430,0.24894391,0.07100398
-5.90995498,1.23493968,0.38710739,0.44486350,0.01072701,0.01091719,0.01625644,0.79907844,0.23977790,0.06890371
-5.90395198,1.18499026,0.37662059,0.42400728,0.01039485,0.01055804,0.01558598,0.76886040,0.23038514,0.06694988
-5.89794897,1.13495211,0.36617820,0.40277073,0.01002604,0.01033058,0.01490474,0.73849717,0.22079551,0.06514045
-5.89194597,1.08513911,0.35588054,0.38131840,0.00962428,0.01023132,0.01421344,0.70818593,0.21104883,0.06347727
-5.88594297,1.03591817,0.34585146,0.35982882,0.00919392,0.01025782,0.01351365,0.67816030,0.20119534,0.06196596
-5.87993997,0.98770084,0.33623548,0.33849029,0.00873987,0.01040850,0.01280780,0.64868535,0.19129587,0.06061571
-5.87393697,0.94093346,0.32719417,0.31749645,0.00826754,0.01068257,0.01209908,0.62005141,0.18142167,0.05943878
-5.86793397,0.89608601,0.31890191,0.29704182,0.00778268,0.01107975,0.01139141,0.59256702,0.17165369,0.05844991
-5.86193097,0.85364030,0.31154126,0.27731748,0.00729128,0.01160008,0.01068930,0.56655124,0.16208153,0.05766562
-5.85592796,0.81407790,0.30529798,0.25850696,0.00679945,0.01224370,0.00999771,0.54232567,0.15280201,0.05710331
-5.84992496,0.77786833,0.30035616,0.24078271,0.00631332,0.01301055,0.00932194,0.52020650,0.14391746,0.05678044
-5.84392196,0.74545781,0.29689328,0.22430291,0.00583887,0.01390023,0.00866740,0.50049680,0.13553372,0.05671362
-5.83791896,0.71725913,0.29507570,0.20920901,0.00538187,0.01491176,0.00803955,0.48347944,0.12775801,0.05691778
-5.83191596,0.69364280,0.29505454,0.19562389,0.00494776,0.01604344,0.00744366,0.46941076,0.12069672,0.05740540
-5.82591296,0.67492971,0.29696205,0.18365063,0.00454157,0.01729272,0.00688471,0.45851520,0.11445305,0.05818587
-5.81990995,0.66138535,0.30090853,0.17337188,0.00416785,0.01865618,0.00636725,0.45098093,0.10912484,0.05926504
-5.81390695,0.65321564,0.30697992,0.16484986,0.00383060,0.02012941,0.00589530,0.44695649,0.10480231,0.06064482
-5.80790395,0.65056417,0.31523578,0.15812673,0.00353324,0.02170710,0.00547225,0.44654844,0.10156597,0.06232307
-5.80190095,0.65351076,0.32570786,0.15322542,0.00327856,0.02338301,0.00510081,0.44981984,0.09948458,0.06429356
-5.79589795,0.66207100,0.33839889,0.15015069,0.00306870,0.02515006,0.00478293,0.45678951,0.09861329,0.06654611
-5.78989495,0.67619659,0.35328180,0.14889037,0.00290514,0.02700034,0.00451981,0.46743174,0.09899185,0.06906685
-5.78389195,0.69577619,0.37029894,0.14941672,0.00278871,0.02892526,0.00431187,0.48167658,0.10064299,0.07183852
