energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.94673028,0.01170022,1.53781697,2.13361222,2.66298133,0.01357881,1.38843666,0.80901998,0.12355991
-5.99399700,5.79234730,0.01222830,1.47328558,2.06511016,2.56406320,0.01433340,1.38863336,0.80615627,0.12604198
-5.98799400,5.62833276,0.01276351,1.40558009,1.99450749,2.45899540,0.01511996,1.38734930,0.80306761,0.12831914
-5.98199100,5.45609265,0.01330214,1.33553338,1.92243823,2.34901953,0.01593788,1.38428370,0.79956093,0.13034663
-5.97598799,5.27720925,0.01384028,1.26398659,1.84958566,2.23542004,0.01678694,1.37923111,0.79547378,0.13209240
-5.96998499,5.09341299,0.01437383,1.19177587,1.77666719,2.11950511,0.01766737,1.37208230,0.79067465,0.13353753
-5.96398199,4.90655444,0.01489850,1.11972121,1.70442027,2.00258992,0.01857994,1.36282219,0.78506229,0.13467618
-5.95797899,4.71857764,0.01540993,1.04861775,1.63359003,1.88598270,0.01952594,1.35152529,0.77856447,0.13551527
-5.95197599,4.53149529,0.01590370,0.97922923,1.56491909,1.77097353,0.02050732,1.33834924,0.77113622,0.13607383
-5.94597299,4.34736645,0.01637550,0.91228378,1.49913991,1.65882554,0.02152662,1.32352675,0.76275816,0.13638203
-5.93996998,4.16827656,0.01682121,0.84847153,1.43696975,1.55076844,0.02258710,1.30735651,0.75343484,0.13648005
-5.93396698,3.99631999,0.01723706,0.78844379,1.37910800,1.44799376,0.02369266,1.29019342,0.74319353,0.13641667
-5.92796398,3.83358431,0.01761980,0.73281345,1.32623562,1.35165138,0.02484782,1.27243856,0.73208329,0.13624776
-5.92196098,3.68213609,0.01796681,0.68215605,1.27901616,1.26284676,0.02605769,1.25452901,0.72017453,0.13603463
-5.91595798,3.54400714,0.01827629,0.63701109,1.23809767,1.18263831,0.02732780,1.23692787,0.70755880,0.13584231
-5.90995498,3.42118061,0.01854732,0.59788316,1.20411479,1.11203444,0.02866394,1.22011446,0.69434888,0.13573781
-5.90395198,3.31557600,0.01878003,0.56524249,1.17769031,1.05198968,0.03007194,1.20457483,0.68067867,0.13578830
-5.89794897,3.22903248,0.01897559,0.53952461,1.15943539,1.00339963,0.03155738,1.19079260,0.66670302,0.13605943
-5.89194597,3.16328983,0.01913620,0.52112871,1.14994803,0.96709420,0.03312527,1.17924014,0.65259703,0.13661361
-5.88594297,3.11996674,0.01926511,0.51041472,1.14980899,0.94382923,0.03477969,1.17037007,0.63855471,0.13750845
-5.87993997,3.10053626,0.01936642,0.50769887,1.15957525,0.93427603,0.03652341,1.16460729,0.62478690,0.13879535
-5.87393697,3.10629886,0.01944499,0.51324787,1.17977062,0.93900932,0.03835751,1.16234139,0.61151840,0.14051823
-5.86793397,3.13835331,0.01950621,0.52727171,1.21087383,0.95849340,0.04028103,1.16391989,0.59898408,0.14271251
-5.86193097,3.19756657,0.01955572,0.54991550,1.25330451,0.99306714,0.04229070,1.16964225,0.58742447,0.14540438
-5.85592796,3.28454355,0.01959918,0.58125046,1.30740749,1.04292815,0.04438067,1.17975496,0.57708047,0.14861024
-5.84992496,3.39959826,0.01964199,0.62126475,1.37343637,1.10811689,0.04654241,1.19444792,0.56818785,0.15233663
-5.84392196,3.54272778,0.01968894,0.66985441,1.45153713,1.18850128,0.04876472,1.21385236,0.56097143,0.15658038
-5.83791896,3.71359054,0.01974403,0.72681507,1.54173281,1.28376286,0.05103379,1.23804027,0.55563943,0.16132908
-5.83191596,3.91149044,0.01981016,0.79183498,1.64391015,1.39338510,0.05333350,1.26702555,0.55237813,0.16656196
-5.82591296,4.13536797,0.01988900,0.86448994,1.75780907,1.51664504,0.05564578,1.30076684,0.55134720,0.17225094
-5.81990995,4.38379946,0.01998083,0.94424057,1.88301578,1.65260880,0.05795112,1.33917172,0.55267575,0.17836202
-5.81390695,4.65500503,0.02008449,1.03043234,2.01895998,1.80013181,0.06022917,1.38210218,0.55645932,0.18485673
-5.80790395,4.94686533,0.02019738,1.12229884,2.16491644,1.95786430,0.06245939,1.42938084,0.56275794,0.19169370
-5.80190095,5.25694701,0.02031553,1.21896823,2.32001110,2.12426240,0.06462178,1.48079754,0.57159512,0.19883025
-5.79589795,5.58253601,0.02043373,1.31947301,2.48323124,2.29760488,0.06669758,1.53611566,0.58295778,0.20622378
-5.78989495,5.92067763,0.02054577,1.42276306,2.65343945,2.47601557,0.06866994,1.59507772,0.59679705,0.21383302
-5.78389195,6.26822191,0.02064466,1.52772143,2.82939058,2.65749089,0.07052446,1.65740971,0.61302960,0.22161897
-5.77788894,6.62187258,0.02072292,1.63318265,3.00975081,2.83993191,0.07224972,1.72282375,0.63153958,0.22954541
-5.77188594,6.97823783,0.02077293,1.73795282,3.19311803,3.02118011,0.07383754,1.79101875,0.65218078,0.23757914
-5.76588294,7.33388109,0.02078720,1.84083088,3.37804243,3.19905578,0.07528317,1.86167907,0.67477897,0.24568961
-5.75987994,7.68537040,0.02075875,1.94063042,3.56304674,3.37139781,0.07658525,1.93447123,0.69913429,0.25384835
-5.75387694,8.02932480,0.02068139,2.03620114,3.74664512,3.53610394,0.07774558,2.00903892,0.72502366,0.26202785
-5.74787394,8.36245726,0.02054999,2.12644942,3.92736055,3.69116989,0.07876882,2.08499708,0.75220313,0.27020029
-5.74187094,8.68161330,0.02036072,2.21035733,4.10374031,3.83472662,0.07966194,2.16192548,0.78041043,0.27833604
-5.73586793,8.98380564,0.02011123,2.28699960,4.27436970,3.96507449,0.08043361,2.23936294,0.80936759,0.28640220
