energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.30854499,0.66924073,0.23934383,0.00357253,0.16996813,0.02036683,0.66427056,0.34183133,0.22133013
-5.99399700,1.27415642,0.64537129,0.23468271,0.00344759,0.16147660,0.01983183,0.64897342,0.32649597,0.21740093
-5.98799400,1.24368092,0.62519696,0.23052123,0.00330892,0.15386932,0.01921218,0.63586857,0.31386772,0.21384411
-5.98199100,1.21791179,0.60907186,0.22697994,0.00315893,0.14727581,0.01852252,0.62536218,0.30412602,0.21079772
-5.97598799,1.19754499,0.59726151,0.22416290,0.00300023,0.14180821,0.01777866,0.61781008,0.29740440,0.20838634
-5.96998499,1.18316103,0.58993802,0.22215423,0.00283551,0.13755888,0.01699708,0.61350869,0.29378967,0.20671715
-5.96398199,1.17521010,0.58717779,0.22101547,0.00266749,0.13459842,0.01619445,0.61268764,0.29332143,0.20587663
-5.95797899,1.17400127,0.58896166,0.22078361,0.00249881,0.13297420,0.01538723,0.61550423,0.29599230,0.20592820
-5.95197599,1.17969586,0.59517738,0.22146994,0.00233200,0.13270938,0.01459126,0.62204005,0.30174857,0.20691065
-5.94597299,1.19230534,0.60562453,0.22305988,0.00216940,0.13380245,0.01382140,0.63229982,0.31049136,0.20883755
-5.93996998,1.21169385,0.62002153,0.22551359,0.00201310,0.13622723,0.01309127,0.64621253,0.32207845,0.21169758
-5.93396698,1.23758512,0.63801454,0.22876765,0.00186492,0.13993353,0.01241300,0.66363479,0.33632669,0.21545579
-5.92796398,1.26957355,0.65918817,0.23273738,0.00172636,0.14484825,0.01179713,0.68435636,0.35301503,0.22005566
-5.92196098,1.30713883,0.68307740,0.23731999,0.00159863,0.15087697,0.01125252,0.70810745,0.37188832,0.22542181
-5.91595798,1.34966366,0.70918045,0.24239830,0.00148259,0.15790610,0.01078632,0.73456758,0.39266165,0.23146333
-5.90995498,1.39645342,0.73697225,0.24784484,0.00137882,0.16580532,0.01040402,0.76337551,0.41502537,0.23807737
-5.90395198,1.44675726,0.76591788,0.25352620,0.00128761,0.17443053,0.01010952,0.79413988,0.43865059,0.24515300
-5.89794897,1.49978936,0.79548566,0.25930744,0.00120898,0.18362689,0.00990520,0.82644996,0.46319510,0.25257498
-5.89194597,1.55474959,0.82515939,0.26505627,0.00114275,0.19323220,0.00979208,0.85988611,0.48830947,0.26022733
-5.88594297,1.61084269,0.85444934,0.27064696,0.00108852,0.20308025,0.00976984,0.89402942,0.51364317,0.26799657
-5.87993997,1.66729510,0.88290165,0.27596372,0.00104577,0.21300419,0.00983701,0.92847017,0.53885061,0.27577442
-5.87393697,1.72336891,0.91010586,0.28090343,0.00101388,0.22283973,0.00999096,0.96281485,0.56359672,0.28345988
-5.86793397,1.77837258,0.93570031,0.28537767,0.00099213,0.23242811,0.01022801,0.99669142,0.58756205,0.29096071
-5.86193097,1.83166805,0.95937554,0.28931400,0.00097979,0.24161878,0.01054344,1.02975280,0.61044712,0.29819417
-5.85592796,1.88267459,0.98087539,0.29265645,0.00097610,0.25027162,0.01093149,1.06167865,0.63197602,0.30508715
-5.84992496,1.93086939,0.99999631,0.29536525,0.00098034,0.25825880,0.01138538,1.09217549,0.65189907,0.31157579
-5.84392196,1.97578557,1.01658483,0.29741600,0.00099180,0.26546612,0.01189730,1.12097567,0.66999464,0.31760455
-5.83791896,2.01700819,1.03053362,0.29879822,0.00100985,0.27179391,0.01245841,1.14783522,0.68607017,0.32312503
-5.83191596,2.05416901,1.04177664,0.29951356,0.00103391,0.27715755,0.01305886,1.17253138,0.69996237,0.32809467
-5.82591296,2.08694094,1.05028356,0.29957374,0.00106348,0.28148754,0.01368784,1.19485992,0.71153695,0.33247542
-5.81990995,2.11503283,1.05605410,0.29899842,0.00109811,0.28472936,0.01433365,1.21463298,0.72068782,0.33623253
-5.81390695,2.13818553,1.05911260,0.29781309,0.00113744,0.28684300,0.01498387,1.23167755,0.72733616,0.33933376
-5.80790395,2.15616957,1.05950319,0.29604727,0.00118119,0.28780245,0.01562546,1.24583518,0.73142930,0.34174886
-5.80190095,2.16878516,1.05728580,0.29373282,0.00122914,0.28759505,0.01624508,1.25696280,0.73293975,0.34344964
-5.79589795,2.17586435,1.05253330,0.29090283,0.00128111,0.28622087,0.01682926,1.26493504,0.73186440,0.34441042
-5.78989495,2.17727559,1.04532969,0.28759077,0.00133700,0.28369212,0.01736479,1.26964765,0.72822391,0.34460903
-5.78389195,2.17293019,1.03576939,0.28383013,0.00139673,0.28003267,0.01783900,1.27102213,0.72206246,0.34402818
-5.77788894,2.16279018,1.02395758,0.27965440,0.00146029,0.27527761,0.01824011,1.26901094,0.71344756,0.34265716
-5.77188594,2.14687704,1.01001113,0.27509743,0.00152767,0.26947293,0.01855762,1.26360314,0.70247010,0.34049363
