energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-5.61580790,0.06614786,0.00192468,0.00000000,0.03038737,0.01079806,0.00001720,0.03722812
-5.60980490,0.06512854,0.00235131,0.00000000,0.03157262,0.01000652,0.00002212,0.03509976
-5.60380190,0.06553830,0.00286620,0.00000000,0.03348642,0.00940016,0.00002826,0.03360957
-5.59779890,0.06745710,0.00348246,0.00000000,0.03617762,0.00898152,0.00003586,0.03276276
-5.59179590,0.07096220,0.00421461,0.00000000,0.03969375,0.00875163,0.00004521,0.03255789
-5.58579290,0.07612834,0.00507854,0.00000000,0.04408065,0.00871011,0.00005665,0.03298711
-5.57978989,0.08302763,0.00609148,0.00000000,0.04938195,0.00885535,0.00007052,0.03403641
-5.57378689,0.09172920,0.00727184,0.00000000,0.05563843,0.00918461,0.00008727,0.03568591
-5.56778389,0.10229854,0.00863914,0.00000000,0.06288744,0.00969409,0.00010735,0.03791018
-5.56178089,0.11479649,0.01021371,0.00000000,0.07116206,0.01037906,0.00013129,0.04067848
-5.55577789,0.12927796,0.01201647,0.00000000,0.08049034,0.01123382,0.00015967,0.04395516
-5.54977489,0.14579026,0.01406858,0.00000000,0.09089444,0.01225179,0.00019316,0.04769998
-5.54377189,0.16437126,0.01639107,0.00000000,0.10238970,0.01342551,0.00023249,0.05186856
-5.53776888,0.18504728,0.01900435,0.00000000,0.11498374,0.01474659,0.00027850,0.05641289
-5.53176588,0.20783085,0.02192771,0.00000000,0.12867555,0.01620578,0.00033213,0.06128192
-5.52576288,0.23271842,0.02517880,0.00000000,0.14345454,0.01779293,0.00039449,0.06642221
-5.51975988,0.25968803,0.02877299,0.00000000,0.15929963,0.01949701,0.00046684,0.07177865
-5.51375688,0.28869720,0.03272281,0.00000000,0.17617843,0.02130619,0.00055069,0.07729529
-5.50775388,0.31968092,0.03703729,0.00000000,0.19404638,0.02320785,0.00064779,0.08291616
-5.50175088,0.35255004,0.04172143,0.00000000,0.21284606,0.02518873,0.00076028,0.08858609
-5.49574787,0.38719012,0.04677563,0.00000000,0.23250654,0.02723497,0.00089071,0.09425155
