energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.01814068,0.01334502,0.55831172,0.70224603,0.31589437,0.06491346,1.73588597,0.70006978,0.89007063
-5.99399700,4.19318866,0.01394765,0.57922858,0.73690546,0.32605371,0.06735174,1.82236817,0.73909495,0.92603643
-5.98799400,4.37162684,0.01455703,0.59965386,0.77295187,0.33668889,0.06983858,1.91231408,0.77897872,0.96147859
-5.98199100,4.55139973,0.01516661,0.61946249,0.80988704,0.34759599,0.07233078,2.00458091,0.81939903,0.99617010
-5.97598799,4.73044829,0.01576997,0.63853939,0.84720316,0.35857896,0.07478568,2.09799387,0.86001604,1.02989389
-5.96998499,4.90673219,0.01636094,0.65677765,0.88439031,0.36945228,0.07716176,2.19136267,0.90047492,1.06244080
-5.96398199,5.07824982,0.01693364,0.67407613,0.92094405,0.38004307,0.07941917,2.28349803,0.94040879,1.09360664
-5.95797899,5.24305648,0.01748261,0.69033661,0.95637292,0.39019264,0.08152022,2.37322809,0.97944188,1.12318904
-5.95197599,5.39928117,0.01800276,0.70546106,0.99020570,0.39975754,0.08342992,2.45941455,1.01719288,1.15098425
-5.94597299,5.54514226,0.01848947,0.71934892,1.02199843,0.40861008,0.08511636,2.54096835,1.05327870,1.17678438
-5.93996998,5.67896243,0.01893853,0.73189505,1.05134092,0.41663848,0.08655118,2.61686462,1.08731852,1.20037552
-5.93396698,5.79918339,0.01934620,0.74298830,1.07786270,0.42374664,0.08770987,2.68615683,1.11893829,1.22153685
-5.92796398,5.90438039,0.01970912,0.75251107,1.10123819,0.42985367,0.08857217,2.74798965,1.14777567,1.24004126
-5.92196098,5.99327671,0.02002435,0.76033995,1.12119110,0.43489327,0.08912224,2.80161051,1.17348527,1.25565743
-5.91595798,6.06475809,0.02028934,0.76634739,1.13749773,0.43881296,0.08934893,2.84637943,1.19574432,1.26815345
-5.90995498,6.11788687,0.02050186,0.77040464,1.14998932,0.44157337,0.08924588,2.88177705,1.21425841,1.27730198
-5.90395198,6.15191549,0.02066005,0.77238553,1.15855319,0.44314753,0.08881157,2.90741052,1.22876742,1.28288666
-5.89794897,6.16629886,0.02076236,0.77217116,1.16313280,0.44352023,0.08804930,2.92301717,1.23905122,1.28470956
-5.89194597,6.16070507,0.02080758,0.76965515,1.16372655,0.44268759,0.08696704,2.92846587,1.24493513,1.28259920
-5.88594297,6.13502394,0.02079482,0.76474921,1.16038562,0.44065671,0.08557723,2.92375607,1.24629473,1.27641882
-5.87993997,6.08937265,0.02072356,0.75738864,1.15321072,0.43744539,0.08389649,2.90901444,1.24306004,1.26607436
-5.87393697,6.02409803,0.02059364,0.74753755,1.14234791,0.43308209,0.08194520,2.88448939,1.23521857,1.25152167
-5.86793397,5.93977504,0.02040531,0.73519337,1.12798377,0.42760586,0.07974710,2.85054346,1.22281732,1.23277255
-5.86193097,5.83720112,0.02015927,0.72039043,1.11033993,0.42106633,0.07732874,2.80764403,1.20596343,1.20989927
-5.85592796,5.71738625,0.01985666,0.70320238,1.08966719,0.41352372,0.07471889,2.75635232,1.18482339,1.18303722
-5.84992496,5.58153866,0.01949915,0.68374325,1.06623950,0.40504870,0.07194803,2.69731137,1.15962087,1.15238541
-5.84392196,5.43104651,0.01908891,0.66216715,1.04034781,0.39572226,0.06904765,2.63123302,1.13063304,1.11820502
-5.83791896,5.26745590,0.01862866,0.63866644,1.01229424,0.38563531,0.06604974,2.55888447,1.09818559,1.08081561
-5.83191596,5.09244563,0.01812165,0.61346856,0.98238637,0.37488819,0.06298615,2.48107456,1.06264649,1.04058955
-5.82591296,4.90779962,0.01757166,0.58683167,0.95093216,0.36358995,0.05988810,2.39864040,1.02441875,0.99794454
-5.81990995,4.71537759,0.01698299,0.55903917,0.91823532,0.35185742,0.05678570,2.31243438,0.98393242,0.95333483
-5.81390695,4.51708504,0.01636039,0.53039346,0.88459143,0.33981411,0.05370748,2.22331199,0.94163602,0.90724132
