energy_ev,total_up,Ag_p_up,Ag_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.82674020,0.40084428,1.35764742,0.39967037,0.00000000,0.00047397,0.02170947,0.40862592,0.00000000
-5.99399700,1.83887547,0.41355282,1.35778729,0.40956862,0.00000000,0.00054748,0.02297708,0.41683949,0.00000000
-5.98799400,1.84516001,0.42603821,1.35264200,0.41937984,0.00000000,0.00064365,0.02430502,0.42403368,0.00000000
-5.98199100,1.84559677,0.43814530,1.34241686,0.42888792,0.00000000,0.00076523,0.02568349,0.43007609,0.00000000
-5.97598799,1.84043166,0.44975646,1.32751130,0.43791320,0.00000000,0.00091530,0.02710440,0.43488043,0.00000000
-5.96998499,1.83014435,0.46079646,1.30850346,0.44631928,0.00000000,0.00109730,0.02856160,0.43841012,0.00000000
-5.96398199,1.81543109,0.47123569,1.28612917,0.45401782,0.00000000,0.00131499,0.03005105,0.44068000,0.00000000
-5.95797899,1.79718035,0.48109148,1.26125578,0.46097147,0.00000000,0.00157238,0.03157093,0.44175630,0.00000000
-5.95197599,1.77644211,0.49042759,1.23485226,0.46719458,0.00000000,0.00187373,0.03312153,0.44175468,0.00000000
-5.94597299,1.75439199,0.49935160,1.20795631,0.47275173,0.00000000,0.00222344,0.03470509,0.44083654,0.00000000
-5.93996998,1.73229134,0.50801039,1.18163996,0.47775409,0.00000000,0.00262598,0.03632547,0.43920368,0.00000000
-5.93396698,1.71144489,0.51658372,1.15697463,0.48235385,0.00000000,0.00308582,0.03798774,0.43709152,0.00000000
-5.92796398,1.69315717,0.52527621,1.13499695,0.48673665,0.00000000,0.00360735,0.03969755,0.43476104,0.00000000
-5.92196098,1.67868915,0.53430787,1.11667630,0.49111262,0.00000000,0.00419472,0.04146057,0.43248984,0.00000000
-5.91595798,1.66921665,0.54390368,1.10288520,0.49570614,0.00000000,0.00485181,0.04328168,0.43056252,0.00000000
-5.90995498,1.66579159,0.55428244,1.09437314,0.50074480,0.00000000,0.00558204,0.04516434,0.42926081,0.00000000
-5.90395198,1.66930746,0.56564558,1.09174486,0.50644814,0.00000000,0.00638834,0.04710977,0.42885372,0.00000000
-5.89794897,1.68046987,0.57816623,1.09544329,0.51301638,0.00000000,0.00727298,0.04911638,0.42958809,0.00000000
-5.89194597,1.69977321,0.59197910,1.10573777,0.52061994,0.00000000,0.00823748,0.05117915,0.43167984,0.00000000
-5.88594297,1.72748404,0.60717173,1.12271756,0.52939002,0.00000000,0.00928254,0.05328927,0.43530633,0.00000000
-5.87993997,1.76363152,0.62377734,1.14629077,0.53941063,0.00000000,0.01040786,0.05543391,0.44059992,0.00000000
-5.87393697,1.80800534,0.64176987,1.17618854,0.55071268,0.00000000,0.01161214,0.05759615,0.44764305,0.00000000
-5.86793397,1.86016089,0.66106124,1.21197429,0.56327008,0.00000000,0.01289294,0.05975526,0.45646505,0.00000000
-5.86193097,1.91943167,0.68150124,1.25305742,0.57699829,0.00000000,0.01424659,0.06188706,0.46704059,0.00000000
-5.85592796,1.98494818,0.70287985,1.29871127,0.59175526,0.00000000,0.01566816,0.06396462,0.47928999,0.00000000
-5.84992496,2.05566289,0.72493206,1.34809444,0.60734479,0.00000000,0.01715133,0.06595905,0.49308124,0.00000000
-5.84392196,2.13038017,0.74734503,1.40027488,0.62352203,0.00000000,0.01868840,0.06784051,0.50823360,0.00000000
-5.83791896,2.20779041,0.76976714,1.45425612,0.64000109,0.00000000,0.02027021,0.06957935,0.52452277,0.00000000
-5.83191596,2.28650690,0.79181875,1.50900460,0.65646419,0.00000000,0.02188614,0.07114724,0.54168723,0.00000000
-5.82591296,2.36510462,0.81310410,1.56347759,0.67257211,0.00000000,0.02352409,0.07251836,0.55943564,0.00000000
-5.81990995,2.44215938,0.83322381,1.61665067,0.68797539,0.00000000,0.02517052,0.07367055,0.57745504,0.00000000
-5.81390695,2.51628644,0.85178775,1.66754426,0.70232586,0.00000000,0.02681050,0.07458629,0.59541948,0.00000000
-5.80790395,2.58617718,0.86842743,1.71524826,0.71528809,0.00000000,0.02842785,0.07525363,0.61299889,0.00000000
-5.80190095,2.65063309,0.88280775,1.75894443,0.72655014,0.00000000,0.03000526,0.07566679,0.62986796,0.00000000
-5.79589795,2.70859594,0.89463757,1.79792582,0.73583350,0.00000000,0.03152453,0.07582667,0.64571465,0.00000000
-5.78989495,2.75917367,0.90367884,1.83161285,0.74290160,0.00000000,0.03296679,0.07574101,0.66024833,0.00000000
-5.78389195,2.80166119,0.90975392,1.85956581,0.74756689,0.00000000,0.03431286,0.07542438,0.67320716,0.00000000
-5.77788894,2.83555595,0.91275114,1.88149343,0.74969624,0.00000000,0.03554357,0.07489786,0.68436472,0.00000000
-5.77188594,2.86056789,0.91262829,1.89725755,0.74921443,0.00000000,0.03664024,0.07418854,0.69353564,0.00000000
-5.76588294,2.87662383,0.90941413,1.90687374,0.74610602,0.00000000,0.03758508,0.07332881,0.70058025,0.00000000
-5.75987994,2.88386642,0.90320801,1.91050814,0.74041537,0.00000000,0.03836166,0.07235548,0.70540809,0.00000000
-5.75387694,2.88264774,0.89417765,1.90847058,0.73224508,0.00000000,0.03895545,0.07130878,0.70798026,0.00000000
-5.74787394,2.87351806,0.88255514,1.90120424,0.72175294,0.00000000,0.03935420,0.07023130,0.70831055,0.00000000
