energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,5.95622314,0.82017538,0.00000000,2.55636069,3.27946977,0.03495890,1.58600185
-5.99399700,6.15762654,0.88639334,0.00000000,2.63778706,3.45039739,0.03632481,1.59698338
-5.98799400,6.36648862,0.95651515,0.00000000,2.72159155,3.62910771,0.03780357,1.60732498
-5.98199100,6.58240613,1.03018989,0.00000000,2.80743458,3.81486003,0.03940960,1.61730120
-5.97598799,6.80461094,1.10692879,0.00000000,2.89487754,4.00662060,0.04115611,1.62715139
-5.96998499,7.03193590,1.18610514,0.00000000,2.98337893,4.20305146,0.04305454,1.63706308
-5.96398199,7.26280014,1.26695983,0.00000000,3.07229661,4.40251271,0.04511417,1.64715864
-5.95797899,7.49521603,1.34861271,0.00000000,3.16089662,4.60307926,0.04734173,1.65748605
-5.95197599,7.72681862,1.43007962,0.00000000,3.24836845,4.80257247,0.04974120,1.66801424
-5.94597299,7.95491680,1.51029466,0.00000000,3.33384609,4.99860595,0.05231358,1.67863305
-5.93996998,8.17656440,1.58813689,0.00000000,3.41643375,5.18864409,0.05505690,1.68915788
-5.93396698,8.38864776,1.66246051,0.00000000,3.49523489,5.37007107,0.05796619,1.69933840
-5.92796398,8.58798542,1.73212738,0.00000000,3.56938267,5.54026721,0.06103361,1.70887079
-5.92196098,8.77143471,1.79604030,0.00000000,3.63806987,5.69668922,0.06424853,1.71741260
-5.91595798,8.93599958,1.85317580,0.00000000,3.70057645,5.83695046,0.06759774,1.72459918
-5.90995498,9.07893389,1.90261494,0.00000000,3.75629281,5.95889718,0.07106562,1.73006076
-5.90395198,9.19783456,1.94357072,0.00000000,3.80473725,6.06067700,0.07463420,1.73343900
-5.89794897,9.29071992,1.97541099,0.00000000,3.84556662,6.14079616,0.07828334,1.73440226
-5.89194597,9.35608920,1.99767589,0.00000000,3.87857924,6.19816281,0.08199081,1.73265860
-5.88594297,9.39296060,2.01008921,0.00000000,3.90371036,6.23211434,0.08573225,1.72796621
-5.87993997,9.40088668,2.01256320,0.00000000,3.92102039,6.24242765,0.08948126,1.72014063
-5.87393697,9.37994714,2.00519702,0.00000000,3.93067699,6.22931227,0.09320934,1.70905888
-5.86793397,9.33072072,1.98826899,0.00000000,3.93293270,6.19338730,0.09688598,1.69466055
-5.86193097,9.25423889,1.96222341,0.00000000,3.92809969,6.13564390,0.10047870,1.67694620
-5.85592796,9.15192529,1.92765269,0.00000000,3.91652397,6.05739595,0.10395322,1.65597357
-5.84992496,9.02552557,1.88527591,0.00000000,3.89856112,5.96022211,0.10727381,1.63185224
