energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.14991022,0.00313733,0.01827633,0.80154360,0.84382611,0.42505752,0.11691255,0.02731405,1.32608025
-5.99399700,2.25009881,0.00334865,0.01866857,0.83468468,0.88685237,0.44466901,0.12220592,0.02869312,1.38831821
-5.98799400,2.34466494,0.00358971,0.01899453,0.86561201,0.92765441,0.46324685,0.12717821,0.03001741,1.44713495
-5.98199100,2.43234615,0.00385499,0.01925076,0.89390712,0.96567313,0.48053940,0.13176511,0.03127285,1.50175618
-5.97598799,2.51199440,0.00413943,0.01943480,0.91919016,1.00039714,0.49631492,0.13590847,0.03244683,1.55147631
-5.96998499,2.58260436,0.00443841,0.01954527,0.94112849,1.03137554,0.51036690,0.13955780,0.03352856,1.59567602
-5.96398199,2.64334060,0.00474786,0.01958189,0.95944499,1.05823010,0.52251915,0.14267171,0.03450952,1.63383928
-5.95797899,2.69356243,0.00506427,0.01954556,0.97392577,1.08066642,0.53263070,0.14521916,0.03538379,1.66556890
-5.95197599,2.73284525,0.00538476,0.01943837,0.98442700,1.09848340,0.54060017,0.14718053,0.03614840,1.69059991
-5.94597299,2.76099721,0.00570712,0.01926360,0.99088035,1.11158070,0.54636938,0.14854845,0.03680356,1.70881009
-5.93996998,2.77806993,0.00602986,0.01902575,0.99329677,1.11996359,0.54992591,0.14932824,0.03735280,1.72022678
-5.93396698,2.78436253,0.00635221,0.01873042,0.99176821,1.12374496,0.55130451,0.14953804,0.03780301,1.72502950
-5.92796398,2.78041790,0.00667418,0.01838432,0.98646703,1.12314404,0.55058711,0.14920842,0.03816434,1.72354780
-5.92196098,2.76701098,0.00699645,0.01799506,0.97764294,1.11848168,0.54790134,0.14838171,0.03844998,1.71625405
-5.91595798,2.74512870,0.00732037,0.01757108,0.96561737,1.11017224,0.54341738,0.14711072,0.03867578,1.70375104
-5.90995498,2.71594189,0.00764788,0.01712139,0.95077525,1.09871196,0.53734341,0.14545715,0.03885974,1.68675460
-5.90395198,2.68076972,0.00798133,0.01665539,0.93355445,1.08466427,0.52991937,0.14348958,0.03902137,1.66607151
-5.89794897,2.64103766,0.00832337,0.01618260,0.91443307,1.06864223,0.52140960,0.14128117,0.03918100,1.64257342
-5.89194597,2.59823038,0.00867676,0.01571242,0.89391501,1.05128884,0.51209428,0.13890707,0.03935891,1.61716763
-5.88594297,2.55384125,0.00904419,0.01525380,0.87251444,1.03325571,0.50226020,0.13644176,0.03957446,1.59076576
-5.87993997,2.50932048,0.00942806,0.01481501,0.85073955,1.01518104,0.49219105,0.13395629,0.03984528,1.56425164
-5.87393697,2.46602395,0.00983029,0.01440335,0.82907647,0.99766762,0.48215785,0.13151574,0.04018632,1.53844964
-5.86793397,2.42516498,0.01025215,0.01402492,0.80797382,0.98126192,0.47240966,0.12917670,0.04060913,1.51409501
-5.86193097,2.38777125,0.01069407,0.01368441,0.78782873,0.96643500,0.46316534,0.12698530,0.04112119,1.49180737
-5.85592796,2.35464882,0.01115557,0.01338497,0.76897487,0.95356621,0.45460631,0.12497551,0.04172531,1.47206875
-5.84992496,2.32635499,0.01163510,0.01312807,0.75167298,0.94293034,0.44687110,0.12316801,0.04241935,1.45520717
-5.84392196,2.30318131,0.01213009,0.01291351,0.73610442,0.93468896,0.44005157,0.12156965,0.04319602,1.44138664
-5.83791896,2.28514771,0.01263693,0.01273939,0.72236797,0.92888627,0.43419114,0.12017353,0.04404295,1.43060407
-5.83191596,2.27200806,0.01315106,0.01260226,0.71047992,0.92544971,0.42928518,0.11895961,0.04494294,1.42269326
-5.82591296,2.26326697,0.01366709,0.01249725,0.70037762,0.92419553,0.42528328,0.11789603,0.04587453,1.41733591
-5.81990995,2.25820714,0.01417899,0.01241825,0.69192607,0.92483887,0.42209352,0.11694084,0.04681259,1.41407912
-5.81390695,2.25592606,0.01468034,0.01235822,0.68492740,0.92700810,0.41958839,0.11604424,0.04772922,1.41235856
-5.80790395,2.25538027,0.01516451,0.01230948,0.67913260,0.93026280,0.41761209,0.11515116,0.04859476,1.41152630
-5.80190095,2.25543531,0.01562498,0.01226399,0.67425511,0.93411451,0.41598880,0.11420397,0.04937882,1.41088192
-5.79589795,2.25491888,0.01605560,0.01221371,0.66998550,0.93804941,0.41453159,0.11314538,0.05005143,1.40970558
-5.78989495,2.25267502,0.01645083,0.01215096,0.66600666,0.94155184,0.41305156,0.11192121,0.05058414,1.40729146
-5.78389195,2.24761667,0.01680602,0.01206866,0.66200881,0.94412773,0.41136674,0.11048299,0.05095110,1.40298005
-5.77788894,2.23877452,0.01711754,0.01196070,0.65770378,0.94532676,0.40931038,0.10879028,0.05112997,1.39618806
-5.77188594,2.22534001,0.01738303,0.01182213,0.65283786,0.94476238,0.40673836,0.10681259,0.05110279,1.38643447
-5.76588294,2.20670067,0.01760143,0.01164934,0.64720298,0.94212882,0.40353539,0.10453082,0.05085657,1.37336191
-5.75987994,2.18246670,0.01777306,0.01144030,0.64064567,0.93721428,0.39961981,0.10193818,0.05038374,1.35675245
-5.75387694,2.15248772,0.01789962,0.01119452,0.63307365,0.92990995,0.39494690,0.09904058,0.04968238,1.33653738
-5.74787394,2.11685939,0.01798406,0.01091317,0.62445991,0.92021435,0.38951060,0.09585652,0.04875626,1.31280077
-5.74187094,2.07591994,0.01803053,0.01059899,0.61484427,0.90823295,0.38334368,0.09241641,0.04761459,1.28577696
-5.73586793,2.03023722,0.01804414,0.01025623,0.60433244,0.89417328,0.37651640,0.08876152,0.04627165,1.25584219
-5.72986493,1.98058699,0.01803076,0.00989051,0.59309280,0.87833567,0.36913395,0.08494250,0.04474624,1.22350109
-5.72386193,1.92792385,0.01799674,0.00950862,0.58135112,0.86110022,0.36133258,0.08101764,0.04306100,1.18936875
-5.71785893,1.87334604,0.01794868,0.00911829,0.56938338,0.84291064,0.35327485,0.07705093,0.04124156,1.15414918
-5.71185593,1.81805606,0.01789309,0.00872800,0.55750716,0.82425574,0.34514414,0.07310996,0.03931574,1.11861125
-5.70585293,1.76331835,0.01783615,0.00834666,0.54607176,0.80564939,0.33713853,0.06926381,0.03731261,1.08356300
-5.69984992,1.71041614,0.01778340,0.00798337,0.53544748,0.78760987,0.32946446,0.06558102,0.03526164,1.04982538
-5.69384692,1.66060874,0.01773955,0.00764713,0.52601425,0.77063953,0.32233026,0.06212764,0.03319186,1.01820624
-5.68784392,1.61509099,0.01770822,0.00734657,0.51815012,0.75520550,0.31593969,0.05896540,0.03113108,0.98947560
-5.68184092,1.57495595,0.01769184,0.00708969,0.51221961,0.74172237,0.31048582,0.05615021,0.02910522,0.96434272
-5.67583792,1.54116216,0.01769147,0.00688366,0.50856252,0.73053732,0.30614526,0.05373073,0.02713777,0.94343576
-5.66983492,1.51450605,0.01770686,0.00673452,0.50748326,0.72191837,0.30307294,0.05174736,0.02524932,0.92728436
-5.66383192,1.49560043,0.01773634,0.00664708,0.50924102,0.71604602,0.30139763,0.05023134,0.02345727,0.91630573
-5.65782891,1.48485922,0.01777700,0.00662469,0.51404109,0.71300849,0.30121809,0.04920420,0.02177565,0.91079422
-5.65182591,1.48248875,0.01782475,0.00666919,0.52202750,0.71280066,0.30260024,0.04867743,0.02021502,0.91091479
-5.64582291,1.48848551,0.01787455,0.00678074,0.53327720,0.71532654,0.30557515,0.04865234,0.01878257,0.91670017
-5.63981991,1.50264018,0.01792060,0.00695786,0.54779604,0.72040502,0.31013806,0.04912025,0.01748221,0.92805175
-5.63381691,1.52454752,0.01795661,0.00719738,0.56551663,0.72777856,0.31624835,0.05006275,0.01631481,0.94474410
-5.62781391,1.55362168,0.01797608,0.00749449,0.58629826,0.73712427,0.32383057,0.05145227,0.01527850,0.96643269
-5.62181091,1.58911606,0.01797259,0.00784286,0.60992889,0.74806691,0.33277642,0.05325279,0.01436902,0.99266478
-5.61580790,1.63014710,0.01794011,0.00823473,0.63612914,0.76019311,0.34294762,0.05542066,0.01358004,1.02289270
-5.60980490,1.67572113,0.01787321,0.00866112,0.66455840,0.77306626,0.35417965,0.05790564,0.01290357,1.05648954
-5.60380190,1.72476319,0.01776735,0.00911203,0.69482255,0.78624140,0.36628608,0.06065205,0.01233035,1.09276624
-5.59779890,1.77614701,0.01761906,0.00957670,0.72648342,0.79927957,0.37906355,0.06359996,0.01185019,1.13098994
-5.59179590,1.82872499,0.01742607,0.01004388,0.75906938,0.81176098,0.39229703,0.06668653,0.01145236,1.17040271
-5.58579290,1.88135733,0.01718744,0.01050213,0.79208675,0.82329675,0.40576522,0.06984738,0.01112586,1.21024020
-5.57978989,1.93293921,0.01690355,0.01094014,0.82503170,0.83353855,0.41924594,0.07301794,0.01085974,1.24974950
-5.57378689,1.98242540,0.01657611,0.01134702,0.85740204,0.84218618,0.43252122,0.07613480,0.01064331,1.28820570
-5.56778389,2.02885123,0.01620805,0.01171264,0.88870854,0.84899266,0.44538188,0.07913700,0.01046635,1.32492664
-5.56178089,2.07134964,0.01580339,0.01202785,0.91848527,0.85376702,0.45763157,0.08196726,0.01031930,1.35928529
-5.55577789,2.10916379,0.01536703,0.01228476,0.94629872,0.85637462,0.46908996,0.08457299,0.01019333,1.39071954
-5.54977489,2.14165493,0.01490459,0.01247695,0.97175525,0.85673530,0.47959510,0.08690726,0.01008046,1.41873918
-5.54377189,2.16830579,0.01442211,0.01259959,0.99450671,0.85481965,0.48900488,0.08892945,0.00997359,1.44292992
-5.53776888,2.18871947,0.01392584,0.01264957,1.01425425,0.85064355,0.49719762,0.09060585,0.00986654,1.46295461
-5.53176588,2.20261453,0.01342196,0.01262552,1.03075019,0.84426156,0.50407184,0.09190993,0.00975401,1.47855186
-5.52576288,2.20981673,0.01291635,0.01252777,1.04379818,0.83575943,0.50954537,0.09282246,0.00963162,1.48953242
-5.51975988,2.21024835,0.01241440,0.01235831,1.05325177,0.82524640,0.51355391,0.09333142,0.00949582,1.49577379
-5.51375688,2.20391583,0.01192080,0.01212065,1.05901192,0.81284738,0.51604926,0.09343177,0.00934387,1.49721353
-5.50775388,2.19089681,0.01143941,0.01181960,1.06102350,0.79869585,0.51699745,0.09312503,0.00917378,1.49384207
-5.50175088,2.17132739,0.01097320,0.01146111,1.05927145,0.78292740,0.51637687,0.09241872,0.00898424,1.48569529
-5.49574787,2.14539038,0.01052417,0.01105202,1.05377678,0.76567462,0.51417671,0.09132581,0.00877458,1.47284771
-5.48974487,2.11330539,0.01009334,0.01059978,1.04459283,0.74706319,0.51039578,0.08986399,0.00854470,1.45540655
-5.48374187,2.07532111,0.00968088,0.01011223,1.03180212,0.72720957,0.50504176,0.08805508,0.00829501,1.43350709
