energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up
-6.00000000,2.79395240,0.02571377,1.89230429,0.07947251,0.00010480,1.06726122,1.08294002
-5.99399700,2.68830099,0.02547340,1.82124162,0.07711953,0.00010232,1.03430017,1.04409652
-5.98799400,2.58752558,0.02529113,1.75335863,0.07478190,0.00010045,1.00285628,1.00844286
-5.98199100,2.49329140,0.02518476,1.68967650,0.07252514,0.00009931,0.97334233,0.97633365
-5.97598799,2.40715990,0.02516911,1.63114148,0.07040937,0.00009901,0.94613098,0.94807945
-5.96998499,2.33052999,0.02525553,1.57858878,0.06848747,0.00009968,0.92153594,0.92392983
-5.96398199,2.26458712,0.02545160,1.53271193,0.06680362,0.00010141,0.89979679,0.90405914
-5.95797899,2.21026212,0.02576088,1.49403871,0.06539220,0.00010430,0.88106835,0.88855584
-5.95197599,2.16820115,0.02618286,1.46291474,0.06427713,0.00010842,0.86541511,0.87741583
-5.94597299,2.13874761,0.02671304,1.43949516,0.06347162,0.00011383,0.85281090,0.87054021
-5.93996998,2.12193614,0.02734315,1.42374458,0.06297835,0.00012055,0.84314382,0.86773762
-5.93396698,2.11749850,0.02806148,1.41544495,0.06278994,0.00012857,0.83622606,0.86873070
-5.92796398,2.12488042,0.02885330,1.41421071,0.06288984,0.00013787,0.83180812,0.87316671
-5.92196098,2.14326854,0.02970137,1.41951050,0.06325342,0.00014840,0.82959662,0.88063141
-5.91595798,2.17162595,0.03058649,1.43069425,0.06384936,0.00016004,0.82927490,0.89066584
-5.90995498,2.20873491,0.03148812,1.44702450,0.06464113,0.00017269,0.83052548,0.90278508
-5.90395198,2.25324529,0.03238497,1.46771086,0.06558863,0.00018618,0.83305333,0.91649838
-5.89794897,2.30372695,0.03325563,1.49194621,0.06664992,0.00020032,0.83660909,0.93132986
-5.89194597,2.35872476,0.03407917,1.51894357,0.06778288,0.00021491,0.84101121,0.94683900
-5.88594297,2.41681451,0.03483570,1.54797246,0.06894699,0.00022972,0.84616631,0.96264036
-5.87993997,2.47665829,0.03550692,1.57839363,0.07010491,0.00024450,0.85208687,0.97842178
-5.87393697,2.53705788,0.03607658,1.60969120,0.07122405,0.00025898,0.85890573,0.99396060
-5.86793397,2.59700458,0.03653094,1.64150109,0.07227804,0.00027292,0.86688673,1.00913727
