energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,0.63635899,0.00502732,0.00000000,0.00870887,0.01621516,0.19591865,0.21169612,0.00859103,0.37569440
-5.99399700,0.62941944,0.00504252,0.00000000,0.00869519,0.01686885,0.19173596,0.20722040,0.00857201,0.37233964
-5.98799400,0.62335198,0.00505476,0.00000000,0.00863231,0.01772066,0.18740914,0.20371002,0.00856052,0.36895381
-5.98199100,0.61837730,0.00506562,0.00000000,0.00852169,0.01877584,0.18309574,0.20122137,0.00855709,0.36566871
-5.97598799,0.61471737,0.00507671,0.00000000,0.00836609,0.02003807,0.17896847,0.19979936,0.00856191,0.36262297
-5.96998499,0.61259166,0.00508955,0.00000000,0.00816938,0.02150953,0.17521191,0.19947779,0.00857483,0.35995888
-5.96398199,0.61221305,0.00510554,0.00000000,0.00793653,0.02319096,0.17201867,0.20027970,0.00859530,0.35781891
-5.95797899,0.61378341,0.00512593,0.00000000,0.00767342,0.02508179,0.16958507,0.20221783,0.00862236,0.35634215
-5.95197599,0.61748910,0.00515174,0.00000000,0.00738664,0.02718020,0.16810645,0.20529502,0.00865465,0.35566075
-5.94597299,0.62349627,0.00518377,0.00000000,0.00708331,0.02948310,0.16777219,0.20950461,0.00869043,0.35589652
-5.93996998,0.63194639,0.00522258,0.00000000,0.00677085,0.03198616,0.16876058,0.21483075,0.00872765,0.35715773
-5.93396698,0.64295180,0.00526845,0.00000000,0.00645672,0.03468368,0.17123372,0.22124857,0.00876401,0.35953627
-5.92796398,0.65659165,0.00532145,0.00000000,0.00614823,0.03756851,0.17533254,0.22872432,0.00879699,0.36310525
-5.92196098,0.67290816,0.00538138,0.00000000,0.00585225,0.04063176,0.18117215,0.23721531,0.00882404,0.36791707
-5.91595798,0.69190349,0.00544786,0.00000000,0.00557506,0.04386259,0.18883757,0.24666988,0.00884259,0.37400201
-5.90995498,0.71353724,0.00552032,0.00000000,0.00532215,0.04724792,0.19838023,0.25702725,0.00885017,0.38136740
-5.90395198,0.73772485,0.00559805,0.00000000,0.00509808,0.05077205,0.20981520,0.26821742,0.00884455,0.38999745
-5.89794897,0.76433704,0.00568026,0.00000000,0.00490635,0.05441642,0.22311947,0.28016123,0.00882376,0.39985375
-5.89194597,0.79320052,0.00576607,0.00000000,0.00474937,0.05815934,0.23823137,0.29277058,0.00878618,0.41087645
-5.88594297,0.82410025,0.00585460,0.00000000,0.00462840,0.06197578,0.25505132,0.30594903,0.00873060,0.42298627
-5.87993997,0.85678331,0.00594497,0.00000000,0.00454358,0.06583736,0.27344403,0.31959283,0.00865626,0.43608725
-5.87393697,0.89096477,0.00603637,0.00000000,0.00449398,0.06971249,0.29324211,0.33359243,0.00856284,0.45007045
-5.86793397,0.92633538,0.00612811,0.00000000,0.00447769,0.07356661,0.31425128,0.34783479,0.00845045,0.46481830
-5.86193097,0.96257142,0.00621961,0.00000000,0.00449195,0.07736277,0.33625694,0.36220615,0.00831964,0.48020992
-5.85592796,0.99934620,0.00631048,0.00000000,0.00453330,0.08106233,0.35903202,0.37659565,0.00817132,0.49612699
-5.84992496,1.03634336,0.00640057,0.00000000,0.00459774,0.08462595,0.38234586,0.39089942,0.00800675,0.51246022
-5.84392196,1.07327113,0.00648996,0.00000000,0.00468091,0.08801469,0.40597381,0.40502530,0.00782745,0.52911605
