energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.85210234,0.78049363,0.30443508,0.00122396,0.15315722,0.53067505,0.25211838,0.00870590,1.14209774
-5.99399700,1.89634848,0.79777045,0.31274273,0.00118612,0.15570832,0.54303981,0.25831836,0.00880557,1.17235717
-5.98799400,1.94341270,0.81660004,0.32169870,0.00116718,0.15826105,0.55618894,0.26490361,0.00889061,1.20449901
-5.98199100,1.99262093,0.83669632,0.33118352,0.00116586,0.16076698,0.56997543,0.27176863,0.00895450,1.23811216
-5.97598799,2.04336756,0.85778941,0.34109089,0.00118108,0.16318273,0.58425293,0.27882036,0.00899192,1.27282221
-5.96998499,2.09510163,0.87961979,0.35132540,0.00121189,0.16546863,0.59887015,0.28597672,0.00899878,1.30828322
-5.96398199,2.14731109,0.90193223,0.36179998,0.00125753,0.16758742,0.61366561,0.29316480,0.00897223,1.34416853
-5.95797899,2.19950695,0.92447005,0.37243321,0.00131736,0.16950299,0.62846343,0.30031894,0.00891062,1.38016139
-5.95197599,2.25120865,0.94697056,0.38314680,0.00139088,0.17117946,0.64307021,0.30737875,0.00881341,1.41594635
-5.94597299,2.30193202,0.96916191,0.39386340,0.00147769,0.17258054,0.65727384,0.31428744,0.00868110,1.45120233
-5.93996998,2.35118093,0.99076198,0.40450506,0.00157743,0.17366931,0.67084395,0.32099046,0.00851512,1.48559796
-5.93396698,2.39844332,1.01147939,0.41499218,0.00168977,0.17440842,0.68353448,0.32743459,0.00831769,1.51878955
-5.92796398,2.44319204,1.03101664,0.42524342,0.00181437,0.17476062,0.69508806,0.33356751,0.00809168,1.55042224
-5.92196098,2.48489063,1.04907538,0.43517623,0.00195085,0.17468979,0.70524218,0.33933795,0.00784052,1.58013408
-5.91595798,2.52300349,1.06536345,0.44470824,0.00209871,0.17416208,0.71373673,0.34469633,0.00756804,1.60756295
-5.90995498,2.55701001,1.07960316,0.45375919,0.00225739,0.17314747,0.72032254,0.34959581,0.00727834,1.63235601
-5.90395198,2.58642166,1.09154051,0.46225344,0.00242612,0.17162122,0.72477053,0.35399371,0.00697572,1.65418093
-5.89794897,2.61080078,1.10095459,0.47012283,0.00260401,0.16956547,0.72688083,0.35785311,0.00666455,1.67273832
-5.89194597,2.62978002,1.10766653,0.47730965,0.00278996,0.16697065,0.72649138,0.36114461,0.00634921,1.68777452
-5.88594297,2.64308093,1.11154763,0.48376960,0.00298267,0.16383663,0.72348564,0.36384789,0.00603401,1.69909389
