energy_ev,total_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.00319182,0.80594549,0.51252102,0.02303795,0.52380322,0.00759737,0.00001132
-5.99399700,1.10400236,0.89468876,0.57700267,0.02238378,0.58043970,0.00811180,0.00001158
-5.98799400,1.22067284,0.99602721,0.64947671,0.02210133,0.64527556,0.00873442,0.00001209
-5.98199100,1.35274586,1.10966536,0.72973525,0.02217773,0.71809117,0.00945997,0.00001285
-5.97598799,1.49944724,1.23504591,0.81739108,0.02259506,0.79849334,0.01028089,0.00001382
-5.96998499,1.65967014,1.37133649,0.91186634,0.02333102,0.88590658,0.01118733,0.00001500
-5.96398199,1.83196804,1.51742330,1.01238629,0.02435953,0.97956899,0.01216724,0.00001636
-5.95797899,2.01455807,1.67191289,1.11797936,0.02565137,1.07853380,0.01320648,0.00001789
-5.95197599,2.20533610,1.83314320,1.22748435,0.02717499,1.18167713,0.01428915,0.00001958
-5.94597299,2.40190457,1.99920464,1.33956530,0.02889722,1.28771284,0.01539779,0.00002140
-5.93996998,2.60161344,2.16797152,1.45273442,0.03078414,1.39521429,0.01651385,0.00002333
-5.93396698,2.80161416,2.33714371,1.56538295,0.03280193,1.50264338,0.01761813,0.00002536
-5.92796398,2.99892558,2.50429776,1.67581937,0.03491778,1.60838595,0.01869129,0.00002746
-5.92196098,3.19051037,2.66694637,1.78231405,0.03710085,1.71079299,0.01971445,0.00002961
-5.91595798,3.37335949,2.82260414,1.88314893,0.03932317,1.80822624,0.02066976,0.00003179
-5.90995498,3.54458170,2.96885768,1.97667041,0.04156061,1.89910663,0.02154105,0.00003397
-5.90395198,3.70149486,3.10343713,2.06134338,0.04379375,1.98196364,0.02231441,0.00003614
-5.89794897,3.84171499,3.22428638,2.13580414,0.04600866,2.05548365,0.02297869,0.00003826
-5.89194597,3.96323927,3.32962892,2.19890975,0.04819758,2.11855492,0.02352602,0.00004033
-5.88594297,4.06451914,3.41802648,2.24978156,0.05035948,2.17030744,0.02395218,0.00004233
-5.87993997,4.14451984,3.48842772,2.28784062,0.05250038,2.21014539,0.02425684,0.00004424
-5.87393697,4.20276343,3.54020474,2.31283335,0.05463352,2.23777082,0.02444368,0.00004604
-5.86793397,4.23935300,3.57317558,2.32484581,0.05677919,2.25319716,0.02452040,0.00004773
-5.86193097,4.25497640,3.58761167,2.32430580,0.05896444,2.25675180,0.02449851,0.00004930
-5.85592796,4.25088909,3.58422973,2.31197244,0.06122239,2.24906742,0.02439308,0.00005076
-5.84992496,4.22887653,3.56416845,2.28891348,0.06359142,2.23106235,0.02422222,0.00005209
-5.84392196,4.19119751,3.52895084,2.25647122,0.06611402,2.20391075,0.02400655,0.00005332
-5.83791896,4.14051058,3.48043395,2.21621845,0.06883543,2.16900366,0.02376856,0.00005444
-5.83191596,4.07978697,3.42074811,2.16990626,0.07180221,2.12790290,0.02353184,0.00005546
-5.82591296,4.01221326,3.35222810,2.11940604,0.07506054,2.08228941,0.02332032,0.00005642
-5.81990995,3.94108816,3.27733930,2.06664803,0.07865450,2.03390854,0.02315753,0.00005732
-5.81390695,3.86971737,3.19860157,2.01355904,0.08262439,1.98451418,0.02306579,0.00005819
-5.80790395,3.80131090,3.11851384,1.96200189,0.08700495,1.93581434,0.02306556,0.00005906
-5.80190095,3.73888652,3.03948209,1.91371888,0.09182382,1.88941985,0.02317479,0.00005994
-5.79589795,3.68518291,2.96375325,1.87028133,0.09710007,1.84679828,0.02340843,0.00006088
-5.78989495,3.64258535,2.89335680,1.83304703,0.10284295,1.80923449,0.02377796,0.00006190
-5.78389195,3.61306601,2.83005595,1.80312658,0.10905092,1.77779884,0.02429120,0.00006303
-5.77788894,3.59814033,2.77530922,1.78135963,0.11571093,1.75332391,0.02495207,0.00006431
-5.77188594,3.59883991,2.73024304,1.76830116,0.12279804,1.73638995,0.02576062,0.00006576
-5.76588294,3.61570190,2.69563562,1.76421768,0.13027534,1.72731898,0.02671307,0.00006743
-5.75987994,3.64877399,2.67191148,1.76909268,0.13809421,1.72617707,0.02780203,0.00006934
-5.75387694,3.69763351,2.65914620,1.78264049,0.14619482,1.73278413,0.02901675,0.00007152
-5.74787394,3.76141891,2.65708025,1.80432726,0.15450705,1.74673020,0.03034348,0.00007401
-5.74187094,3.83887134,2.66514076,1.83339769,0.16295151,1.76739705,0.03176583,0.00007682
-5.73586793,3.92838396,2.68246991,1.86890614,0.17144091,1.79398410,0.03326520,0.00008000
-5.72986493,4.02805674,2.70795869,1.90975055,0.17988153,1.82553720,0.03482117,0.00008356
-5.72386193,4.13575436,2.74028447,1.95470783,0.18817485,1.86097935,0.03641199,0.00008753
-5.71785893,4.24916513,2.77795139,2.00246952,0.19621930,1.89914212,0.03801488,0.00009192
-5.71185593,4.36585929,2.81933227,2.05167660,0.20391205,1.93879704,0.03960651,0.00009674
-5.70585293,4.48334494,2.86271110,2.10095266,0.21115083,1.97868607,0.04116327,0.00010200
-5.69984992,4.59912083,2.90632519,2.14893470,0.21783569,2.01755064,0.04266165,0.00010770
-5.69384692,4.71072484,2.94840630,2.19430124,0.22387087,2.05415876,0.04407854,0.00011384
-5.68784392,4.81577804,2.98722013,2.23579740,0.22916643,2.08733003,0.04539149,0.00012040
-5.68184092,4.91202387,3.02110362,2.27225691,0.23363995,2.11595817,0.04657902,0.00012734
-5.67583792,4.99736252,3.04849959,2.30262100,0.23721803,2.13903117,0.04762089,0.00013465
