energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-0.77138569,4.53025939,0.30272024,3.10602264,0.00301516,0.05489410,0.01130070,0.21543360,0.16729276,1.25869146
-0.76538269,4.58946176,0.30666690,3.15820620,0.00304472,0.05477833,0.01179688,0.22019901,0.17005389,1.26240455
-0.75937969,4.64559578,0.31145600,3.20787647,0.00306244,0.05465534,0.01239111,0.22501061,0.17293931,1.26528293
-0.75337669,4.69935276,0.31711262,3.25539995,0.00306952,0.05453913,0.01308989,0.22988141,0.17598867,1.26764540
-0.74737369,4.75155749,0.32366363,3.30127246,0.00306755,0.05444376,0.01389807,0.23482776,0.17923909,1.26981123
-0.74137069,4.80312640,0.33113516,3.34609398,0.00305852,0.05438266,0.01481843,0.23986738,0.18272292,1.27208511
-0.73536768,4.85502038,0.33954960,3.39053788,0.00304471,0.05436802,0.01585145,0.24501720,0.18646560,1.27474248
-0.72936468,4.90819412,0.34892224,3.43531576,0.00302869,0.05441026,0.01699500,0.25029104,0.19048367,1.27801609
-0.72336168,4.96354442,0.35925790,3.48113947,0.00301321,0.05451749,0.01824411,0.25569747,0.19478310,1.28208439
-0.71735868,5.02185989,0.37054756,3.52868201,0.00300114,0.05469516,0.01959092,0.26123764,0.19935793,1.28706237
-0.71135568,5.08377413,0.38276529,3.57853899,0.00299539,0.05494571,0.02102459,0.26690359,0.20418948,1.29299517
-0.70535268,5.14972484,0.39586568,3.63119244,0.00299884,0.05526842,0.02253134,0.27267680,0.20924592,1.29985498
-0.69934967,5.21992033,0.40978177,3.68697852,0.00301421,0.05565939,0.02409462,0.27852729,0.21448253,1.30754109
-0.69334667,5.29431529,0.42442376,3.74606067,0.00304402,0.05611158,0.02569534,0.28441321,0.21984242,1.31588336
-0.68734367,5.37259653,0.43967853,3.80840931,0.00309049,0.05661498,0.02731224,0.29028098,0.22525783,1.32464858
-0.68134067,5.45417950,0.45540992,3.87378909,0.00315547,0.05715696,0.02892228,0.29606603,0.23065182,1.33354960
-0.67533767,5.53821547,0.47145992,3.94175418,0.00324034,0.05772263,0.03050116,0.30169401,0.23594049,1.34225662
-0.66933467,5.62360921,0.48765062,4.01165191,0.00334599,0.05829528,0.03202392,0.30708250,0.24103535,1.35041011
