energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,0.99684592,0.00607987,0.11068354,0.10128018,0.01931528,0.45806275,0.55250423,0.24152170
-5.99399700,1.01655779,0.00616862,0.11561770,0.09889340,0.01872589,0.46353918,0.59380771,0.24404884
-5.98799400,1.04318324,0.00625193,0.12258698,0.09665536,0.01813619,0.47022641,0.64389992,0.24878327
-5.98199100,1.07646665,0.00632873,0.13156177,0.09452955,0.01753956,0.47800658,0.70272397,0.25564924
-5.97598799,1.11609548,0.00639840,0.14248236,0.09248581,0.01693086,0.48677333,0.77008137,0.26454923
-5.96998499,1.16169253,0.00646071,0.15525736,0.09050136,0.01630668,0.49642939,0.84561719,0.27536291
-5.96398199,1.21280734,0.00651578,0.16976241,0.08856145,0.01566536,0.50688296,0.92880744,0.28794582
-5.95797899,1.26890775,0.00656398,0.18583958,0.08665959,0.01500698,0.51804340,1.01894970,0.30212820
-5.95197599,1.32937303,0.00660591,0.20329748,0.08479747,0.01433327,0.52981675,1.11515849,0.31771419
-5.94597299,1.39348988,0.00664226,0.22191236,0.08298466,0.01364736,0.54210157,1.21636613,0.33448178
-5.93996998,1.46045254,0.00667379,0.24143040,0.08123815,0.01295358,0.55478565,1.32133040,0.35218372
-5.93396698,1.52936806,0.00670127,0.26157127,0.07958175,0.01225719,0.56774406,1.42864949,0.37054972
-5.92796398,1.59926734,0.00672541,0.28203294,0.07804556,0.01156400,0.58083889,1.53678452,0.38929001
-5.92196098,1.66912252,0.00674688,0.30249790,0.07666544,0.01088017,0.59392096,1.64408982,0.40810042
-5.91595798,1.73787040,0.00676630,0.32264047,0.07548253,0.01021188,0.60683358,1.74885010,0.42666884
-5.90995498,1.80444144,0.00678426,0.34213520,0.07454295,0.00956506,0.61941823,1.84932392,0.44468309
-5.90395198,1.86779334,0.00680142,0.36066596,0.07389751,0.00894523,0.63152199,1.94379172,0.46183972
-5.89794897,1.92694770,0.00681850,0.37793538,0.07360153,0.00835732,0.64300631,2.03060691,0.47785355
-5.89194597,1.98102799,0.00683644,0.39367439,0.07371456,0.00780556,0.65375644,2.10824763,0.49246747
-5.88594297,2.02929679,0.00685644,0.40765120,0.07430016,0.00729342,0.66369112,2.17536723,0.50546189
-5.87993997,2.07119016,0.00688006,0.41967945,0.07542542,0.00682363,0.67277161,2.23084083,0.51666354
-5.87393697,2.10634694,0.00690929,0.42962506,0.07716030,0.00639814,0.68100943,2.27380575,0.52595277
-5.86793397,2.13463108,0.00694658,0.43741133,0.07957664,0.00601825,0.68847218,2.30369382,0.53326925
-5.86193097,2.15614520,0.00699487,0.44302208,0.08274688,0.00568464,0.69528679,2.32025365,0.53861529
-5.85592796,2.17123430,0.00705758,0.44650249,0.08674229,0.00539747,0.70163983,2.32356174,0.54205681
-5.84992496,2.18047868,0.00713856,0.44795759,0.09163089,0.00515644,0.70777446,2.31402147,0.54372153
-5.84392196,2.18467611,0.00724198,0.44754841,0.09747494,0.00496095,0.71398418,2.29235001,0.54379454
-5.83791896,2.18481351,0.00737216,0.44548588,0.10432819,0.00481005,0.72060319,2.25955346,0.54251121
-5.83191596,2.18202941,0.00753348,0.44202266,0.11223290,0.00470258,0.72799407,2.21689131,0.54014791
-5.82591296,2.17756871,0.00773008,0.43744341,0.12121677,0.00463718,0.73653290,2.16583185,0.53701071
-5.81990995,2.17273173,0.00796568,0.43205373,0.13129000,0.00461228,0.74659289,2.10800047,0.53342278
-5.81390695,2.16882023,0.00824334,0.42616847,0.14244262,0.00462611,0.75852705,2.04512331,0.52971098
-5.80790395,2.16708278,0.00856520,0.42009972,0.15464224,0.00467666,0.77265098,1.97896877,0.52619231
-5.80190095,2.16866238,0.00893227,0.41414527,0.16783250,0.00476170,0.78922661,1.91128945,0.52316092
-5.79589795,2.17454884,0.00934422,0.40857787,0.18193227,0.00487872,0.80844781,1.84376707,0.52087620
-5.78989495,2.18553835,0.00979924,0.40363580,0.19683585,0.00502488,0.83042873,1.77796262,0.51955275
-5.78389195,2.20220217,0.01029393,0.39951525,0.21241424,0.00519705,0.85519554,1.71527371,0.51935244
-5.77788894,2.22486609,0.01082329,0.39636466,0.22851746,0.00539179,0.88268204,1.65690047,0.52037912
-5.77188594,2.25360143,0.01138072,0.39428130,0.24497805,0.00560535,0.91272956,1.60382115,0.52267616
-5.76588294,2.28822807,0.01195819,0.39331017,0.26161553,0.00583376,0.94509124,1.55677768,0.52622689
-5.75987994,2.32832916,0.01254637,0.39344508,0.27824187,0.00607287,0.97944054,1.51627133,0.53095780
-5.75387694,2.37327672,0.01313496,0.39463196,0.29466754,0.00631845,1.01538359,1.48256774,0.53674449
-5.74787394,2.42226658,0.01371296,0.39677387,0.31070819,0.00656631,1.05247501,1.45571035,0.54341982
-5.74187094,2.47436091,0.01426909,0.39973763,0.32619138,0.00681243,1.09023630,1.43554096,0.55078394
-5.73586793,2.52853610,0.01479220,0.40336163,0.34096324,0.00705312,1.12817595,1.42172590,0.55861564
-5.72986493,2.58373340,0.01527167,0.40746420,0.35489467,0.00728516,1.16581044,1.41378583,0.56668445
-5.72386193,2.63890995,0.01569790,0.41185244,0.36788671,0.00750595,1.20268491,1.41112775,0.57476278
-5.71785893,2.69308751,0.01606268,0.41633077,0.37987481,0.00771363,1.23839262,1.41307732,0.58263774
-5.71185593,2.74539647,0.01635955,0.42070904,0.39083181,0.00790722,1.27259217,1.41890998,0.59012170
-5.70585293,2.79511311,0.01658412,0.42480970,0.40076925,0.00808670,1.30502151,1.42787963,0.59706147
-5.69984992,2.84168834,0.01673430,0.42847386,0.40973709,0.00825307,1.33550817,1.43924380,0.60334534
-5.69384692,2.88476640,0.01681039,0.43156598,0.41782155,0.00840832,1.36397496,1.45228455,0.60890785
-5.68784392,2.92419293,0.01681513,0.43397710,0.42514134,0.00855545,1.39044090,1.46632478,0.61373202
-5.68184092,2.96001192,0.01675363,0.43562662,0.43184220,0.00869834,1.41501710,1.48073980,0.61784885
-5.67583792,2.99245191,0.01663315,0.43646248,0.43809007,0.00884163,1.43789787,1.49496433,0.62133430
-5.66983492,3.02190206,0.01646288,0.43646016,0.44406303,0.00899054,1.45934722,1.50849543,0.62430372
-5.66383192,3.04887949,0.01625352,0.43562041,0.44994257,0.00915066,1.47968141,1.52089201,0.62690412
-5.65782891,3.07398940,0.01601687,0.43396597,0.45590426,0.00932767,1.49924828,1.53177151,0.62930458
-5.65182591,3.09788018,0.01576537,0.43153772,0.46210852,0.00952705,1.51840433,1.54080473,0.63168536
-5.64582291,3.12119557,0.01551156,0.42839021,0.46869168,0.00975381,1.53749060,1.54770963,0.63422610
-5.63981991,3.14452647,0.01526762,0.42458711,0.47575788,0.01001220,1.55680852,1.55224470,0.63709379
-5.63381691,3.16836477,0.01504483,0.42019668,0.48337216,0.01030537,1.57659698,1.55420284,0.64043110
-5.62781391,3.19306157,0.01485320,0.41528755,0.49155500,0.01063518,1.59701177,1.55340600,0.64434564
-5.62181091,3.21879213,0.01470104,0.40992493,0.50027870,0.01100193,1.61810848,1.54970128,0.64890063
-5.61580790,3.24552918,0.01459472,0.40416753,0.50946569,0.01140423,1.63982986,1.54295838,0.65410768
-5.60980490,3.27302630,0.01453844,0.39806513,0.51898901,0.01183890,1.66199843,1.53306877,0.65992185
-5.60380190,3.30081240,0.01453416,0.39165700,0.52867484,0.01230092,1.68431478,1.51994624,0.66623943
-5.59779890,3.32819757,0.01458159,0.38497114,0.53830721,0.01278351,1.70636198,1.50352877,0.67289858
-5.59179590,3.35429049,0.01467833,0.37802423,0.54763450,0.01327824,1.72761593,1.48378125,0.67968289
-5.58579290,3.37802659,0.01482004,0.37082242,0.55637778,0.01377526,1.74746139,1.46069882,0.68632768
-5.57978989,3.39820586,0.01500073,0.36336260,0.56424036,0.01426356,1.76521309,1.43431031,0.69252888
-5.57378689,3.41353853,0.01521310,0.35563431,0.57091846,0.01473133,1.78014090,1.40468140,0.69795408
-5.56778389,3.42269665,0.01544891,0.34762189,0.57611240,0.01516633,1.79149813,1.37191712,0.70225520
-5.56178089,3.42436908,0.01569941,0.33930701,0.57953784,0.01555633,1.79855151,1.33616347,0.70508235
-5.55577789,3.41731743,0.01595567,0.33067115,0.58093676,0.01588955,1.80061150,1.29760782,0.70609806
-5.54977489,3.40043012,0.01620899,0.32169818,0.58008757,0.01615507,1.79706162,1.25647805,0.70499135
-5.54377189,3.37277238,0.01645125,0.31237671,0.57681396,0.01634325,1.78738526,1.21304048,0.70149093
-5.53776888,3.33362958,0.01667512,0.30270223,0.57099216,0.01644608,1.77118890,1.16759646,0.69537694
-5.53176588,3.28254223,0.01687433,0.29267894,0.56255633,0.01645750,1.74822060,1.12047813,0.68649069
-5.52576288,3.21933108,0.01704373,0.28232119,0.55150177,0.01637362,1.71838300,1.07204323,0.67474200
-5.51975988,3.14411141,0.01717943,0.27165461,0.53788596,0.01619287,1.68174044,1.02266955,0.66011383
-5.51375688,3.05729626,0.01727871,0.26071677,0.52182732,0.01591603,1.63851984,0.97274920,0.64266406
-5.50775388,2.95958879,0.01733996,0.24955751,0.50350191,0.01554627,1.58910574,0.92268312,0.62252443
-5.50175088,2.85196454,0.01736257,0.23823897,0.48313816,0.01508893,1.53402978,0.87287605,0.59989681
-5.49574787,2.73564495,0.01734674,0.22683531,0.46100991,0.01455141,1.47395534,0.82373228,0.57504700
-5.48974487,2.61206368,0.01729330,0.21543223,0.43742824,0.01394288,1.40965849,0.77565253,0.54829656
-5.48374187,2.48282777,0.01720352,0.20412633,0.41273232,0.01327394,1.34200596,0.72903179,0.52001300
-5.47773887,2.34967561,0.01707889,0.19302436,0.38727982,0.01255627,1.27193166,0.68425846,0.49059905
-5.47173587,2.21443371,0.01692103,0.18224248,0.36143724,0.01180231,1.20041258,0.64171465,0.46048125
-5.46573287,2.07897432,0.01673151,0.17190535,0.33557061,0.01102482,1.12844528,0.60177738,0.43009876
-5.45972986,1.94517541,0.01651178,0.16214541,0.31003683,0.01023654,1.05702390,0.56482064,0.39989242
-5.45372686,1.81488445,0.01626317,0.15310196,0.28517603,0.00944986,0.98712031,0.53121785,0.37029490
-5.44772386,1.68988676,0.01598686,0.14492034,0.26130509,0.00867653,0.91966703,0.50134437,0.34172193
-5.44172086,1.57187909,0.01568399,0.13775092,0.23871244,0.00792739,0.85554307,0.47557972,0.31456490
-5.43571786,1.46244827,0.01535567,0.13174802,0.21765434,0.00721219,0.79556285,0.45430892,0.28918503
