energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,16.83570329,5.29129274,11.87323449,0.02848995,1.44439840,0.04970404,2.09988251
-5.99399700,16.66248391,5.22822519,11.76080980,0.02737455,1.44606517,0.04882290,2.05531530
-5.98799400,16.49455358,5.16410412,11.65413540,0.02622553,1.44645270,0.04792855,2.01179134
-5.98199100,16.33178599,5.09879475,11.55317152,0.02505762,1.44534583,0.04702583,1.96949277
-5.97598799,16.17403298,5.03224443,11.45781575,0.02388531,1.44256718,0.04612026,1.92858231
-5.96998499,16.02111909,4.96448972,11.36789335,0.02272259,1.43797871,0.04521800,1.88920443
-5.96398199,15.87284128,4.89566057,11.28315365,0.02158260,1.43148252,0.04432576,1.85148685
-5.95797899,15.72897555,4.82598185,11.20327408,0.02047741,1.42302114,0.04345079,1.81554274
-5.95197599,15.58929099,4.75577304,11.12787197,0.01941781,1.41257744,0.04260080,1.78147335
-5.94597299,15.45357106,4.68544613,11.05652392,0.01841315,1.40017423,0.04178383,1.74937121
-5.93996998,15.32164047,4.61550213,10.98879124,0.01747130,1.38587346,0.04100818,1.71932351
-5.93396698,15.19339544,4.54652608,10.92424948,0.01659855,1.36977513,0.04028227,1.69141560
-5.92796398,15.06883420,4.47918037,10.86251946,0.01579970,1.35201573,0.03961444,1.66573427
-5.92196098,14.94808440,4.41419607,10.80329685,0.01507806,1.33276601,0.03901274,1.64237037
-5.91595798,14.83142357,4.35236170,10.74637722,0.01443562,1.31222810,0.03848469,1.62142053
-5.90995498,14.71928950,4.29450916,10.69167373,0.01387316,1.29063175,0.03803699,1.60298767
-5.90395198,14.61227750,4.24149628,10.63922509,0.01339039,1.26822963,0.03767522,1.58717981
-5.89794897,14.51112271,4.19418576,10.58919200,0.01298616,1.24529161,0.03740348,1.57410730
-5.89194597,14.41666646,4.15342052,10.54184122,0.01265857,1.22209820,0.03722409,1.56387805
-5.88594297,14.32980704,4.11999571,10.49751729,0.01240516,1.19893291,0.03713728,1.55659114
-5.87993997,14.25143638,4.09462786,10.45660292,0.01222301,1.17607418,0.03714090,1.55232865
-5.87393697,14.18236571,4.07792213,10.41947014,0.01210885,1.15378662,0.03723023,1.55114636
-5.86793397,14.12324382,4.07033890,10.38642498,0.01205917,1.13231230,0.03739782,1.55306353
-5.86193097,14.07447290,4.07216096,10.35764913,0.01207022,1.11186219,0.03763351,1.55805244
-5.85592796,14.03612731,4.08346321,10.33314263,0.01213806,1.09260817,0.03792444,1.56602831
-5.84992496,14.00788069,4.10408639,10.31267156,0.01225852,1.07467618,0.03825530,1.57684022
-5.84392196,13.98894693,4.13361675,10.29572476,0.01242725,1.05814064,0.03860865,1.59026388
-5.83791896,13.97803978,4.17137306,10.28148317,0.01263957,1.04302065,0.03896536,1.60599662
-5.83191596,13.97335511,4.21640275,10.26880461,0.01289055,1.02927818,0.03930514,1.62365537
-5.82591296,13.97257866,4.26748782,10.25622624,0.01317484,1.01681843,0.03960723,1.64277805
-5.81990995,13.97292066,4.32316157,10.24198566,0.01348676,1.00549246,0.03985106,1.66282843
-5.81390695,13.97117748,4.38173625,10.22406069,0.01382016,0.99510206,0.04001700,1.68320488
-5.80790395,13.96381862,4.44134129,10.20022675,0.01416853,0.98540678,0.04008713,1.70325264
-5.80190095,13.94709633,4.49997146,10.16812968,0.01452496,0.97613282,0.04004591,1.72227954
-5.79589795,13.91717337,4.55554358,10.12537108,0.01488221,0.96698350,0.03988085,1.73957459
-5.78989495,13.87026402,4.60596019,10.06960231,0.01523283,0.95765087,0.03958302,1.75442886
-5.78389195,13.80278210,4.64917783,9.99862299,0.01556924,0.94782811,0.03914751,1.76615797
-5.77788894,13.71148970,4.68327780,9.91047951,0.01588389,0.93722201,0.03857370,1.77412523
-5.77188594,13.59364009,4.70653650,9.80355897,0.01616946,0.92556523,0.03786535,1.77776459
-5.76588294,13.44710857,4.71749282,9.67667424,0.01641901,0.91262769,0.03703058,1.77660249
-5.75987994,13.27050549,4.71500980,9.52913634,0.01662622,0.89822673,0.03608165,1.77027766
-5.75387694,13.06326643,4.69832794,9.36081088,0.01678557,0.88223554,0.03503462,1.75855803
-5.74787394,12.82571567,4.66710790,9.17215586,0.01689254,0.86458951,0.03390883,1.74135402
-5.74187094,12.55910004,4.62146047,8.96423943,0.01694383,0.84529036,0.03272633,1.71872762
-5.73586793,12.26559148,4.56196231,8.73873644,0.01693749,0.82440774,0.03151116,1.69089674
-5.72986493,11.94825793,4.48965627,8.49790406,0.01687304,0.80207833,0.03028861,1.65823452
-5.72386193,11.61100339,4.40603570,8.24453722,0.01675159,0.77850239,0.02908447,1.62126360
-5.71785893,11.25847894,4.31301284,7.98190534,0.01657584,0.75393802,0.02792423,1.58064528
-5.71185593,10.89596767,4.21287170,7.71367275,0.01635009,0.72869321,0.02683232,1.53716390
-5.70585293,10.52924728,4.10820663,7.44380530,0.01608015,0.70311602,0.02583149,1.49170679
-5.69984992,10.16443482,4.00184832,7.17646650,0.01577317,0.67758329,0.02494212,1.44524052
-5.69384692,9.80781838,3.89677929,6.91590639,0.01543752,0.65248826,0.02418175,1.39878395
-5.68784392,9.46568120,3.79604145,6.66634662,0.01508249,0.62822752,0.02356463,1.35337906
-5.68184092,9.14412354,3.70263886,6.43186548,0.01471802,0.60518782,0.02310140,1.31006040
-5.67583792,8.84888775,3.61943863,6.21628608,0.01435437,0.58373306,0.02279890,1.26982416
-5.66983492,8.58519193,3.54907358,6.02307097,0.01400180,0.56419216,0.02266004,1.23359777
-5.66383192,8.35757703,3.49384979,5.85522635,0.01367016,0.54684795,0.02268381,1.20221114
