energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,0.44056050,0.11296991,0.14087975,0.03555866,0.08038650,0.05242149,0.00179175
-5.99399700,0.42179503,0.10650746,0.13793855,0.03370977,0.07889214,0.05010795,0.00161992
-5.98799400,0.40594573,0.10104251,0.13565723,0.03201327,0.07786299,0.04842166,0.00146186
-5.98199100,0.39304378,0.09653730,0.13405873,0.03047512,0.07727392,0.04735639,0.00131783
-5.97598799,0.38305789,0.09293658,0.13314797,0.02909734,0.07709075,0.04689693,0.00118779
-5.96998499,0.37589763,0.09017043,0.13291182,0.02787815,0.07727136,0.04701976,0.00107140
-5.96398199,0.37141807,0.08815723,0.13331960,0.02681217,0.07776713,0.04769368,0.00096812
-5.95797899,0.36942535,0.08680665,0.13432407,0.02589077,0.07852445,0.04888044,0.00087719
-5.95197599,0.36968321,0.08602255,0.13586293,0.02510246,0.07948646,0.05053535,0.00079772
-5.94597299,0.37191999,0.08570579,0.13786059,0.02443342,0.08059470,0.05260791,0.00072872
-5.93996998,0.37583619,0.08575678,0.14023039,0.02386800,0.08179090,0.05504237,0.00066914
-5.93396698,0.38111206,0.08607780,0.14287698,0.02338931,0.08301867,0.05777842,0.00061791
-5.92796398,0.38741542,0.08657506,0.14569889,0.02297977,0.08422498,0.06075184,0.00057398
-5.92196098,0.39440928,0.08716040,0.14859120,0.02262172,0.08536161,0.06389528,0.00053632
-5.91595798,0.40175926,0.08775273,0.15144829,0.02229787,0.08638632,0.06713916,0.00050399
-5.90995498,0.40914070,0.08827913,0.15416643,0.02199188,0.08726375,0.07041261,0.00047613
-5.90395198,0.41624533,0.08867571,0.15664645,0.02168870,0.08796614,0.07364464,0.00045194
-5.89794897,0.42278735,0.08888810,0.15879608,0.02137499,0.08847367,0.07676537,0.00043075
-5.89194597,0.42850902,0.08887182,0.16053225,0.02103934,0.08877456,0.07970740,0.00041198
-5.88594297,0.43318539,0.08859237,0.16178300,0.02067254,0.08886485,0.08240724,0.00039516
-5.87993997,0.43662831,0.08802505,0.16248916,0.02026764,0.08874797,0.08480684,0.00037989
-5.87393697,0.43868956,0.08715478,0.16260570,0.01982005,0.08843398,0.08685500,0.00036588
-5.86793397,0.43926301,0.08597561,0.16210262,0.01932745,0.08793862,0.08850883,0.00035290
-5.86193097,0.43828571,0.08449019,0.16096556,0.01878975,0.08728222,0.08973501,0.00034080
-5.85592796,0.43573799,0.08270910,0.15919587,0.01820891,0.08648842,0.09051082,0.00032946
-5.84992496,0.43164239,0.08065009,0.15681029,0.01758872,0.08558288,0.09082497,0.00031883
-5.84392196,0.42606163,0.07833724,0.15384030,0.01693458,0.08459189,0.09067805,0.00030887
-5.83791896,0.41909545,0.07580002,0.15033090,0.01625322,0.08354109,0.09008270,0.00029956
-5.83191596,0.41087661,0.07307241,0.14633921,0.01555237,0.08245427,0.08906325,0.00029091
-5.82591296,0.40156607,0.07019180,0.14193262,0.01484052,0.08135229,0.08765515,0.00028291
