energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,5.20420909,0.04090420,0.03085356,1.10259961,0.39632501,0.23520254,3.29264538,0.75605962,0.20360948
-5.99399700,5.23708658,0.04210257,0.03081750,1.13100068,0.40797255,0.23509210,3.31320162,0.76357014,0.20169427
-5.98799400,5.25659412,0.04325261,0.03067099,1.15886364,0.41976553,0.23405003,3.32509445,0.76919159,0.19892461
-5.98199100,5.26303225,0.04433465,0.03042164,1.18577661,0.43170480,0.23211126,3.32850177,0.77290056,0.19535142
-5.97598799,5.25698337,0.04533285,0.03007857,1.21137297,0.44379767,0.22932526,3.32378001,0.77470894,0.19104229
-5.96998499,5.23924919,0.04623517,0.02965198,1.23532664,0.45605267,0.22575338,3.31142554,0.77465715,0.18607819
-5.96398199,5.21078805,0.04703338,0.02915271,1.25734809,0.46847448,0.22146609,3.29203583,0.77280758,0.18055006
-5.95797899,5.17265433,0.04772283,0.02859176,1.27718122,0.48105928,0.21654032,3.26627220,0.76923854,0.17455530
-5.95197599,5.12594264,0.04830225,0.02797999,1.29460114,0.49379056,0.21105685,3.23482524,0.76403882,0.16819445
-5.94597299,5.07173807,0.04877334,0.02732769,1.30941272,0.50663569,0.20509797,3.19838417,0.75730316,0.16156797
-5.93996998,5.01107397,0.04914034,0.02664438,1.32144982,0.51954323,0.19874541,3.15761074,0.74912860,0.15477337
-5.93396698,4.94489764,0.04940952,0.02593855,1.33057490,0.53244111,0.19207851,3.11311803,0.73961162,0.14790272
-5.92796398,4.87404435,0.04958857,0.02521756,1.33667876,0.54523565,0.18517280,3.06545426,0.72884620,0.14104056
-5.92196098,4.79921924,0.04968601,0.02448756,1.33968017,0.55781147,0.17809885,3.01509144,0.71692250,0.13426223
-5.91595798,4.72098673,0.04971052,0.02375347,1.33952519,0.57003222,0.17092145,2.96241856,0.70392608,0.12763275
-5.90995498,4.63976674,0.04967033,0.02301903,1.33618605,0.58174218,0.16369905,2.90773879,0.68993759,0.12120603
-5.90395198,4.55583690,0.04957263,0.02228688,1.32965951,0.59276863,0.15648346,2.85127030,0.67503268,0.11502454
-5.89794897,4.46933986,0.04942307,0.02155869,1.31996470,0.60292493,0.14931970,2.79315012,0.65928218,0.10911942
-5.89194597,4.38029515,0.04922535,0.02083528,1.30714071,0.61201428,0.14224613,2.73344064,0.64275227,0.10351084
-5.88594297,4.28861453,0.04898091,0.02011681,1.29124387,0.61983412,0.13529462,2.67213823,0.62550481,0.09820871
