energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.34157248,0.02232854,0.00000000,0.21685397,0.00000000,0.13928862,0.04870042
-5.99399700,0.36112230,0.02664185,0.00000000,0.22517158,0.00000000,0.14614646,0.05379293
-5.98799400,0.38515169,0.03176028,0.00000000,0.23566453,0.00000000,0.15461619,0.05990400
-5.98199100,0.41443377,0.03775367,0.00000000,0.24879576,0.00000000,0.16497838,0.06716448
-5.97598799,0.44974289,0.04468896,0.00000000,0.26503283,0.00000000,0.17751061,0.07570390
-5.96998499,0.49183243,0.05262725,0.00000000,0.28483558,0.00000000,0.19247877,0.08564634
-5.96398199,0.54141070,0.06162069,0.00000000,0.30864279,0.00000000,0.21012760,0.09710588
-5.95797899,0.59911513,0.07170910,0.00000000,0.33685801,0.00000000,0.23067095,0.11018159
-5.95197599,0.66548578,0.08291644,0.00000000,0.36983486,0.00000000,0.25428195,0.12495253
-5.94597299,0.74093854,0.09524740,0.00000000,0.40786226,0.00000000,0.28108335,0.14147249
-5.93996998,0.82573917,0.10868410,0.00000000,0.45114993,0.00000000,0.31113838,0.15976505
-5.93396698,0.91997897,0.12318324,0.00000000,0.49981460,0.00000000,0.34444269,0.17981897
-5.92796398,1.02355308,0.13867375,0.00000000,0.55386749,0.00000000,0.38091737,0.20158412
-5.92196098,1.13614259,0.15505519,0.00000000,0.61320358,0.00000000,0.42040379,0.22496834
-5.91595798,1.25720132,0.17219703,0.00000000,0.67759311,0.00000000,0.46266041,0.24983527
-5.90995498,1.38594840,0.18993901,0.00000000,0.74667607,0.00000000,0.50736185,0.27600351
-5.90395198,1.52136747,0.20809250,0.00000000,0.81995985,0.00000000,0.55410058,0.30324714
-5.89794897,1.66221316,0.22644323,0.00000000,0.89682086,0.00000000,0.60239132,0.33129790
-5.89194597,1.80702547,0.24475503,0.00000000,0.97651013,0.00000000,0.65167827,0.35984890
-5.88594297,1.95415214,0.26277480,0.00000000,1.05816333,0.00000000,0.70134511,0.38856002
-5.87993997,2.10177902,0.28023847,0.00000000,1.14081516,0.00000000,0.75072763,0.41706493
-5.87393697,2.24796787,0.29687782,0.00000000,1.22341809,0.00000000,0.79912871,0.44497943
-5.86793397,2.39070096,0.31242782,0.00000000,1.30486505,0.00000000,0.84583533,0.47191108
-5.86193097,2.52793115,0.32663445,0.00000000,1.38401565,0.00000000,0.89013700,0.49746968
-5.85592796,2.65763601,0.33926242,0.00000000,1.45972519,0.00000000,0.93134505,0.52127835
-5.84992496,2.77787419,0.35010266,0.00000000,1.53087553,0.00000000,0.96881217,0.54298474
-5.84392196,2.88684191,0.35897920,0.00000000,1.59640689,0.00000000,1.00195134,0.56227188
-5.83791896,2.98292757,0.36575509,0.00000000,1.65534918,0.00000000,1.03025351,0.57886838
-5.83191596,3.06476198,0.37033716,0.00000000,1.70685183,0.00000000,1.05330331,0.59255733
-5.82591296,3.13126232,0.37267936,0.00000000,1.75021075,0.00000000,1.07079202,0.60318371
-5.81990995,3.18166750,0.37278447,0.00000000,1.78489112,0.00000000,1.08252730,0.61065970
-5.81390695,3.21556350,0.37070422,0.00000000,1.81054507,0.00000000,1.08843926,0.61496790
-5.80790395,3.23289710,0.36653763,0.00000000,1.82702314,0.00000000,1.08858237,0.61616199
