energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.36167670,0.00417560,0.20855821,0.66411781,0.43427178,0.00827408,0.55295959,0.16745815,0.13081116
-5.99399700,1.36074478,0.00395730,0.21339765,0.67011496,0.43965004,0.00881944,0.54482661,0.16250497,0.12971213
-5.98799400,1.36281207,0.00375606,0.21815005,0.67663789,0.44563967,0.00940616,0.53860529,0.15849207,0.12909568
-5.98199100,1.36869755,0.00357751,0.22278302,0.68396684,0.45230515,0.01003583,0.53486329,0.15563982,0.12909453
-5.97598799,1.37923743,0.00342750,0.22728048,0.69240184,0.45973631,0.01070914,0.53415733,0.15417046,0.12983610
-5.96998499,1.39525616,0.00331201,0.23164106,0.70225290,0.46804166,0.01142569,0.53701746,0.15430238,0.13143877
-5.96398199,1.41753674,0.00323707,0.23587591,0.71382923,0.47734068,0.01218380,0.54393191,0.15624444,0.13400838
-5.95797899,1.44679103,0.00320868,0.24000599,0.72742760,0.48775550,0.01298037,0.55533249,0.16019015,0.13763505
-5.95197599,1.48363085,0.00323275,0.24405887,0.74332022,0.49940206,0.01381074,0.57158107,0.16631203,0.14239035
-5.94597299,1.52854050,0.00331500,0.24806529,0.76174250,0.51238110,0.01466868,0.59295729,0.17475615,0.14832487
-5.93996998,1.58185151,0.00346090,0.25205555,0.78288102,0.52676925,0.01554630,0.61964779,0.18563691,0.15546628
-5.93396698,1.64372044,0.00367556,0.25605591,0.80686226,0.54261065,0.01643419,0.65173716,0.19903224,0.16381790
-5.92796398,1.71411040,0.00396366,0.26008520,0.83374239,0.55990937,0.01732148,0.68920089,0.21497929,0.17335777
-5.92196098,1.79277725,0.00432931,0.26415173,0.86349880,0.57862303,0.01819608,0.73190060,0.23347078,0.18403827
-5.91595798,1.87926109,0.00477596,0.26825085,0.89602367,0.59865792,0.01904494,0.77958173,0.25445222,0.19578637
-5.90995498,1.97288371,0.00530628,0.27236311,0.93112010,0.61986605,0.01985434,0.83187395,0.27782000,0.20850435
-5.90395198,2.07275258,0.00592199,0.27645319,0.96850111,0.64204418,0.02061029,0.88829448,0.30342079,0.22207118
-5.89794897,2.17777176,0.00662381,0.28046974,1.00779178,0.66493517,0.02129896,0.94825451,0.33105216,0.23634440
-5.89194597,2.28665975,0.00741127,0.28434610,1.04853469,0.68823163,0.02190709,1.01106870,0.36046465,0.25116262
