energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.09461706,0.00302220,0.21693928,0.05836080,0.00402325,0.39635477,0.97391650,0.29376504
-5.99399700,1.03890327,0.00287847,0.20270616,0.06160289,0.00443685,0.37920779,0.89722827,0.27935300
-5.98799400,0.99189993,0.00275945,0.18992515,0.06571645,0.00494294,0.36555380,0.82629989,0.26726595
-5.98199100,0.95440264,0.00266757,0.17876259,0.07074525,0.00554635,0.35567072,0.76186624,0.25771722
-5.97598799,0.92696365,0.00260461,0.16933672,0.07671615,0.00625097,0.34974991,0.70445263,0.25085414
-5.96998499,0.90988562,0.00257166,0.16171712,0.08363706,0.00705944,0.34789323,0.65437668,0.24675618
-5.96398199,0.90322204,0.00256914,0.15592550,0.09149507,0.00797283,0.35011239,0.61175622,0.24543492
-5.95797899,0.90678411,0.00259682,0.15193774,0.10025519,0.00899044,0.35633070,0.57652243,0.24683575
-5.95197599,0.92015351,0.00265387,0.14968694,0.10985947,0.01010943,0.36638702,0.54843728,0.25084123
-5.94597299,0.94270066,0.00273892,0.14906733,0.12022680,0.01132472,0.38004187,0.52711448,0.25727594
-5.93996998,0.97360793,0.00285013,0.14993912,0.13125338,0.01262876,0.39698552,0.51204285,0.26591275
-5.93396698,1.01189713,0.00298527,0.15213372,0.14281396,0.01401147,0.41684785,0.50261142,0.27648023
-5.92796398,1.05646070,0.00314185,0.15545965,0.15476381,0.01546025,0.43920981,0.49813527,0.28867118
-5.92196098,1.10609572,0.00331715,0.15970861,0.16694147,0.01696007,0.46361614,0.49788149,0.30215189
-5.91595798,1.15954005,0.00350841,0.16466176,0.17917231,0.01849369,0.48958918,0.50109439,0.31657215
-5.90995498,1.21550953,0.00371288,0.17009607,0.19127267,0.02004192,0.51664317,0.50701956,0.33157540
-5.90395198,1.27273539,0.00392796,0.17579044,0.20305460,0.02158407,0.54429892,0.51492599,0.34680915
-5.89794897,1.33000063,0.00415130,0.18153166,0.21433101,0.02309842,0.57209809,0.52412598,0.36193502
-5.89194597,1.38617431,0.00438086,0.18711984,0.22492104,0.02456282,0.59961687,0.53399228,0.37663830
-5.88594297,1.44024269,0.00461506,0.19237332,0.23465547,0.02595530,0.62647835,0.54397219,0.39063660
-5.87993997,1.49133600,0.00485280,0.19713295,0.24338189,0.02725479,0.65236327,0.55359835,0.40368735
-5.87393697,1.53874995,0.00509353,0.20126541,0.25096951,0.02844174,0.67701862,0.56249612,0.41559385
-5.86793397,1.58196111,0.00533729,0.20466574,0.25731332,0.02949881,0.70026371,0.57038737,0.42620961
