energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,7.34712113,0.00132208,1.88148400,3.17259474,3.61506795,0.08845877,1.52407077
-5.99399700,7.37095622,0.00139232,1.90577437,3.19836296,3.66095867,0.08613337,1.50904404
-5.98799400,7.38202064,0.00147047,1.92846689,3.21954766,3.70267298,0.08343633,1.48964380
-5.98199100,7.38119699,0.00155654,1.94946266,3.23637410,3.74024685,0.08040027,1.46645394
-5.97598799,7.36948303,0.00165031,1.96867335,3.24910689,3.77373402,0.07706446,1.44009110
-5.96998499,7.34789770,0.00175120,1.98600202,3.25800950,3.80316534,0.07347356,1.41117924
-5.96398199,7.31739087,0.00185836,2.00132551,3.26330567,3.82851132,0.06967630,1.38032488
-5.95797899,7.27876259,0.00197061,2.01447976,3.26514545,3.84965052,0.06572393,1.34809406
-5.95197599,7.23259651,0.00208646,2.02524925,3.26357797,3.86634605,0.06166871,1.31499223
-5.94597299,7.17921182,0.00220416,2.03336144,3.25853289,3.87823189,0.05756240,1.28144817
-5.93996998,7.11863638,0.00232171,2.03848662,3.24981177,3.88481016,0.05345484,1.24780246
-5.93396698,7.05060271,0.00243692,2.04024355,3.23708992,3.88545985,0.04939270,1.21430125
-5.92796398,6.97456692,0.00254750,2.03821048,3.21992887,3.87945651,0.04541843,1.18109545
-5.92196098,6.88974929,0.00265108,2.03194107,3.19779867,3.86600211,0.04156940,1.14824522
-5.91595798,6.79519386,0.00274531,2.02098434,3.17010874,3.84426321,0.03787735,1.11572942
-5.90995498,6.68984338,0.00282795,2.00490744,3.13624555,3.81341542,0.03436806,1.08345940
-5.90395198,6.57262499,0.00289695,1.98331995,3.09561496,3.77269153,0.03106128,1.05129628
-5.89794897,6.44254156,0.00295048,1.95589826,3.04768681,3.72143059,0.02797091,1.01907063
-5.89194597,6.29876338,0.00298706,1.92240868,2.99203931,3.65912511,0.02510534,0.98660352
-5.88594297,6.14071515,0.00300558,1.88272795,2.92840084,3.58546395,0.02246798,0.95372784
-5.87993997,5.96815349,0.00300538,1.83685999,2.85668703,3.50036837,0.02005797,0.92030864
-5.87393697,5.78123113,0.00298624,1.78494807,2.77703132,3.40401957,0.01787085,0.88626178
-5.86793397,5.58054482,0.00294842,1.72728182,2.68980768,3.29687644,0.01589940,0.85156977
-5.86193097,5.36716499,0.00289268,1.66429871,2.59564445,3.17968264,0.01413445,0.81629446
-5.85592796,5.14264633,0.00282022,1.59658018,2.49542924,3.05346314,0.01256560,0.78058597
-5.84992496,4.90901970,0.00273270,1.52484258,2.39030471,2.91951052,0.01118202,0.74468779
-5.84392196,4.66876638,0.00263216,1.44992371,2.28165596,2.77936208,0.00997303,0.70893792
-5.83791896,4.42477678,0.00252099,1.37276545,2.17109038,2.63476915,0.00892870,0.67376648
-5.83191596,4.18029617,0.00240187,1.29439367,2.06041103,2.48766016,0.00804033,0.63968982
-5.82591296,3.93886017,0.00227768,1.21589605,1.95158492,2.34009936,0.00730080,0.60730181
-5.81990995,3.70422313,0.00215147,1.13839908,1.84670732,2.19424287,0.00670482,0.57726262
-5.81390695,3.48028209,0.00202634,1.06304479,1.74796346,2.05229387,0.00624912,0.55028556
-5.80790395,3.27099886,0.00190545,0.99096818,1.65758844,1.91645828,0.00593250,0.52712234
-5.80190095,3.08032225,0.00179189,0.92327571,1.57782637,1.78890229,0.00575582,0.50854721
-5.79589795,2.91211196,0.00168865,0.86102549,1.51088914,1.67171237,0.00572190,0.49534028
-5.78989495,2.77006503,0.00159861,0.80520915,1.45891528,1.56685847,0.00583530,0.48827017
-5.78389195,2.65764542,0.00152445,0.75673561,1.42392898,1.47616057,0.00610209,0.48807628
-5.77788894,2.57801659,0.00146865,0.71641654,1.40779929,1.40125843,0.00652953,0.49545071
-5.77188594,2.53397717,0.00143347,0.68495342,1.41219951,1.34358441,0.00712562,0.51101993
-5.76588294,2.52789913,0.00142090,0.66292588,1.43856670,1.30433885,0.00789870,0.53532637
-5.75987994,2.56166863,0.00143270,0.65078114,1.48806159,1.28446775,0.00885693,0.56881016
-5.75387694,2.63662934,0.00147037,0.64882438,1.56152911,1.28464244,0.01000771,0.61179109
-5.74787394,2.75352910,0.00153513,0.65720990,1.65946041,1.30524103,0.01135716,0.66445143
-5.74187094,2.91247066,0.00162798,0.67593318,1.78195722,1.34633186,0.01290950,0.72681989
-5.73586793,3.11286837,0.00174961,0.70482400,1.92869999,1.40765921,0.01466646,0.79875753
-5.72986493,3.35341281,0.00190052,0.74354096,2.09892149,1.48863207,0.01662675,0.87994614
-5.72386193,3.63204598,0.00208092,0.79156796,2.29138767,1.58831671,0.01878556,0.96988007
-5.71785893,3.94595001,0.00229084,0.84821315,2.50438789,1.70543425,0.02113413,1.06786228
-5.71185593,4.29155215,0.00253004,0.91261105,2.73573636,1.83836450,0.02365944,1.17300521
-5.70585293,4.66454897,0.00279811,0.98372850,2.98278680,1.98515705,0.02634402,1.28423739
-5.69984992,5.05995183,0.00309443,1.06037512,3.24246149,2.14355099,0.02916595,1.40031606
-5.69384692,5.47215548,0.00341819,1.14121862,3.51129582,2.31100383,0.03209900,1.51984611
-5.68784392,5.89502998,0.00376843,1.22480533,3.78549845,2.48473035,0.03511294,1.64130534
-5.68184092,6.32203569,0.00414399,1.30958602,4.06102662,2.66175106,0.03817408,1.76307560
-5.67583792,6.74635919,0.00454360,1.39394662,4.33367510,2.83895009,0.04124595,1.88347904
-5.66983492,7.16106701,0.00496582,1.47624342,4.59917664,3.01314102,0.04429015,2.00081855
-5.66383192,7.55927269,0.00540905,1.55484176,4.85331073,3.18113925,0.04726737,2.11342094
-5.65782891,7.93431152,0.00587157,1.62815698,5.09201707,3.33983844,0.05013844,2.21968126
-5.65182591,8.27991652,0.00635148,1.69469637,5.31150927,3.48628856,0.05286550,2.31810660
-5.64582291,8.59038879,0.00684669,1.75310034,5.50838445,3.61777242,0.05541316,2.40735753
-5.63981991,8.86075500,0.00735493,1.80218115,5.67972386,3.73187776,0.05774958,2.48628529
-5.63381691,9.08690534,0.00787373,1.84095760,5.82318029,3.82656164,0.05984752,2.55396337
-5.62781391,9.26570573,0.00840034,1.86868392,5.93704823,3.90020460,0.06168517,2.60971183
