energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.52867956,0.00815897,1.02620842,1.61292576,1.92884546,0.00827260,1.13385294,0.79375505,0.08976823
-5.99399700,4.56319897,0.00866081,1.04561493,1.61113879,1.97024997,0.00880991,1.13094719,0.78480021,0.09101101
-5.98799400,4.62546788,0.00920229,1.07113112,1.61894424,2.02317012,0.00941146,1.13493082,0.78000702,0.09302674
-5.98199100,4.71347799,0.00978037,1.10245443,1.63536976,2.08702937,0.01007353,1.14504691,0.77896681,0.09572061
-5.97598799,4.82449814,0.01039117,1.13907429,1.65925103,2.16085503,0.01079189,1.16042815,0.78119500,0.09898959
-5.96998499,4.95514122,0.01103006,1.18028102,1.68926763,2.24329330,0.01156187,1.18012336,0.78614874,0.10272471
-5.96398199,5.10145185,0.01169167,1.22518199,1.72398207,2.33263861,0.01237845,1.20312525,0.79324505,0.10681356
-5.95797899,5.25901277,0.01237001,1.27272471,1.76188093,2.42687669,0.01323633,1.22839864,0.80187895,0.11114275
-5.95197599,5.42306735,0.01305854,1.32172652,1.80141713,2.52374043,0.01413007,1.25490844,0.81144090,0.11560037
-5.94597299,5.58865487,0.01375024,1.37090974,1.84105230,2.62077693,0.01505422,1.28164664,0.82133323,0.12007847
-5.93996998,5.75075482,0.01443781,1.41894154,1.87929837,2.71542369,0.01600349,1.30765773,0.83098502,0.12447541
-5.93396698,5.90443580,0.01511371,1.46447690,1.91475734,2.80509129,0.01697290,1.33206193,0.83986523,0.12869816
-5.92796398,6.04500446,0.01577036,1.50620334,1.94615847,2.88724962,0.01795797,1.35407581,0.84749385,0.13266437
-5.92196098,6.16814959,0.01640030,1.54288578,1.97239209,2.95951453,0.01895491,1.37302978,0.85345107,0.13630421
-5.91595798,6.27007659,0.01699631,1.57340983,1.99253921,3.01973163,0.01996080,1.38838221,0.85738426,0.13956199
-5.90995498,6.34762774,0.01755162,1.59682182,2.00589647,3.06605387,0.02097373,1.39972994,0.85901303,0.14239740
-5.90395198,6.39838400,0.01806008,1.61236414,2.01199579,3.09700993,0.02199297,1.40681502,0.85813239,0.14478635
-5.89794897,6.42074494,0.01851632,1.61950445,2.01061841,3.11156080,0.02301908,1.40952751,0.85461407,0.14672142
-5.89194597,6.41398373,0.01891595,1.61795763,2.00180296,3.10914222,0.02405397,1.40790467,0.84840631,0.14821191
-5.88594297,6.37827551,0.01925567,1.60769972,1.98584756,3.08969140,0.02510092,1.40212621,0.83953207,0.14928328
-5.87993997,6.31469808,0.01953340,1.58897327,1.96330574,3.05365720,0.02616450,1.39250622,0.82808606,0.14997627
-5.87393697,6.22520506,0.01974840,1.56228405,1.93497656,3.00199333,0.02725052,1.37948180,0.81423047,0.15034552
-5.86793397,6.11257278,0.01990129,1.52838929,1.90188904,2.93613520,0.02836576,1.36359877,0.79818968,0.15045774
-5.86193097,5.98032291,0.01999407,1.48827805,1.86528133,2.85796149,0.02951779,1.34549503,0.78024400,0.15038962
-5.85592796,5.83262383,0.02003008,1.44314453,1.82657525,2.76974204,0.03071459,1.32588187,0.76072258,0.15022534
-5.84992496,5.67417461,0.02001388,1.39435544,1.78734661,2.67407440,0.03196423,1.30552397,0.73999550,0.15005401
-5.84392196,5.51007552,0.01995116,1.34341267,1.74929230,2.57381138,0.03327443,1.28521857,0.71846530,0.14996688
-5.83791896,5.34568984,0.01984846,1.29191260,1.71419459,2.47198227,0.03465215,1.26577449,0.69655796,0.15005464
-5.83191596,5.18650138,0.01971304,1.24150350,1.68388370,2.37171063,0.03610319,1.24799163,0.67471357,0.15040479
-5.82591296,5.03797230,0.01955254,1.19384227,1.66019918,2.27613111,0.03763177,1.23264158,0.65337678,0.15109920
-5.81990995,4.90540525,0.01937473,1.15055194,1.64495106,2.18830784,0.03924022,1.22044983,0.63298736,0.15221197
-5.81390695,4.79381361,0.01918724,1.11318078,1.63988137,2.11115666,0.04092873,1.21208024,0.61397094,0.15380767
-5.80790395,4.70780294,0.01899725,1.08316435,1.64662668,2.04737288,0.04269516,1.20812197,0.59673029,0.15593995
-5.80190095,4.65146594,0.01881127,1.06179087,1.66668239,1.99936617,0.04453501,1.20907929,0.58163723,0.15865067
-5.79589795,4.62829281,0.01863489,1.05017084,1.70136911,1.96920376,0.04644145,1.21536433,0.56902544,0.16196944
-5.78989495,4.64109812,0.01847261,1.04921112,1.75180167,1.95856267,0.04840552,1.22729275,0.55918441,0.16591358
-5.78389195,4.69196456,0.01832772,1.05959391,1.81886122,1.96869158,0.05041637,1.24508220,0.55235441,0.17048853
-5.77788894,4.78220364,0.01820223,1.08176070,1.90317061,2.00038265,0.05246164,1.26885321,0.54872287,0.17568855
-5.77188594,4.91233301,0.01809683,1.11590137,2.00507348,2.05395336,0.05452784,1.29863215,0.54842195,0.18149764
-5.76588294,5.08206938,0.01801099,1.16194847,2.12461733,2.12923849,0.05660085,1.33435571,0.55152733,0.18789065
-5.75987994,5.29033650,0.01794297,1.21957665,2.26154079,2.22559203,0.05866635,1.37587624,0.55805821,0.19483441
-5.75387694,5.53528691,0.01789003,1.28820713,2.41526553,2.34189901,0.06071026,1.42296769,0.56797830,0.20228882
-5.74787394,5.81433659,0.01784856,1.36701737,2.58489294,2.47659692,0.06271907,1.47533120,0.58119763,0.21020775
-5.74187094,6.12421151,0.01781427,1.45495557,2.76920616,2.62770649,0.06468017,1.53260034,0.59757512,0.21853982
-5.73586793,6.46100523,0.01778243,1.55076011,2.96667751,2.79287140,0.06658200,1.59434538,0.61692162,0.22722887
-5.72986493,6.82024666,0.01774803,1.65298348,3.17548195,2.96940645,0.06841413,1.66007662,0.63900337,0.23621419
-5.72386193,7.19697735,0.01770602,1.76002062,3.39351660,3.15435341,0.07016719,1.72924679,0.66354569,0.24543048
-5.71785893,7.58583737,0.01765145,1.87014107,3.61842687,3.34454357,0.07183275,1.80125273,0.69023686,0.25480771
-5.71185593,7.98115924,0.01757968,1.98152453,3.84763900,3.53666602,0.07340306,1.87543675,0.71873224,0.26427069
-5.70585293,8.37706882,0.01748648,2.09229910,4.07839939,3.72734007,0.07487079,1.95108825,0.74865852,0.27373885
-5.69984992,8.76759208,0.01736816,2.20058138,4.30782019,3.91319029,0.07622871,2.02744618,0.77961832,0.28312589
-5.69384692,9.14676667,0.01722163,2.30451761,4.53293112,4.09092224,0.07746942,2.10370314,0.81119514,0.29233984
-5.68784392,9.50875648,0.01704446,2.40232472,4.75073656,4.25739714,0.07858511,2.17901159,0.84295891,0.30128332
-5.68184092,9.84796742,0.01683495,2.49233023,4.95827714,4.40970311,0.07956744,2.25249304,0.87447210,0.30985432
-5.67583792,10.15916232,0.01659210,2.57301003,5.15269468,4.54522125,0.08040758,2.32325033,0.90529664,0.31794744
-5.66983492,10.43757238,0.01631563,2.64302272,5.33129873,4.66168435,0.08109629,2.39038343,0.93500158,0.32545567
-5.66383192,10.67900252,0.01600598,2.70123964,5.49163313,4.75722671,0.08162431,2.45300863,0.96317162,0.33227275
-5.65782891,10.87992781,0.01566431,2.74676963,5.63154038,4.83042324,0.08198281,2.51028071,0.98941615,0.33829594
-5.65182591,11.03757796,0.01529244,2.77897768,5.74922181,4.88031705,0.08216401,2.56141755,1.01337889,0.34342930
-5.64582291,11.15000703,0.01489287,2.79749698,5.84329102,4.90643435,0.08216194,2.60572619,1.03474768,0.34758710
-5.63981991,11.21614551,0.01446877,2.80223386,5.91281846,4.90878656,0.08197327,2.64262918,1.05326395,0.35069738
-5.63381691,11.23583244,0.01402390,2.79336558,5.95736494,4.88785957,0.08159818,2.67168979,1.06873170,0.35270543
-5.62781391,11.20982556,0.01356262,2.77133094,5.97700212,4.84459072,0.08104121,2.69263482,1.08102518,0.35357686
-5.62181091,11.13978797,0.01308988,2.73681414,5.97231854,4.78033428,0.08031202,2.70537335,1.09009499,0.35330025
-5.61580790,11.02825079,0.01261109,2.69072235,5.94441001,4.69681681,0.07942610,2.71001014,1.09597195,0.35188901
-5.60980490,10.87855186,0.01213216,2.63415770,5.89485406,4.59608391,0.07840517,2.70685263,1.09876850,0.34938243
-5.60380190,10.69475147,0.01165933,2.56838478,5.82566862,4.48044024,0.07727750,2.69641046,1.09867703,0.34584574
-5.59779890,10.48152724,0.01119916,2.49479452,5.73925593,4.35238462,0.07607789,2.67938720,1.09596528,0.34136911
